EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShortMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,DefTwoPtRebounds,FTDefRebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,PenaltyFg3Pct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,BadPassTurnovers,Offensive Fouls Drawn,BlockedAtRim,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,Steals,BadPassSteals,LongMidRangeFGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,LongMidRangeAssists,LostBallSteals,Offensive Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,OffAtRimReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,DefensiveGoaltends,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SelfOReb,Technical Free Throw Trips,OffensiveGoaltends,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceArc3PctAssisted,Fg3aBlocked,3pt And 1 Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,HeaveAttempts,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,Charge Fouls,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
101141-1629671-1629744-1629752-1630235,1610612762,"Ersan Ilyasova, Miye Oni, Matt Thomas, Juwan Morgan, Trent Forrest","Ilyasova, Oni, Thomas, Morgan, Forrest",101141-1629671-1629744-1629752-1630235,UTA,206.0,1,3.0,-4.0,6.0,7.0,3.0,7.0,13.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,8.0,12.0,3.0,3.0,6.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,8.0,6.0,3.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6,1.0,0.6666666666666666,1.0,0.4,1.0,0.5,1.0,90.873786407767,15.666666666666666,16.0,15.666666666666666,14.428571428571429,0.6,1.0,1.0,0.3333333333333333,0.4,1.0,1.0,1.0,0.50787,0.5393,0.16666666666666666,0.25,0.75,2.2666666666666666,27.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1627777-1628378-202324-203903,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Jordan Clarkson","O'Neale, Niang, Mitchell, Favors, Clarkson",1626220-1627777-1628378-202324-203903,UTA,165.0,2,3.0,-8.0,5.0,5.0,,,10.0,,,,,5.0,,1.0,5.0,,3.0,11.0,,,,,,5.0,,,,,,,1.0,2.0,2.0,,,,3.0,,,,,,,0.25,,0.25,,0.8333333333333334,,,,87.27272727272727,18.2,14.8,17.0,14.8,,,,,0.8333333333333334,,,0.8333333333333334,0.5182833333333333,,,,,6.3,25.76,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0,1.0,0.2,1.0,0.16666666666666666,0.2,0.2,1.0,0.2,0.5052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1627777-1628378-203497-203903,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Rudy Gobert, Jordan Clarkson","O'Neale, Niang, Mitchell, Gobert, Clarkson",1626220-1627777-1628378-203497-203903,UTA,481.0,4,8.0,-2.0,16.0,17.0,5.0,6.0,33.0,1.0,1.0,1.0,1.0,4.0,4.0,6.0,5.0,3.0,17.0,19.0,1.0,1.0,7.0,4.0,4.0,4.0,2.0,4.0,1.0,10.0,1.0,7.0,7.0,3.0,6.0,3.0,4.0,2.0,17.0,7.0,5.0,0.5,0.5,0.6666666666666666,1.0,0.6363636363636364,0.8333333333333334,0.6538461538461539,0.875,0.45454545454545453,1.0,0.75,1.0,98.79417879417879,13.3125,15.764705882352942,13.3125,15.529411764705882,0.09090909090909091,1.0,1.0,1.0,0.36363636363636365,0.3333333333333333,1.0,0.5454545454545454,0.49268636363636364,0.5715166666666667,0.15384615384615385,0.25,0.4117647058823529,9.25,26.080000000000002,0.3125,,4.0,1.0,,2.0,,,1.0,,,,0.4,0.4,,,,,,0.36363636363636365,0.25,0.25,,0.25,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.6666666666666666,1.0,0.7142857142857143,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.3333333333333333,0.09090909090909091,0.09090909090909091,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1627777-201144-202324-203903,1610612762,"Royce O'Neale, Georges Niang, Mike Conley, Derrick Favors, Jordan Clarkson","O'Neale, Niang, Conley, Favors, Clarkson",1626220-1627777-201144-202324-203903,UTA,251.0,1,4.0,1.0,9.0,9.0,3.0,9.0,18.0,3.0,3.0,1.0,1.0,2.0,5.0,7.0,2.0,1.0,14.0,13.0,1.0,2.0,5.0,6.0,4.0,2.0,3.0,4.0,2.0,9.0,,2.0,4.0,,1.0,2.0,2.0,1.0,11.0,5.0,3.0,0.6,0.75,0.7142857142857143,0.5,0.7222222222222222,0.8333333333333334,0.7,0.8333333333333334,0.2222222222222222,,0.6666666666666666,,103.26693227091633,16.0,11.88888888888889,16.0,11.555555555555555,0.3333333333333333,1.0,1.0,0.6666666666666666,0.2222222222222222,0.3333333333333333,1.0,0.5555555555555556,0.5071055555555556,0.4918166666666666,0.1,0.125,0.35714285714285715,5.114285714285714,26.2,0.3333333333333333,2.0,4.0,1.0,,1.0,,,1.0,,1.0,2.0,0.5,0.5,,,0.5,0.6666666666666666,0.5,0.4444444444444444,0.5,0.5,,0.5,0.8403,2.0,,,,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,,1.0,2.0,,1.0,,,,1.0,,2.0,1.0,2.0,,1.0,1.0,1.0,,0.6666666666666666,1.0,0.5,,0.5,0.5,0.5,,,,,,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.21428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1627777-202324-203903-204060,1610612762,"Royce O'Neale, Georges Niang, Derrick Favors, Jordan Clarkson, Joe Ingles","O'Neale, Niang, Favors, Clarkson, Ingles",1626220-1627777-202324-203903-204060,UTA,195.0,3,3.0,-2.0,7.0,8.0,2.0,6.0,15.0,,,,,3.0,1.0,1.0,4.0,,8.0,10.0,,,3.0,,2.0,3.0,,1.0,,3.0,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,8.0,3.0,2.0,,,1.0,,0.8,0.75,0.6666666666666666,0.75,0.8,,1.0,,110.76923076923077,12.857142857142858,13.125,12.857142857142858,13.125,,,,,0.6,,,0.8,0.5286299999999999,0.538575,0.16666666666666666,0.5,0.375,11.5,24.8,0.2857142857142857,,1.0,1.0,,2.0,,3.0,1.0,,,,0.5,0.5,,,,,,0.2,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,,3.0,1.0,,1.0,,2.0,,1.0,,1.0,,1.0,,,,,,0.5,0.5,1.0,,1.0,,1.0,,1.0,1.0,,,0.2,1.0,1.0,1.0,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1627777-203497-203903-204060,1610612762,"Royce O'Neale, Georges Niang, Rudy Gobert, Jordan Clarkson, Joe Ingles","O'Neale, Niang, Gobert, Clarkson, Ingles",1626220-1627777-203497-203903-204060,UTA,545.0,5,9.0,-4.0,19.0,18.0,11.0,12.0,37.0,2.0,3.0,1.0,2.0,8.0,4.0,6.0,10.0,3.0,23.0,27.0,2.0,4.0,12.0,4.0,4.0,8.0,2.0,4.0,1.0,10.0,1.0,4.0,5.0,1.0,4.0,4.0,3.0,1.0,23.0,12.0,11.0,0.5,0.5,0.6666666666666666,0.5,0.625,0.5,0.6764705882352942,0.5454545454545454,0.625,1.0,0.8,,97.76146788990825,18.68421052631579,10.555555555555555,18.526315789473685,10.555555555555555,0.1875,0.6666666666666666,1.0,0.5,0.5,0.2,0.5,0.8125,0.474309375,0.46597999999999995,0.0625,0.16666666666666666,0.5217391304347826,8.083333333333334,25.6,0.5789473684210527,1.0,2.0,3.0,,4.0,1.0,6.0,3.0,1.0,1.0,1.0,0.4,0.4,0.16666666666666666,,0.5,0.125,,0.125,0.375,0.375,,0.375,0.68625,1.0,1.0,1.0,2.0,2.0,5.0,2.0,6.0,2.0,6.0,2.0,1.0,1.0,,3.0,,1.0,2.0,,,3.0,1.0,,,,1.0,0.5,0.3333333333333333,0.3333333333333333,,0.75,,1.0,0.6666666666666666,0.5,0.5,,0.0625,0.125,0.5,0.5,1.0,0.3333333333333333,0.5,0.4,,,,,,,,,1.0,1.0,,,,,,,,,,,,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1628378-1629671-202711-203497,1610612762,"Royce O'Neale, Donovan Mitchell, Miye Oni, Bojan Bogdanovic, Rudy Gobert","O'Neale, Mitchell, Oni, Bogdanovic, Gobert",1626220-1628378-1629671-202711-203497,UTA,12.0,1,,-3.0,,1.0,,1.0,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1628378-201144-202324-202711,1610612762,"Royce O'Neale, Donovan Mitchell, Mike Conley, Derrick Favors, Bojan Bogdanovic","O'Neale, Mitchell, Conley, Favors, Bogdanovic",1626220-1628378-201144-202324-202711,UTA,138.0,2,2.0,5.0,4.0,5.0,,,9.0,3.0,3.0,,,1.0,3.0,3.0,1.0,1.0,7.0,2.0,,,,4.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,,1.0,2.0,1.0,1.0,7.0,,,0.6666666666666666,0.6666666666666666,1.0,,0.75,,0.875,,0.25,1.0,1.0,1.0,93.91304347826087,11.25,18.6,11.25,18.6,0.75,1.0,1.0,0.6666666666666666,0.25,,,1.0,0.6516875,,0.25,0.3333333333333333,,1.3666666666666665,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1628378-201144-202711-203497,1610612762,"Royce O'Neale, Donovan Mitchell, Mike Conley, Bojan Bogdanovic, Rudy Gobert","O'Neale, Mitchell, Conley, Bogdanovic, Gobert",1626220-1628378-201144-202711-203497,UTA,4202.0,5,70.0,21.0,139.0,134.0,38.0,19.0,273.0,25.0,38.0,3.0,7.0,53.0,34.0,69.0,64.0,21.0,197.0,176.0,3.0,13.0,44.0,32.0,36.0,53.0,16.0,39.0,12.0,101.0,15.0,36.0,57.0,7.0,20.0,32.0,29.0,10.0,166.0,40.0,36.0,0.47058823529411764,0.5714285714285714,0.4927536231884058,0.23076923076923078,0.6616541353383458,0.46875,0.6793103448275862,0.55,0.48120300751879697,0.75,0.660377358490566,0.75,93.55544978581628,16.287769784172664,14.462686567164178,15.712230215827338,13.992537313432836,0.2857142857142857,0.6578947368421053,0.7352941176470589,0.48,0.39849624060150374,0.21875,0.42857142857142855,0.7669172932330827,0.5277988721804511,0.5197125,0.07857142857142857,0.13333333333333333,0.2233502538071066,5.620289855072464,25.721875,0.2733812949640288,21.0,26.0,30.0,7.0,36.0,9.0,39.0,30.0,6.0,12.0,21.0,0.5625,0.5625,0.08695652173913043,0.07692307692307693,0.36363636363636365,0.35,0.4444444444444444,0.19548872180451127,0.5660377358490566,0.5660377358490566,0.3684210526315789,0.5660377358490566,0.5809272727272727,7.0,5.0,6.0,11.0,6.0,13.0,8.0,19.0,14.0,69.0,23.0,17.0,6.0,3.0,20.0,1.0,11.0,5.0,6.0,1.0,16.0,6.0,5.0,5.0,5.0,2.0,0.6388888888888888,0.42105263157894735,0.6875,1.0,0.6060606060606061,0.7,0.5,0.8,0.2692307692307692,0.2916666666666667,0.42857142857142855,0.03759398496240601,0.08270676691729323,0.5454545454545454,0.5454545454545454,1.0,0.5666666666666667,0.40625,0.46153846153846156,8.0,9.0,9.0,10.0,1.0,31.0,12.0,9.0,5.0,5.0,,3.0,0.9,0.7894736842105263,0.8157894736842105,0.3333333333333333,0.22727272727272727,0.6,0.47368421052631576,0.8888888888888888,0.15736040609137056,10.0,7.0,2.0,2.0,6.0,1.0,3.0,,4.0,5.0,3.0,0.10526315789473684,0.3333333333333333,0.75,0.4,0.4,0.5,0.10526315789473684,0.1875,2.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.8,0.25,1.0,1.0,0.2857142857142857,0.3333333333333333,0.015384615384615385,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
1626220-1628378-201144-203497-203903,1610612762,"Royce O'Neale, Donovan Mitchell, Mike Conley, Rudy Gobert, Jordan Clarkson","O'Neale, Mitchell, Conley, Gobert, Clarkson",1626220-1628378-201144-203497-203903,UTA,55.0,1,1.0,-1.0,2.0,2.0,1.0,2.0,4.0,,,,,,,,1.0,2.0,2.0,3.0,,,,,,,,,,,1.0,1.0,2.0,,,1.0,2.0,1.0,2.0,,1.0,,,,,,,0.5,,1.0,1.0,1.0,,104.72727272727273,6.5,21.0,6.0,21.0,,,,,,,,1.0,0.3954,0.3954,0.5,1.0,,,23.3,0.5,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,False
