EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,PlusMinus,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,Steals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,FtPoints,PenaltyFtPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefAtRimReboundPct,NonShootingFoulsDrawn,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsAssisted3s,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffThreePtRebounds,Loose Ball Fouls Drawn,Assisted3sPct,SecondChanceFg3Pct,OffThreePtReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,LostBallOutOfBoundsTurnovers,Charge Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffShortMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,BadPassSteals,Corner3FGM,HeaveAttempts,Fg2aBlocked,Corner3Assists,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,SecondChanceFtPoints,Offensive Fouls Drawn,AtRimPctBlocked,OffArc3ReboundPct,PenaltyArc3FGM,Fg3aBlocked,FTOffRebounds,2pt And 1 Free Throw Trips,BlockedShortMidRange,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,PenaltyArc3Accuracy,BadPassTurnovers,Offensive Fouls,SelfOReb,SelfORebPct,NonShootingPenaltyNonTakeFoulsDrawn,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,Corner3PctBlocked,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,Technical Free Throw Trips,3SecondViolations,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,Travels,Charge Fouls Drawn,OffensiveGoaltends,BlockedCorner3,Defensive 3 Seconds Violations,DefensiveGoaltends,team_id,year,season,team_vs
1627812-1628379-1629599-1629611-1630187,1610612746,"Yogi Ferrell, Luke Kennard, Amir Coffey, Terance Mann, Daniel Oturu","Ferrell, Kennard, Coffey, Mann, Oturu",1627812-1628379-1629599-1629611-1630187,LAC,37.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,77.83783783783784,13.0,24.0,13.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
1627812-1628379-1629599-1629611-201976,1610612746,"Yogi Ferrell, Luke Kennard, Amir Coffey, Terance Mann, Patrick Beverley","Ferrell, Kennard, Coffey, Mann, Beverley",1627812-1628379-1629599-1629611-201976,LAC,38.0,1,1.0,1.0,2.0,,2.0,3.0,,113.6842105263158,12.0,13.0,12.0,13.0,,-3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4602,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
1627812-1628379-1629599-1630187-1630206,1610612746,"Yogi Ferrell, Luke Kennard, Amir Coffey, Daniel Oturu, Jay Scrubb","Ferrell, Kennard, Coffey, Oturu, Scrubb",1627812-1628379-1629599-1630187-1630206,LAC,345.0,3,6.0,11.0,12.0,5.0,7.0,23.0,5.0,96.0,17.0,13.166666666666666,14.636363636363637,12.5,0.45454545454545453,8.0,2.0,3.0,5.0,2.0,3.0,6.0,8.0,1.0,1.0,0.2727272727272727,1.0,0.7142857142857143,1.0,0.18181818181818182,0.6363636363636364,0.5086181818181819,25.46666666666667,3.0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0,1.0,13.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,4.0,6.0,4.0,3.0,1.0,3.0,3.0,2.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,11.0,4.0,0.6,0.6,0.3333333333333333,0.3333333333333333,0.625,1.0,0.4,0.5909090909090909,0.5,0.2857142857142857,0.5909090909090909,0.5,0.2857142857142857,0.5,1.0,0.5,0.6666666666666666,0.4,0.5,1.0,0.5,0.5,1.0,0.36363636363636365,0.5,0.5,1.0,0.09090909090909091,1.0,1.0,1.0,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.09090909090909091,0.5,0.5,0.5,0.42857142857142855,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.5,0.4863,0.53505,0.15384615384615385,0.3076923076923077,8.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
1627812-1628379-1629599-1630187-201976,1610612746,"Yogi Ferrell, Luke Kennard, Amir Coffey, Daniel Oturu, Patrick Beverley","Ferrell, Kennard, Coffey, Oturu, Beverley",1627812-1628379-1629599-1630187-201976,LAC,160.0,1,3.0,5.0,6.0,5.0,2.0,11.0,5.0,99.0,10.6,17.833333333333332,10.6,17.833333333333332,1.0,-3.0,1.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,0.25,1.0,0.6437,24.6,,2.0,2.0,2.0,2.0,,,,,1.0,,1.0,,1.0,2.0,2.0,,5.0,,,,,2.0,2.0,2.0,5.0,4.0,,,,2.0,2.0,2.0,,4.0,,1.0,,,,,,,,,,5.0,5.0,1.0,1.0,,,1.0,,1.0,0.5,,0.5,0.5,,0.5,,,1.0,,,,,1.0,,,0.5,1.0,1.0,1.0,,,,,,,,0.25,,,,0.5,1.0,0.25,0.25,,,0.6437,,1.0,0.95,1.0,1.0,1.0,2.0,1.0,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
1627812-1629599-1629611-1630187-1630206,1610612746,"Yogi Ferrell, Amir Coffey, Terance Mann, Daniel Oturu, Jay Scrubb","Ferrell, Coffey, Mann, Oturu, Scrubb",1627812-1629599-1629611-1630187-1630206,LAC,64.0,1,1.0,2.0,2.0,2.0,2.0,4.0,2.0,90.0,11.0,21.0,11.0,21.0,1.0,,,,,,,1.0,1.0,,,,,1.0,,,1.0,0.3879,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,0.3879,,,3.9,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
1627812-1629599-1629611-1630187-201976,1610612746,"Yogi Ferrell, Amir Coffey, Terance Mann, Daniel Oturu, Patrick Beverley","Ferrell, Coffey, Mann, Oturu, Beverley",1627812-1629599-1629611-1630187-201976,LAC,168.0,1,3.0,5.0,5.0,3.0,5.0,10.0,3.0,85.71428571428572,16.4,17.2,16.4,15.0,0.6,-1.0,1.0,1.0,9.0,1.0,,,,1.0,1.0,0.25,,,,0.25,1.0,0.5197875,26.4,,3.0,3.0,3.0,3.0,,,,,,,,,,3.0,3.0,,8.0,,,,,3.0,3.0,,6.0,2.0,4.0,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,8.0,6.0,0.3333333333333333,0.3333333333333333,,,1.0,,1.0,0.75,,1.0,0.8,,1.0,,,,,,,,,,,0.75,1.0,1.0,0.3333333333333333,,,,,,,,,,,,1.0,1.0,,,,,0.5393,,0.75,2.2666666666666666,2.0,,1.0,2.0,1.0,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
1627812-1629599-1629611-1630187-202331,1610612746,"Yogi Ferrell, Amir Coffey, Terance Mann, Daniel Oturu, Paul George","Ferrell, Coffey, Mann, Oturu, George",1627812-1629599-1629611-1630187-202331,LAC,5.0,1,,1.0,,1.0,,1.0,1.0,288.0,5.0,,5.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
1627812-1629599-1629611-201587-202704,1610612746,"Yogi Ferrell, Amir Coffey, Terance Mann, Nicolas Batum, Reggie Jackson","Ferrell, Coffey, Mann, Batum, Jackson",1627812-1629599-1629611-201587-202704,LAC,16.0,1,,1.0,,1.0,,1.0,1.0,90.0,16.0,,16.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
1627812-1629599-1630187-1630206-201976,1610612746,"Yogi Ferrell, Amir Coffey, Daniel Oturu, Jay Scrubb, Patrick Beverley","Ferrell, Coffey, Oturu, Scrubb, Beverley",1627812-1629599-1630187-1630206-201976,LAC,37.0,1,1.0,2.0,1.0,2.0,1.0,3.0,2.0,116.75675675675676,7.5,22.0,7.5,22.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,0.50715,24.9,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.50715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
1627826-1628379-1629611-200765-202331,1610612746,"Ivica Zubac, Luke Kennard, Terance Mann, Rajon Rondo, Paul George","Zubac, Kennard, Mann, Rondo, George",1627826-1628379-1629611-200765-202331,LAC,199.0,2,3.0,6.0,7.0,,,13.0,,94.07035175879396,15.833333333333334,14.857142857142858,13.0,14.857142857142858,,2.0,3.0,5.0,8.0,3.0,2.0,3.0,5.0,1.0,2.0,0.625,1.0,1.0,1.0,0.375,0.75,0.51595,24.740000000000002,2.0,,1.0,,,,,2.0,2.0,2.0,1.0,,2.0,,2.0,3.0,2.0,10.0,,,2.0,3.0,,,,,2.0,2.0,3.0,2.0,1.0,2.0,,,5.0,1.0,1.0,,2.0,,,,,,,,7.0,,0.5,0.5,0.4,0.4,0.6666666666666666,,,0.625,0.75,,0.625,0.75,,,,1.0,1.0,0.5,1.0,,,,,0.125,,,,,,,,0.25,1.0,1.0,0.25,0.6666666666666666,0.6666666666666666,0.5,,,,,0.6666666666666666,0.5856,,0.3,,14.233333333333334,,,1.0,,,,,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2021,2020-21,True
