EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,ShortMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted2s,OffThreePtRebounds,DefThreePtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,LongMidRangePctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,SecondChanceArc3Frequency,PenaltyOffPossPct,SecondChanceAtRimFGA,SecondChanceFG2A,DefShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,LongMidRangeFGM,Corner3FGM,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,OffTwoPtRebounds,SelfOReb,BadPassSteals,DeadBallTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,ShortMidRangeAssists,FTOffRebounds,FTDefRebounds,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,PenaltyFtPoints,Charge Fouls,Offensive Fouls Drawn,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PtsUnassisted3s,BlockedLongMidRange,OffLongMidRangeReboundPct,Fg3aBlocked,Charge Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,SecondChanceArc3FGM,Travels,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,HeaveAttempts,BlockedShortMidRange,3pt And 1 Free Throw Trips,BlockedArc3,DefensiveGoaltends,Defensive 3 Seconds Violations,Corner3PctBlocked,Clear Path Fouls,OffensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
1626178-1626181-1627884-203081-2546,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Derrick Jones Jr., Damian Lillard, Carmelo Anthony","Hollis-Jefferson, Powell, Jones Jr., Lillard, Anthony",1626178-1626181-1627884-203081-2546,POR,122.0,1,2.0,-1.0,5.0,5.0,10.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.25,0.3,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,118.03278688524591,11.4,13.0,11.4,13.0,0.5,0.5,0.5,1.0,0.25,0.25,0.75,0.54435,0.2,0.25,3.0,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,False
1626178-1626181-1627884-203468-2546,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Derrick Jones Jr., CJ McCollum, Carmelo Anthony","Hollis-Jefferson, Powell, Jones Jr., McCollum, Anthony",1626178-1626181-1627884-203468-2546,POR,249.0,2,4.0,-7.0,9.0,9.0,18.0,,,1.0,4.0,1.0,3.0,5.0,1.0,3.0,10.0,,4.0,1.0,,,,,2.0,4.0,5.0,,,2.0,3.0,3.0,1.0,1.0,3.0,,,0.3333333333333333,0.125,0.1875,0.625,0.3333333333333333,,1.0,1.0,,104.09638554216866,16.11111111111111,11.555555555555555,15.555555555555555,10.666666666666666,,,,,0.125,0.5,0.625,0.469325,0.125,0.3333333333333333,14.533333333333333,24.64,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.2,0.14285714285714285,0.25,1.0,1.0,1.0,1.0,1.0,0.25,0.125,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,False
1626178-1626181-1629014-1629642-203496,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Anfernee Simons, Nassir Little, Robert Covington","Hollis-Jefferson, Powell, Simons, Little, Covington",1626178-1626181-1629014-1629642-203496,POR,136.0,1,2.0,-7.0,4.0,5.0,9.0,,1.0,,4.0,,1.0,4.0,,,7.0,,4.0,,,,,,1.0,2.0,3.0,,,1.0,1.0,,,,,,,,,,0.8,,,1.0,1.0,,95.29411764705883,19.5,11.6,19.5,11.6,0.2,,,,,0.8,1.0,0.58499,,,,25.575,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,0.25,0.2,0.25,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,False
1626178-1626181-1629014-1629642-2546,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Anfernee Simons, Nassir Little, Carmelo Anthony","Hollis-Jefferson, Powell, Simons, Little, Anthony",1626178-1626181-1629014-1629642-2546,POR,669.0,1,11.0,10.0,19.0,19.0,38.0,5.0,7.0,2.0,9.0,6.0,11.0,11.0,5.0,32.0,22.0,8.0,9.0,,4.0,9.0,3.0,23.0,2.0,7.0,13.0,1.0,,1.0,4.0,4.0,6.0,1.0,27.0,0.6666666666666666,0.8,0.5454545454545454,0.6136363636363636,0.6458333333333334,0.5,,,0.5,0.5833333333333334,,81.79372197309416,16.36842105263158,18.842105263157894,15.842105263157896,18.263157894736842,0.3181818181818182,0.7142857142857143,0.7142857142857143,0.6,0.09090909090909091,0.4090909090909091,0.8181818181818182,0.5200886363636363,0.08333333333333333,0.08333333333333333,5.5,25.94545454545454,,,4.0,,2.0,2.0,1.0,1.0,4.0,3.0,5.0,6.0,,,1.0,,,2.0,2.0,2.0,1.0,,,,,0.625,0.5,0.5454545454545454,0.5,0.5,0.8333333333333334,0.5,,,0.09090909090909091,0.09090909090909091,0.2,,3.0,4.0,,0.6,1.0,1.0,2.0,3.0,5.0,2.0,1.0,5.0,15.0,2.0,3.0,5.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45454545454545453,0.45454545454545453,0.5,0.4,0.4,0.6,0.5,1.0,0.2727272727272727,0.5,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.44680000000000003,0.08333333333333333,0.15625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,False
1626178-1626181-1629014-202683-203468,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Anfernee Simons, Enes Kanter, CJ McCollum","Hollis-Jefferson, Powell, Simons, Kanter, McCollum",1626178-1626181-1629014-202683-203468,POR,752.0,2,13.0,4.0,25.0,26.0,51.0,3.0,7.0,5.0,8.0,8.0,15.0,8.0,6.0,28.0,24.0,6.0,8.0,4.0,3.0,5.0,1.0,12.0,8.0,14.0,18.0,,,4.0,4.0,8.0,9.0,4.0,24.0,0.375,0.375,0.5333333333333333,0.4782608695652174,0.5185185185185185,0.34782608695652173,0.26666666666666666,0.2,0.7272727272727273,0.8125,1.0,97.65957446808511,14.8,14.692307692307692,13.72,13.73076923076923,0.30434782608695654,0.42857142857142855,0.75,0.3333333333333333,0.21739130434782608,0.34782608695652173,0.6521739130434783,0.4812326086956522,0.15384615384615385,0.2222222222222222,7.3933333333333335,26.0375,4.0,,3.0,3.0,3.0,,,,10.0,1.0,5.0,4.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,4.0,,,0.5,1.0,0.16666666666666666,0.23076923076923078,0.16666666666666666,0.5,1.0,,0.6,0.75,0.13043478260869565,,,0.16,2.0,3.0,0.8,0.6666666666666666,1.0,2.0,,2.0,2.0,2.0,,4.0,6.0,,2.0,2.0,2.0,,,2.0,,,1.0,,,,,,1.0,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.5,,,0.6666666666666666,0.6666666666666666,,,,,0.25,0.25,1.0,0.5,0.25,0.36525,,0.14285714285714285,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,0.6666666666666666,1.0,0.8333333333333334,0.42857142857142855,1.0,0.5,1.0,0.6666666666666666,1.0,0.4,0.5,0.4,1.0,0.47592,0.35714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,False
1626178-1626181-1629014-203468-203496,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Anfernee Simons, CJ McCollum, Robert Covington","Hollis-Jefferson, Powell, Simons, McCollum, Covington",1626178-1626181-1629014-203468-203496,POR,44.0,1,1.0,2.0,2.0,3.0,5.0,2.0,2.0,,,2.0,2.0,,,4.0,2.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,4.0,,,1.0,1.0,1.0,,,,1.0,1.0,,163.63636363636365,4.5,11.666666666666666,4.5,11.666666666666666,1.0,1.0,1.0,,,,1.0,0.7117,,,1.95,,,3.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,False
1626178-1626181-1629014-203468-203994,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Anfernee Simons, CJ McCollum, Jusuf Nurkic","Hollis-Jefferson, Powell, Simons, McCollum, Nurkic",1626178-1626181-1629014-203468-203994,POR,198.0,1,3.0,5.0,7.0,7.0,14.0,1.0,3.0,,2.0,1.0,3.0,3.0,5.0,10.0,5.0,,2.0,1.0,,1.0,,3.0,,2.0,5.0,1.0,,2.0,3.0,5.0,7.0,2.0,7.0,,,0.3333333333333333,0.4166666666666667,0.5555555555555556,0.5,0.3333333333333333,,,0.5,,101.81818181818183,14.0,14.285714285714286,12.0,13.857142857142858,0.5,0.3333333333333333,0.5,,,0.3333333333333333,1.0,0.5371,0.2857142857142857,0.5,2.033333333333333,24.866666666666664,7.0,6.0,3.0,,,1.0,1.0,2.0,2.0,1.0,1.0,3.0,,,1.0,1.0,1.0,,,,,7.0,,,,1.0,0.5,0.5,0.5,,1.0,,,,,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,,,1.0,,1.0,,,3.0,3.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,1.0,0.3333333333333333,0.3333333333333333,,0.5,0.5,0.5,0.5,,,,,,1.0,1.0,1.0,,,,,,0.499075,,0.3,1.0,3.0,,2.0,1.0,3.0,1.0,3.0,10.0,,1.0,1.0,,,,2.0,10.0,2.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5555555555555556,0.3333333333333333,1.0,1.0,,,,0.5,0.3333333333333333,0.3333333333333333,,0.5371,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,False
1626178-1626181-1629014-203468-2546,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Anfernee Simons, CJ McCollum, Carmelo Anthony","Hollis-Jefferson, Powell, Simons, McCollum, Anthony",1626178-1626181-1629014-203468-2546,POR,31.0,2,1.0,5.0,2.0,1.0,3.0,1.0,2.0,,1.0,1.0,2.0,1.0,,5.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,5.0,,,0.5,0.8333333333333334,0.8333333333333334,0.3333333333333333,,,,,,139.3548387096774,10.5,10.0,10.5,10.0,0.6666666666666666,0.5,0.5,,,0.3333333333333333,1.0,0.48941666666666667,,,3.05,25.1,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.3653,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,False
1626178-1626181-1629642-203468-203496,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Nassir Little, CJ McCollum, Robert Covington","Hollis-Jefferson, Powell, Little, McCollum, Covington",1626178-1626181-1629642-203468-203496,POR,56.0,1,1.0,-1.0,3.0,2.0,5.0,,,,2.0,,,3.0,,,1.0,,2.0,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,1.0,,,,1.0,,128.57142857142856,11.333333333333334,11.0,11.333333333333334,11.0,,,,,,0.6666666666666666,1.0,0.54945,,,,26.2,,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,False
1626178-1626181-1629642-203468-2546,1610612757,"Rondae Hollis-Jefferson, Norman Powell, Nassir Little, CJ McCollum, Carmelo Anthony","Hollis-Jefferson, Powell, Little, McCollum, Anthony",1626178-1626181-1629642-203468-2546,POR,382.0,1,6.0,-4.0,11.0,11.0,22.0,2.0,3.0,,5.0,3.0,5.0,7.0,1.0,13.0,17.0,4.0,5.0,1.0,2.0,3.0,2.0,7.0,,2.0,4.0,1.0,,1.0,3.0,3.0,2.0,1.0,12.0,0.6666666666666666,0.6666666666666666,0.6,0.5,0.5,0.5833333333333334,0.2,,,0.6666666666666666,,82.93193717277488,20.09090909090909,14.636363636363637,17.454545454545453,14.636363636363637,0.25,0.6666666666666666,1.0,1.0,,0.4166666666666667,0.8333333333333334,0.47566250000000004,0.07692307692307693,0.16666666666666666,8.379999999999999,25.514285714285712,9.0,4.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,9.0,1.0,,,0.6666666666666666,0.2,0.2857142857142857,0.3333333333333333,,1.0,,,,0.16666666666666666,0.16666666666666666,1.0,0.8181818181818182,,,,,,1.0,,2.0,2.0,,1.0,1.0,3.0,,2.0,1.0,1.0,,,1.0,,1.0,,,,,,,0.5,0.2857142857142857,0.2857142857142857,,,0.16666666666666666,0.5,1.0,,,0.5,0.5,,,,,0.4,0.4,0.5,,0.4,0.5124,,0.07692307692307693,1.0,1.0,2.0,3.0,2.0,3.0,2.0,5.0,11.0,,,,,,,,11.0,,0.4,0.6666666666666666,0.625,0.6111111111111112,0.3333333333333333,,,0.5,,,0.125,1.0,0.375,0.6666666666666666,0.47076875,0.8461538461538461,,,,2.0,,1.0,,,,,,,0.25,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2021,2020-21,False
