EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,FoulsDrawn,Offensive Fouls Drawn,PenaltyOffPoss,PenaltyArc3FGA,PenaltyFG3A,Fg3aBlocked,BadPassSteals,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,FG3APctBlocked,Arc3PctBlocked,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,Fg2aBlocked,TwoPtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,FTDefRebounds,BadPassTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls Drawn,FTA,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,Blocked2s,BlockedShortMidRange,Blocks,PenaltyFtPoints,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Offensive Fouls,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,HeaveAttempts,Charge Fouls Drawn,Loose Ball Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,StepOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,SecondChanceFtPoints,Technical Free Throw Trips,Blocked3s,BlockedCorner3,BlockedArc3,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1627789-1628455-1628993-1629617-204020,1610612751,"Timothe Luwawu-Cabarrot, Mike James, Alize Johnson, Reggie Perry, Tyler Johnson","Luwawu-Cabarrot, James, Johnson, Perry, Johnson",1627789-1628455-1628993-1629617-204020,BKN,307.0,2,5.0,2.0,12.0,12.0,11.0,1.0,24.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,5.0,8.0,1.0,4.0,13.0,11.0,1.0,2.0,2.0,10.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,6.0,3.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,11.0,1.0,0.25,0.25,0.625,0.5,0.5416666666666666,0.5,0.5416666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.16666666666666666,112.57328990228014,14.666666666666666,10.916666666666666,14.416666666666666,10.916666666666666,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.5,0.08333333333333333,1.0,1.0,0.3333333333333333,0.25,0.25,1.0,1.0,0.5,0.5833333333333334,0.25,0.5009041666666666,0.564,0.15384615384615385,6.975,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1627789-1628455-1628993-1629651-204020,1610612751,"Timothe Luwawu-Cabarrot, Mike James, Alize Johnson, Nicolas Claxton, Tyler Johnson","Luwawu-Cabarrot, James, Johnson, Claxton, Johnson",1627789-1628455-1628993-1629651-204020,BKN,31.0,1,1.0,3.0,1.0,1.0,,,2.0,,,,,,,,,1.0,1.0,,,1.0,1.0,3.0,,,,,,3.0,,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,,,1.5,,1.5,,1.0,,,,,,,,,,,,,,,,92.9032258064516,12.0,19.0,12.0,19.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,0.52455,,,,26.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1627789-1628455-1629013-1629185-204020,1610612751,"Timothe Luwawu-Cabarrot, Mike James, Landry Shamet, Chris Chiozza, Tyler Johnson","Luwawu-Cabarrot, James, Shamet, Chiozza, Johnson",1627789-1628455-1629013-1629185-204020,BKN,111.0,2,2.0,,4.0,3.0,3.0,,7.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,90.8108108108108,22.25,7.333333333333333,22.25,7.333333333333333,,,,,,,,,,1.0,,,,,,1.0,,0.445275,,,,26.0,,,4.0,2.0,2.0,1.0,1.0,1.0,4.0,0.5,0.5,1.0,0.445275,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1627789-1628993-1629185-1629617-204020,1610612751,"Timothe Luwawu-Cabarrot, Alize Johnson, Chris Chiozza, Reggie Perry, Tyler Johnson","Luwawu-Cabarrot, Johnson, Chiozza, Perry, Johnson",1627789-1628993-1629185-1629617-204020,BKN,1023.0,4,17.0,7.0,38.0,37.0,22.0,9.0,75.0,5.0,8.0,2.0,3.0,4.0,8.0,1.0,6.0,4.0,11.0,10.0,22.0,5.0,16.0,37.0,30.0,4.0,5.0,11.0,10.0,9.0,4.0,11.0,4.0,3.0,8.0,2.0,19.0,4.0,4.0,6.0,7.0,14.0,8.0,22.0,,5.0,2.0,3.0,5.0,1.0,,8.0,3.0,7.0,26.0,0.6,0.3125,0.3125,0.45454545454545453,0.8,0.4605263157894737,0.6875,0.4868421052631579,0.6875,0.42105263157894735,0.375,1.0,0.36363636363636365,0.75,0.4,0.8666666666666667,0.38095238095238093,0.3333333333333333,0.5,0.5,1.0,1.0,0.7142857142857143,1.0,,105.57184750733137,13.31578947368421,13.972972972972974,11.789473684210526,13.513513513513514,0.21052631578947367,0.625,0.8333333333333334,0.21052631578947367,0.5,0.6666666666666666,0.15789473684210525,0.16666666666666666,0.2,0.2894736842105263,0.36363636363636365,0.36363636363636365,0.5,0.375,0.6666666666666666,0.631578947368421,0.36363636363636365,0.4600434210526315,0.40191999999999994,0.2972972972972973,8.4,25.56875,4.0,,6.0,1.0,1.0,,3.0,1.0,6.0,,,0.2,0.39394,0.15789473684210525,1.0,2.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,10.0,6.0,5.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.5,0.625,0.3333333333333333,0.25,0.2,0.2,0.22727272727272727,0.25,0.25,0.16666666666666666,0.5,0.25,0.25,1.0,0.6,0.25,1.0,0.13157894736842105,0.2,0.2,1.0,0.5,0.125,0.25,0.5,1.0,0.4,0.5,0.05405405405405406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1628971-1629013-1629651-201142,1610612751,"Mike James, Bruce Brown, Landry Shamet, Nicolas Claxton, Kevin Durant","James, Brown, Shamet, Claxton, Durant",1628455-1628971-1629013-1629651-201142,BKN,47.0,1,1.0,-1.0,1.0,2.0,2.0,,3.0,,,,,,,1.0,1.0,,,1.0,1.0,,,2.0,3.0,,,,,,,,,,1.0,,2.0,,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,2.0,,,,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,91.91489361702128,10.0,18.5,10.0,18.5,,,,,,,1.0,1.0,1.0,,,,,,,,,0.4359,,,14.8,,,,1.0,,,,,,1.0,,,,0.4359,1.0,,,,,,,,,,,1.0,1.0,2.0,2.0,,,1.0,,,,1.0,,,,,,,,,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1628971-1629013-1629651-204020,1610612751,"Mike James, Bruce Brown, Landry Shamet, Nicolas Claxton, Tyler Johnson","James, Brown, Shamet, Claxton, Johnson",1628455-1628971-1629013-1629651-204020,BKN,272.0,2,5.0,-6.0,8.0,8.0,,2.0,16.0,,2.0,,,2.0,2.0,,,,4.0,2.0,4.0,,5.0,4.0,10.0,,,,4.0,,,4.0,,,,,,1.0,1.0,1.0,2.0,3.0,2.0,5.0,,,,1.0,,,,1.0,,1.0,4.0,,,,0.5,,0.2222222222222222,,0.2222222222222222,,0.5555555555555556,1.0,0.5,0.5,1.0,0.2,0.6,0.2857142857142857,0.5,,0.25,,1.0,1.0,,,84.70588235294117,23.375,10.625,21.5,10.375,0.2222222222222222,,,0.2222222222222222,1.0,1.0,,,,0.4444444444444444,,,,,,0.7777777777777778,,0.4597555555555556,,,4.6,25.9,1.0,,,,,1.0,,,,0.2,0.25,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.1111111111111111,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1628971-1629013-201933-203925,1610612751,"Mike James, Bruce Brown, Landry Shamet, Blake Griffin, Joe Harris","James, Brown, Shamet, Griffin, Harris",1628455-1628971-1629013-201933-203925,BKN,189.0,1,3.0,3.0,6.0,5.0,,1.0,11.0,2.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,3.0,5.0,1.0,2.0,9.0,6.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,7.0,,1.0,,2.0,2.0,1.0,3.0,,,,,,,,,,1.0,7.0,1.0,0.5,0.5,0.6,1.0,0.6428571428571429,1.0,0.6428571428571429,1.0,0.2857142857142857,,0.6666666666666666,0.5,,,0.6666666666666666,0.3333333333333333,1.0,,,,0.5,,,,83.80952380952381,15.0,19.8,15.0,18.2,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.14285714285714285,1.0,1.0,0.14285714285714285,,,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,0.7142857142857143,0.5,0.5660928571428572,0.7509,0.2222222222222222,4.9799999999999995,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,1.0,1.0,,,,,,,,,,,,0.6666666666666666,1.0,,,,,,,,,,,,1.0,0.5,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1628971-1629013-201935-204020,1610612751,"Mike James, Bruce Brown, Landry Shamet, James Harden, Tyler Johnson","James, Brown, Shamet, Harden, Johnson",1628455-1628971-1629013-201935-204020,BKN,2.0,1,,-1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1628971-1629651-201142-202681,1610612751,"Mike James, Bruce Brown, Nicolas Claxton, Kevin Durant, Kyrie Irving","James, Brown, Claxton, Durant, Irving",1628455-1628971-1629651-201142-202681,BKN,187.0,1,3.0,6.0,6.0,5.0,1.0,,11.0,,,,,2.0,2.0,,,,1.0,2.0,2.0,,2.0,6.0,,,,,2.0,,,1.0,,,1.0,,2.0,,,2.0,3.0,5.0,,5.0,,,,1.0,,1.0,,1.0,,1.0,6.0,,,,1.0,,0.5,,0.6,,0.5,1.0,0.75,,1.0,,0.8333333333333334,,,,,0.75,,1.0,1.0,,84.70588235294117,15.0,19.4,15.0,16.2,,,,0.5,1.0,1.0,,,,0.25,,,,,,0.5,,0.5149625,,,10.45,24.35,3.0,,1.0,,,,,,1.0,,,,,0.16666666666666666,,,,1.0,,,,2.0,,,,,2.0,2.0,,,1.0,,,1.0,,,,,,,,2.0,,2.0,,0.5,0.5,,,,1.0,,,,,,,,,,0.5,,0.25,,,,,,,,,,,0.3333333333333333,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
1628455-1628971-201142-201145-203925,1610612751,"Mike James, Bruce Brown, Kevin Durant, Jeff Green, Joe Harris","James, Brown, Durant, Green, Harris",1628455-1628971-201142-201145-203925,BKN,112.0,1,2.0,,4.0,4.0,,,8.0,,,,,1.0,2.0,,,,,1.0,2.0,,,4.0,4.0,,,,,,,,,,1.0,,2.0,,,1.0,1.0,2.0,,2.0,,,,1.0,,,,1.0,,1.0,4.0,,,,0.5,,0.5,,0.6666666666666666,,,1.0,0.5,,1.0,,0.6666666666666666,,,,,,1.0,1.0,,,102.85714285714286,9.75,18.25,9.75,18.25,,,,1.0,0.5,1.0,,,,,,,,,,,,0.4006,,,8.1,,2.0,,1.0,,,,,,1.0,,,,,0.25,,,,,,,,2.0,,,,,2.0,2.0,,1.0,1.0,,,1.0,,,1.0,,,,,2.0,,2.0,,1.0,1.0,,,,1.0,0.5,,0.5,,,,,,,1.0,,,,,,,,,,,,,0.5,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2021,2020-21,False
