EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyArc3FGA,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,DefThreePtRebounds,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PtsAssisted2s,TwoPtAssists,AtRimAssists,LiveBallTurnovers,BadPassTurnovers,Fouls,Clear Path Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,DefArc3ReboundPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,FTDefRebounds,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,Travels,PenaltyTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,Corner3Assists,LostBallTurnovers,StepOutOfBoundsTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,ShortMidRangePctBlocked,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,PtsUnassisted3s,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,Arc3PctBlocked,Charge Fouls,BlockedAtRim,Loose Ball Fouls Drawn,LostBallOutOfBoundsTurnovers,3SecondViolations,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,OffLongMidRangeReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,HeaveAttempts,Blocked3s,BlockedArc3,LongMidRangePctBlocked,OffensiveGoaltends,Defensive 3 Seconds Violations,BlockedCorner3,team_id,year,season,team_vs
1626171-1626192-1627854-1628978-203507,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Donte DiVincenzo, Giannis Antetokounmpo","Portis, Connaughton, Forbes, DiVincenzo, Antetokounmpo",1626171-1626192-1627854-1628978-203507,MIL,198.0,2,3.0,1.0,6.0,5.0,3.0,11.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,5.0,2.0,7.0,6.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,0.2,0.2,0.5,0.35714285714285715,0.4375,0.5,0.7142857142857143,0.5,0.5,1.0,0.75,0.3333333333333333,0.6,0.6666666666666666,1.0,1.0,80.0,18.5,17.4,16.166666666666668,16.4,0.2857142857142857,0.5,1.0,0.14285714285714285,0.5714285714285714,0.25,0.25,1.0,1.0,1.0,0.25,0.5223928571428572,0.125,0.3333333333333333,0.2857142857142857,2.45,26.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-1629091-203648,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Elijah Bryant, Thanasis Antetokounmpo","Portis, Connaughton, Forbes, Bryant, Antetokounmpo",1626171-1626192-1627854-1629091-203648,MIL,94.0,1,2.0,1.0,3.0,3.0,,6.0,,,,,2.0,,,,,2.0,3.0,3.0,2.0,,,,,,2.0,,,,,,,,1.0,2.0,,2.0,,,,,,,2.0,4.0,1.0,3.0,,,,,,0.375,,1.0,,,1.0,,1.0,,,,,91.91489361702128,20.666666666666668,10.666666666666666,20.666666666666668,10.666666666666666,,,,,1.0,,,,,1.0,,0.499425,0.3333333333333333,1.0,,,27.5,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,0.499425,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-200782-201950,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, P.J. Tucker, Jrue Holiday","Portis, Connaughton, Forbes, Tucker, Holiday",1626171-1626192-1627854-200782-201950,MIL,291.0,4,5.0,-4.0,10.0,10.0,1.0,20.0,2.0,2.0,,3.0,6.0,,2.0,2.0,3.0,6.0,,13.0,17.0,,,,2.0,9.0,6.0,3.0,,3.0,4.0,3.0,11.0,1.0,2.0,3.0,1.0,4.0,,,,,2.0,1.0,,,,13.0,1.0,0.5,0.5,1.0,0.8125,0.8125,,0.75,,,0.5,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.3333333333333333,,1.0,98.96907216494846,11.8,17.3,11.5,16.9,0.25,1.0,1.0,,0.75,0.5,0.5,1.0,,1.0,0.5,0.48113125,,,,2.95,27.016666666666666,5.0,2.0,2.0,,7.0,1.0,,7.0,5.0,,0.875,0.3333333333333333,0.5,,0.5,0.458225,0.5384615384615384,0.5,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.875,1.0,0.3333333333333333,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-200782-201952,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, P.J. Tucker, Jeff Teague","Portis, Connaughton, Forbes, Tucker, Teague",1626171-1626192-1627854-200782-201952,MIL,24.0,1,,,1.0,2.0,,3.0,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,180.0,19.0,2.5,19.0,2.5,,,,,1.0,,,,,1.0,,0.4521,,,,,27.4,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,0.4521,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-201572-201950,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Brook Lopez, Jrue Holiday","Portis, Connaughton, Forbes, Lopez, Holiday",1626171-1626192-1627854-201572-201950,MIL,461.0,3,8.0,16.0,14.0,14.0,5.0,28.0,3.0,6.0,1.0,1.0,2.0,,8.0,13.0,1.0,3.0,3.0,22.0,6.0,,3.0,9.0,10.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,9.0,1.0,4.0,10.0,6.0,16.0,,,,2.0,3.0,1.0,2.0,4.0,1.0,13.0,1.0,0.3333333333333333,0.3333333333333333,0.6153846153846154,0.59375,0.6111111111111112,0.75,0.1875,0.07692307692307693,0.16666666666666666,0.8,0.5,0.9090909090909091,0.8571428571428571,1.0,,1.0,87.46203904555314,12.357142857142858,20.571428571428573,11.0,20.285714285714285,0.375,0.5,0.6,0.0625,0.125,0.5,0.5,1.0,,0.5625,0.5,0.54600625,0.058823529411764705,0.07142857142857142,0.4090909090909091,5.269230769230769,24.333333333333332,6.0,,,3.0,9.0,6.0,1.0,9.0,6.0,1.0,0.5,1.0,1.0,1.0,,0.5731714285714286,0.4090909090909091,0.42857142857142855,4.0,1.0,4.0,,3.0,7.0,,6.0,3.0,,1.0,1.0,2.0,,0.375,0.6,,0.42857142857142855,0.42857142857142855,0.3333333333333333,1.0,,0.5714285714285714,0.25,,,,3.0,4.0,4.0,6.0,1.0,1.0,3.0,4.0,6.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.75,0.75,1.0,1.0,1.0,0.5,0.16666666666666666,0.375,0.6666666666666666,0.6666666666666666,0.5,0.0625,1.0,1.0,1.0,1.0,0.75,0.7773333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-201950-203114,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jrue Holiday, Khris Middleton","Portis, Connaughton, Forbes, Holiday, Middleton",1626171-1626192-1627854-201950-203114,MIL,900.0,8,15.0,-3.0,34.0,33.0,9.0,67.0,5.0,10.0,3.0,2.0,11.0,,11.0,24.0,3.0,14.0,3.0,34.0,37.0,2.0,,13.0,18.0,9.0,11.0,2.0,4.0,3.0,5.0,2.0,13.0,4.0,7.0,12.0,10.0,22.0,1.0,1.0,,2.0,5.0,,7.0,4.0,2.0,21.0,1.0,0.21428571428571427,0.21428571428571427,0.4583333333333333,0.40789473684210525,0.4230769230769231,0.7222222222222222,0.3684210526315789,0.16666666666666666,0.1,0.875,0.4,0.7857142857142857,0.45454545454545453,0.5,,0.6666666666666666,107.2,14.676470588235293,12.151515151515152,13.823529411764707,11.606060606060606,0.2631578947368421,0.5,0.5555555555555556,0.07894736842105263,0.2894736842105263,0.18181818181818182,0.18181818181818182,1.0,,0.631578947368421,0.18181818181818182,0.5041513157894737,0.05128205128205128,0.08,0.38235294117647056,6.695833333333333,25.32857142857143,20.0,9.0,11.0,1.0,24.0,4.0,,24.0,20.0,,0.46,0.6666666666666666,1.0,1.0,0.36,0.508622,0.7058823529411765,0.5882352941176471,21.0,4.0,7.0,2.0,7.0,14.0,3.0,4.0,2.0,,3.0,2.0,8.0,,0.18181818181818182,0.2857142857142857,0.2727272727272727,0.5,0.46,0.6,0.6,,0.28,0.5714285714285714,0.2222222222222222,1.0,1.0,4.0,6.0,6.0,12.0,,2.0,5.0,7.0,8.0,2.0,,6.0,2.0,,,1.0,0.7142857142857143,0.7222222222222222,0.5,0.6,0.5,1.0,0.1111111111111111,0.3157894736842105,0.5,0.6666666666666666,0.3333333333333333,0.05263157894736842,,,,0.6666666666666666,0.6666666666666666,0.58403,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.5,0.25,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2222222222222222,0.5,1.0,0.08,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-201950-203507,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jrue Holiday, Giannis Antetokounmpo","Portis, Connaughton, Forbes, Holiday, Antetokounmpo",1626171-1626192-1627854-201950-203507,MIL,990.0,10,16.0,1.0,34.0,33.0,6.0,67.0,6.0,9.0,4.0,4.0,15.0,1.0,10.0,15.0,6.0,19.0,3.0,41.0,40.0,1.0,2.0,9.0,12.0,9.0,15.0,4.0,,3.0,7.0,1.0,17.0,5.0,4.0,10.0,8.0,18.0,3.0,3.0,,3.0,6.0,,8.0,8.0,5.0,32.0,0.5,0.3157894736842105,0.3157894736842105,0.6666666666666666,0.5588235294117647,0.5540540540540541,0.5625,0.5588235294117647,,,0.8,0.4166666666666667,0.6666666666666666,0.4117647058823529,0.5,,,97.45454545454545,13.970588235294118,15.606060606060606,12.676470588235293,14.787878787878787,0.2647058823529412,0.6666666666666666,0.6666666666666666,0.11764705882352941,0.4411764705882353,0.26666666666666666,0.26666666666666666,0.25,0.16666666666666666,0.8235294117647058,0.26666666666666666,0.5395955882352942,0.13513513513513514,0.2777777777777778,0.21951219512195122,5.84,25.973684210526315,12.0,5.0,9.0,,18.0,6.0,,18.0,12.0,,0.6428571428571429,0.6,0.5,1.0,0.35714285714285715,0.5470357142857143,0.43902439024390244,0.35294117647058826,14.0,2.0,3.0,2.0,3.0,5.0,4.0,8.0,4.0,3.0,3.0,,5.0,,0.4,0.4444444444444444,0.4444444444444444,0.6,0.6428571428571429,0.5,0.5,0.5,0.21428571428571427,0.6666666666666666,0.4,,,1.0,2.0,3.0,5.0,1.0,1.0,2.0,5.0,2.0,1.0,,2.0,1.0,3.0,,,0.4,0.5833333333333334,0.4,0.3333333333333333,0.5,1.0,0.0625,0.14705882352941177,0.6,0.6,0.3333333333333333,0.029411764705882353,1.0,1.0,,0.3333333333333333,0.5,0.470475,2.0,,,2.0,4.0,1.0,2.0,3.0,,,,,,2.0,2.0,,,,,,2.0,1.0,,,0.5,0.6666666666666666,1.0,,,,0.2857142857142857,0.5,1.0,9.0,1.0,1.0,0.05263157894736842,0.25,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-201950-203648,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jrue Holiday, Thanasis Antetokounmpo","Portis, Connaughton, Forbes, Holiday, Antetokounmpo",1626171-1626192-1627854-201950-203648,MIL,132.0,2,2.0,,6.0,6.0,,12.0,2.0,2.0,1.0,,2.0,,2.0,2.0,1.0,3.0,,7.0,7.0,,,,2.0,3.0,2.0,,,1.0,2.0,,5.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,7.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.7,0.7,,0.6,,,,,1.0,,,,,130.9090909090909,12.666666666666666,9.333333333333334,12.666666666666666,9.333333333333334,0.4,1.0,1.0,0.2,0.4,,,,,1.0,,0.61882,,,,1.65,24.266666666666666,2.0,,1.0,,3.0,1.0,,3.0,2.0,,1.5,1.0,,,,0.65205,0.42857142857142855,0.3333333333333333,5.0,,,,,,1.0,2.0,1.0,1.0,,,4.0,,0.5,0.5,1.0,,1.5,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-201952-203114,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jeff Teague, Khris Middleton","Portis, Connaughton, Forbes, Teague, Middleton",1626171-1626192-1627854-201952-203114,MIL,144.0,1,2.0,-6.0,4.0,5.0,,9.0,,,,,1.0,,1.0,2.0,,1.0,2.0,4.0,10.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,4.0,,,,0.5,0.3333333333333333,0.5,,0.3333333333333333,,,,,,,,,,90.0,18.0,14.4,18.0,14.4,,,,,0.3333333333333333,,,,,0.3333333333333333,,0.3827666666666667,0.25,0.3333333333333333,,10.35,26.1,3.0,1.0,1.0,,2.0,,,2.0,3.0,,0.3333333333333333,,,,0.3333333333333333,0.3827666666666667,0.5,0.75,2.0,,,,1.0,2.0,,,,,,,1.0,,,,,0.5,0.3333333333333333,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-201952-203507,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jeff Teague, Giannis Antetokounmpo","Portis, Connaughton, Forbes, Teague, Antetokounmpo",1626171-1626192-1627854-201952-203507,MIL,35.0,1,1.0,,1.0,1.0,,2.0,1.0,1.0,,,,,1.0,1.0,,,,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,82.28571428571428,15.0,20.0,15.0,20.0,1.0,1.0,1.0,,,,,,,1.0,,0.5672,,,,2.1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
