EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Travels,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,BlockedAtRim,DefCorner3ReboundPct,LongMidRangeAssists,ShortMidRangePctBlocked,LongMidRangePctAssisted,PenaltyArc3FGM,LostBallSteals,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Clear Path Fouls,Offensive Fouls Drawn,SecondChanceFg3Pct,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Loose Ball Fouls,DefensiveGoaltends,Charge Fouls Drawn,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,3SecondViolations,Defensive 3 Seconds Violations,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,BlockedLongMidRange,Corner3PctBlocked,OffensiveGoaltends,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,BlockedCorner3,HeaveMakes,team_id,year,season,team_vs
1626153-1626158-1627741-1628368-203084,1610612758,"Delon Wright, Richaun Holmes, Buddy Hield, De'Aaron Fox, Harrison Barnes","Wright, Holmes, Hield, Fox, Barnes",1626153-1626158-1627741-1628368-203084,SAC,1263.0,6,21.0,1.0,41.0,42.0,9.0,8.0,7.0,83.0,7.0,13.0,2.0,3.0,2.0,2.0,3.0,10.0,4.0,2.0,3.0,2.0,2.0,5.0,16.0,4.0,1.0,10.0,27.0,7.0,19.0,5.0,46.0,45.0,2.0,5.0,4.0,1.0,5.0,3.0,3.0,2.0,3.0,4.0,16.0,8.0,12.0,15.0,6.0,2.0,16.0,5.0,4.0,4.0,5.0,9.0,4.0,1.0,4.0,23.0,3.0,10.0,8.0,9.0,2.0,19.0,13.0,32.0,3.0,4.0,4.0,3.0,1.0,2.0,3.0,1.0,6.0,2.0,1.0,5.0,10.0,1.0,5.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,41.0,16.0,9.0,1.0,1.0,0.4,0.4444444444444444,0.7142857142857143,0.3684210526315789,0.6666666666666666,0.3684210526315789,0.37037037037037035,0.4,1.0,0.44565217391304346,0.2222222222222222,1.0,0.46938775510204084,0.25,1.0,0.41304347826086957,0.14814814814814814,0.3076923076923077,0.5,1.0,0.8181818181818182,0.625,0.8888888888888888,0.25,0.85,0.4642857142857143,0.4,0.7142857142857143,0.75,0.2727272727272727,0.8571428571428571,0.6666666666666666,1.0,0.8888888888888888,0.12,94.63182897862232,0.5,15.609756097560975,14.833333333333334,13.975609756097562,14.214285714285714,0.2826086956521739,0.5384615384615384,0.7777777777777778,0.5714285714285714,0.21739130434782608,0.3,0.3,0.08695652173913043,0.06521739130434782,0.6666666666666666,0.6666666666666666,0.5,0.34782608695652173,0.3125,0.3125,0.8,0.3333333333333333,0.6666666666666666,0.5,0.4444444444444444,0.3333333333333333,1.0,0.3333333333333333,1.0,0.16666666666666666,0.6956521739130435,0.3125,0.5292141304347826,0.5662166666666667,0.6057083333333334,0.0625,0.10344827586206896,0.10869565217391304,0.34782608695652173,7.0888888888888895,25.21578947368421,0.21951219512195122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2021,2020-21,True
1626153-1626158-1627741-1628368-203090,1610612758,"Delon Wright, Richaun Holmes, Buddy Hield, De'Aaron Fox, Maurice Harkless","Wright, Holmes, Hield, Fox, Harkless",1626153-1626158-1627741-1628368-203090,SAC,206.0,1,3.0,-1.0,7.0,8.0,2.0,3.0,1.0,15.0,1.0,1.0,,,,,,,2.0,,,,,,2.0,,1.0,3.0,3.0,,2.0,2.0,8.0,9.0,,,,2.0,2.0,1.0,1.0,,1.0,,2.0,,6.0,,,,2.0,,,,,,,,,,1.0,,1.0,,,1.0,1.0,2.0,,3.0,3.0,,,,2.0,,2.0,,,,1.0,,1.0,,2.0,,1.0,,1.0,,,1.0,1.0,,6.0,2.0,2.0,,,,,,,,,1.0,,1.0,0.6,,0.5,0.6666666666666666,1.0,0.5,0.4,,,,,,,1.0,0.5,0.25,0.5,,,,0.5,,,,1.0,,104.85436893203884,,13.857142857142858,13.625,13.857142857142858,13.0,0.2,1.0,1.0,,,,,0.4,,,,,0.4,,,,,,,,,,,,0.5,0.6,,0.50691,,0.40005,0.16666666666666666,0.25,0.25,0.25,10.966666666666667,25.65,0.2857142857142857,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2021,2020-21,True
1626153-1626158-1627741-1628963-1629056,1610612758,"Delon Wright, Richaun Holmes, Buddy Hield, Marvin Bagley III, Terence Davis","Wright, Holmes, Hield, Bagley III, Davis",1626153-1626158-1627741-1628963-1629056,SAC,327.0,2,5.0,-6.0,11.0,10.0,,,3.0,21.0,,1.0,,,,,,4.0,,,,,,1.0,5.0,2.0,,,5.0,1.0,5.0,1.0,4.0,10.0,,,2.0,1.0,1.0,,,,,,,,,3.0,,,5.0,1.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,1.0,4.0,1.0,,5.0,2.0,7.0,,,,,1.0,,2.0,,2.0,,,1.0,1.0,,1.0,,2.0,,1.0,,1.0,,,,1.0,,3.0,,,,,,,1.0,0.2,,0.2,,,,0.15,,,0.18181818181818182,0.16666666666666666,,0.5,0.2,1.0,,,0.25,0.2,1.0,0.25,0.625,0.2222222222222222,,0.25,,0.25,,0.5,,1.0,,92.47706422018348,,16.545454545454547,14.5,14.090909090909092,13.3,0.1,,,,0.4,,,,,,,,0.5,0.2,0.2,1.0,,,,1.0,,,,,,0.6,0.2,0.488425,0.54555,,0.09090909090909091,0.16666666666666666,0.25,,6.640000000000001,25.580000000000002,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2021,2020-21,True
1626153-1626158-1627741-1628963-1629713,1610612758,"Delon Wright, Richaun Holmes, Buddy Hield, Marvin Bagley III, Justin James","Wright, Holmes, Hield, Bagley III, James",1626153-1626158-1627741-1628963-1629713,SAC,512.0,3,9.0,4.0,16.0,14.0,4.0,,2.0,30.0,1.0,3.0,,,,,,1.0,4.0,1.0,1.0,,,1.0,3.0,,2.0,4.0,8.0,2.0,4.0,2.0,16.0,12.0,,,,,,1.0,2.0,,2.0,,2.0,4.0,4.0,6.0,,,3.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,10.0,1.0,,5.0,3.0,,8.0,1.0,9.0,,1.0,1.0,2.0,1.0,,3.0,2.0,5.0,2.0,2.0,1.0,1.0,,1.0,,2.0,,1.0,,1.0,,,,1.0,1.0,16.0,2.0,4.0,,,0.5,0.5,1.0,0.5,,0.5,0.5,,0.5,0.5833333333333334,,0.25,0.6153846153846154,,0.25,0.3333333333333333,0.125,,0.4,,0.42857142857142855,,0.8333333333333334,0.5,0.6153846153846154,0.2,,,,0.5,0.6666666666666666,,0.5,0.8,,84.375,1.0,12.5625,22.214285714285715,12.375,20.428571428571427,0.25,0.3333333333333333,0.3333333333333333,1.0,0.08333333333333333,,,0.3333333333333333,0.08333333333333333,1.0,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,0.5,0.5833333333333334,0.3333333333333333,0.5078916666666666,,0.4775125,0.07692307692307693,0.1111111111111111,,0.125,9.275,26.075,0.25,3.0,,0.75,0.75,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2021,2020-21,True
1626153-1626158-1627741-1628963-1630169,1610612758,"Delon Wright, Richaun Holmes, Buddy Hield, Marvin Bagley III, Tyrese Haliburton","Wright, Holmes, Hield, Bagley III, Haliburton",1626153-1626158-1627741-1628963-1630169,SAC,182.0,2,3.0,1.0,6.0,5.0,4.0,2.0,1.0,11.0,1.0,1.0,,,1.0,1.0,2.0,2.0,,,,,,1.0,3.0,,3.0,3.0,3.0,1.0,3.0,,9.0,8.0,,,,,,1.0,1.0,1.0,3.0,,5.0,,6.0,3.0,,,3.0,1.0,,,1.0,1.0,1.0,,,3.0,1.0,,,,,,1.0,1.0,,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,,9.0,5.0,4.0,,,,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,1.0,0.75,,0.625,0.75,,0.625,0.5,,,1.0,,,,,0.5,,0.5,,,,0.5,,,,,,87.03296703296704,,17.666666666666668,15.2,15.833333333333334,15.2,0.16666666666666666,1.0,1.0,,0.3333333333333333,1.0,1.0,,,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,,0.25,1.0,,,0.75,0.6666666666666666,0.3333333333333333,0.5218666666666667,,0.5863,,,,0.5555555555555556,8.200000000000001,26.366666666666664,0.6666666666666666,,,,,,,,,,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2021,2020-21,True
1626153-1626158-1627741-1628963-203090,1610612758,"Delon Wright, Richaun Holmes, Buddy Hield, Marvin Bagley III, Maurice Harkless","Wright, Holmes, Hield, Bagley III, Harkless",1626153-1626158-1627741-1628963-203090,SAC,4211.0,5,70.0,-16.0,141.0,140.0,8.0,8.0,23.0,281.0,31.0,47.0,8.0,12.0,1.0,2.0,8.0,34.0,10.0,2.0,10.0,,2.0,9.0,35.0,6.0,5.0,43.0,91.0,11.0,45.0,17.0,136.0,152.0,10.0,18.0,6.0,1.0,30.0,1.0,2.0,2.0,7.0,,8.0,50.0,36.0,27.0,6.0,14.0,35.0,9.0,7.0,25.0,9.0,34.0,7.0,2.0,18.0,77.0,10.0,21.0,20.0,25.0,4.0,49.0,31.0,80.0,6.0,10.0,8.0,20.0,1.0,13.0,7.0,7.0,27.0,6.0,,9.0,14.0,,28.0,2.0,22.0,4.0,13.0,,6.0,,,4.0,6.0,3.0,106.0,8.0,8.0,,,0.5813953488372093,0.6944444444444444,0.8181818181818182,0.24444444444444444,0.2857142857142857,0.24444444444444444,0.4725274725274725,0.5555555555555556,0.5,0.4375,0.6041666666666666,0.4444444444444444,0.4689655172413793,0.6,0.4444444444444444,0.33088235294117646,0.07692307692307693,0.0425531914893617,0.7407407407407407,1.0,0.6944444444444444,0.4375,0.7692307692307693,0.29411764705882354,0.7258064516129032,0.3780487804878049,0.4375,0.5384615384615384,,0.2692307692307692,0.46153846153846156,0.8235294117647058,0.8333333333333334,0.75,0.08,96.09118974115411,0.5,14.929078014184396,15.042857142857143,13.808510638297872,14.82857142857143,0.34558823529411764,0.6595744680851063,0.6888888888888889,0.5806451612903226,0.25,0.23529411764705882,0.27586206896551724,0.07352941176470588,0.07352941176470588,0.2,0.2,1.0,0.25735294117647056,0.2571428571428571,0.2571428571428571,0.7777777777777778,0.5,0.6666666666666666,0.125,0.25,0.2222222222222222,0.5,0.2222222222222222,,0.5555555555555556,0.6764705882352942,0.2571428571428571,0.5321724264705883,0.5864578947368421,0.5689277777777778,0.0896551724137931,0.13,0.22058823529411764,0.058823529411764705,5.813186813186813,25.424444444444443,0.05673758865248227,4.0,2.0,0.4,0.4,2.0,0.8333333333333334,2.0,0.14705882352941177,0.5,2.0,2.0,0.4,3.0,3.0,5.0,2.0,1.0,1.0,5.0,0.5,0.375,0.625,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2021,2020-21,True
1626153-1626158-1627741-1629002-1629056,1610612758,"Delon Wright, Richaun Holmes, Buddy Hield, Chimezie Metu, Terence Davis","Wright, Holmes, Hield, Metu, Davis",1626153-1626158-1627741-1629002-1629056,SAC,308.0,2,5.0,-9.0,9.0,10.0,,,1.0,19.0,1.0,1.0,,,,,3.0,4.0,,,,,,1.0,3.0,1.0,,4.0,5.0,1.0,3.0,,11.0,20.0,,,1.0,,,,,,,,,4.0,4.0,3.0,,,3.0,1.0,,2.0,1.0,3.0,1.0,,,7.0,1.0,,,2.0,,2.0,1.0,3.0,,,,,,,2.0,,2.0,,,3.0,3.0,,1.0,,2.0,,1.0,,1.0,,,,1.0,,11.0,,,,,0.5,0.5,1.0,0.3333333333333333,,0.3333333333333333,0.8,,,0.6875,,,0.6111111111111112,,,0.375,,,,,0.6666666666666666,,,0.5,0.6666666666666666,0.3333333333333333,,,,0.5,,1.0,,,,88.83116883116882,,16.77777777777778,15.7,16.555555555555557,14.6,0.125,1.0,1.0,,0.5,0.75,0.75,,,,,,0.375,0.3333333333333333,0.3333333333333333,1.0,,,,1.0,,,,,,0.5,0.3333333333333333,0.490425,,,0.1111111111111111,0.16666666666666666,,,8.22,25.766666666666666,,,1.0,,,1.0,,,,,,,,,,2.0,1.0,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2021,2020-21,True
1626153-1626158-1627741-1629002-1629713,1610612758,"Delon Wright, Richaun Holmes, Buddy Hield, Chimezie Metu, Justin James","Wright, Holmes, Hield, Metu, James",1626153-1626158-1627741-1629002-1629713,SAC,1.0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2021,2020-21,True
1626153-1626158-1627741-1629002-203090,1610612758,"Delon Wright, Richaun Holmes, Buddy Hield, Chimezie Metu, Maurice Harkless","Wright, Holmes, Hield, Metu, Harkless",1626153-1626158-1627741-1629002-203090,SAC,1527.0,3,25.0,-8.0,51.0,53.0,5.0,10.0,5.0,104.0,6.0,15.0,2.0,4.0,2.0,6.0,10.0,14.0,5.0,2.0,3.0,,1.0,2.0,9.0,,,18.0,34.0,4.0,12.0,10.0,58.0,66.0,2.0,4.0,,1.0,5.0,3.0,7.0,,1.0,1.0,7.0,22.0,14.0,9.0,3.0,4.0,9.0,2.0,4.0,11.0,3.0,14.0,1.0,2.0,2.0,31.0,1.0,7.0,10.0,8.0,4.0,22.0,8.0,30.0,2.0,1.0,,7.0,,6.0,,1.0,7.0,2.0,,7.0,8.0,,12.0,1.0,16.0,2.0,9.0,,2.0,,,1.0,2.0,2.0,53.0,7.0,5.0,,,0.6111111111111112,0.6875,0.75,0.3333333333333333,,0.3333333333333333,0.5294117647058824,0.5,0.42857142857142855,0.5217391304347826,0.5,0.375,0.5471698113207547,0.5,0.3888888888888889,0.2608695652173913,0.11764705882352941,0.2,1.0,1.0,0.8,0.4375,0.7692307692307693,0.125,0.782608695652174,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.14285714285714285,0.75,0.8333333333333334,,0.7,0.10526315789473684,98.0746561886051,1.0,15.058823529411764,14.320754716981131,14.686274509803921,14.018867924528301,0.32608695652173914,0.4,0.5,0.3333333333333333,0.30434782608695654,0.7142857142857143,0.7692307692307693,0.10869565217391304,0.06521739130434782,0.6666666666666666,0.6666666666666666,1.0,0.1956521739130435,0.2222222222222222,0.25,0.5,1.0,0.5,,,0.75,0.3333333333333333,0.125,,,0.5869565217391305,0.2222222222222222,0.500570652173913,0.563475,0.552,0.16981132075471697,0.21951219512195122,0.08620689655172414,0.1206896551724138,6.482352941176471,24.816666666666666,0.09803921568627451,2.0,,0.4,0.4,1.0,1.0,2.0,0.07142857142857142,1.0,,1.0,,,,7.0,,,,,,,0.7,,,,1.0,0.08333333333333333,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2021,2020-21,True
1626153-1626158-1627741-1629056-1629657,1610612758,"Delon Wright, Richaun Holmes, Buddy Hield, Terence Davis, Kyle Guy","Wright, Holmes, Hield, Davis, Guy",1626153-1626158-1627741-1629056-1629657,SAC,1.0,1,,-1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2021,2020-21,True
