EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,FG2A,FtPoints,Points,OpponentPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,FG2M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyDefPoss,Arc3FGA,NonHeaveArc3FGA,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,DefCorner3ReboundPct,Arc3Frequency,FTOffRebounds,SelfOReb,LostBallTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,OffFTReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ThreePtShootingFoulsDrawnPct,SecondChanceTurnovers,OffShortMidRangeReboundPct,PenaltyOffPoss,LongMidRangeFGA,SecondChanceFtPoints,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,LongMidRangeFrequency,PenaltyShotQualityAvg,PenaltyOffPossPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,ThreePtAssists,Corner3Assists,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyPointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFtPoints,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,FTDefRebounds,Charge Fouls,SecondChanceFg3Pct,PenaltyFg2Pct,DefFTReboundPct,OffLongMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyTurnovers,DefShortMidRangeReboundPct,LongMidRangeFGM,Offensive Fouls,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShortMidRangeAssists,Technical Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangePctAssisted,Fg3aBlocked,OffThreePtRebounds,BlockedAtRim,FG3APctBlocked,Corner3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangePctBlocked,NonShootingPenaltyNonTakeFouls,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,LongMidRangeAssists,LongMidRangePctAssisted,DefensiveGoaltends,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,StepOutOfBoundsTurnovers,Arc3PctBlocked,Blocked3s,BlockedArc3,Travels,team_id,year,season,team_vs
1626149-1627936-1628398-1629659-203463,1610612747,"Montrezl Harrell, Alex Caruso, Kyle Kuzma, Talen Horton-Tucker, Ben McLemore","Harrell, Caruso, Kuzma, Horton-Tucker, McLemore",1626149-1627936-1628398-1629659-203463,LAL,52.0,1,1.0,-1.0,3.0,2.0,5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,138.46153846153845,11.666666666666666,8.5,11.666666666666666,8.5,1.0,1.0,0.6288,0.5,0.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1627936-1628398-1629659-2544,1610612747,"Montrezl Harrell, Alex Caruso, Kyle Kuzma, Talen Horton-Tucker, LeBron James","Harrell, Caruso, Kuzma, Horton-Tucker, James",1626149-1627936-1628398-1629659-2544,LAL,250.0,1,4.0,3.0,8.0,8.0,16,4.0,5.0,3.0,9.0,6.0,1.0,2.0,3.0,1.0,1.0,2.0,,,3.0,3.0,2.0,7.0,0.6428571428571429,0.5,1.0,0.5,1.0,92.16,15.25,16.0,15.25,14.625,0.6666666666666666,0.8333333333333334,0.5442583333333334,0.2857142857142857,0.3333333333333333,2.94,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.6,1.0,0.5,1.0,1.0,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.5,1.0,0.5,0.5,0.5,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.7733,0.2222222222222222,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1627936-1628398-202083-203471,1610612747,"Montrezl Harrell, Alex Caruso, Kyle Kuzma, Wesley Matthews, Dennis Schroder","Harrell, Caruso, Kuzma, Matthews, Schroder",1626149-1627936-1628398-202083-203471,LAL,131.0,1,2.0,-7.0,5.0,6.0,11,3.0,4.0,,2.0,9.0,1.0,1.0,2.0,,,,,1.0,,,,,0.16666666666666666,,1.0,1.0,,120.91603053435115,12.8,11.166666666666666,12.8,11.166666666666666,0.5,0.8333333333333334,0.6400666666666667,,,2.775,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,0.25,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.2,0.5,,0.3333333333333333,1.0,,0.16666666666666666,,,0.16666666666666666,1.0,1.0,0.8598,1.0,24.0,3.0,1.0,1.0,2.0,0.5,0.6666666666666666,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1627936-1628398-202083-2544,1610612747,"Montrezl Harrell, Alex Caruso, Kyle Kuzma, Wesley Matthews, LeBron James","Harrell, Caruso, Kuzma, Matthews, James",1626149-1627936-1628398-202083-2544,LAL,347.0,2,6.0,,10.0,10.0,20,6.0,10.0,1.0,11.0,11.0,1.0,2.0,4.0,1.0,,1.0,,1.0,5.0,4.0,1.0,9.0,0.5,1.0,0.5,0.6666666666666666,0.5,82.9971181556196,19.4,15.3,17.1,15.3,0.6,0.6,0.52332,0.18181818181818182,0.1,5.220000000000001,2.0,3.0,,,2.0,4.0,,5.0,,1.0,2.0,2.0,4.0,6.0,,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,,1.0,,,1.0,0.4,0.4,0.5,0.5,0.5,0.5,0.5,,1.0,0.2,0.2,0.3333333333333333,,0.5,0.6,0.6666666666666666,0.4,0.5,0.5,,,,0.4365,0.18181818181818182,,,,,1.0,0.1,0.16666666666666666,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1627936-1628398-203076-2544,1610612747,"Montrezl Harrell, Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James","Harrell, Caruso, Kuzma, Davis, James",1626149-1627936-1628398-203076-2544,LAL,118.0,1,2.0,-1.0,5.0,5.0,10,4.0,5.0,,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,4.0,0.4,1.0,1.0,1.0,1.0,122.03389830508475,14.8,8.8,12.6,8.8,0.8,0.8,0.66672,,,3.4799999999999995,1.0,2.0,,,,1.0,,2.0,,,,,4.0,,,2.0,2.0,2.0,4.0,1.0,,1.0,,,,,,,1.0,1.0,0.4,,0.4,,,,,0.3333333333333333,0.3333333333333333,,,0.5,0.5,1.0,0.2,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1627936-1629659-202083-2544,1610612747,"Montrezl Harrell, Alex Caruso, Talen Horton-Tucker, Wesley Matthews, LeBron James","Harrell, Caruso, Horton-Tucker, Matthews, James",1626149-1627936-1629659-202083-2544,LAL,56.0,1,1.0,-1.0,2.0,1.0,3,,2.0,1.0,1.0,2.0,,,1.0,,,,,,1.0,2.0,1.0,,0.16666666666666666,,,,,77.14285714285714,16.0,24.0,16.0,24.0,,,0.4344,0.3333333333333333,0.3333333333333333,15.25,1.0,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,0.5,,,0.5,0.5,,,,,,0.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.429,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1627936-1629659-203471-203484,1610612747,"Montrezl Harrell, Alex Caruso, Talen Horton-Tucker, Dennis Schroder, Kentavious Caldwell-Pope","Harrell, Caruso, Horton-Tucker, Schroder, Caldwell-Pope",1626149-1627936-1629659-203471-203484,LAL,37.0,1,1.0,3.0,1.0,2.0,3,,,,3.0,,1.0,1.0,1.0,,,,,,,,,3.0,1.5,,1.0,1.0,1.0,116.75675675675676,13.0,12.0,13.0,12.0,,1.0,0.5166,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,1.5,,,1.0,,,,,,,,,,,,1.0,,,,,22.6,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,0.5166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1628035-1628398-1629659-203463,1610612747,"Montrezl Harrell, Alfonzo McKinnie, Kyle Kuzma, Talen Horton-Tucker, Ben McLemore","Harrell, McKinnie, Kuzma, Horton-Tucker, McLemore",1626149-1628035-1628398-1629659-203463,LAL,404.0,1,7.0,2.0,16.0,16.0,32,4.0,11.0,3.0,15.0,13.0,7.0,10.0,12.0,1.0,,2.0,3.0,4.0,5.0,5.0,4.0,10.0,0.46875,0.5,1.0,1.0,1.0,114.05940594059406,12.9375,12.3125,12.75,12.3125,0.26666666666666666,0.5333333333333333,0.4525766666666666,0.25,0.3333333333333333,8.236363636363636,2.0,1.0,,,2.0,6.0,,3.0,4.0,,,5.0,2.0,4.0,,1.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,,,1.0,3.0,0.3333333333333333,0.3333333333333333,0.2727272727272727,,0.4,1.5,1.25,0.26666666666666666,1.0,0.25,0.2,0.3333333333333333,,0.25,0.3333333333333333,1.0,0.4,0.3333333333333333,0.3333333333333333,,,,0.57195,0.3333333333333333,25.475,8.0,4.0,4.0,1.0,0.09090909090909091,0.25,1.0,0.26666666666666666,,1.0,1.0,,,,,,1.0,0.1111111111111111,,,,9.0,1.0,2.0,7.0,9.0,0.06666666666666667,0.44793888888888894,0.5625,,,,2.0,1.0,2.0,10.0,3.0,1.0,,10.0,0.5,0.5,0.5,0.5,0.3888888888888889,0.5,,,,,,0.6666666666666666,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1628035-1629659-201162-203463,1610612747,"Montrezl Harrell, Alfonzo McKinnie, Talen Horton-Tucker, Jared Dudley, Ben McLemore","Harrell, McKinnie, Horton-Tucker, Dudley, McLemore",1626149-1628035-1629659-201162-203463,LAL,264.0,1,4.0,-2.0,8.0,9.0,17,1.0,4.0,,6.0,8.0,1.0,6.0,6.0,,,1.0,2.0,2.0,,,,6.0,0.42857142857142855,,0.5,0.8,0.5,92.72727272727272,13.875,17.0,13.875,15.0,0.14285714285714285,0.5714285714285714,0.4411714285714286,,,8.925,,1.0,,,2.0,2.0,,3.0,3.0,,,,,6.0,,,,,,,3.0,,,,,1.0,1.0,,,,0.75,,0.42857142857142855,,,0.42857142857142855,1.0,,,,,1.0,1.0,,0.2857142857142857,1.0,1.0,,,,,,28.7,9.0,3.0,3.0,,,,,0.42857142857142855,,,,,,,,,1.0,,,,,8.0,1.0,,4.0,8.0,0.14285714285714285,0.4411714285714286,1.0,,,,,,3.0,6.0,,,,6.0,,,,,0.42857142857142855,0.42857142857142855,,,,,,1.0,1.0,1.0,,,,,3.0,,,3.0,,,,,2.0,,,0.75,1.0,,,,,,,,0.14285714285714285,1.0,0.42857142857142855,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
1626149-1628398-203076-203471-203484,1610612747,"Montrezl Harrell, Kyle Kuzma, Anthony Davis, Dennis Schroder, Kentavious Caldwell-Pope","Harrell, Kuzma, Davis, Schroder, Caldwell-Pope",1626149-1628398-203076-203471-203484,LAL,208.0,1,3.0,-6.0,7.0,7.0,14,,3.0,2.0,4.0,10.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,4.0,2.0,4.0,0.3333333333333333,,1.0,0.5,1.0,96.92307692307692,17.571428571428573,12.142857142857142,17.571428571428573,12.142857142857142,,0.25,0.4254875,0.3333333333333333,0.4,12.4,,,,,,2.0,,1.0,1.0,,,,,2.0,,,,,,,,,1.0,1.0,,,1.0,,,,0.3333333333333333,,0.25,,,0.25,,,,,,,,,0.5,,,,,,,,25.9,,1.0,1.0,,,,,0.25,,,,,,,,,,,,,,,1.0,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2021,2020-21,False
