EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,BadPassSteals,BlockedLongMidRange,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls Drawn,Blocked3s,BlockedCorner3,RecoveredBlocks,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,NonShootingPenaltyNonTakeFouls,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,ShortMidRangeFGM,LostBallOutOfBoundsTurnovers,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Assists,LongMidRangeAssists,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,BlockedArc3,LiveBallTurnoverPct,DefFTReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefLongMidRangeReboundPct,SecondChanceFtPoints,ShortMidRangeAssists,OffThreePtRebounds,BadPassTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,Loose Ball Fouls Drawn,SecondChanceArc3FGA,SecondChanceFG3A,SelfOReb,Offensive Fouls Drawn,BlockedAtRim,ShortMidRangePctBlocked,SelfORebPct,SecondChanceArc3Frequency,SecondChanceCorner3FGA,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Offensive Fouls,HeaveAttempts,Travels,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,DefensiveGoaltends,team_id,year,season,team_vs
1628990-1629060-201566-202397-203078,1610612764,"Chandler Hutchison, Rui Hachimura, Russell Westbrook, Ish Smith, Bradley Beal","Hutchison, Hachimura, Westbrook, Smith, Beal",1628990-1629060-201566-202397-203078,WAS,54.0,1,1.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.5,0.5,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,106.66666666666666,11.5,15.5,11.5,11.5,0.5,1.0,1.0,0.5,0.5,0.4965,0.5,0.5,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2021,2020-21,True
1628990-1629060-201577-202397-203078,1610612764,"Chandler Hutchison, Rui Hachimura, Robin Lopez, Ish Smith, Bradley Beal","Hutchison, Hachimura, Lopez, Smith, Beal",1628990-1629060-201577-202397-203078,WAS,150.0,1,2.0,7.0,6.0,5.0,11.0,3.0,4.0,,4.0,5.0,1.0,9.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,1.0,1.0,,1.0,9.0,0.8,0.8,0.75,0.3333333333333333,0.5,1.0,105.6,10.5,17.4,10.5,15.2,0.8,0.75,0.75,,0.8,0.57406,0.16666666666666666,0.16666666666666666,6.0200000000000005,6.0,3.0,4.0,1.0,1.0,2.0,4.0,5.0,1.0,9.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,9.0,6.0,0.5,0.5,0.8,0.8,0.75,1.0,1.0,0.6666666666666666,0.2,1.0,1.0,0.8,0.75,0.57406,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2021,2020-21,True
1628990-1629060-202397-203078-203526,1610612764,"Chandler Hutchison, Rui Hachimura, Ish Smith, Bradley Beal, Raul Neto","Hutchison, Hachimura, Smith, Beal, Neto",1628990-1629060-202397-203078-203526,WAS,17.0,1,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,84.70588235294117,17.0,,17.0,,,,,,,0.3047,,,16.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2021,2020-21,True
1628990-1629067-1629726-1630216-1630264,1610612764,"Chandler Hutchison, Isaac Bonga, Garrison Mathews, Cassius Winston, Anthony Gill","Hutchison, Bonga, Mathews, Winston, Gill",1628990-1629067-1629726-1630216-1630264,WAS,225.0,1,4.0,-2.0,7.0,7.0,14.0,1.0,3.0,1.0,1.0,4.0,,2.0,,2.0,3.0,4.0,1.0,,1.0,,,,2.0,2.0,3.0,2.0,0.25,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.6666666666666666,89.6,13.714285714285714,18.428571428571427,13.571428571428571,15.142857142857142,0.5,0.3333333333333333,0.5,0.16666666666666666,0.8333333333333334,0.5153666666666666,,,3.325,7.0,1.0,3.0,,,4.0,1.0,4.0,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,2.0,7.0,1.0,1.0,0.25,0.16666666666666666,0.16666666666666666,0.3333333333333333,,1.0,,,,0.5,0.3333333333333333,0.5153666666666666,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.2,0.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2021,2020-21,True
1628990-1629067-1629726-1630264-203458,1610612764,"Chandler Hutchison, Isaac Bonga, Garrison Mathews, Anthony Gill, Alex Len","Hutchison, Bonga, Mathews, Gill, Len",1628990-1629067-1629726-1630264-203458,WAS,100.0,1,2.0,-2.0,3.0,3.0,6.0,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,2.0,,1.0,,,,1.0,,,0.25,,,,86.39999999999999,19.0,14.333333333333334,19.0,14.333333333333334,1.0,,,,1.0,0.3898,0.5,0.5,3.0,3.0,,1.0,,,3.0,,1.0,1.0,1.0,,,,,,,,,,1.0,3.0,,,,,0.25,,,,,,,1.0,,0.3898,1.0,1.0,3.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2021,2020-21,True
1628990-1629655-1629726-1630216-1630264,1610612764,"Chandler Hutchison, Daniel Gafford, Garrison Mathews, Cassius Winston, Anthony Gill","Hutchison, Gafford, Mathews, Winston, Gill",1628990-1629655-1629726-1630216-1630264,WAS,104.0,1,2.0,4.0,3.0,3.0,6.0,1.0,1.0,,1.0,1.0,3.0,8.0,,,,,,,1.0,3.0,,,1.0,,1.0,8.0,1.0,1.25,1.3333333333333333,,,,83.07692307692308,15.666666666666666,19.0,15.666666666666666,15.666666666666666,0.5,1.0,1.0,,1.0,0.6273,0.3333333333333333,,1.2,3.0,1.0,1.0,,,4.0,1.0,1.0,3.0,8.0,2.0,1.0,2.0,1.0,5.0,,,1.0,,8.0,3.0,1.0,1.0,1.0,1.25,1.3333333333333333,,,1.0,,,,0.5,1.0,0.6273,1.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,0.5,,,,,,,,,,24.7,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2021,2020-21,True
1628990-1629655-1629726-1630264-202397,1610612764,"Chandler Hutchison, Daniel Gafford, Garrison Mathews, Anthony Gill, Ish Smith","Hutchison, Gafford, Mathews, Gill, Smith",1628990-1629655-1629726-1630264-202397,WAS,149.0,1,2.0,-1.0,5.0,5.0,10.0,,,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333,0.375,0.5,0.6666666666666666,0.5,96.64429530201342,14.4,15.4,14.4,15.0,,,,0.3333333333333333,,0.43803333333333333,0.25,0.25,14.966666666666667,5.0,,,,2.0,4.0,1.0,3.0,1.0,3.0,,,,,,1.0,1.0,,,3.0,5.0,,,0.3333333333333333,0.3333333333333333,0.375,1.0,,,0.6666666666666666,,,,,0.43803333333333333,1.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2021,2020-21,True
1628990-1629655-201566-202397-202722,1610612764,"Chandler Hutchison, Daniel Gafford, Russell Westbrook, Ish Smith, Davis Bertans","Hutchison, Gafford, Westbrook, Smith, Bertans",1628990-1629655-201566-202397-202722,WAS,228.0,1,4.0,3.0,7.0,8.0,15.0,,,2.0,2.0,3.0,1.0,8.0,2.0,3.0,6.0,7.0,,,2.0,2.0,,1.0,,,1.0,8.0,0.6666666666666666,0.7,0.6666666666666666,1.0,0.8333333333333334,1.0,94.73684210526316,19.285714285714285,11.625,19.0,10.5,,,,0.4,0.4,0.45713,0.16666666666666666,0.25,11.166666666666666,6.0,,,1.0,1.0,5.0,1.0,2.0,1.0,6.0,2.0,1.0,2.0,,5.0,2.0,,,,6.0,6.0,0.5,0.5,0.5,0.625,0.6,0.6666666666666666,0.6666666666666666,,0.2,1.0,1.0,,,0.4687375,0.75,0.8571428571428571,,1.0,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,,1.0,0.4,,,1.0,0.5,,,1.0,0.4,0.5,26.45,,,,,,1.0,1.0,3.0,1.0,,,1.0,0.5,0.5,0.5,,,,,,,,1.0,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2021,2020-21,True
1628990-1629655-202397-202722-203078,1610612764,"Chandler Hutchison, Daniel Gafford, Ish Smith, Davis Bertans, Bradley Beal","Hutchison, Gafford, Smith, Bertans, Beal",1628990-1629655-202397-202722-203078,WAS,44.0,1,1.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,,4.0,2.0,,,1.0,1.0,1.0,,,,,,,,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,130.9090909090909,12.0,10.0,12.0,10.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6284,,,2.0,2.0,2.0,2.0,,,1.0,2.0,3.0,,4.0,2.0,1.0,1.0,1.0,2.0,,,,,4.0,2.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.5,,,,0.6666666666666666,1.0,0.6284,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.7054,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2021,2020-21,True
1628990-201566-201577-203078-203526,1610612764,"Chandler Hutchison, Russell Westbrook, Robin Lopez, Bradley Beal, Raul Neto","Hutchison, Westbrook, Lopez, Beal, Neto",1628990-201566-201577-203078-203526,WAS,17.0,1,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,84.70588235294117,,17.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2021,2020-21,True
