EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Fouls,FTA,Technical Free Throw Trips,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,DefThreePtRebounds,DefTwoPtRebounds,FoulsDrawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,ShootingFouls,DefShortMidRangeReboundPct,Fg2aBlocked,ThreePtShootingFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Fg3aBlocked,Corner3Assists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,Loose Ball Fouls,Blocked3s,BlockedArc3,RecoveredBlocks,SecondChanceFg3Pct,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsPutbacks,BadPassOutOfBoundsTurnovers,BadPassTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,LongMidRangePctBlocked,Travels,NonShootingFoulsDrawn,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,LostBallOutOfBoundsTurnovers,Offensive Fouls,3pt And 1 Free Throw Trips,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,BlockedCorner3,OffensiveGoaltends,FTOffRebounds,OffFTReboundPct,HeaveAttempts,Corner3PctBlocked,Clear Path Fouls,HeaveMakes,team_id,year,season,team_vs
1626195-1627742-1628366-1628404-1629627,1610612740,"Willy Hernangomez, Brandon Ingram, Lonzo Ball, Josh Hart, Zion Williamson","Hernangomez, Ingram, Ball, Hart, Williamson",1626195-1627742-1628366-1628404-1629627,NOP,150.0,2,2.0,-6.0,5.0,5.0,5.0,2.0,10.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,5.0,1.0,3.0,9.0,1.0,2.0,1.0,2.0,5.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,0.5,0.5,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7142857142857143,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,0.16666666666666666,96.0,18.0,12.0,16.0,12.0,0.2857142857142857,0.5,0.5,1.0,0.7142857142857143,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.5,0.7142857142857143,1.0,0.6246642857142858,0.540525,0.6246642857142858,0.6666666666666666,0.25,25.78,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2021,2020-21,True
1626195-1627742-1628366-1628404-1629638,1610612740,"Willy Hernangomez, Brandon Ingram, Lonzo Ball, Josh Hart, Nickeil Alexander-Walker","Hernangomez, Ingram, Ball, Hart, Alexander-Walker",1626195-1627742-1628366-1628404-1629638,NOP,455.0,4,8.0,2.0,16.0,14.0,4.0,2.0,30.0,2.0,3.0,2.0,1.0,1.0,6.0,1.0,2.0,4.0,7.0,7.0,10.0,21.0,19.0,2.0,1.0,1.0,2.0,2.0,4.0,6.0,6.0,3.0,4.0,1.0,9.0,1.0,1.0,,6.0,2.0,8.0,,2.0,12.0,1.0,18.0,4.0,4.0,0.75,0.75,0.5714285714285714,0.5,0.39285714285714285,0.25,0.5263157894736842,0.4,0.5,,0.3333333333333333,0.16666666666666666,0.2222222222222222,,0.2,,94.94505494505495,15.375,14.928571428571429,14.25,13.428571428571429,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.5,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.25,1.0,0.5,0.7142857142857143,0.5064071428571428,0.58785,0.5595875,0.19047619047619047,4.6571428571428575,25.714285714285715,0.25,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,7.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,0.14285714285714285,0.14285714285714285,0.5,0.3333333333333333,0.5,0.5,0.8,0.6666666666666666,0.5,0.6666666666666666,1.0,0.5,0.2857142857142857,0.5,0.5,1.0,0.07142857142857142,0.16666666666666666,0.16666666666666666,1.0,0.5,1.0,0.16666666666666666,0.3157894736842105,0.5,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2021,2020-21,True
1626195-1627742-1628366-1628404-1629740,1610612740,"Willy Hernangomez, Brandon Ingram, Lonzo Ball, Josh Hart, Nicolo Melli","Hernangomez, Ingram, Ball, Hart, Melli",1626195-1627742-1628366-1628404-1629740,NOP,140.0,1,2.0,1.0,4.0,4.0,,,8.0,1.0,2.0,,,,1.0,,,1.0,3.0,1.0,,5.0,4.0,,,,,,,,1.0,,1.0,,3.0,,,,2.0,,2.0,,4.0,,,5.0,,,,,0.3333333333333333,,0.625,,0.625,,0.25,,,,,,,,82.28571428571428,15.0,20.0,15.0,19.75,0.5,0.5,0.5,,0.25,,,,,,0.75,0.4720375,,,,6.266666666666667,26.8,,,,,1.0,,1.0,1.0,,,,,2.0,3.0,1.0,1.0,1.0,,,2.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,0.6666666666666666,,,,,0.25,,,,,1.0,1.0,1.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2021,2020-21,True
1626195-1627742-1628366-1628404-1630184,1610612740,"Willy Hernangomez, Brandon Ingram, Lonzo Ball, Josh Hart, Kira Lewis Jr.","Hernangomez, Ingram, Ball, Hart, Lewis Jr.",1626195-1627742-1628366-1628404-1630184,NOP,224.0,6,4.0,7.0,8.0,6.0,,1.0,14.0,1.0,1.0,,,,,,,3.0,5.0,1.0,6.0,12.0,5.0,1.0,,,,,,4.0,,2.0,2.0,1.0,4.0,,1.0,,3.0,1.0,4.0,,1.0,9.0,,12.0,,,0.6666666666666666,0.6666666666666666,0.6,,0.5,,0.6,,0.16666666666666666,,0.5,,0.3333333333333333,,,,90.0,17.0,14.666666666666666,16.75,14.666666666666666,0.16666666666666666,1.0,1.0,1.0,,,,,,,0.3333333333333333,0.4959833333333334,0.4258,,,5.0600000000000005,23.1,,,,2.0,4.0,1.0,,,,,,,2.0,,,,,1.0,2.0,1.0,4.0,,3.0,,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,1.0,,0.6666666666666666,0.5,1.0,0.5,0.16666666666666666,,,,,,,0.4,0.375,,1.0,,2.0,1.0,0.4,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2021,2020-21,True
1626195-1627742-1628366-1628404-200755,1610612740,"Willy Hernangomez, Brandon Ingram, Lonzo Ball, Josh Hart, JJ Redick","Hernangomez, Ingram, Ball, Hart, Redick",1626195-1627742-1628366-1628404-200755,NOP,1699.0,9,28.0,-1.0,55.0,54.0,2.0,4.0,109.0,11.0,15.0,,1.0,1.0,23.0,1.0,1.0,13.0,26.0,27.0,5.0,64.0,65.0,2.0,1.0,1.0,1.0,1.0,2.0,8.0,23.0,4.0,12.0,3.0,32.0,2.0,2.0,,19.0,4.0,23.0,1.0,11.0,5.0,,61.0,2.0,2.0,0.3076923076923077,0.3076923076923077,0.5,1.0,0.5566037735849056,0.5,0.5818181818181818,0.5,0.5094339622641509,,0.15384615384615385,0.13333333333333333,0.14285714285714285,,0.16666666666666666,0.037037037037037035,92.38375515008829,15.963636363636363,15.203703703703704,15.454545454545455,14.037037037037036,0.2830188679245283,0.7333333333333333,0.7857142857142857,0.2727272727272727,0.4339622641509434,,0.3333333333333333,0.5,1.0,0.5,0.7924528301886793,0.5316990566037736,0.43665,0.648,0.03125,6.488461538461538,25.78518518518519,0.03636363636363636,6.0,,1.0,7.0,4.0,10.0,11.0,,,3.0,,18.0,24.0,10.0,8.0,7.0,,8.0,11.0,7.0,1.0,3.0,4.0,4.0,,5.0,0.7272727272727273,0.4074074074074074,0.4074074074074074,,0.5,0.5,0.6111111111111112,0.7272727272727273,0.6551724137931034,0.16666666666666666,0.5555555555555556,0.8571428571428571,0.5,0.1320754716981132,0.14285714285714285,0.14285714285714285,,0.07547169811320754,0.43478260869565216,0.45454545454545453,0.7,,,0.43478260869565216,0.05454545454545454,0.10714285714285714,0.046875,5.0,0.5,1.0,,0.038461538461538464,,,1.0,4.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,6.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,0.037037037037037035,0.06666666666666667,0.043478260869565216,0.25,0.3333333333333333,0.8,1.0,0.07547169811320754,0.25,0.25,1.0,0.25,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2021,2020-21,True
1626195-1627742-1628366-1628404-202339,1610612740,"Willy Hernangomez, Brandon Ingram, Lonzo Ball, Josh Hart, Eric Bledsoe","Hernangomez, Ingram, Ball, Hart, Bledsoe",1626195-1627742-1628366-1628404-202339,NOP,1933.0,10,32.0,10.0,62.0,63.0,8.0,8.0,125.0,17.0,22.0,3.0,,,18.0,1.0,5.0,23.0,34.0,25.0,8.0,90.0,80.0,4.0,2.0,1.0,2.0,6.0,11.0,22.0,18.0,11.0,21.0,7.0,52.0,5.0,2.0,2.0,20.0,7.0,27.0,2.0,12.0,13.0,,78.0,11.0,8.0,0.4782608695652174,0.5,0.6764705882352942,0.5,0.6949152542372882,0.6875,0.6923076923076923,0.6875,0.423728813559322,1.0,0.18181818181818182,0.38461538461538464,0.2916666666666667,0.4,0.36363636363636365,0.08695652173913043,93.11950336264873,16.532258064516128,14.412698412698413,15.790322580645162,14.222222222222221,0.3728813559322034,0.7727272727272727,0.8095238095238095,0.4117647058823529,0.3050847457627119,0.5,0.16666666666666666,,,0.625,0.7966101694915254,0.539257627118644,0.625525,0.51490625,0.12222222222222222,5.620588235294117,25.404,0.12903225806451613,15.0,3.0,4.0,6.0,7.0,7.0,12.0,3.0,,12.0,,24.0,30.0,7.0,10.0,5.0,2.0,7.0,11.0,13.0,1.0,7.0,3.0,2.0,1.0,4.0,0.8333333333333334,0.48,0.48,0.75,1.0,1.0,0.6470588235294118,0.7,0.6666666666666666,,0.42857142857142855,0.7142857142857143,0.6666666666666666,0.1016949152542373,0.6666666666666666,0.6666666666666666,0.5,0.11864406779661017,0.3888888888888889,0.3888888888888889,0.7142857142857143,1.0,0.3333333333333333,0.3888888888888889,0.1076923076923077,0.175,0.13333333333333333,5.0,0.7142857142857143,1.0,,0.029411764705882353,,,2.0,6.0,5.0,1.0,2.0,6.0,,5.0,2.0,1.0,1.0,,3.0,2.0,,,5.0,2.0,1.0,1.0,2.0,1.0,,0.045454545454545456,,0.6,,1.0,0.5,0.1016949152542373,0.3333333333333333,0.3333333333333333,1.0,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.16666666666666666,1.0,1.0,0.125,1.0,0.4,,,,,,,,,,,,,,,,,,,,1610612740,2021,2020-21,True
1626195-1627742-1628366-1629117-1630230,1610612740,"Willy Hernangomez, Brandon Ingram, Lonzo Ball, Wenyen Gabriel, Naji Marshall","Hernangomez, Ingram, Ball, Gabriel, Marshall",1626195-1627742-1628366-1629117-1630230,NOP,165.0,1,3.0,-1.0,4.0,5.0,2.0,,9.0,,,,,,,,,1.0,1.0,1.0,2.0,4.0,5.0,,,1.0,1.0,,2.0,,,,,,,,,,2.0,,2.0,,,2.0,,4.0,2.0,2.0,,,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.5,,,,,,,,78.54545454545455,17.0,19.4,17.0,18.2,,,,,,,,,,,0.5,0.5045,,0.3853,0.5,9.3,22.9,0.5,5.0,,1.0,1.0,1.0,,,,,,,2.0,,,,,,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,,,,,,,0.5,1.0,0.6666666666666666,,,1.0,,0.5,1.0,1.0,,0.5,,,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2021,2020-21,True
1626195-1627742-1628366-1629117-202339,1610612740,"Willy Hernangomez, Brandon Ingram, Lonzo Ball, Wenyen Gabriel, Eric Bledsoe","Hernangomez, Ingram, Ball, Gabriel, Bledsoe",1626195-1627742-1628366-1629117-202339,NOP,752.0,4,13.0,16.0,30.0,27.0,9.0,6.0,57.0,5.0,11.0,3.0,1.0,2.0,9.0,1.0,4.0,6.0,15.0,10.0,6.0,36.0,20.0,4.0,1.0,1.0,3.0,4.0,14.0,4.0,9.0,2.0,7.0,2.0,19.0,1.0,3.0,1.0,12.0,4.0,16.0,1.0,4.0,8.0,,27.0,14.0,9.0,0.3333333333333333,0.4,0.4,0.3333333333333333,0.6,1.0,0.6206896551724138,1.0,0.4,1.0,0.3333333333333333,0.25,0.3076923076923077,0.3333333333333333,,0.09090909090909091,109.14893617021276,12.8,13.62962962962963,11.7,13.296296296296296,0.44,0.45454545454545453,0.45454545454545453,0.4,0.36,0.6,0.2,0.2857142857142857,0.5,0.5714285714285714,0.84,0.5635220000000001,0.5582625,0.5382285714285714,0.3888888888888889,4.5,25.46,0.3,11.0,2.0,,2.0,1.0,6.0,6.0,3.0,,9.0,,8.0,15.0,6.0,5.0,5.0,,5.0,6.0,4.0,,4.0,3.0,3.0,,3.0,0.8333333333333334,0.6,0.6,0.75,0.9,0.9,0.75,0.8333333333333334,0.7857142857142857,0.5,0.6,0.8,1.0,0.08,,,,0.04,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,,0.6666666666666666,0.13793103448275862,0.21052631578947367,0.25,1.0,1.0,2.0,,0.13333333333333333,0.5,,1.0,2.0,,1.0,1.0,3.0,,,,3.0,3.0,,5.0,,,,5.0,,,,2.0,1.0,,,,1.0,,,0.6666666666666666,0.08,0.5,1.0,,,,,1.0,1.0,,,,,4.0,4.0,2.0,,5.0,1.0,2.0,,,,,,1.0,1.0,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,1610612740,2021,2020-21,True
1626195-1627742-1628366-1629627-1629638,1610612740,"Willy Hernangomez, Brandon Ingram, Lonzo Ball, Zion Williamson, Nickeil Alexander-Walker","Hernangomez, Ingram, Ball, Williamson, Alexander-Walker",1626195-1627742-1628366-1629627-1629638,NOP,261.0,3,4.0,-2.0,9.0,9.0,8.0,,18.0,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,3.0,8.0,10.0,,,1.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,1.0,5.0,,,,4.0,,4.0,,1.0,4.0,,8.0,5.0,8.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.8,0.625,0.6666666666666666,,,,,,,,99.31034482758622,13.666666666666666,15.333333333333334,13.666666666666666,14.666666666666666,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,,,0.5,1.0,0.5,1.0,0.5111,,0.504975,0.625,3.4,26.3,0.8888888888888888,2.0,,,,,1.0,1.0,,,,3.0,,3.0,1.0,1.0,1.0,,2.0,2.0,3.0,,1.0,1.0,1.0,,1.0,1.0,0.5,0.5,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.5,1.0,,,,,,,0.5,0.5,1.0,,,0.5,0.25,0.5,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1610612740,2021,2020-21,True
1626195-1627742-1628366-1629627-1630184,1610612740,"Willy Hernangomez, Brandon Ingram, Lonzo Ball, Zion Williamson, Kira Lewis Jr.","Hernangomez, Ingram, Ball, Williamson, Lewis Jr.",1626195-1627742-1628366-1629627-1630184,NOP,252.0,4,4.0,-2.0,9.0,10.0,2.0,,19.0,1.0,1.0,,,,4.0,,1.0,1.0,3.0,6.0,,11.0,13.0,,,,,2.0,6.0,2.0,4.0,1.0,4.0,1.0,11.0,,,1.0,5.0,,5.0,,1.0,,,11.0,6.0,2.0,1.0,1.0,0.3333333333333333,,0.6111111111111112,1.5,0.6111111111111112,1.5,0.6666666666666666,1.0,,,,,,,108.57142857142857,14.88888888888889,11.8,14.88888888888889,11.8,0.1111111111111111,1.0,1.0,1.0,0.4444444444444444,,,,,0.5,0.7777777777777778,0.5182611111111111,,0.42555,0.5454545454545454,9.966666666666667,24.75,0.2222222222222222,2.0,,,1.0,2.0,2.0,3.0,,,,,,9.0,2.0,3.0,2.0,,3.0,1.0,,,,,,,,1.0,0.5,0.5,,,,0.5,1.0,0.8,,,1.0,,0.1111111111111111,,,,0.2222222222222222,0.5,0.5,1.0,,,0.5,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,0.1111111111111111,,,,0.5,0.5,1.0,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,1610612740,2021,2020-21,True
