EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Steals,BadPassSteals,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,LongMidRangeFrequency,Avg2ptShotDistance,Minutes,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FtPoints,PenaltyFG2M,PenaltyFtPoints,PtsUnassisted2s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,FTDefRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls Drawn,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,LiveBallTurnoverPct,DefFTReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Fg2aBlocked,ShortMidRangeAssists,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctAssisted,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,Fg3aBlocked,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,LostBallSteals,LostBallTurnovers,Travels,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedAtRim,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,OffAtRimReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,StepOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,TwoPtShootingFoulsDrawnPct,SecondChanceCorner3FGA,SelfOReb,SelfORebPct,SecondChanceCorner3Frequency,Charge Fouls,HeaveAttempts,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,OffensiveGoaltends,3SecondViolations,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
1626171-1626192-1626253-1628978-203648,1610612749,"Bobby Portis, Pat Connaughton, Axel Toupane, Donte DiVincenzo, Thanasis Antetokounmpo","Portis, Connaughton, Toupane, DiVincenzo, Antetokounmpo",1626171-1626192-1626253-1628978-203648,MIL,21.0,1,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,205.71428571428572,14.0,3.5,14.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37425,0.37425,1.0,28.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1626253-201950-203648,1610612749,"Bobby Portis, Pat Connaughton, Axel Toupane, Jrue Holiday, Thanasis Antetokounmpo","Portis, Connaughton, Toupane, Holiday, Antetokounmpo",1626171-1626192-1626253-201950-203648,MIL,28.0,1,-3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,102.85714285714286,6.0,22.0,6.0,22.0,,,,,,,,0.3127,0.3127,,,1.0,1.0,1.0,3.0,1.0,1.0,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-1628391-201571,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, D.J. Wilson, D.J. Augustin","Portis, Connaughton, Forbes, Wilson, Augustin",1626171-1626192-1627854-1628391-201571,MIL,152.0,2,-2.0,4.0,5.0,3.0,2.0,9.0,,1.0,,1.0,,1.0,4.0,,1.0,4.0,,1.0,,,,4.0,4.0,3.0,,,,0.25,0.3333333333333333,0.4,0.5,0.25,85.26315789473685,21.25,13.4,21.25,13.4,0.25,,,0.3333333333333333,,0.5,,0.43285,0.4351666666666667,1.0,27.4,0.75,2.0,3.0,6.0,2.0,0.5,12.333333333333334,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-1628391-201950,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, D.J. Wilson, Jrue Holiday","Portis, Connaughton, Forbes, Wilson, Holiday",1626171-1626192-1627854-1628391-201950,MIL,353.0,2,6.0,13.0,14.0,10.0,8.0,27.0,2.0,5.0,1.0,3.0,3.0,6.0,15.0,2.0,4.0,12.0,,5.0,2.0,,,15.0,12.0,10.0,0.5,0.5,0.5,0.6818181818181818,0.6666666666666666,0.6818181818181818,0.6666666666666666,0.5454545454545454,110.14164305949008,12.76923076923077,13.357142857142858,12.76923076923077,13.357142857142858,0.45454545454545453,0.4,0.4,0.3333333333333333,0.3333333333333333,0.7272727272727273,0.4,0.5239227272727273,0.5205,0.8,25.96666666666667,0.7692307692307693,1.0,5.0,9.0,5.0,0.09090909090909091,7.1,6.0,1.0,2.0,1.0,2.0,3.0,,3.0,,4.0,3.0,5.0,9.0,9.0,2.0,,,,0.6,0.6,1.0,1.0,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,0.2222222222222222,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,2.0,1.0,3.0,3.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,1.0,1.0,0.09090909090909091,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-1628470-1629121,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Torrey Craig, Jaylen Adams","Portis, Connaughton, Forbes, Craig, Adams",1626171-1626192-1627854-1628470-1629121,MIL,101.0,1,4.0,4.0,3.0,4.0,,7.0,,,,,,,4.0,,,4.0,,,,,,4.0,4.0,4.0,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,99.8019801980198,15.25,13.333333333333334,15.25,13.333333333333334,,,,,,0.3333333333333333,,0.49973333333333336,0.49973333333333336,1.0,,1.0,,3.0,,3.0,,8.666666666666666,2.0,,1.0,,1.0,2.0,,2.0,,2.0,2.0,1.0,3.0,3.0,,,,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,0.3333333333333333,,2.0,2.0,,,,,,2.0,,1.0,,1.0,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,0.5,0.5,,,,,,,,,0.6666666666666666,1.0,1.0,,,,,,,,,,1.0,1.0,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-1628470-201571,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Torrey Craig, D.J. Augustin","Portis, Connaughton, Forbes, Craig, Augustin",1626171-1626192-1627854-1628470-201571,MIL,583.0,5,5.0,20.0,18.0,6.0,1.0,38.0,3.0,8.0,1.0,2.0,3.0,9.0,23.0,1.0,2.0,6.0,,8.0,3.0,1.0,,21.0,6.0,6.0,0.3333333333333333,0.5,0.3333333333333333,0.5526315789473685,0.625,0.575,0.6,0.47368421052631576,93.85934819897084,15.75,14.88888888888889,15.7,14.722222222222221,0.42105263157894735,0.375,0.42857142857142855,0.5,0.5,0.7368421052631579,0.375,0.5329105263157894,0.4725,0.2608695652173913,26.544444444444444,0.3,3.0,10.0,18.0,2.0,0.15789473684210525,7.340000000000001,10.0,4.0,5.0,,,6.0,2.0,1.0,1.0,2.0,2.0,5.0,7.0,10.0,3.0,3.0,1.0,1.0,0.6,0.5,0.8333333333333334,0.5,0.7,1.0,0.6666666666666666,0.2631578947368421,0.8,0.8,,,,2.0,2.0,,1.0,,,10.0,9.0,5.0,3.0,8.0,3.0,,3.0,19.0,,2.0,,1.0,1.0,3.0,1.0,2.0,4.0,,3.0,,1.0,3.0,3.0,0.8333333333333334,1.0,1.0,0.6666666666666666,,0.75,,,1.0,0.75,0.10526315789473684,,,0.6666666666666666,0.6666666666666666,0.05263157894736842,,,,1.0,,,,,,,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,0.1111111111111111,0.125,0.25,0.3333333333333333,0.3,1.0,0.2,1.0,1.0,1.0,0.5,0.7955,0.05263157894736842,0.1111111111111111,0.08695652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-1628470-201950,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Torrey Craig, Jrue Holiday","Portis, Connaughton, Forbes, Craig, Holiday",1626171-1626192-1627854-1628470-201950,MIL,138.0,1,-3.0,5.0,5.0,,,10.0,1.0,4.0,,,1.0,4.0,3.0,,,,,4.0,1.0,,,3.0,,,0.25,,0.25,0.3,,0.3,,0.8,104.34782608695653,13.0,14.6,12.8,12.4,0.8,0.25,0.25,,,1.0,0.25,0.62436,,,25.85,,,1.0,6.0,,,,2.0,,1.0,,,,,,,,2.0,,2.0,3.0,,,,,,,,1.0,0.6666666666666666,,,0.2,,,,,,,,,,,,,3.0,,1.0,1.0,1.0,,,3.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,0.3333333333333333,0.25,,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-1628978-200782,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Donte DiVincenzo, P.J. Tucker","Portis, Connaughton, Forbes, DiVincenzo, Tucker",1626171-1626192-1627854-1628978-200782,MIL,15.0,1,-2.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,192.0,4.0,11.0,4.0,11.0,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-1628978-201572,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Donte DiVincenzo, Brook Lopez","Portis, Connaughton, Forbes, DiVincenzo, Lopez",1626171-1626192-1627854-1628978-201572,MIL,8.0,1,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
1626171-1626192-1627854-1628978-201950,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Donte DiVincenzo, Jrue Holiday","Portis, Connaughton, Forbes, DiVincenzo, Holiday",1626171-1626192-1627854-1628978-201950,MIL,121.0,2,5.0,4.0,4.0,1.0,2.0,8.0,1.0,1.0,,,1.0,1.0,7.0,,,2.0,,1.0,1.0,1.0,,7.0,2.0,1.0,1.0,,1.0,0.875,1.0,0.875,1.0,0.25,95.20661157024794,15.25,15.0,15.25,15.0,0.25,1.0,1.0,,,0.75,1.0,0.481375,0.297,0.2857142857142857,26.6,0.25,,3.0,2.0,1.0,,5.366666666666667,2.0,1.0,2.0,,,2.0,,1.0,,2.0,1.0,1.0,2.0,2.0,,,,,0.6666666666666666,1.0,1.0,1.0,1.0,,1.0,0.5,0.5,0.5,,,1.0,1.0,,,,,,2.0,3.0,1.0,1.0,2.0,1.0,,1.0,5.0,,,,,,,,,,,,,,,,0.5,0.5,1.0,,,,1.0,,,1.0,0.25,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,False
