EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,FoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,OpponentPoints,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,3SecondViolations,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyDefPoss,SecondChanceAtRimFGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,Corner3FGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted3s,PtsPutbacks,Corner3Assists,Fouls,Loose Ball Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChancePointsPct,LostBallSteals,LongMidRangeFGA,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,ShootingFouls,Offensive Fouls Drawn,LiveBallTurnoverPct,LongMidRangeFrequency,Technical Free Throw Trips,SecondChanceArc3FGA,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Blocked3s,BlockedArc3,SecondChanceArc3Frequency,LongMidRangeFGM,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,Charge Fouls,SelfORebPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,DefensiveGoaltends,FTDefRebounds,DefFTReboundPct,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,OffLongMidRangeReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Travels,LongMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,BlockedCorner3,FG3APctBlocked,Corner3PctBlocked,HeaveAttempts,team_id,year,season,team_vs
1626145-1626159-1629634-1629723-1630214,1610612763,"Tyus Jones, Justise Winslow, Brandon Clarke, John Konchar, Xavier Tillman","Jones, Winslow, Clarke, Konchar, Tillman",1626145-1626159-1629634-1629723-1630214,MEM,168.0,1,3.0,4.0,6.0,6.0,5.0,1.0,12,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,5.0,0.5,0.5,0.5,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.42857142857142855,0.75,0.3333333333333333,0.75,0.2,0.5,1.0,0.5,1.0,102.85714285714286,1.0,11.666666666666666,16.333333333333332,10.333333333333334,14.833333333333334,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,0.5,0.5,0.14285714285714285,0.2857142857142857,1.0,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.7142857142857143,0.52905,0.6,0.5464916666666667,1.0,5.925,25.2,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1628415-1628960-1629001-202685,1610612763,"Tyus Jones, Dillon Brooks, Grayson Allen, De'Anthony Melton, Jonas Valanciunas","Jones, Brooks, Allen, Melton, Valanciunas",1626145-1628415-1628960-1629001-202685,MEM,155.0,1,3.0,-2.0,6.0,5.0,,1.0,11,,2.0,,,2.0,3.0,1.0,,,,,2.0,5.0,1.0,5.0,,,,,,,4.0,,,,,,,1.0,2.0,1.0,3.0,,,1.0,,,,,,5.0,,,,,0.4,,0.3333333333333333,,0.4166666666666667,,0.16666666666666666,1.0,,1.0,0.25,,1.0,,,102.19354838709677,,16.333333333333332,11.4,14.666666666666666,11.4,0.3333333333333333,,,,0.5,0.6666666666666666,0.6666666666666666,0.16666666666666666,,,,,,,0.5,0.43487499999999996,,,,8.36,23.4,,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.3333333333333333,1.0,0.5,1.0,0.16666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1628415-1628960-1630214-1630217,1610612763,"Tyus Jones, Dillon Brooks, Grayson Allen, Xavier Tillman, Desmond Bane","Jones, Brooks, Allen, Tillman, Bane",1626145-1628415-1628960-1630214-1630217,MEM,99.0,1,2.0,,4.0,3.0,4.0,1.0,7,,1.0,,1.0,1.0,3.0,,,,1.0,1.0,1.0,4.0,1.0,5.0,,1.0,4.0,1.0,5.0,,2.0,1.0,,1.0,,3.0,,1.0,1.0,1.0,2.0,,,,,,,,,5.0,5.0,4.0,,,0.25,0.25,0.5,0.5,0.5,0.5,0.2,1.0,,1.0,0.3333333333333333,,,1.0,,101.81818181818183,,13.5,15.0,12.75,15.0,0.2,,,,0.6,0.3333333333333333,0.5,,0.2,,0.2,,,0.2,0.4,0.41247,0.5087,0.41247,1.0,8.2,28.8,1.0,,5.0,2.0,1.0,,,,,,,,,0.5,1.0,0.3333333333333333,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1628415-1628991-1629001-1629630,1610612763,"Tyus Jones, Dillon Brooks, Jaren Jackson Jr., De'Anthony Melton, Ja Morant","Jones, Brooks, Jackson Jr., Melton, Morant",1626145-1628415-1628991-1629001-1629630,MEM,552.0,1,9.0,10.0,16.0,17.0,,2.0,33,4.0,6.0,,,1.0,3.0,1.0,,,8.0,,5.0,9.0,9.0,30.0,,,,,,2.0,8.0,8.0,1.0,5.0,1.0,14.0,,3.0,6.0,2.0,8.0,,,3.0,2.0,1.0,1.0,2.0,1.0,25.0,,,0.2,0.3333333333333333,0.5555555555555556,,0.7777777777777778,,0.8333333333333334,,0.5,0.5,,0.5454545454545454,0.2857142857142857,,0.25,1.0,,86.08695652173914,0.5,13.4375,19.823529411764707,13.4375,19.529411764705884,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.25,0.16666666666666666,0.3333333333333333,0.5,0.05555555555555555,0.4444444444444444,,,,,,0.8333333333333334,0.5193666666666666,0.67875,,,3.8000000000000003,24.566666666666666,,2.0,20.0,1.0,2.0,3.0,,,,2.0,2.0,2.0,,0.1111111111111111,,0.5,0.6,0.5,0.5,0.1111111111111111,0.2222222222222222,,2.0,5.0,,6.0,2.0,,12.0,5.0,4.0,3.0,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.3333333333333333,0.5,0.625,0.625,0.6,1.0,,0.625,2.0,1.0,2.0,1.0,5.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.25,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1628415-1628991-1629001-1630217,1610612763,"Tyus Jones, Dillon Brooks, Jaren Jackson Jr., De'Anthony Melton, Desmond Bane","Jones, Brooks, Jackson Jr., Melton, Bane",1626145-1628415-1628991-1629001-1630217,MEM,71.0,1,1.0,2.0,3.0,4.0,,,7,1.0,1.0,,,,1.0,,,,1.0,,1.0,2.0,1.0,2.0,,,,,,,2.0,1.0,,,,,,3.0,3.0,,3.0,1.0,,1.0,,,,,,2.0,,,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,0.75,,0.75,,,1.0,0.5,,141.9718309859155,,8.0,11.75,8.0,11.75,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,0.3333333333333333,,,,,,0.6666666666666666,0.57865,,,,4.6,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1628415-1628991-1629001-203937,1610612763,"Tyus Jones, Dillon Brooks, Jaren Jackson Jr., De'Anthony Melton, Kyle Anderson","Jones, Brooks, Jackson Jr., Melton, Anderson",1626145-1628415-1628991-1629001-203937,MEM,300.0,2,5.0,6.0,11.0,10.0,,,21,1.0,2.0,,,2.0,3.0,,,,1.0,,3.0,6.0,1.0,13.0,,,,,,2.0,4.0,1.0,1.0,2.0,1.0,5.0,,2.0,3.0,,3.0,2.0,1.0,5.0,,,,,,13.0,,,0.3333333333333333,0.3333333333333333,0.5,,0.6428571428571429,,0.7222222222222222,,0.14285714285714285,0.6666666666666666,,0.75,,,1.0,,,100.8,,14.272727272727273,14.3,14.272727272727273,14.3,0.2857142857142857,0.5,1.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,,0.14285714285714285,,,,,,0.42857142857142855,0.4596071428571428,,,,6.833333333333333,26.7,,4.0,7.0,1.0,,1.0,1.0,2.0,,4.0,,2.0,,0.16666666666666666,0.5,,1.0,,1.0,0.2222222222222222,0.25,,,1.0,,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,3.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1628415-1629001-202685-203937,1610612763,"Tyus Jones, Dillon Brooks, De'Anthony Melton, Jonas Valanciunas, Kyle Anderson","Jones, Brooks, Melton, Valanciunas, Anderson",1626145-1628415-1629001-202685-203937,MEM,82.0,2,1.0,-2.0,2.0,3.0,,,5,,,,,,2.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,,87.80487804878048,,21.0,13.333333333333334,21.0,13.333333333333334,,,,,1.0,,,,,,,,,,,0.40545,,,,9.0,,,1.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1628960-1628991-1629001-1630214,1610612763,"Tyus Jones, Grayson Allen, Jaren Jackson Jr., De'Anthony Melton, Xavier Tillman","Jones, Allen, Jackson Jr., Melton, Tillman",1626145-1628960-1628991-1629001-1630214,MEM,201.0,1,3.0,-9.0,7.0,7.0,4.0,1.0,14,,1.0,,1.0,,2.0,,,,2.0,2.0,,4.0,2.0,,1.0,,2.0,2.0,,,,2.0,,,,,1.0,,1.0,1.0,2.0,1.0,,,,,,1.0,,,,4.0,,,,,,,,,0.3333333333333333,,1.0,0.16666666666666666,0.2,1.0,,,,100.29850746268656,,11.285714285714286,17.428571428571427,9.571428571428571,13.142857142857142,0.16666666666666666,,,,0.3333333333333333,,,,0.3333333333333333,,0.25,,,0.5,0.5,0.396725,0.4392,0.3780625,,9.575,27.2,0.5714285714285714,,9.0,1.0,,1.0,1.0,2.0,,,,,,0.25,1.0,,0.16666666666666666,,0.16666666666666666,,,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,3.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,0.5,0.16666666666666666,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1628960-1628991-1629001-202685,1610612763,"Tyus Jones, Grayson Allen, Jaren Jackson Jr., De'Anthony Melton, Jonas Valanciunas","Jones, Allen, Jackson Jr., Melton, Valanciunas",1626145-1628960-1628991-1629001-202685,MEM,218.0,1,4.0,6.0,8.0,7.0,,1.0,15,,,,,2.0,3.0,2.0,,,1.0,,3.0,4.0,3.0,14.0,,,,,,6.0,,1.0,3.0,5.0,,12.0,,1.0,3.0,1.0,4.0,,,1.0,1.0,,1.0,1.0,1.0,12.0,,,1.0,1.0,0.75,,0.8571428571428571,,0.875,,0.42857142857142855,1.0,,1.0,0.5,,,1.0,,99.08256880733946,1.0,15.375,13.571428571428571,15.375,13.571428571428571,,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.14285714285714285,,,,,,0.42857142857142855,0.48451428571428573,,,,10.25,24.2,,2.0,8.0,,1.0,2.0,1.0,1.0,,3.0,,1.0,,,,1.0,1.0,,1.0,0.125,0.2,,,1.0,,2.0,,,6.0,1.0,2.0,1.0,1.0,0.6666666666666666,,0.6666666666666666,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,2.0,2.0,,,1.0,2.0,,,,1.0,,0.5,0.5,1.0,,0.14285714285714285,,1.0,,,,1.0,,,0.14285714285714285,1.0,,,,,,,,,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1628960-1628991-1629001-203937,1610612763,"Tyus Jones, Grayson Allen, Jaren Jackson Jr., De'Anthony Melton, Kyle Anderson","Jones, Allen, Jackson Jr., Melton, Anderson",1626145-1628960-1628991-1629001-203937,MEM,158.0,1,3.0,5.0,5.0,5.0,,3.0,10,2.0,3.0,,,,1.0,1.0,,,5.0,,2.0,4.0,6.0,7.0,2.0,,,,,2.0,2.0,5.0,1.0,2.0,1.0,5.0,4.0,2.0,3.0,5.0,8.0,,,,,,,,,3.0,,,0.5,1.0,0.5,,0.35,,0.35,,0.6,1.0,0.8,1.0,0.7142857142857143,0.75,,1.0,,91.13924050632912,,16.0,15.6,11.6,15.6,0.3,0.6666666666666666,1.0,0.5,0.1,,,0.1,0.5,,,,,,0.9,0.53768,0.481075,,,3.1,25.383333333333336,,,2.0,1.0,1.0,1.0,,,,,,,,0.25,0.3333333333333333,0.5,1.0,1.0,1.0,,,,3.0,1.0,,1.0,3.0,,3.0,1.0,1.0,1.0,1.0,0.16666666666666666,,0.16666666666666666,,,0.2,0.2,1.0,0.6,,0.2,2.0,,2.0,,4.0,,2.0,,1.0,,0.6666666666666666,0.4,0.4,,,,,0.6666666666666666,0.5714285714285714,,,,,,,,,,,2.0,,,1.0,,,,0.4,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
