EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,PenaltyAtRimFGA,PenaltyFG2A,ShortMidRangeAssists,OffTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyShotQualityAvg,PenaltyOffPossPct,LongMidRangeFGA,SecondChanceFG2A,DefThreePtRebounds,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefThreePtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,SecondChanceShotQualityAvg,LongMidRangeFGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted3s,Fg2aBlocked,LongMidRangeAssists,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Corner3FGA,LostBallSteals,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,OffCorner3ReboundPct,Corner3Frequency,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,Offensive Fouls,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyPointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LostBallTurnovers,DefensiveGoaltends,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,Loose Ball Fouls Drawn,SecondChanceFtPoints,PenaltyFtPoints,Corner3FGM,PenaltyCorner3FGA,PenaltyFG2M,PtsPutbacks,Corner3Assists,SelfOReb,Loose Ball Fouls,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,OffLongMidRangeReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyAtRimFGM,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,FTOffRebounds,LostBallOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,OffFTReboundPct,FTDefRebounds,DefFTReboundPct,PenaltyCorner3FGM,HeaveMakes,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,Blocked3s,BlockedArc3,BlockedLongMidRange,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Travels,Charge Fouls,Charge Fouls Drawn,OffensiveGoaltends,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,Fg3aBlocked,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,3SecondViolations,team_id,year,season,team_vs
101108-1626163-1626164-1628470-1628969,1610612756,"Chris Paul, Frank Kaminsky, Devin Booker, Torrey Craig, Mikal Bridges","Paul, Kaminsky, Booker, Craig, Bridges",101108-1626163-1626164-1628470-1628969,PHX,144.0,1,2.0,2.0,5.0,5.0,10.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,7.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,0.5,0.5,1.0,0.5,0.5,0.6666666666666666,0.7,0.7,0.4,1.0,1.0,1.0,100.0,11.0,17.8,11.0,17.8,0.2,1.0,1.0,1.0,0.4,0.5,0.5,0.4,0.5,0.5,1.0,0.6,0.5,0.48139000000000004,5.966666666666666,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,True
101108-1626163-1626164-1628470-1629661,1610612756,"Chris Paul, Frank Kaminsky, Devin Booker, Torrey Craig, Cameron Johnson","Paul, Kaminsky, Booker, Craig, Johnson",101108-1626163-1626164-1628470-1629661,PHX,141.0,2,2.0,-4.0,4.0,4.0,8.0,,1.0,2.0,3.0,,,2.0,4.0,,,4.0,8.0,2.0,2.0,,,,1.0,,1.0,,,2.0,,,1.0,,,,1.0,4.0,0.5,0.5,,,,0.5,0.5,0.5,,,,,81.70212765957446,17.0,18.25,17.0,18.25,0.25,,,,0.75,0.6666666666666666,0.6666666666666666,,,,,0.25,,0.4716,7.5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.631,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,True
101108-1626163-1626164-1628470-203109,1610612756,"Chris Paul, Frank Kaminsky, Devin Booker, Torrey Craig, Jae Crowder","Paul, Kaminsky, Booker, Craig, Crowder",101108-1626163-1626164-1628470-203109,PHX,97.0,1,2.0,,4.0,4.0,8.0,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,3.0,4.0,4.0,,,,,,,,,,,,,,,1.0,1.0,,118.76288659793815,13.25,11.0,10.25,11.0,,,,,0.6666666666666666,,,,,,,,,0.39736666666666665,12.966666666666667,,,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,True
101108-1626163-1626164-1628969-1629661,1610612756,"Chris Paul, Frank Kaminsky, Devin Booker, Mikal Bridges, Cameron Johnson","Paul, Kaminsky, Booker, Bridges, Johnson",101108-1626163-1626164-1628969-1629661,PHX,236.0,2,4.0,3.0,10.0,9.0,19.0,,1.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,11.0,8.0,4.0,,3.0,4.0,2.0,2.0,1.0,3.0,1.0,,7.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,9.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.7142857142857143,0.6875,0.5714285714285714,1.0,1.0,,115.93220338983052,9.2,16.0,7.8,16.0,0.14285714285714285,,,,0.14285714285714285,1.0,1.0,0.5714285714285714,0.5,0.5,0.5,0.7142857142857143,0.5,0.4997928571428571,9.4,27.025,,,2.0,,,1.0,,1.0,1.0,1.0,3.0,,,,0.3333333333333333,,0.3333333333333333,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,0.14285714285714285,0.5733,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,0.3333333333333333,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.125,0.25,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,True
101108-1626163-1626164-1628969-203109,1610612756,"Chris Paul, Frank Kaminsky, Devin Booker, Mikal Bridges, Jae Crowder","Paul, Kaminsky, Booker, Bridges, Crowder",101108-1626163-1626164-1628969-203109,PHX,369.0,2,6.0,3.0,10.0,12.0,22.0,2.0,2.0,3.0,3.0,,1.0,5.0,7.0,,2.0,13.0,10.0,8.0,2.0,,1.0,,4.0,,4.0,,1.0,8.0,2.0,3.0,4.0,1.0,,1.0,3.0,13.0,0.8,0.8,,,,0.7142857142857143,0.5555555555555556,0.65,0.2222222222222222,1.0,1.0,,85.85365853658536,17.8,15.916666666666666,17.0,15.916666666666666,0.2222222222222222,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.1111111111111111,,,,0.4444444444444444,,0.4749666666666667,8.171428571428573,25.1,,1.0,1.0,,,3.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,0.25,,1.0,,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,0.2222222222222222,,,,3.0,,,,,,,1.0,,,4.0,3.0,2.0,,,,,,0.5,,1.0,,,,,0.2,0.25,,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,True
101108-1626163-1626166-1627846-203109,1610612756,"Chris Paul, Frank Kaminsky, Cameron Payne, Abdel Nader, Jae Crowder","Paul, Kaminsky, Payne, Nader, Crowder",101108-1626163-1626166-1627846-203109,PHX,70.0,1,1.0,3.0,3.0,2.0,5.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,,,,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,1.0,2.0,2.0,,,,1.0,3.0,,,1.0,1.0,1.0,,0.75,0.75,0.5,1.0,1.0,,102.85714285714285,14.0,14.0,14.0,14.0,,,,,0.5,,,0.5,1.0,1.0,1.0,0.5,1.0,0.4357,11.3,26.1,3.0,,,,1.0,,,,,,1.0,,1.0,3.0,,,,,,,0.4357,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.75,0.75,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,True
101108-1626163-1626166-1628470-1629661,1610612756,"Chris Paul, Frank Kaminsky, Cameron Payne, Torrey Craig, Cameron Johnson","Paul, Kaminsky, Payne, Craig, Johnson",101108-1626163-1626166-1628470-1629661,PHX,420.0,2,7.0,11.0,13.0,14.0,27.0,6.0,7.0,,,2.0,4.0,6.0,7.0,2.0,5.0,23.0,12.0,6.0,6.0,6.0,4.0,2.0,3.0,2.0,5.0,2.0,3.0,12.0,3.0,5.0,7.0,,,,1.0,21.0,0.5,0.5,1.0,0.4,0.4,0.8571428571428571,0.75,0.7666666666666667,0.4166666666666667,0.75,0.8333333333333334,1.0,92.57142857142857,16.384615384615383,14.785714285714286,15.692307692307692,14.714285714285714,0.5833333333333334,0.8571428571428571,0.8571428571428571,0.5,,,,0.3333333333333333,0.5,0.5,1.0,1.0,0.5,0.5678083333333334,2.0714285714285716,24.94,,,1.0,,,,,2.0,1.0,,1.0,,,,1.0,,0.5,,,,,,,2.0,2.0,,,,,1.0,0.6666666666666666,,,,,,,,5.0,1.0,,2.0,,,,2.0,,,6.0,7.0,4.0,0.5,0.5,0.5,,,0.6666666666666666,0.5,1.0,,,,,0.26666666666666666,0.4,0.08695652173913043,1.0,,2.0,1.0,1.0,0.08333333333333333,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,True
101108-1626163-1626166-1628470-203109,1610612756,"Chris Paul, Frank Kaminsky, Cameron Payne, Torrey Craig, Jae Crowder","Paul, Kaminsky, Payne, Craig, Crowder",101108-1626163-1626166-1628470-203109,PHX,83.0,1,1.0,-2.0,3.0,3.0,6.0,,1.0,,1.0,,,,2.0,,1.0,,2.0,,,,,,,,,,,,2.0,2.0,4.0,,,,1.0,,,,,,,,,,0.3333333333333333,1.0,1.0,,104.09638554216868,16.0,11.666666666666666,15.666666666666666,11.666666666666666,0.3333333333333333,,,,0.3333333333333333,,,,,,,0.6666666666666666,,0.5318166666666667,3.45,23.1,,,,,,,2.0,2.0,,,2.0,,,,,1.0,0.6666666666666666,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,0.5628,,,,,,,,2.0,,,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,0.3333333333333333,,,,,,1.0,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,True
101108-1626163-1626166-1628969-1629661,1610612756,"Chris Paul, Frank Kaminsky, Cameron Payne, Mikal Bridges, Cameron Johnson","Paul, Kaminsky, Payne, Bridges, Johnson",101108-1626163-1626166-1628969-1629661,PHX,91.0,1,2.0,-3.0,3.0,3.0,6.0,,1.0,,,,1.0,1.0,2.0,,1.0,2.0,5.0,,2.0,,1.0,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.5,,94.94505494505495,14.666666666666666,15.666666666666666,14.666666666666666,13.0,0.3333333333333333,,,,,,,0.3333333333333333,,,,0.6666666666666666,,0.4675666666666667,8.4,25.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,0.3333333333333333,,1.0,,,,,,,1.0,,,,,,,,,,,0.5,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,True
101108-1626163-1626166-1629661-203109,1610612756,"Chris Paul, Frank Kaminsky, Cameron Payne, Cameron Johnson, Jae Crowder","Paul, Kaminsky, Payne, Johnson, Crowder",101108-1626163-1626166-1629661-203109,PHX,130.0,1,2.0,-1.0,3.0,4.0,7.0,2.0,2.0,,,1.0,1.0,2.0,2.0,1.0,1.0,7.0,8.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,,,,1.0,7.0,0.5,0.5,1.0,1.0,1.0,1.0,1.1666666666666667,1.1666666666666667,0.3333333333333333,1.0,1.0,,77.53846153846155,19.0,18.25,19.0,18.25,0.6666666666666666,1.0,1.0,0.5,,,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5651499999999999,1.8,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,True
