EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FTA,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PtsAssisted2s,TwoPtAssists,LongMidRangeAssists,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyOffPoss,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted3s,PtsPutbacks,AtRimAssists,OffTwoPtRebounds,Steals,BadPassSteals,FoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyArc3FGA,PenaltyFG3A,SelfOReb,DeadBallTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,DefCorner3ReboundPct,SelfORebPct,PenaltyArc3Frequency,PenaltyCorner3FGA,PenaltyFtPoints,Fg2aBlocked,ShortMidRangeAssists,FTDefRebounds,LostBallSteals,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,BadPassOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,2pt And 1 Free Throw Trips,Corner3Assists,Corner3PctAssisted,LongMidRangePctBlocked,BlockedArc3,OffCorner3ReboundPct,Charge Fouls Drawn,AtRimPctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,OffensiveGoaltends,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Travels,DefensiveGoaltends,SecondChanceTurnovers,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,BlockedLongMidRange,Corner3PctBlocked,team_id,year,season,team_vs
1626171-1626192-1627854-1628978-203507,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Donte DiVincenzo, Giannis Antetokounmpo","Portis, Connaughton, Forbes, DiVincenzo, Antetokounmpo",1626171-1626192-1627854-1628978-203507,MIL,198.0,2,3.0,-1.0,5.0,6.0,2.0,11.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.5,0.75,0.5,0.75,0.6,1.0,1.0,0.25,1.0,0.4,0.6666666666666666,1.0,1.0,0.3333333333333333,80.0,1.0,17.4,18.5,16.4,16.166666666666668,0.4,0.5,0.5,0.6,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,0.58379,0.6666666666666666,1.25,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-1629091-203648,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Elijah Bryant, Thanasis Antetokounmpo","Portis, Connaughton, Forbes, Bryant, Antetokounmpo",1626171-1626192-1627854-1629091-203648,MIL,94.0,1,2.0,-1.0,3.0,3.0,,6.0,,,,,,,,1.0,2.0,,1.0,,2.0,3.0,,,,,,,,,,,1.0,,2.0,,2.0,,2.0,,2.0,,,,,1.0,2.0,,,,,,,2.0,,,,,0.5,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,1.0,,1.0,,,,1.0,91.91489361702128,,10.666666666666666,20.666666666666668,10.666666666666666,20.666666666666668,,,,,,,,,,,,0.3333333333333333,,0.42136666666666667,,19.0,22.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-200782-201950,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, P.J. Tucker, Jrue Holiday","Portis, Connaughton, Forbes, Tucker, Holiday",1626171-1626192-1627854-200782-201950,MIL,291.0,4,5.0,4.0,10.0,10.0,3.0,20.0,5.0,6.0,2.0,1.0,4.0,,1.0,6.0,10.0,1.0,4.0,2.0,17.0,13.0,2.0,,1.0,,4.0,8.0,,4.0,1.0,,2.0,,4.0,2.0,2.0,,2.0,4.0,6.0,,,,,,,2.0,,,,,,13.0,,0.25,,0.25,0.6,0.5357142857142857,0.6666666666666666,0.6071428571428571,0.6666666666666666,0.2857142857142857,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6666666666666666,,0.6666666666666666,98.96907216494846,,17.3,11.8,16.9,11.5,0.42857142857142855,0.8333333333333334,0.8333333333333334,0.2857142857142857,0.25,0.25,,0.6666666666666666,0.3333333333333333,,,0.7142857142857143,0.25,0.5182535714285714,0.23529411764705882,6.58,27.225,5.0,,2.0,,4.0,2.0,,,0.3333333333333333,0.5,0.14285714285714285,,,,,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,0.4,0.14285714285714285,0.5,0.5,1.0,0.6666666666666666,0.5,0.69465,0.43460000000000004,0.23529411764705882,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-200782-201952,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, P.J. Tucker, Jeff Teague","Portis, Connaughton, Forbes, Tucker, Teague",1626171-1626192-1627854-200782-201952,MIL,24.0,1,,,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,180.0,,2.5,19.0,2.5,19.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-201572-201950,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Brook Lopez, Jrue Holiday","Portis, Connaughton, Forbes, Lopez, Holiday",1626171-1626192-1627854-201572-201950,MIL,461.0,3,8.0,-16.0,14.0,14.0,1.0,28.0,2.0,3.0,1.0,,5.0,,,3.0,8.0,,6.0,,6.0,22.0,1.0,,,,,6.0,,5.0,,,,,,,1.0,,1.0,1.0,2.0,,,,1.0,1.0,2.0,,,1.0,1.0,1.0,,6.0,,,,,0.375,0.21428571428571427,,0.21428571428571427,,0.42857142857142855,,,0.5,,0.14285714285714285,0.09090909090909091,,,,87.46203904555314,,20.571428571428573,12.357142857142858,20.285714285714285,11.0,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.35714285714285715,,,,1.0,,,,0.6428571428571429,,0.5432750000000001,,9.025,25.566666666666666,6.0,,2.0,1.0,,,,1.0,,,0.14285714285714285,,,,0.07142857142857142,4.0,,,,1.0,3.0,,,2.0,,,,,1.0,1.0,1.0,2.0,,4.0,,,,,0.2,0.5,,,0.21428571428571427,0.3333333333333333,0.3333333333333333,,,,0.7529,0.4242333333333333,,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-201950-203114,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jrue Holiday, Khris Middleton","Portis, Connaughton, Forbes, Holiday, Middleton",1626171-1626192-1627854-201950-203114,MIL,900.0,8,15.0,3.0,33.0,34.0,3.0,67.0,3.0,6.0,2.0,2.0,8.0,,,11.0,19.0,2.0,9.0,9.0,37.0,34.0,3.0,,,,4.0,12.0,3.0,8.0,2.0,1.0,6.0,1.0,13.0,2.0,6.0,6.0,13.0,3.0,16.0,1.0,1.0,,3.0,2.0,7.0,10.0,,4.0,1.0,4.0,1.0,33.0,0.5,0.2222222222222222,,0.2222222222222222,0.5789473684210527,0.5,0.6666666666666666,0.5606060606060606,0.6666666666666666,0.32142857142857145,0.3333333333333333,0.5,0.6,0.3333333333333333,0.5454545454545454,0.21428571428571427,0.4,0.4,0.5,107.2,0.25,12.151515151515152,14.676470588235293,11.606060606060606,13.823529411764707,0.21428571428571427,0.5,0.5,0.2857142857142857,0.25,0.25,0.5,0.6666666666666666,,,,0.5357142857142857,0.25,0.48103035714285713,0.10810810810810811,10.242105263157894,26.755555555555556,20.0,4.0,7.0,1.0,10.0,5.0,2.0,,0.45454545454545453,0.5,0.25,0.5714285714285714,0.5714285714285714,0.5,0.03571428571428571,21.0,2.0,3.0,6.0,4.0,6.0,2.0,7.0,14.0,21.0,3.0,2.0,1.0,1.0,3.0,2.0,8.0,21.0,21.0,0.6666666666666666,0.5,0.3888888888888889,0.4772727272727273,0.125,,,0.3333333333333333,0.21428571428571427,0.6666666666666666,0.8,1.0,0.3333333333333333,0.5,0.5257,0.4937694444444445,0.5675675675675675,0.6363636363636364,3.0,4.0,,2.0,,1.0,1.0,,0.16666666666666666,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,0.05263157894736842,0.16666666666666666,1.0,0.3333333333333333,0.5,1.0,0.5,0.5,0.05555555555555555,0.034482758620689655,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-201950-203507,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jrue Holiday, Giannis Antetokounmpo","Portis, Connaughton, Forbes, Holiday, Antetokounmpo",1626171-1626192-1627854-201950-203507,MIL,990.0,10,16.0,-1.0,33.0,34.0,3.0,67.0,5.0,5.0,1.0,4.0,12.0,,2.0,11.0,16.0,5.0,15.0,3.0,40.0,41.0,3.0,,2.0,,4.0,14.0,9.0,12.0,4.0,3.0,7.0,3.0,17.0,4.0,7.0,3.0,11.0,5.0,16.0,3.0,3.0,,6.0,5.0,8.0,4.0,,,,1.0,1.0,36.0,0.6,0.3333333333333333,,0.3333333333333333,0.6875,0.5967741935483871,0.4,0.6060606060606061,0.4,0.4838709677419355,0.5,0.6,0.5833333333333334,0.4,0.5882352941176471,0.3333333333333333,0.5,0.6666666666666666,0.5,97.45454545454545,1.0,15.606060606060606,13.970588235294118,14.787878787878787,12.676470588235293,0.16129032258064516,1.0,1.0,0.3870967741935484,0.3333333333333333,0.3333333333333333,0.75,0.2,0.4,,,0.6451612903225806,0.3333333333333333,0.5106516129032258,0.1,7.83125,25.586666666666666,12.0,1.0,3.0,3.0,8.0,4.0,,,0.36363636363636365,0.4,0.0967741935483871,0.3333333333333333,0.3333333333333333,,0.0967741935483871,14.0,1.0,1.0,1.0,5.0,8.0,2.0,3.0,5.0,24.0,6.0,2.0,2.0,1.0,3.0,,5.0,24.0,14.0,0.6666666666666666,0.6,1.05,1.0,0.2,,0.5,0.4,0.25806451612903225,0.625,0.625,1.0,0.1,1.0,0.555,0.4772,0.6,0.42424242424242425,4.0,5.0,,3.0,,3.0,1.0,,0.4,1.0,3.0,,2.0,1.0,3.0,,2.0,,,,2.0,,2.0,,,0.5,,0.5,,0.4,,0.1,,,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-201950-203648,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jrue Holiday, Thanasis Antetokounmpo","Portis, Connaughton, Forbes, Holiday, Antetokounmpo",1626171-1626192-1627854-201950-203648,MIL,132.0,2,2.0,,6.0,6.0,,12.0,,,,,1.0,,,2.0,2.0,,1.0,3.0,7.0,7.0,,,,,,4.0,,1.0,,,,,,,2.0,,2.0,,2.0,2.0,1.0,1.0,2.0,,,3.0,,,,,,7.0,,,,,1.0,0.6666666666666666,,0.875,,0.3333333333333333,1.0,,1.0,,1.0,,,,1.0,130.9090909090909,,9.333333333333334,12.666666666666666,9.333333333333334,12.666666666666666,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,0.4410833333333333,,8.55,25.0,2.0,,,,,,,,,,,,,,,5.0,,,,2.0,2.0,,1.0,1.0,5.0,,,,,,,4.0,5.0,5.0,,1.0,0.5,0.8333333333333334,,,,,0.6666666666666666,1.0,1.0,,,,,0.480225,0.7142857142857143,0.8333333333333334,1.0,1.0,,,,2.0,,,0.5,,3.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-201952-203114,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jeff Teague, Khris Middleton","Portis, Connaughton, Forbes, Teague, Middleton",1626171-1626192-1627854-201952-203114,MIL,144.0,1,2.0,6.0,5.0,4.0,,9.0,1.0,1.0,,1.0,2.0,,,1.0,1.0,2.0,3.0,2.0,10.0,4.0,,,,,,,6.0,2.0,1.0,2.0,3.0,1.0,8.0,,1.0,1.0,2.0,,2.0,,,,,1.0,1.0,2.0,,,,,,10.0,1.0,0.6666666666666666,,0.6666666666666666,1.0,1.0,,1.0,,0.75,,1.0,1.0,,1.0,,,,1.0,90.0,,14.4,18.0,14.4,18.0,0.25,1.0,1.0,0.5,0.5,0.5,1.0,,,,,1.0,0.5,0.5106625,,0.7,24.400000000000002,3.0,,,1.0,2.0,1.0,,,1.0,1.0,,,,,0.25,2.0,,,,,,,,,3.0,,,1.0,,,,1.0,3.0,2.0,,,0.75,0.75,,,,1.0,,,,,,,,0.43245,0.3,0.4,2.0,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,0.2,0.5,1.0,,1.0,1.0,,,,0.5,1.0,1.0,,0.5,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
1626171-1626192-1627854-201952-203507,1610612749,"Bobby Portis, Pat Connaughton, Bryn Forbes, Jeff Teague, Giannis Antetokounmpo","Portis, Connaughton, Forbes, Teague, Antetokounmpo",1626171-1626192-1627854-201952-203507,MIL,35.0,1,1.0,,1.0,1.0,,2.0,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,82.28571428571428,,20.0,15.0,20.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2021,2020-21,True
