EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGA,FG3A,Fouls,NonShootingPenaltyNonTakeFouls,FG3APct,Corner3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Charge Fouls Drawn,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGA,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,BlockedAtRim,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFtPoints,PtsPutbacks,FTOffRebounds,SelfOReb,ThreePtShootingFoulsDrawn,SecondChanceFg2Pct,OffFTReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3FGA,Fg2aBlocked,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked3s,BlockedArc3,FG2APctBlocked,AtRimPctBlocked,OffCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Loose Ball Fouls,Offensive Fouls,DefensiveGoaltends,ShortMidRangePctBlocked,Travels,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,BlockedCorner3,OffensiveGoaltends,team_id,year,season,team_vs
1628389-1629130-1629134-202710-203473,1610612748,"Bam Adebayo, Duncan Robinson, Kendrick Nunn, Jimmy Butler, Dewayne Dedmon","Adebayo, Robinson, Nunn, Butler, Dedmon",1628389-1629130-1629134-202710-203473,MIA,45.0,1,1.0,-1.0,2.0,2.0,2.0,2.0,4,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,128.0,8.5,14.0,8.5,14.0,1.0,1.0,1.0,1.0,0.4244,0.4244,1.0,14.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-1629134-202710-2738,1610612748,"Bam Adebayo, Duncan Robinson, Kendrick Nunn, Jimmy Butler, Andre Iguodala","Adebayo, Robinson, Nunn, Butler, Iguodala",1628389-1629130-1629134-202710-2738,MIA,28.0,1,,-3.0,1.0,1.0,,1.0,2,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,102.85714285714286,28.0,,28.0,,,,,,0.50085,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-1629134-202710-2772,1610612748,"Bam Adebayo, Duncan Robinson, Kendrick Nunn, Jimmy Butler, Trevor Ariza","Adebayo, Robinson, Nunn, Butler, Ariza",1628389-1629130-1629134-202710-2772,MIA,1920.0,3,32.0,-15.0,69.0,69.0,8.0,13.0,138,3.0,12.0,14.0,32.0,4.0,62.0,77.0,,3.0,2.0,8.0,18.0,9.0,17.0,3.0,42.0,8.0,6.0,1.0,59.0,8.0,8.0,1.0,0.6428571428571429,0.6428571428571429,0.4375,,0.4915254237288136,0.42857142857142855,0.5,0.5,103.5,14.376811594202898,13.44927536231884,14.217391304347826,12.884057971014492,0.2033898305084746,0.25,0.25,1.0,0.501243220338983,0.49502857142857143,0.12903225806451613,10.221875,0.11594202898550725,7.0,27.0,10.0,2.0,0.4576271186440678,0.11864406779661017,0.6101694915254238,26.04074074074074,2.0,6.0,9.0,5.0,11.0,2.0,8.0,20.0,1.0,1.0,2.0,4.0,10.0,1.0,1.0,1.0,3.0,2.0,4.0,10.0,24.0,6.0,20.0,8.0,8.0,6.0,2.0,5.0,1.0,1.0,1.0,14.0,9.0,2.0,25.0,2.0,27.0,4.0,3.0,1.0,5.0,3.0,2.0,4.0,1.0,3.0,9.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.8,0.37037037037037035,1.0,0.5,0.37037037037037035,0.75,0.75,0.5555555555555556,1.0,0.6,0.05555555555555555,0.7368421052631579,0.058823529411764705,0.6764705882352942,0.05714285714285714,0.3333333333333333,0.08333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,1.0,0.15254237288135594,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.1864406779661017,0.45454545454545453,0.45454545454545453,0.2,0.2857142857142857,0.2857142857142857,1.0,0.3389830508474576,0.4,0.4,0.75,0.5,1.0,1.0,0.5714285714285714,0.5,0.4,0.4498,0.03278688524590164,0.058823529411764705,0.04838709677419355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-1629639-201609-202710,1610612748,"Bam Adebayo, Duncan Robinson, Tyler Herro, Goran Dragic, Jimmy Butler","Adebayo, Robinson, Herro, Dragic, Butler",1628389-1629130-1629639-201609-202710,MIA,27.0,1,,,1.0,,1.0,,1,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,53.33333333333333,25.0,,25.0,,,,,,0.2396,0.2396,,6.4,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-1629639-202710-2738,1610612748,"Bam Adebayo, Duncan Robinson, Tyler Herro, Jimmy Butler, Andre Iguodala","Adebayo, Robinson, Herro, Butler, Iguodala",1628389-1629130-1629639-202710-2738,MIA,37.0,1,1.0,2.0,2.0,1.0,,,3,,,,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,0.3333333333333333,,116.75675675675676,14.0,9.0,13.5,9.0,,,,,0.57695,,,4.9,,,,,,,,0.5,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.5,1.0,,1.0,0.5,,,,,,1.0,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,0.7504,0.3333333333333333,0.3333333333333333,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-201609-202357-202710,1610612748,"Bam Adebayo, Duncan Robinson, Goran Dragic, Nemanja Bjelica, Jimmy Butler","Adebayo, Robinson, Dragic, Bjelica, Butler",1628389-1629130-201609-202357-202710,MIA,332.0,1,6.0,-1.0,11.0,12.0,,6.0,23,,,1.0,3.0,2.0,13.0,14.0,,,,,2.0,1.0,4.0,,11.0,1.0,2.0,,10.0,,,,1.0,1.0,0.3333333333333333,,0.6111111111111112,,0.65,,99.75903614457832,13.181818181818182,15.583333333333334,12.818181818181818,15.583333333333334,,,,,0.5086777777777778,,,8.633333333333333,,2.0,6.0,6.0,,0.6666666666666666,0.2222222222222222,0.7777777777777778,26.150000000000002,1.0,,1.0,1.0,2.0,1.0,2.0,4.0,,,,,3.0,,1.0,1.0,3.0,,,,9.0,,4.0,2.0,3.0,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,,3.0,1.0,,1.0,1.0,,,2.0,,3.0,,,1.0,1.0,,1.0,1.0,1.0,0.5,1.0,,0.5,1.5,1.5,0.5,1.0,1.0,0.5,1.0,,1.0,0.2,1.0,,1.0,,,,1.0,1.0,0.1111111111111111,,,,0.2222222222222222,0.5,0.5,1.0,0.5,0.5,1.0,0.4444444444444444,0.5,0.5,1.0,,,,,,0.5,0.5931,0.1,0.25,0.23076923076923078,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-201609-202710-203473,1610612748,"Bam Adebayo, Duncan Robinson, Goran Dragic, Jimmy Butler, Dewayne Dedmon","Adebayo, Robinson, Dragic, Butler, Dedmon",1628389-1629130-201609-202710-203473,MIA,227.0,1,4.0,2.0,7.0,8.0,3.0,5.0,15,,1.0,2.0,6.0,5.0,9.0,7.0,1.0,3.0,4.0,6.0,,,,,,6.0,7.0,1.0,3.0,6.0,3.0,1.0,,,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.45,0.6,95.15418502202644,20.571428571428573,10.375,18.428571428571427,10.375,0.14285714285714285,,,,0.5536214285714286,0.5572666666666667,0.6666666666666666,6.3500000000000005,0.42857142857142855,,1.0,1.0,,0.14285714285714285,,0.5714285714285714,26.1,3.0,2.0,3.0,,2.0,,,1.0,,,,,,2.0,,,6.0,,,4.0,,,1.0,,,,,,,1.0,1.0,,2.0,,2.0,3.0,5.0,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,,1.0,0.25,,1.0,1.0,0.4,1.0,1.0,1.0,,1.0,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,,0.2857142857142857,,,,,,,0.14285714285714285,,,,,,,,,,0.8615,0.2222222222222222,0.14285714285714285,0.6666666666666666,2.0,,1.0,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.2,1.0,0.6666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-201609-202710-2772,1610612748,"Bam Adebayo, Duncan Robinson, Goran Dragic, Jimmy Butler, Trevor Ariza","Adebayo, Robinson, Dragic, Butler, Ariza",1628389-1629130-201609-202710-2772,MIA,2213.0,3,37.0,-7.0,77.0,73.0,13.0,21.0,150,4.0,7.0,14.0,37.0,9.0,64.0,71.0,2.0,4.0,3.0,16.0,14.0,7.0,15.0,2.0,38.0,12.0,13.0,1.0,57.0,16.0,13.0,1.0,0.5,0.5,0.3783783783783784,0.5,0.41044776119402987,0.7222222222222222,0.4444444444444444,0.7272727272727273,97.60506100316313,14.753246753246753,14.753424657534246,14.376623376623376,14.219178082191782,0.1044776119402985,0.5714285714285714,0.5714285714285714,0.5,0.513079104477612,0.542038888888889,0.25,7.627027027027027,0.16883116883116883,11.0,30.0,22.0,2.0,0.44776119402985076,0.16417910447761194,0.6716417910447762,25.603333333333335,7.0,5.0,15.0,5.0,15.0,6.0,3.0,19.0,,,1.0,2.0,9.0,1.0,2.0,3.0,7.0,3.0,5.0,14.0,24.0,3.0,19.0,3.0,8.0,3.0,5.0,2.0,3.0,2.0,5.0,14.0,16.0,4.0,34.0,7.0,41.0,5.0,5.0,,6.0,6.0,1.0,8.0,,5.0,14.0,6.0,6.0,,1.0,4.0,1.0,,2.0,,0.8888888888888888,0.3,0.6666666666666666,0.6,0.3,0.75,0.7,0.42857142857142855,1.0,0.7619047619047619,0.21739130434782608,0.6666666666666666,0.09523809523809523,0.7142857142857143,0.1590909090909091,0.2,0.0625,0.8333333333333334,0.625,0.8571428571428571,0.6666666666666666,0.6666666666666666,,0.22388059701492538,0.3333333333333333,0.4166666666666667,0.4,0.22388059701492538,0.3333333333333333,0.3333333333333333,0.6,0.5454545454545454,0.5454545454545454,0.8333333333333334,0.2835820895522388,0.15789473684210525,0.15789473684210525,1.0,,,,0.2222222222222222,0.5,0.15789473684210525,0.68735,0.07042253521126761,0.1,0.109375,1.0,0.3,0.25,2.0,3.0,1.0,0.75,0.6666666666666666,1.0,,2.0,2.0,,1.0,,,1.0,1.0,,,0.024390243902439025,,0.2222222222222222,1.0,0.03225806451612903,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.08108108108108109,0.2,0.2,0.3333333333333333,0.6666666666666666,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629130-202710-2738-2772,1610612748,"Bam Adebayo, Duncan Robinson, Jimmy Butler, Andre Iguodala, Trevor Ariza","Adebayo, Robinson, Butler, Iguodala, Ariza",1628389-1629130-202710-2738-2772,MIA,13.0,1,,-1.0,,1.0,,1.0,1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,110.76923076923076,,13.0,,13.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2021,2020-21,False
1628389-1629134-1629639-201609-2738,1610612748,"Bam Adebayo, Kendrick Nunn, Tyler Herro, Goran Dragic, Andre Iguodala","Adebayo, Nunn, Herro, Dragic, Iguodala",1628389-1629134-1629639-201609-2738,MIA,1147.0,4,19.0,10.0,42.0,39.0,4.0,5.0,81,3.0,5.0,13.0,22.0,6.0,44.0,34.0,2.0,2.0,,4.0,2.0,1.0,3.0,,8.0,7.0,7.0,,42.0,4.0,4.0,,0.07692307692307693,0.08333333333333333,0.5909090909090909,1.0,0.5428571428571428,1.0,0.5789473684210527,1.0,101.69136878814298,12.976190476190476,15.435897435897436,12.880952380952381,15.205128205128204,0.14285714285714285,0.6,0.6,,0.48475571428571423,0.523,0.09090909090909091,7.5636363636363635,0.09523809523809523,2.0,13.0,6.0,,0.37142857142857144,0.05714285714285714,0.6857142857142857,26.246153846153845,1.0,6.0,11.0,4.0,6.0,,4.0,11.0,,1.0,,,4.0,1.0,,1.0,2.0,,,24.0,6.0,6.0,11.0,4.0,2.0,2.0,,1.0,,2.0,,7.0,7.0,,14.0,2.0,16.0,5.0,1.0,4.0,4.0,2.0,4.0,2.0,,,6.0,2.0,1.0,1.0,,4.0,2.0,2.0,2.0,2.0,0.5,0.3076923076923077,,,0.3076923076923077,0.5,0.5,0.6666666666666666,,0.875,,0.5833333333333334,0.25,0.7,0.11764705882352941,,0.3333333333333333,1.0,0.8,1.0,0.5454545454545454,1.0,1.0,0.3142857142857143,0.5454545454545454,0.6,0.16666666666666666,0.17142857142857143,0.6666666666666666,0.6666666666666666,,,,,0.3142857142857143,0.36363636363636365,0.36363636363636365,0.5,0.5,,,,,0.36363636363636365,,0.10526315789473684,0.16,0.045454545454545456,1.0,,0.5,,,,,,,1.0,2.0,2.0,1.0,,2.0,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,0.045454545454545456,0.09090909090909091,,,,,,,,,,,,,1610612748,2021,2020-21,False
