EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,Corner3FGA,FG2A,FG3A,OpponentPoints,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,Corner3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyCorner3FGA,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,Arc3FGA,PenaltyArc3FGA,NonHeaveArc3FGA,FoulsDrawn,Arc3Frequency,PenaltyArc3Frequency,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyPointsPct,FtPoints,PenaltyFtPoints,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangeFGA,Loose Ball Fouls,Offensive Fouls,NonShootingPenaltyNonTakeFouls,LongMidRangeFrequency,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,AtRimFGM,LongMidRangeFGM,Corner3FGM,PtsAssisted2s,TwoPtAssists,Corner3Assists,AtRimAssists,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeAssists,ShortMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,LongMidRangeAssists,OffThreePtRebounds,Technical Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChancePointsPct,BadPassSteals,Charge Fouls Drawn,ShortMidRangePctBlocked,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,PtsUnassisted3s,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyTurnovers,2pt And 1 Free Throw Trips,LongMidRangePctBlocked,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,SelfOReb,Travels,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockedShortMidRange,DefensiveGoaltends,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,OffCorner3ReboundPct,SecondChanceArc3Accuracy,team_id,year,season,team_vs
1628373-1628995-1629628-1630167-1630193,1610612752,"Frank Ntilikina, Kevin Knox II, RJ Barrett, Obi Toppin, Immanuel Quickley","Ntilikina, Knox II, Barrett, Toppin, Quickley",1628373-1628995-1629628-1630167-1630193,NYK,152.0,1,3.0,-5.0,5.0,5.0,5.0,1.0,10,3.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,94.73684210526316,19.0,11.4,18.8,11.4,0.75,0.25,1.0,1.0,0.6386625,0.8254,1.3333333333333333,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628373-1629628-201565-203457-203944,1610612752,"Frank Ntilikina, RJ Barrett, Derrick Rose, Nerlens Noel, Julius Randle","Ntilikina, Barrett, Rose, Noel, Randle",1628373-1629628-201565-203457-203944,NYK,25.0,1,,,1.0,,,,1,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,57.599999999999994,23.0,,23.0,,,1.0,,1.0,0.55335,,,23.0,1.0,1.0,1.0,1.0,1.0,0.55335,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628373-1629628-203457-203493-203944,1610612752,"Frank Ntilikina, RJ Barrett, Nerlens Noel, Reggie Bullock, Julius Randle","Ntilikina, Barrett, Noel, Bullock, Randle",1628373-1629628-203457-203493-203944,NYK,23.0,1,,,1.0,,,,1,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,62.60869565217391,23.0,,23.0,,,,,1.0,0.30645,,,27.8,1.0,,1.0,1.0,,0.30645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628373-201959-202692-203493-203944,1610612752,"Frank Ntilikina, Taj Gibson, Alec Burks, Reggie Bullock, Julius Randle","Ntilikina, Gibson, Burks, Bullock, Randle",1628373-201959-202692-203493-203944,NYK,9.0,1,,2.0,1.0,,,,1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,9.0,,9.0,,,,,,0.3119,,6.4,,1.0,,,1.0,,0.3119,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628373-202692-203457-203493-203944,1610612752,"Frank Ntilikina, Alec Burks, Nerlens Noel, Reggie Bullock, Julius Randle","Ntilikina, Burks, Noel, Bullock, Randle",1628373-202692-203457-203493-203944,NYK,2.0,1,,2.0,1.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.0,2.0,,2.0,,,,,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,2.0,,,2.0,,2.0,2.0,,,,,1.0,1.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628995-1629628-1630167-1630193-202692,1610612752,"Kevin Knox II, RJ Barrett, Obi Toppin, Immanuel Quickley, Alec Burks","Knox II, Barrett, Toppin, Quickley, Burks",1628995-1629628-1630167-1630193-202692,NYK,33.0,1,1.0,-4.0,2.0,2.0,2.0,,4,,,,1.0,,4.0,,,,,,,,,,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,174.54545454545453,10.5,6.0,10.5,6.0,,,,,0.4106,,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628995-1629628-1630167-202692-203944,1610612752,"Kevin Knox II, RJ Barrett, Obi Toppin, Alec Burks, Julius Randle","Knox II, Barrett, Toppin, Burks, Randle",1628995-1629628-1630167-202692-203944,NYK,25.0,1,,,,1.0,,,1,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,57.599999999999994,,9.0,,9.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1629628-1630167-1630193-201959-202692,1610612752,"RJ Barrett, Obi Toppin, Immanuel Quickley, Taj Gibson, Alec Burks","Barrett, Toppin, Quickley, Gibson, Burks",1629628-1630167-1630193-201959-202692,NYK,91.0,1,2.0,3.0,4.0,3.0,,,7,,,,,2.0,,,,,,3.0,,3.0,,3.0,,,1.0,,2.0,1.0,,,,1.0,,,1.0,,,1.0,,110.76923076923077,11.25,15.333333333333334,11.25,15.333333333333334,,,,1.0,0.53625,,,25.4,,,,,,,,2.0,,2.0,1.0,1.0,,,,,3.0,,,,,3.0,,,,0.75,,0.75,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1629628-1630167-1630193-202692-203457,1610612752,"RJ Barrett, Obi Toppin, Immanuel Quickley, Alec Burks, Nerlens Noel","Barrett, Toppin, Quickley, Burks, Noel",1629628-1630167-1630193-202692-203457,NYK,382.0,1,6.0,-1.0,12.0,12.0,,,24,2.0,,1.0,4.0,4.0,14.0,,,,2.0,2.0,,4.0,,4.0,2.0,,3.0,1.0,3.0,0.5,,,,0.5,,1.0,0.6666666666666666,,,1.0,1.0,90.47120418848168,15.25,16.583333333333332,15.25,15.333333333333334,0.25,0.125,,0.75,0.58105625,,6.6,25.775,,,,,,,,3.0,,3.0,3.0,0.375,,1.0,1.0,4.0,13.0,,,,4.0,13.0,,1.0,,0.6875,,0.65,,0.125,1.0,1.0,,2.0,,4.0,,,1.0,1.0,1.0,,0.125,,1.0,3.0,,1.0,3.0,,7.0,1.0,,,,,,1.0,0.25,0.25,0.3333333333333333,0.5,,,,,,,2.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1629628-1630167-1630193-203457-203493,1610612752,"RJ Barrett, Obi Toppin, Immanuel Quickley, Nerlens Noel, Reggie Bullock","Barrett, Toppin, Quickley, Noel, Bullock",1629628-1630167-1630193-203457-203493,NYK,25.0,1,,,,1.0,,,1,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,,57.599999999999994,,18.0,,18.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
