EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BadPassTurnovers,Loose Ball Fouls,LongMidRangeFGM,LongMidRangeFGA,FG2M,PtsUnassisted2s,DefTwoPtRebounds,Fg2Pct,DefTwoPtReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PtsAssisted2s,TwoPtAssists,AtRimAssists,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShortMidRangeFGA,LongMidRangeAssists,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,LongMidRangePctAssisted,ShortMidRangeFGM,OffThreePtRebounds,DeadBallTurnovers,Travels,SecondChanceTurnovers,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,Corner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Steals,LostBallSteals,SecondChanceFg3Pct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,Corner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,ShortMidRangeAssists,ShortMidRangePctAssisted,Fg2aBlocked,FTDefRebounds,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,PenaltyCorner3FGA,BadPassSteals,PenaltyCorner3Frequency,Technical Free Throw Trips,AtRimPctBlocked,PtsPutbacks,LostBallOutOfBoundsTurnovers,Offensive Fouls,SecondChanceArc3PctAssisted,Corner3FGM,Corner3Assists,ThreePtShootingFoulsDrawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ThreePtShootingFoulsDrawnPct,Offensive Fouls Drawn,Blocked3s,BlockedCorner3,StepOutOfBoundsTurnovers,Charge Fouls Drawn,OffLongMidRangeReboundPct,BlockedLongMidRange,BlockedShortMidRange,FTOffRebounds,OffFTReboundPct,Charge Fouls,SecondChanceCorner3FGA,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,Defensive 3 Seconds Violations,LongMidRangePctBlocked,BlockedArc3,3pt And 1 Free Throw Trips,Corner3PctBlocked,OffensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
1628372-1628373-1628995-1629033-203457,1610612752,"Dennis Smith Jr., Frank Ntilikina, Kevin Knox II, Theo Pinson, Nerlens Noel","Smith Jr., Ntilikina, Knox II, Pinson, Noel",1628372-1628373-1628995-1629033-203457,NYK,117.0,1,2.0,3.0,4.0,4.0,4.0,4.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,0.75,0.75,0.8333333333333334,1.0,0.8333333333333334,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,98.46153846153847,16.75,12.5,16.5,12.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.513975,0.513975,0.3333333333333333,0.5,0.4,1.0,1.3,26.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628372-1628373-1628995-1629033-203944,1610612752,"Dennis Smith Jr., Frank Ntilikina, Kevin Knox II, Theo Pinson, Julius Randle","Smith Jr., Ntilikina, Knox II, Pinson, Randle",1628372-1628373-1628995-1629033-203944,NYK,30.0,1,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,96.0,10.0,20.0,10.0,20.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628372-1628995-1629011-1629628-203085,1610612752,"Dennis Smith Jr., Kevin Knox II, Mitchell Robinson, RJ Barrett, Austin Rivers","Smith Jr., Knox II, Robinson, Barrett, Rivers",1628372-1628995-1629011-1629628-203085,NYK,158.0,1,3.0,1.0,4.0,5.0,,5.0,,9.0,,,1.0,1.0,,,2.0,1.0,1.0,,5.0,4.0,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,2.0,3.0,,3.0,,1.0,,1.0,,,,,,,5.0,,,1.0,1.0,,1.0,0.8333333333333334,,0.8333333333333334,,,0.3333333333333333,1.0,,0.6666666666666666,0.75,,,0.5,,82.0253164556962,16.5,18.4,16.5,17.2,,0.3333333333333333,1.0,1.0,1.0,,,,0.3333333333333333,1.0,0.44754999999999995,,,,,,19.65,25.0,,1.0,,1.0,2.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628372-1628995-1629011-202692-203493,1610612752,"Dennis Smith Jr., Kevin Knox II, Mitchell Robinson, Alec Burks, Reggie Bullock","Smith Jr., Knox II, Robinson, Burks, Bullock",1628372-1628995-1629011-202692-203493,NYK,115.0,1,2.0,,4.0,4.0,3.0,,1.0,8.0,4.0,2.0,,1.0,,1.0,4.0,,1.0,1.0,7.0,7.0,1.0,3.0,2.0,,1.0,,4.0,,1.0,,,2.0,,4.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,,,,,0.6,0.6666666666666666,0.7,1.5,0.6666666666666666,0.2,,1.0,,,0.5,1.0,,,100.17391304347825,16.0,12.75,13.75,11.0,0.8,0.2,,,,0.6666666666666666,0.3333333333333333,,1.0,,0.58703,0.6264833333333334,0.2,0.25,0.42857142857142855,0.5714285714285714,1.925,24.8,0.75,,,,,3.0,2.0,,0.75,,,,,,,3.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.75,0.75,0.6666666666666666,1.0,1.0,1.0,1.0,0.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628372-1628995-1629011-202692-203944,1610612752,"Dennis Smith Jr., Kevin Knox II, Mitchell Robinson, Alec Burks, Julius Randle","Smith Jr., Knox II, Robinson, Burks, Randle",1628372-1628995-1629011-202692-203944,NYK,76.0,1,1.0,2.0,2.0,3.0,,,,5.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,1.0,,2.0,1.0,,2.0,1.0,3.0,,1.0,,1.0,,,,1.0,,,2.0,,,,,,,0.5,,0.5,,,,1.0,1.0,,1.0,1.0,,,,94.73684210526316,14.5,15.666666666666666,14.5,15.666666666666666,,,,,,,,,,,0.41295,,,,,,12.65,,,1.0,,1.0,1.0,1.0,,2.0,0.5,1.0,1.0,,0.5,1.0,1.0,,,,,,,,2.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628372-1628995-1629033-1629649-1630193,1610612752,"Dennis Smith Jr., Kevin Knox II, Theo Pinson, Ignas Brazdeikis, Immanuel Quickley","Smith Jr., Knox II, Pinson, Brazdeikis, Quickley",1628372-1628995-1629033-1629649-1630193,NYK,107.0,1,2.0,-3.0,4.0,4.0,,4.0,1.0,8.0,,,,1.0,,,2.0,,1.0,,4.0,7.0,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,2.0,,,,1.0,,1.0,2.0,,,,4.0,,,,,,,0.6666666666666666,,0.6666666666666666,,,0.3333333333333333,,,1.0,1.0,1.0,,1.0,,107.66355140186916,13.75,13.0,13.0,13.0,,0.3333333333333333,,,,,,,0.3333333333333333,,0.39493333333333336,,,,,,11.15,24.8,,,,1.0,1.0,2.0,4.0,,1.0,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.3333333333333333,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628372-1628995-1629033-1630167-203457,1610612752,"Dennis Smith Jr., Kevin Knox II, Theo Pinson, Obi Toppin, Nerlens Noel","Smith Jr., Knox II, Pinson, Toppin, Noel",1628372-1628995-1629033-1630167-203457,NYK,14.0,1,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,,,1.0,1.0,,,,,,,0.25,0.5,0.25,1.0,,,,,1.0,,,,102.85714285714286,14.0,,12.0,,,1.0,,,,,1.0,,1.0,,0.47565,0.47565,,,1.0,1.0,,25.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628372-1628995-1629033-1630193-203457,1610612752,"Dennis Smith Jr., Kevin Knox II, Theo Pinson, Immanuel Quickley, Nerlens Noel","Smith Jr., Knox II, Pinson, Quickley, Noel",1628372-1628995-1629033-1630193-203457,NYK,117.0,1,2.0,4.0,5.0,4.0,,4.0,1.0,9.0,1.0,,2.0,3.0,,,1.0,2.0,3.0,,8.0,4.0,,,,,,,,3.0,3.0,2.0,1.0,1.0,1.0,3.0,,1.0,2.0,1.0,3.0,,1.0,1.0,2.0,,1.0,2.0,,,,8.0,,,0.5,0.6666666666666666,,0.6666666666666666,1.0,,1.0,,,0.75,0.5,,1.0,1.0,1.0,,1.0,,110.76923076923077,10.6,16.0,10.0,16.0,0.25,0.75,0.6666666666666666,0.6666666666666666,0.5,,,,1.0,0.6666666666666666,0.5515,,,,,,0.5,26.03333333333333,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628372-1628995-1629628-202692-203457,1610612752,"Dennis Smith Jr., Kevin Knox II, RJ Barrett, Alec Burks, Nerlens Noel","Smith Jr., Knox II, Barrett, Burks, Noel",1628372-1628995-1629628-202692-203457,NYK,402.0,1,7.0,-5.0,11.0,11.0,3.0,7.0,3.0,22.0,4.0,1.0,1.0,5.0,,2.0,8.0,1.0,6.0,,9.0,14.0,,5.0,2.0,,2.0,,2.0,,5.0,1.0,,,,,2.0,,2.0,4.0,6.0,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,,,4.0,2.0,3.0,,0.16666666666666666,,0.16666666666666666,0.32142857142857145,0.25,0.32142857142857145,0.625,0.25,0.42857142857142855,0.5,0.4,,0.4,0.4444444444444444,0.5,,0.1111111111111111,78.80597014925372,21.636363636363637,14.909090909090908,19.09090909090909,14.272727272727273,0.2857142857142857,0.35714285714285715,0.2,0.2,,0.25,0.5,,0.7142857142857143,0.2,0.48639642857142856,0.452325,,,0.5555555555555556,0.2222222222222222,6.2875,25.366666666666664,0.2727272727272727,,,,1.0,3.0,6.0,2.0,0.375,0.4,0.25,,0.07142857142857142,,,,,2.0,,1.0,3.0,1.0,,,,,,,,0.3333333333333333,0.5,0.625,,,,0.5,,,,0.45408333333333334,3.0,,2.0,2.0,2.0,,,,,0.21428571428571427,,3.0,2.0,1.0,1.0,1.0,,,0.5,0.3333333333333333,1.0,1.0,,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
1628372-1628995-1630167-203457-203493,1610612752,"Dennis Smith Jr., Kevin Knox II, Obi Toppin, Nerlens Noel, Reggie Bullock","Smith Jr., Knox II, Toppin, Noel, Bullock",1628372-1628995-1630167-203457-203493,NYK,13.0,1,,-1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,110.76923076923076,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2021,2020-21,True
