EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,FG2M,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,Steals,BadPassSteals,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGA,Corner3FGA,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,DefLongMidRangeReboundPct,AtRimFrequency,Corner3Frequency,AtRimFGM,PtsAssisted2s,TwoPtAssists,AtRimAssists,ShootingFouls,Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAssists,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Offensive Fouls,Technical Free Throw Trips,LongMidRangePctAssisted,Offensive Fouls Drawn,SecondChanceOffPoss,SecondChanceAtRimFGA,Corner3FGM,SecondChanceFG2A,Corner3Assists,OffTwoPtRebounds,OffRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,Travels,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,BlockedShortMidRange,DefCorner3ReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,SelfOReb,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceArc3Frequency,PtsUnassisted3s,PenaltyTurnovers,ShortMidRangeAssists,Loose Ball Fouls,ShortMidRangePctAssisted,FTDefRebounds,DefFTReboundPct,SecondChanceAtRimFGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG3A,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,HeaveAttempts,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,AtRimPctBlocked,OffLongMidRangeReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyFtPoints,OffThreePtRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyArc3FGM,PenaltyFG3M,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyAtRimFGM,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChanceCorner3FGM,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,Charge Fouls,Charge Fouls Drawn,BlockedLongMidRange,Defensive 3 Seconds Violations,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,Corner3PctBlocked,BlockedCorner3,DefensiveGoaltends,team_id,year,season,team_vs
101108-1626163-1626164-1628470-1628969,1610612756,"Chris Paul, Frank Kaminsky, Devin Booker, Torrey Craig, Mikal Bridges","Paul, Kaminsky, Booker, Craig, Bridges",101108-1626163-1626164-1628470-1628969,PHX,144.0,1,2.0,-2.0,5.0,5.0,10.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,0.5,0.625,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,100.0,17.8,11.0,17.8,11.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.44743333333333335,0.25,0.3333333333333333,16.2,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,False
101108-1626163-1626164-1628470-1629661,1610612756,"Chris Paul, Frank Kaminsky, Devin Booker, Torrey Craig, Cameron Johnson","Paul, Kaminsky, Booker, Craig, Johnson",101108-1626163-1626164-1628470-1629661,PHX,141.0,2,2.0,4.0,4.0,4.0,8.0,1.0,,,4.0,,,,8.0,4.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,8.0,,,,1.0,1.0,,,0.5,,0.5,1.0,,81.70212765957446,18.25,17.0,18.25,17.0,0.25,,,,,,,0.42195,,,11.025,,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.4065,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,False
101108-1626163-1626164-1628470-203109,1610612756,"Chris Paul, Frank Kaminsky, Devin Booker, Torrey Craig, Jae Crowder","Paul, Kaminsky, Booker, Craig, Crowder",101108-1626163-1626164-1628470-203109,PHX,97.0,1,2.0,,4.0,4.0,8.0,,,,3.0,,1.0,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,0.25,,1.0,,1.0,1.0,,118.76288659793815,11.0,13.25,11.0,10.25,,,,,,0.5,,0.50375,,,6.2,22.7,,,,2.0,,,,,,,1.0,1.0,,,,,,,0.5,,,,,,,,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,False
101108-1626163-1626164-1628969-1629661,1610612756,"Chris Paul, Frank Kaminsky, Devin Booker, Mikal Bridges, Cameron Johnson","Paul, Kaminsky, Booker, Bridges, Johnson",101108-1626163-1626164-1628969-1629661,PHX,236.0,2,4.0,-3.0,9.0,10.0,19.0,,,1.0,6.0,,1.0,2.0,8.0,11.0,,1.0,,,2.0,,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,,,,0.42857142857142855,0.5714285714285714,0.14285714285714285,1.0,1.0,0.5,0.6666666666666666,,0.5,115.93220338983052,16.0,9.2,16.0,7.8,,0.14285714285714285,,,,0.5714285714285714,,0.49455714285714286,0.2857142857142857,0.3333333333333333,7.016666666666667,26.0,,,1.0,3.0,,3.0,,,,2.0,1.0,1.0,,,0.5,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,,,,3.0,,,,,,0.42857142857142855,,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,False
101108-1626163-1626164-1628969-203109,1610612756,"Chris Paul, Frank Kaminsky, Devin Booker, Mikal Bridges, Jae Crowder","Paul, Kaminsky, Booker, Bridges, Crowder",101108-1626163-1626164-1628969-203109,PHX,369.0,2,6.0,-3.0,12.0,10.0,22.0,1.0,,1.0,6.0,,1.0,2.0,10.0,13.0,,1.0,,,2.0,,4.0,1.0,2.0,3.0,3.0,1.0,,3.0,3.0,3.0,1.0,10.0,,,,0.5714285714285714,0.625,0.14285714285714285,0.3333333333333333,1.0,0.5,0.75,,1.0,85.85365853658536,15.916666666666666,17.8,15.916666666666666,17.0,0.14285714285714285,0.14285714285714285,,,,0.42857142857142855,,0.48837142857142857,0.125,0.14285714285714285,7.6499999999999995,26.5,1.0,,1.0,3.0,1.0,4.0,,,,4.0,1.0,1.0,,1.0,0.6666666666666666,,,,0.42857142857142855,0.3333333333333333,0.5,1.0,1.0,,,0.08333333333333333,2.0,,1.0,0.16666666666666666,0.3333333333333333,1.0,0.2857142857142857,,2.0,4.0,2.0,1.0,2.0,4.0,,,,,,0.5,0.5,,,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,False
101108-1626163-1626166-1627846-203109,1610612756,"Chris Paul, Frank Kaminsky, Cameron Payne, Abdel Nader, Jae Crowder","Paul, Kaminsky, Payne, Nader, Crowder",101108-1626163-1626166-1627846-203109,PHX,70.0,1,1.0,-3.0,2.0,3.0,5.0,,,1.0,1.0,,1.0,,,3.0,,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,0.5,,1.0,,1.0,1.0,,102.85714285714285,14.0,14.0,14.0,14.0,,0.5,,,,0.5,,0.470725,,,9.2,25.9,,3.0,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,False
101108-1626163-1626166-1628470-1629661,1610612756,"Chris Paul, Frank Kaminsky, Cameron Payne, Torrey Craig, Cameron Johnson","Paul, Kaminsky, Payne, Craig, Johnson",101108-1626163-1626166-1628470-1629661,PHX,420.0,2,7.0,-11.0,14.0,13.0,27.0,2.0,1.0,3.0,7.0,2.0,4.0,,12.0,23.0,6.0,3.0,1.0,2.0,5.0,1.0,12.0,1.0,1.0,2.0,3.0,,,4.0,1.0,,,12.0,1.0,0.5,0.5,0.5454545454545454,0.5454545454545454,0.36363636363636365,,1.0,0.3333333333333333,0.5,,0.5,92.57142857142857,14.785714285714286,16.384615384615383,14.714285714285714,15.692307692307692,0.18181818181818182,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.8181818181818182,0.3333333333333333,0.5492272727272728,,,6.114285714285714,26.2,,,,,1.0,3.0,,,,,1.0,,,,0.42857142857142855,,,,,,,0.5,0.5,,,,5.0,1.0,,,,,0.45454545454545453,0.09090909090909091,2.0,6.0,3.0,2.0,4.0,6.0,,,,,,1.0,1.0,1.0,,0.4,0.4,1.0,1.0,4.0,,,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,0.7605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,False
101108-1626163-1626166-1628470-203109,1610612756,"Chris Paul, Frank Kaminsky, Cameron Payne, Torrey Craig, Jae Crowder","Paul, Kaminsky, Payne, Craig, Crowder",101108-1626163-1626166-1628470-203109,PHX,83.0,1,1.0,2.0,3.0,3.0,6.0,,,,3.0,,,,2.0,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,2.0,,,,0.3333333333333333,0.3333333333333333,,,,1.0,0.3333333333333333,,,104.09638554216868,11.666666666666666,16.0,11.666666666666666,15.666666666666666,,,,,,0.3333333333333333,,0.5391666666666667,,,7.5,,,,1.0,2.0,,1.0,,,,2.0,,,,,0.3333333333333333,,,,0.6666666666666666,0.5,0.5,,,,,,1.0,,,,,,0.3333333333333333,,,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,False
101108-1626163-1626166-1628969-1629661,1610612756,"Chris Paul, Frank Kaminsky, Cameron Payne, Mikal Bridges, Cameron Johnson","Paul, Kaminsky, Payne, Bridges, Johnson",101108-1626163-1626166-1628969-1629661,PHX,91.0,1,2.0,3.0,3.0,3.0,6.0,,1.0,2.0,2.0,1.0,2.0,,5.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0,3.0,,,,,,,5.0,1.0,0.5,0.5,0.625,0.625,0.5,,1.0,1.0,1.0,,1.0,94.94505494505495,15.666666666666666,14.666666666666666,13.0,14.666666666666666,,0.5,0.5,0.5,1.0,0.75,0.5,0.543625,,,5.2,25.55,,,,1.0,,1.0,,,,,,,,,0.5,,,,0.25,,,,,,,,1.0,,,,,,0.25,,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,1.0,0.5,,,,,,0.65805,,,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,False
101108-1626163-1626166-1629661-203109,1610612756,"Chris Paul, Frank Kaminsky, Cameron Payne, Cameron Johnson, Jae Crowder","Paul, Kaminsky, Payne, Johnson, Crowder",101108-1626163-1626166-1629661-203109,PHX,130.0,1,2.0,1.0,4.0,3.0,7.0,,2.0,2.0,2.0,2.0,2.0,,8.0,7.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,,,,,,,,1.0,,,8.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,77.53846153846155,18.25,19.0,18.25,19.0,,0.5,1.0,1.0,1.0,0.5,1.0,0.447925,,,9.35,27.55,,,1.0,2.0,,1.0,,,,2.0,,,,,0.5,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2021,2020-21,False
