EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,Points,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,ShortMidRangeAssists,DeadBallTurnovers,PenaltyTurnovers,Fouls,Offensive Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,DefThreePtRebounds,Travels,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGA,SecondChanceFG2A,AtRimAssists,ShootingFouls,Loose Ball Fouls,AtRimPctAssisted,Corner3Frequency,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,AtRimPctBlocked,PenaltyArc3FGM,PenaltyFG3M,BadPassOutOfBoundsTurnovers,PenaltyFg3Pct,PenaltyArc3Accuracy,OffTwoPtRebounds,LostBallTurnovers,OffTwoPtReboundPct,OffLongMidRangeReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGA,PenaltyFtPoints,PtsUnassisted3s,HeaveMakes,HeaveAttempts,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedLongMidRange,Blocks,OffAtRimReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,BlockedAtRim,FTDefRebounds,3SecondViolations,DefFTReboundPct,Corner3FGM,SecondChanceFG2M,Corner3Assists,ThreePtShootingFoulsDrawn,SecondChanceFg2Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,LostBallSteals,RecoveredBlocks,Defensive 3 Seconds Violations,BlocksRecoveredPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,NonShootingFoulsDrawn,PtsPutbacks,DefensiveGoaltends,LongMidRangePctBlocked,PenaltyCorner3FGA,PenaltyCorner3Frequency,BlockedShortMidRange,Technical Free Throw Trips,OffCorner3ReboundPct,SelfOReb,SelfORebPct,Blocked3s,BlockedArc3,PenaltyCorner3FGM,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips,BlockedCorner3,Arc3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1032-1501-1747-2038-283,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Joel Przybilla, Lindsey Hunter","Ham, Thomas, Alston, Przybilla, Hunter",1032-1501-1747-2038-283,MIL,108.0,1,2.0,8.0,4.0,4.0,4.0,1.0,8,2.0,3.0,2.0,3.0,2.0,8.0,6.0,3.0,2.0,2.0,2.0,2.0,6.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,106.66666666666666,10.25,16.75,9.25,16.75,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.5382,0.25,1.0,24.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,False
1032-1501-1747-2038-998,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Joel Przybilla, Mark Pope","Ham, Thomas, Alston, Przybilla, Pope",1032-1501-1747-2038-998,MIL,110.0,1,2.0,3.0,4.0,4.0,4.0,,8,,,,,,4.0,,,,,1.0,,2.0,,2.0,2.0,,2.0,,,,,1.0,,,,4.0,,,,0.6666666666666666,0.6666666666666666,,,1.0,,1.0,,,1.0,104.72727272727273,12.5,15.0,12.5,15.0,,,,,0.3333333333333333,,0.4977666666666667,,,,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,1.0,0.4977666666666667,1.0,6.366666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,False
1032-1501-1747-281-283,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Scott Williams, Lindsey Hunter","Ham, Thomas, Alston, Williams, Hunter",1032-1501-1747-281-283,MIL,178.0,1,3.0,,6.0,6.0,,,12,,1.0,,1.0,,4.0,,1.0,,,1.0,,2.0,,2.0,3.0,,3.0,1.0,1.0,2.0,2.0,3.0,,,,4.0,,,,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,,0.6,,,,97.07865168539325,9.333333333333334,20.333333333333332,9.333333333333334,18.666666666666668,0.3333333333333333,,,,0.3333333333333333,,0.40346666666666664,,,29.3,,,,,,,,2.0,2.0,4.0,,,,2.0,2.0,,1.0,,1.0,,2.0,,,,,0.5,0.5,1.0,,,,,,1.0,,,,,,,,,,,,17.65,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,False
1032-1501-1747-281-951,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Scott Williams, Ray Allen","Ham, Thomas, Alston, Williams, Allen",1032-1501-1747-281-951,MIL,238.0,1,4.0,-1.0,6.0,6.0,,1.0,12,1.0,2.0,1.0,3.0,,7.0,3.0,2.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,7.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.42857142857142855,,1.0,0.5,1.0,0.25,1.0,1.0,72.60504201680672,23.5,16.166666666666668,20.5,16.166666666666668,0.2857142857142857,0.5,0.5,1.0,0.5714285714285714,0.5,0.4563857142857143,,,25.96666666666667,,1.0,1.0,,,,2.0,2.0,4.0,8.0,,,,4.0,,,2.0,,,,3.0,,,,,1.0,1.0,0.5,,,,,,,0.14285714285714285,1.0,1.0,0.2857142857142857,,,,,,,,9.075,,1.0,1.0,1.0,,,,,,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,False
1032-1501-1747-281-998,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Scott Williams, Mark Pope","Ham, Thomas, Alston, Williams, Pope",1032-1501-1747-281-998,MIL,72.0,1,1.0,,2.0,2.0,2.0,,4,,1.0,,1.0,,2.0,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,2.0,,,,0.5,0.5,0.5,,,,,,,,80.0,17.5,18.5,17.5,18.5,0.5,,,,0.5,,0.43155,,,25.6,2.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,,,1.0,1.0,,,,,2.0,2.0,,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,0.5,1.0,1.0,1.0,,,0.43155,1.0,12.5,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,False
1032-1501-1747-283-911,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Lindsey Hunter, Ervin Johnson","Ham, Thomas, Alston, Hunter, Johnson",1032-1501-1747-283-911,MIL,96.0,1,2.0,,2.0,2.0,2.0,,4,,,,,,2.0,,,,,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,,,2.0,,,,0.5,0.5,,,0.5,,0.5,,,1.0,60.0,25.5,22.5,25.5,17.5,,,,,0.5,,0.4677,,,,,,1.0,,,1.0,1.0,1.0,2.0,2.0,,,,2.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,0.5,,,,0.5,,,0.5,,,0.5,1.0,1.0,1.0,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,False
1032-1501-1747-283-951,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Lindsey Hunter, Ray Allen","Ham, Thomas, Alston, Hunter, Allen",1032-1501-1747-283-951,MIL,198.0,1,3.0,-1.0,7.0,7.0,4.0,,14,3.0,4.0,3.0,4.0,,9.0,9.0,4.0,3.0,3.0,3.0,3.0,9.0,,,,,,,,1.0,1.0,2.0,,,,9.0,1.0,0.75,0.75,0.9,0.9,0.8,0.5,,,,,,,101.81818181818183,9.857142857142858,18.428571428571427,9.857142857142858,14.428571428571429,0.8,0.75,0.75,1.0,1.0,0.75,0.4967,,,24.625,7.0,,1.0,,1.0,,,,1.0,10.0,,1.0,9.0,,,,,,1.0,2.0,3.0,,9.0,7.0,2.0,,,,,0.9,0.9,,,,0.2,,,,,,,0.2,,0.4967,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,4.0,4.0,0.8,,3.0,3.0,1.0,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,False
1032-1501-1747-679-951,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Jason Caffey, Ray Allen","Ham, Thomas, Alston, Caffey, Allen",1032-1501-1747-679-951,MIL,172.0,1,3.0,5.0,5.0,5.0,,1.0,10,1.0,1.0,1.0,1.0,,9.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,,2.0,2.0,1.0,3.0,,,1.0,,1.0,1.0,,,9.0,1.0,1.0,1.0,0.9,0.9,0.2,1.0,1.0,,1.0,1.0,,1.0,83.72093023255813,14.0,20.4,13.8,20.4,0.2,1.0,1.0,1.0,0.2,1.0,0.43685,,,24.7,,,,,,,,3.0,4.0,4.0,,,,2.0,4.0,,1.0,,,,1.0,,,,,0.3333333333333333,0.3333333333333333,0.75,,,,,,,,,,,,,,,,,,18.175,,3.0,4.0,1.0,,,,,,0.8,0.75,0.75,0.3333333333333333,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,False
1032-1501-1747-911-951,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Ervin Johnson, Ray Allen","Ham, Thomas, Alston, Johnson, Allen",1032-1501-1747-911-951,MIL,132.0,1,2.0,,3.0,3.0,,2.0,6,1.0,2.0,1.0,2.0,1.0,6.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,,,2.0,2.0,,,,,,,2.0,1.0,2.0,1.0,0.5,0.5,0.625,0.6,0.5,,,1.0,,1.0,1.0,,65.45454545454545,23.666666666666668,20.333333333333332,19.333333333333332,20.333333333333332,0.5,0.5,0.5,1.0,0.5,0.5,0.459675,0.2,0.3333333333333333,25.55,,,,,,,1.0,1.0,2.0,6.0,,,,2.0,,,1.0,,,,2.0,,,,,1.0,1.0,0.5,,,,,,,,,,0.25,,,,,,,,14.25,,1.0,1.0,1.0,,,,,,0.25,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.5661,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,False
1032-1501-1747-951-998,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Ray Allen, Mark Pope","Ham, Thomas, Alston, Allen, Pope",1032-1501-1747-951-998,MIL,72.0,1,1.0,-2.0,2.0,3.0,,,5,,,,,,2.0,,,,,1.0,,2.0,,,,,,,,,,,,,,2.0,,,,0.5,0.5,,,,,,,,,100.0,9.0,18.0,9.0,18.0,,,,,0.5,,0.56035,,,,2.0,1.0,1.0,1.0,1.0,,,1.0,2.0,4.0,1.0,2.0,2.0,2.0,,,1.0,,,,,,2.0,2.0,,1.0,1.0,0.5,0.5,0.5,0.5,,,,0.5,1.0,1.0,,,,,0.5,1.0,0.56035,1.0,10.9,1.0,,1.0,,,,,,,0.5,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,False
