EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,PenaltyOffPoss,TotalPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyPointsPct,PenaltyOffPossPct,Minutes,DefPoss,PenaltyDefPoss,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PtsUnassisted2s,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,ShootingFouls,Fouls,TwoPtShootingFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShortMidRangeFGM,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,SecondChanceFG3A,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefShortMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,AtRimAssists,AtRimPctAssisted,HeaveAttempts,ShortMidRangeAssists,Offensive Fouls,ShortMidRangePctAssisted,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,Corner3FGM,PenaltyCorner3FGM,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,LostBallTurnovers,NonShootingPenaltyNonTakeFouls,Assisted3sPct,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,DefCorner3ReboundPct,Technical Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,PenaltyArc3FGM,Arc3Assists,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockedAtRim,Arc3PctAssisted,PenaltyArc3Accuracy,FTDefRebounds,DefFTReboundPct,OffArc3ReboundPct,DefensiveGoaltends,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,3SecondViolations,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,Corner3PctBlocked,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
1065-1594-164-275-779,1610612752,"Erick Strickland, Rick Brunson, Chris Childs, Allan Houston, Glen Rice","Strickland, Brunson, Childs, Houston, Rice",1065-1594-164-275-779,NYK,7.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.25,0.25,205.71428571428572,6.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,False
1065-1594-164-779-969,1610612752,"Erick Strickland, Rick Brunson, Chris Childs, Glen Rice, Travis Knight","Strickland, Brunson, Childs, Rice, Knight",1065-1594-164-779-969,NYK,40.0,1,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,108.0,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,0.6666666666666666,1.0,0.5,20.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,False
1065-1594-2068-703-969,1610612752,"Erick Strickland, Rick Brunson, Lavor Postell, Kurt Thomas, Travis Knight","Strickland, Brunson, Postell, Thomas, Knight",1065-1594-2068-703-969,NYK,305.0,1,11.0,10.0,10.0,21.0,9.0,17.0,9.0,17.0,10.0,2.0,11.0,17.0,10.0,0.6071428571428571,0.6071428571428571,99.14754098360656,9.6,9.0,1.0,1.0,5.0,11.0,5.0,2.0,1.0,3.0,7.0,1.0,1.0,1.0,,1.0,19.0,19.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,8.0,1.0,6.0,2.0,3.0,2.0,6.0,4.0,8.0,1.0,8.0,4.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,0.5,0.6666666666666666,0.5,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.75,0.1111111111111111,0.75,1.0,0.8,1.0,1.0,1.0,1.0,0.4444444444444444,0.75,0.75,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111,1.0,0.6666666666666666,0.4444444444444444,0.75,0.1111111111111111,0.5555555555555556,0.5153944444444445,0.6121,0.5153944444444445,0.25,0.2727272727272727,0.35294117647058826,8.1375,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,False
1065-1594-26-275-703,1610612752,"Erick Strickland, Rick Brunson, Luc Longley, Allan Houston, Kurt Thomas","Strickland, Brunson, Longley, Houston, Thomas",1065-1594-26-275-703,NYK,63.0,1,-5.0,2.0,2.0,4.0,,,,,,,,,2.0,,,91.42857142857143,15.0,15.0,,1.0,1.0,2.0,1.0,,,,,,,,,,16.5,16.5,,,,,,,,,,1.0,,,,1.0,,5.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.3917,,0.3917,,,,15.6,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,False
1065-1594-26-703-84,1610612752,"Erick Strickland, Rick Brunson, Luc Longley, Kurt Thomas, Latrell Sprewell","Strickland, Brunson, Longley, Thomas, Sprewell",1065-1594-26-703-84,NYK,650.0,2,11.0,20.0,6.0,38.0,11.0,24.0,1.0,5.0,11.0,2.0,20.0,5.0,6.0,0.5454545454545454,0.35714285714285715,84.18461538461538,15.2,14.95,0.20833333333333334,0.3,11.0,18.0,4.0,2.0,5.0,7.0,12.0,0.45454545454545453,0.6666666666666666,0.5,,1.0,19.22222222222222,18.0,3.0,1.0,7.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,,,5.0,13.0,4.0,13.0,1.0,3.0,2.0,4.0,2.0,5.0,2.0,8.0,2.0,,5.0,5.0,3.0,2.0,1.0,3.0,4.0,0.38461538461538464,0.3333333333333333,0.4,0.38235294117647056,0.25,0.2857142857142857,0.4,0.23529411764705882,0.625,,0.45454545454545453,0.8333333333333334,,,0.5,0.4117647058823529,0.14285714285714285,0.16666666666666666,0.17647058823529413,0.17647058823529413,0.6666666666666666,0.6666666666666666,,0.75,0.3333333333333333,0.42857142857142855,0.3333333333333333,,0.6470588235294118,0.5128823529411765,0.5754,0.5164214285714286,0.2,0.25,0.16666666666666666,6.699999999999999,24.75,,2.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,0.25,0.25,0.25,0.07692307692307693,0.14285714285714285,0.3333333333333333,0.5,0.2,0.6666666666666666,0.6666666666666666,0.5,0.23529411764705882,0.25,0.25,0.25,0.2857142857142857,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,False
1065-1594-275-703-948,1610612752,"Erick Strickland, Rick Brunson, Allan Houston, Kurt Thomas, Marcus Camby","Strickland, Brunson, Houston, Thomas, Camby",1065-1594-275-703-948,NYK,38.0,1,,1.0,1.0,3.0,,,,,,,,,1.0,,,113.6842105263158,22.0,22.0,,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,False
1065-1594-703-779-84,1610612752,"Erick Strickland, Rick Brunson, Kurt Thomas, Glen Rice, Latrell Sprewell","Strickland, Brunson, Thomas, Rice, Sprewell",1065-1594-703-779-84,NYK,86.0,1,-4.0,2.0,,5.0,,2.0,,,,,2.0,,,0.5,,83.72093023255813,18.5,18.5,,,1.0,3.0,,,,,,,,,,,16.333333333333332,16.333333333333332,,1.0,1.0,,,,,,,1.0,,,1.0,2.0,,6.0,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,0.5,1.0,1.0,,0.5,,,,,,,,,0.5,0.4757,,,,,,8.4,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,False
1065-1594-703-84-948,1610612752,"Erick Strickland, Rick Brunson, Kurt Thomas, Latrell Sprewell, Marcus Camby","Strickland, Brunson, Thomas, Sprewell, Camby",1065-1594-703-84-948,NYK,21.0,1,-2.0,,,1.0,,,,,,,,,,,,68.57142857142857,,,,,,1.0,1.0,,,,,,,,,,21.0,21.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,44.5,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,False
1065-164-2068-26-703,1610612752,"Erick Strickland, Chris Childs, Lavor Postell, Luc Longley, Kurt Thomas","Strickland, Childs, Postell, Longley, Thomas",1065-164-2068-26-703,NYK,149.0,1,1.0,5.0,,9.0,,6.0,,,,,6.0,,,1.0,,86.97986577181207,15.6,15.6,,,2.0,4.0,,,1.0,1.0,1.0,1.0,,0.5,,,17.75,15.75,,2.0,2.0,,,,,1.0,,,,,3.0,3.0,,5.0,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,,,,,,,,,,0.6666666666666666,0.4816666666666667,,,,,,1.8666666666666665,,,1.0,2.0,,1.0,,,,,,,6.0,,,,,3.0,3.0,,6.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,0.5,,,1.0,1.0,,,,,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,False
1065-164-2068-26-969,1610612752,"Erick Strickland, Chris Childs, Lavor Postell, Luc Longley, Travis Knight","Strickland, Childs, Postell, Longley, Knight",1065-164-2068-26-969,NYK,214.0,1,-3.0,7.0,3.0,14.0,1.0,1.0,,,2.0,,1.0,,3.0,0.07142857142857142,,94.2056074766355,15.428571428571429,14.285714285714286,,0.42857142857142855,4.0,7.0,1.0,1.0,4.0,5.0,7.0,0.8,1.0,0.8333333333333334,,1.0,15.142857142857142,14.714285714285714,2.0,,,,,,,4.0,,2.0,,,,6.0,,4.0,,2.0,,,,4.0,,,,,2.0,2.0,,,,2.0,1.0,,,,,,,,,0.3333333333333333,,0.3333333333333333,,0.5,,1.0,,,,0.6666666666666666,0.3333333333333333,,,,,,,,,,0.33831666666666665,0.2866,0.3189,0.14285714285714285,0.14285714285714285,,10.9,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.16666666666666666,,,0.75,,,,,,,,,,,,,,,1.0,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,False
