EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,PenaltyOffPoss,TotalPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyPointsPct,PenaltyOffPossPct,Minutes,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,DefensiveGoaltends,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceFG2A,SecondChanceShotQualityAvg,ShortMidRangeFGM,DefThreePtRebounds,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,BadPassSteals,LostBallOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffAtRimReboundPct,DefAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,NonHeaveArc3FGM,Arc3Assists,BadPassTurnovers,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChancePointsPct,Clear Path Fouls,SelfOReb,SelfORebPct,LongMidRangeFGM,SecondChanceFG2M,LongMidRangeAssists,ThreePtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PtsPutbacks,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,Loose Ball Fouls,PenaltyCorner3FGA,ShortMidRangeAssists,BlockedLongMidRange,ShortMidRangePctAssisted,PenaltyCorner3Frequency,2pt And 1 Free Throw Trips,OffCorner3ReboundPct,BadPassOutOfBoundsTurnovers,AtRimPctBlocked,LongMidRangePctBlocked,DefCorner3ReboundPct,BlockedAtRim,3SecondViolations,SecondChanceFtPoints,PtsUnassisted3s,Travels,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,Defensive 3 Seconds Violations,HeaveAttempts,HeaveMakes,OffensiveGoaltends,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
1562-1732-1751-1838-1888,1610612764,"Gerard King, Felipe Lopez, Jahidi White, Tyrone Nesby, Richard Hamilton","King, Lopez, White, Nesby, Hamilton",1562-1732-1751-1838-1888,WAS,15.0,1,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,96.0,15.0,15.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2001,2000-01,True
1562-1732-1751-1838-1919,1610612764,"Gerard King, Felipe Lopez, Jahidi White, Tyrone Nesby, Laron Profit","King, Lopez, White, Nesby, Profit",1562-1732-1751-1838-1919,WAS,352.0,1,-1.0,10.0,4.0,20.0,,6.0,,2.0,,,6.0,2.0,4.0,0.3333333333333333,0.25,81.81818181818183,15.6,15.4,0.3333333333333333,0.4,6.0,10.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,8.0,1.0,7.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.375,0.3333333333333333,0.3333333333333333,0.25,0.1111111111111111,0.25,0.6666666666666666,0.3333333333333333,1.0,0.75,0.4,0.75,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,19.6,18.9,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.25,1.0,0.25,0.4444444444444444,0.5060388888888889,0.5346125,7.5375,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2001,2000-01,True
1562-1732-1751-1838-43,1610612764,"Gerard King, Felipe Lopez, Jahidi White, Tyrone Nesby, Chris Whitney","King, Lopez, White, Nesby, Whitney",1562-1732-1751-1838-43,WAS,161.0,1,-5.0,5.0,,11.0,,,,,,,,,,,,98.38509316770187,21.4,19.2,,,3.0,6.0,,1.0,,,,,3.0,3.0,,,,6.0,,5.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,0.16666666666666666,,0.16666666666666666,,0.3333333333333333,,,9.0,9.0,,,,,0.5,0.5,,,,,,0.38208333333333333,,14.183333333333332,,1.0,0.3806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2001,2000-01,True
1562-1732-1751-1888-393,1610612764,"Gerard King, Felipe Lopez, Jahidi White, Richard Hamilton, Rod Strickland","King, Lopez, White, Hamilton, Strickland",1562-1732-1751-1888-393,WAS,210.0,4,1.0,7.0,,13.0,3.0,7.0,,,3.0,,7.0,,,0.5,,89.14285714285714,18.142857142857142,18.142857142857142,,,4.0,6.0,6.0,,1.0,1.0,,,2.0,1.0,1.0,,2.0,4.0,1.0,6.0,,,,,4.0,1.0,,,,,,,2.0,,3.0,,3.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,0.5,,0.4,,0.2,,,1.0,,0.6666666666666666,,0.75,,,,1.0,0.5,13.833333333333334,13.5,0.2,1.0,1.0,,0.4,0.2,0.2,,,,0.4,0.44309000000000004,,7.45,24.8,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.16666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2001,2000-01,True
1562-1732-1751-1888-43,1610612764,"Gerard King, Felipe Lopez, Jahidi White, Richard Hamilton, Chris Whitney","King, Lopez, White, Hamilton, Whitney",1562-1732-1751-1888-43,WAS,250.0,3,4.0,11.0,2.0,21.0,4.0,11.0,4.0,4.0,4.0,1.0,11.0,4.0,2.0,0.55,1.0,120.96,9.363636363636363,8.363636363636363,0.36363636363636365,0.18181818181818182,4.0,10.0,4.0,3.0,2.0,4.0,,,,3.0,,,2.0,7.0,1.0,7.0,,,,,4.0,,,,1.0,,3.0,3.0,1.0,1.0,5.0,3.0,8.0,1.0,,1.0,2.0,1.0,3.0,1.0,,1.0,5.0,1.0,,,,0.2857142857142857,,0.4375,,0.125,,,0.3333333333333333,0.5,0.2,0.6,0.5,0.6,,0.6666666666666666,,,14.7,13.4,0.5,0.5,0.5,,,0.375,,,,,0.625,0.55730625,,8.428571428571429,23.3,2.0,0.54025,,3.0,,1.0,1.0,1.0,,,0.1111111111111111,0.125,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.125,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2001,2000-01,True
1562-1732-1751-1888-436,1610612764,"Gerard King, Felipe Lopez, Jahidi White, Richard Hamilton, Juwan Howard","King, Lopez, White, Hamilton, Howard",1562-1732-1751-1888-436,WAS,211.0,1,,6.0,,12.0,,8.0,,,,,5.0,,,0.8,,81.8957345971564,17.0,16.166666666666668,,,4.0,6.0,,1.0,1.0,1.0,,,,2.0,2.0,,1.0,3.0,2.0,8.0,,,,,2.0,2.0,,,2.0,,6.0,1.0,2.0,,2.0,1.0,3.0,,,2.0,,1.0,2.0,,,1.0,2.0,,,,,0.3333333333333333,,0.8,,0.4,,,1.0,,1.0,0.5,1.0,0.5,,0.5,1.0,,18.166666666666668,18.166666666666668,0.2,1.0,1.0,,,0.4,0.4,,,,0.6,0.53062,,11.466666666666667,25.55,,0.6039,,,,,,,,,,,,,,2.0,6.0,2.0,,,,,1.0,1.0,1.0,,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2001,2000-01,True
1562-1732-1751-393-43,1610612764,"Gerard King, Felipe Lopez, Jahidi White, Rod Strickland, Chris Whitney","King, Lopez, White, Strickland, Whitney",1562-1732-1751-393-43,WAS,147.0,2,1.0,5.0,4.0,10.0,2.0,6.0,2.0,6.0,2.0,1.0,6.0,6.0,4.0,1.0,1.0,97.95918367346938,14.8,14.8,1.0,0.8,2.0,5.0,1.0,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,5.0,2.0,2.0,,,4.0,,,,,,,,1.0,,2.0,,2.0,,,2.0,,2.0,2.0,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,1.0,14.6,14.6,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,0.5862,0.5862,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2001,2000-01,True
1562-1732-1751-393-436,1610612764,"Gerard King, Felipe Lopez, Jahidi White, Rod Strickland, Juwan Howard","King, Lopez, White, Strickland, Howard",1562-1732-1751-393-436,WAS,276.0,3,8.0,9.0,,19.0,5.0,14.0,,,5.0,,14.0,,,0.5909090909090909,,99.1304347826087,14.333333333333334,13.333333333333334,,,5.0,10.0,2.0,2.0,2.0,5.0,,,1.0,1.0,2.0,,3.0,7.0,2.0,6.0,,,,2.0,4.0,2.0,,1.0,2.0,1.0,5.0,3.0,3.0,,3.0,3.0,6.0,1.0,1.0,1.0,,,1.0,,,1.0,2.0,,,0.3333333333333333,0.3333333333333333,0.42857142857142855,,0.5,,0.2222222222222222,,,1.0,,0.75,0.75,0.75,0.6,,1.0,1.0,1.0,14.7,14.7,0.5555555555555556,0.4,0.4,0.5,0.1111111111111111,0.1111111111111111,0.2222222222222222,,,,0.7777777777777778,0.5377277777777778,,3.9714285714285715,26.1,1.0,0.56165,1.0,,1.0,2.0,,,1.0,1.0,0.18181818181818182,0.2222222222222222,1.0,,,1.0,3.0,1.0,,,,,1.0,0.5,0.5,0.6666666666666666,,,,,,0.5,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,0.5,0.5,1.0,0.5,,,0.5,,,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2001,2000-01,True
1562-1732-1751-393-782,1610612764,"Gerard King, Felipe Lopez, Jahidi White, Rod Strickland, Mitch Richmond","King, Lopez, White, Strickland, Richmond",1562-1732-1751-393-782,WAS,311.0,1,2.0,9.0,1.0,17.0,4.0,15.0,,2.0,6.0,,13.0,2.0,1.0,0.8333333333333334,1.0,78.71382636655949,17.88888888888889,17.555555555555557,0.13333333333333333,0.1111111111111111,5.0,8.0,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,,4.0,6.0,1.0,13.0,1.0,1.0,,2.0,6.0,1.0,1.0,1.0,2.0,,5.0,1.0,2.0,,2.0,1.0,3.0,,,,1.0,,1.0,,,,1.0,1.0,,0.25,0.25,0.6666666666666666,1.0,0.7857142857142857,1.0,0.14285714285714285,0.16666666666666666,1.0,,,0.5,0.5,0.5,0.5,1.0,,1.0,1.0,18.75,18.125,0.2857142857142857,0.5,0.5,,0.14285714285714285,0.42857142857142855,0.14285714285714285,1.0,1.0,,0.42857142857142855,0.4462857142857143,0.4814,12.200000000000001,26.2,1.0,0.4289,,,1.0,1.0,,,,,0.2222222222222222,0.14285714285714285,,,,1.0,3.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,0.13333333333333333,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2001,2000-01,True
1562-1732-1751-43-436,1610612764,"Gerard King, Felipe Lopez, Jahidi White, Chris Whitney, Juwan Howard","King, Lopez, White, Whitney, Howard",1562-1732-1751-43-436,WAS,124.0,1,1.0,3.0,3.0,7.0,,6.0,,6.0,,,4.0,6.0,3.0,0.75,0.75,81.29032258064515,11.666666666666666,10.0,1.0,1.0,2.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,,,1.0,1.0,3.0,3.0,1.0,5.0,3.0,3.0,1.0,6.0,,1.0,,3.0,3.0,3.0,6.0,,1.0,,2.0,1.0,3.0,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,0.75,0.75,0.25,,,,,1.0,,1.0,1.0,,,,1.0,22.25,22.25,0.75,1.0,1.0,1.0,,,0.25,0.75,1.0,0.25,1.0,0.6714125,0.6714125,1.9000000000000001,24.8,1.0,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,1.0,1.0,,,,,,,,0.3333333333333333,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2001,2000-01,True
