EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,TotalPoss,Arc3FGA,FG3A,NonHeaveArc3FGA,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,Minutes,PlusMinus,DefPoss,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyArc3FGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceFG2A,OffTwoPtRebounds,OffRebounds,LostBallTurnovers,ShootingFouls,Fouls,2pt And 1 Free Throw Trips,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceShotQualityAvg,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Assisted2sPct,NonPutbacksAssisted2sPct,DefLongMidRangeReboundPct,LongMidRangePctAssisted,Corner3FGA,PenaltyCorner3FGA,Corner3Frequency,PenaltyCorner3Frequency,NonShootingFoulsDrawn,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,SecondChancePointsPct,SelfOReb,SelfORebPct,Loose Ball Fouls,Arc3FGM,PenaltyArc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Arc3Assists,LostBallSteals,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Technical Free Throw Trips,BlockedShortMidRange,3SecondViolations,SecondChanceFg3Pct,OffCorner3ReboundPct,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,BlockedLongMidRange,Blocked3s,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,team_id,year,season,team_vs
1035-1498-251-70-955,1610612759,"Shawnelle Scott, Antonio Daniels, Sean Elliott, Steve Kerr, Samaki Walker","Scott, Daniels, Elliott, Kerr, Walker",1035-1498-251-70-955,SAS,17.0,1,1.0,1,1.0,1.0,1.0,1.0,84.70588235294117,17.0,17.0,1.0,1.0,0.2757,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2001,2000-01,False
1035-1498-70-955-990,1610612759,"Shawnelle Scott, Antonio Daniels, Steve Kerr, Samaki Walker, Malik Rose","Scott, Daniels, Kerr, Walker, Rose",1035-1498-70-955-990,SAS,265.0,3,11.0,20,2.0,2.0,2.0,0.3333333333333333,108.67924528301886,13.818181818181818,13.818181818181818,0.3333333333333333,0.3333333333333333,0.4026083333333333,24.6,4.0,-1.0,9.0,11.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,6.0,7.0,2.0,4.0,2.0,2.0,6.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,6.0,6.0,11.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.25,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,1.0,12.555555555555555,11.666666666666666,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.4026083333333333,0.14285714285714285,0.2,1.0,13.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2001,2000-01,False
1035-1507-198-70-955,1610612759,"Shawnelle Scott, Derek Anderson, Danny Ferry, Steve Kerr, Samaki Walker","Scott, Anderson, Ferry, Kerr, Walker",1035-1507-198-70-955,SAS,191.0,1,6.0,12,1.0,1.0,1.0,0.2,90.47120418848168,18.833333333333332,17.833333333333332,0.2,0.4,0.41441,24.4,3.0,-5.0,6.0,2.0,,,1.0,,2.0,,1.0,4.0,1.0,3.0,8.0,,2.0,,,,2.0,,,,,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,3.0,,2.0,0.25,,0.2,,0.3,,,,0.5,,,,,,,13.0,12.0,0.2,,,0.4,,,,0.3334,0.2,0.25,,11.575,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.2,1.0,1.0,0.3406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2001,2000-01,False
1035-198-70-955-990,1610612759,"Shawnelle Scott, Danny Ferry, Steve Kerr, Samaki Walker, Malik Rose","Scott, Ferry, Kerr, Walker, Rose",1035-198-70-955-990,SAS,42.0,1,2.0,3,1.0,1.0,1.0,1.0,102.85714285714286,19.5,19.5,1.0,1.0,0.34575,25.9,1.0,-2.0,1.0,2.0,1.0,,,,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,2.0,,,,,,,,,1.0,,,,,,,3.0,3.0,,,,,,,1.0,0.34575,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2001,2000-01,False
1035-251-422-70-955,1610612759,"Shawnelle Scott, Sean Elliott, Avery Johnson, Steve Kerr, Samaki Walker","Scott, Elliott, Johnson, Kerr, Walker",1035-251-422-70-955,SAS,253.0,1,8.0,16,1.0,1.0,1.0,0.16666666666666666,91.06719367588933,13.25,13.25,0.16666666666666666,0.16666666666666666,0.38925000000000004,25.0,4.0,-4.0,8.0,,4.0,,1.0,2.0,4.0,,2.0,5.0,,4.0,8.0,,,,,,2.0,,,3.0,3.0,3.0,,,2.0,,,,2.0,,,,4.0,,,0.4,,0.3333333333333333,,0.3333333333333333,,,,1.0,0.6,,0.5,0.3333333333333333,,,18.375,14.25,0.16666666666666666,,,0.6666666666666666,0.5,0.5,,,,,,16.380000000000003,,,,,,,,2.0,3.0,3.0,,,,,,,,,2.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2001,2000-01,False
1035-251-70-955-990,1610612759,"Shawnelle Scott, Sean Elliott, Steve Kerr, Samaki Walker, Malik Rose","Scott, Elliott, Kerr, Walker, Rose",1035-251-70-955-990,SAS,74.0,1,3.0,5,,1.0,,1.0,97.29729729729729,18.333333333333332,18.333333333333332,,1.0,0.46185,22.3,1.0,-2.0,2.0,3.0,2.0,,,,,,,,,,2.0,,,1.0,,,,,1.0,,1.0,1.0,,,,1.0,,2.0,2.0,2.0,,,,,3.0,,,,,,,,,,,1.0,1.0,,1.0,,9.5,9.5,,,,,,,,0.46185,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2001,2000-01,False
1495-1498-1507-198-345,1610612759,"Tim Duncan, Antonio Daniels, Derek Anderson, Danny Ferry, Terry Porter","Duncan, Daniels, Anderson, Ferry, Porter",1495-1498-1507-198-345,SAS,43.0,1,2.0,3,,,,,100.46511627906976,3.5,3.5,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,1.0,1.0,,,,,0.5,0.5,,,,1.0,,1.0,1.0,,,36.0,36.0,,,,,,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2001,2000-01,False
1495-1498-1507-198-990,1610612759,"Tim Duncan, Antonio Daniels, Derek Anderson, Danny Ferry, Malik Rose","Duncan, Daniels, Anderson, Ferry, Rose",1495-1498-1507-198-990,SAS,111.0,1,4.0,8,,,,,103.78378378378378,12.75,12.75,,,0.4014333333333333,,2.0,-4.0,4.0,,,,1.0,,2.0,,,3.0,,,4.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,0.5,,0.5,1.0,,,15.0,15.0,0.3333333333333333,,,0.6666666666666666,,,,,,,,16.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2001,2000-01,False
1495-1498-1507-345-764,1610612759,"Tim Duncan, Antonio Daniels, Derek Anderson, Terry Porter, David Robinson","Duncan, Daniels, Anderson, Porter, Robinson",1495-1498-1507-345-764,SAS,1428.0,4,45.0,91,3.0,6.0,3.0,0.16216216216216217,91.76470588235294,15.444444444444445,15.066666666666666,0.08108108108108109,0.32432432432432434,0.4649094594594595,24.266666666666666,24.0,-26.0,46.0,6.0,7.0,5.0,11.0,5.0,14.0,,14.0,31.0,10.0,41.0,67.0,1.0,3.0,1.0,,5.0,18.0,2.0,2.0,6.0,12.0,18.0,4.0,4.0,4.0,,1.0,3.0,7.0,1.0,13.0,7.0,31.0,5.0,6.0,0.45161290322580644,0.3333333333333333,0.4189189189189189,0.625,0.47674418604651164,0.625,0.06451612903225806,,0.5714285714285714,0.5,0.5,0.5,0.5,1.0,0.3333333333333333,15.934782608695652,15.108695652173912,0.2972972972972973,0.45454545454545453,0.45454545454545453,0.3783783783783784,0.35714285714285715,0.38461538461538464,,0.54915,0.16279069767441862,0.1891891891891892,0.12195121951219512,11.025806451612903,0.13333333333333333,6.0,4.0,6.0,4.0,5.0,6.0,3.0,5.0,9.0,1.0,0.29411764705882354,0.2727272727272727,0.1111111111111111,0.16216216216216217,0.6666666666666666,0.8,0.5351875,10.0,5.0,6.0,2.0,13.0,0.35714285714285715,0.45454545454545453,0.6666666666666666,0.4,3.0,1.0,0.08108108108108109,0.25,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,10.0,1.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.8,0.8333333333333334,0.16666666666666666,0.07142857142857142,1.0,0.2,1.0,0.3333333333333333,0.3333333333333333,0.4,1.0,0.5,0.2,0.3333333333333333,0.3333333333333333,1.0,0.4,1.0,0.2,0.25,1.0,1.0,0.24390243902439024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2001,2000-01,False
1495-1498-1507-345-955,1610612759,"Tim Duncan, Antonio Daniels, Derek Anderson, Terry Porter, Samaki Walker","Duncan, Daniels, Anderson, Porter, Walker",1495-1498-1507-345-955,SAS,97.0,1,2.0,5,,,,,74.22680412371133,22.0,22.0,,1.0,0.7958,,2.0,-1.0,3.0,1.0,3.0,,,,,,1.0,1.0,3.0,5.0,6.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,5.0,2.0,5.0,2.0,1.0,1.0,,1.0,,0.8333333333333334,0.5,,,,,,,,,,17.666666666666668,14.333333333333334,,,,,,,,,1.0,1.0,0.4,0.3,0.5,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2001,2000-01,False
