EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2A,PenaltyFtPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffRebounds,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,SecondChanceTsPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,SecondChancePointsPct,Corner3FGM,Corner3Assists,FTDefRebounds,DefFTReboundPct,DefShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Fg2aBlocked,Steals,BadPassSteals,BlockedAtRim,FG2APctBlocked,ShortMidRangePctBlocked,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,PtsPutbacks,LongMidRangeAssists,SelfOReb,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,OffAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,Loose Ball Fouls,AtRimPctBlocked,OffLongMidRangeReboundPct,LostBallSteals,LostBallTurnovers,BlockedShortMidRange,PtsUnassisted3s,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg3aBlocked,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Technical Free Throw Trips,DefensiveGoaltends,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,LostBallOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
120-176-21-739-96,1610612757,"Steven Smith, Antonio Harvey, Greg Anthony, Rasheed Wallace, Detlef Schrempf","Smith, Harvey, Anthony, Wallace, Schrempf",120-176-21-739-96,POR,96.0,1,2.0,-2.0,4.0,3.0,4.0,2.0,7,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,105.0,15.5,11.333333333333334,15.5,11.333333333333334,0.25,1.0,1.0,0.5,0.25,0.25,0.25,0.448225,0.448225,1.0,12.233333333333334,22.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2001,2000-01,False
120-176-717-739-937,1610612757,"Steven Smith, Antonio Harvey, Arvydas Sabonis, Rasheed Wallace, Scottie Pippen","Smith, Harvey, Sabonis, Wallace, Pippen",120-176-717-739-937,POR,,1,,-3.0,,1.0,,1.0,1,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2001,2000-01,False
120-176-739-757-937,1610612757,"Steven Smith, Antonio Harvey, Rasheed Wallace, Damon Stoudamire, Scottie Pippen","Smith, Harvey, Wallace, Stoudamire, Pippen",120-176-739-757-937,POR,179.0,1,3.0,-2.0,6.0,5.0,6.0,5.0,11,1.0,2.0,1.0,,,2.0,4.0,1.0,7.0,9.0,2.0,4.0,1.0,7.0,,1.0,1.0,2.0,,1.0,7.0,7.0,6.0,0.5,0.5,0.4,0.4,0.5,0.5,0.2,0.5,0.5,,88.49162011173185,16.333333333333332,16.2,13.666666666666666,15.0,0.4,0.5,0.5,0.2,,,0.4,0.45081,0.45081,1.0,9.325,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.2,0.2,1.0,0.2,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2001,2000-01,False
120-176-739-757-96,1610612757,"Steven Smith, Antonio Harvey, Rasheed Wallace, Damon Stoudamire, Detlef Schrempf","Smith, Harvey, Wallace, Stoudamire, Schrempf",120-176-739-757-96,POR,137.0,1,2.0,,5.0,5.0,5.0,,10,,,,1.0,1.0,,,2.0,4.0,4.0,,,2.0,4.0,,1.0,2.0,2.0,,1.0,4.0,4.0,5.0,,,0.75,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,,105.1094890510949,11.6,15.8,11.6,15.8,,,,,0.5,0.5,1.0,0.57675,0.57675,1.0,,23.85,1.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,3.0,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,0.5,,,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2001,2000-01,False
120-21-278-717-96,1610612757,"Steven Smith, Greg Anthony, Stacey Augmon, Arvydas Sabonis, Detlef Schrempf","Smith, Anthony, Augmon, Sabonis, Schrempf",120-21-278-717-96,POR,96.0,1,2.0,-1.0,3.0,3.0,2.0,1.0,6,1.0,1.0,,,,1.0,1.0,,6.0,7.0,,,,3.0,2.0,,,,1.0,1.0,6.0,3.0,2.0,1.0,,1.0,,0.75,0.75,,,,,90.0,14.666666666666666,17.333333333333332,14.666666666666666,17.333333333333332,1.0,1.0,1.0,,,,,0.3905,,0.5,12.8,,0.6666666666666666,,,,,,,,4.0,,3.0,,,,,,,,,,5.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2001,2000-01,False
120-21-278-781-96,1610612757,"Steven Smith, Greg Anthony, Stacey Augmon, Will Perdue, Detlef Schrempf","Smith, Anthony, Augmon, Perdue, Schrempf",120-21-278-781-96,POR,186.0,1,3.0,5.0,5.0,6.0,5.0,6.0,11,1.0,2.0,,,,1.0,3.0,1.0,7.0,2.0,1.0,3.0,1.0,7.0,2.0,3.0,4.0,5.0,,,5.0,7.0,5.0,0.3333333333333333,0.3333333333333333,0.625,0.625,0.5833333333333334,0.5833333333333334,0.25,0.75,0.8,1.0,85.16129032258064,13.4,19.833333333333332,13.0,19.5,0.5,0.5,0.5,,,,0.5,0.45705,0.45705,1.0,6.566666666666666,24.5,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,2.0,,1.0,,1.0,,,3.0,,1.0,4.0,,1.0,1.0,,,,,,,,0.5,,1.0,0.25,,,,,0.25,0.25,,0.25,0.2,0.25,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2001,2000-01,False
120-21-717-739-757,1610612757,"Steven Smith, Greg Anthony, Arvydas Sabonis, Rasheed Wallace, Damon Stoudamire","Smith, Anthony, Sabonis, Wallace, Stoudamire",120-21-717-739-757,POR,178.0,1,3.0,-1.0,6.0,6.0,,5.0,12,,,1.0,1.0,,2.0,4.0,1.0,7.0,8.0,,,,,2.0,1.0,2.0,2.0,,1.0,7.0,,,0.5,,0.7,,0.7,,0.2,0.5,0.5,,97.07865168539325,16.0,13.666666666666666,16.0,13.166666666666666,,,,0.2,0.2,,0.8,0.54657,,,5.6,22.8,,,2.0,3.0,,,,,,,,2.0,,1.0,2.0,1.0,,5.0,,,,,,,,,,,0.5,0.5,,,,,0.6,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,1.0,,3.0,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2001,2000-01,False
120-21-717-937-96,1610612757,"Steven Smith, Greg Anthony, Arvydas Sabonis, Scottie Pippen, Detlef Schrempf","Smith, Anthony, Sabonis, Pippen, Schrempf",120-21-717-937-96,POR,83.0,1,1.0,-5.0,3.0,3.0,,3.0,6,,1.0,1.0,,,,2.0,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,104.09638554216868,13.0,14.666666666666666,13.0,14.0,0.5,,,0.5,,,,0.36545,,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2001,2000-01,False
120-21-739-757-781,1610612757,"Steven Smith, Greg Anthony, Rasheed Wallace, Damon Stoudamire, Will Perdue","Smith, Anthony, Wallace, Stoudamire, Perdue",120-21-739-757-781,POR,3.0,1,,,1.0,,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,480.0,3.0,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2001,2000-01,False
120-278-393-717-739,1610612757,"Steven Smith, Stacey Augmon, Rod Strickland, Arvydas Sabonis, Rasheed Wallace","Smith, Augmon, Strickland, Sabonis, Wallace",120-278-393-717-739,POR,126.0,1,2.0,9.0,4.0,3.0,3.0,,7,,,1.0,,,3.0,4.0,1.0,9.0,,3.0,4.0,1.0,7.0,2.0,1.0,1.0,3.0,,1.0,7.0,7.0,3.0,0.75,0.75,0.6,0.6,0.75,0.7,0.2,1.0,0.5,,80.0,12.0,26.0,11.0,23.666666666666668,,,,0.2,,,0.8,0.55854,0.55854,0.7777777777777778,5.0,26.8,0.75,1.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,,4.0,1.0,2.0,3.0,1.0,2.0,,1.0,,1.0,,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6,0.6666666666666666,0.6666666666666666,0.5,,0.2,0.6,0.6666666666666666,0.2,0.3333333333333333,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.5,1.0,,0.2222222222222222,,,,,,,,,,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2001,2000-01,False
