EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGA,OpponentPoints,Fouls,AtRimFrequency,AtRimFG3AFrequency,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,DeadBallTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyArc3FGA,PenaltyFG3A,FTDefRebounds,DefFTReboundPct,PenaltyArc3Frequency,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,BadPassSteals,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonShootingPenaltyNonTakeFouls,NonShootingFoulsDrawn,LostBallTurnovers,BlockedAtRim,BlockedShortMidRange,BadPassOutOfBoundsTurnovers,OffArc3ReboundPct,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,HeaveAttempts,Travels,LongMidRangePctBlocked,PenaltyArc3FGM,AtRimPctBlocked,PenaltyArc3Accuracy,PtsUnassisted3s,FTOffRebounds,OffFTReboundPct,OffAtRimReboundPct,SecondChanceAtRimPctAssisted,DefensiveGoaltends,Blocked3s,BlockedArc3,SecondChanceTurnovers,LostBallOutOfBoundsTurnovers,3SecondViolations,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,HeaveMakes,team_id,year,season,team_vs
1138-1538-1714-1723-423,1610612739,"Michael Hawkins, Cedric Henderson, Robert Traylor, Matt Harpring, Chris Gatling","Hawkins, Henderson, Traylor, Harpring, Gatling",1138-1538-1714-1723-423,CLE,49.0,2,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,117.55102040816327,11.0,13.5,11.0,13.5,1.0,1.0,1.0,1.0,0.3771,16.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1714-1723-980,1610612739,"Michael Hawkins, Cedric Henderson, Robert Traylor, Matt Harpring, Zydrunas Ilgauskas","Hawkins, Henderson, Traylor, Harpring, Ilgauskas",1138-1538-1714-1723-980,CLE,56.0,1,1.0,,2.0,1.0,,,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,2.0,,1.0,1.0,0.5,0.5,0.5,,,,,77.14285714285714,15.0,26.0,15.0,26.0,0.5,1.0,1.0,1.0,0.4479,11.3,,1.0,2.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1714-1892-423,1610612739,"Michael Hawkins, Cedric Henderson, Robert Traylor, Trajan Langdon, Chris Gatling","Hawkins, Henderson, Traylor, Langdon, Gatling",1138-1538-1714-1892-423,CLE,1401.0,7,23.0,-1.0,40.0,42.0,5.0,,82.0,3.0,12.0,15.0,31.0,42.0,18.0,9.0,9.0,1.0,18.0,10.0,13.0,21.0,2.0,2.0,4.0,1.0,36.0,5.0,0.6,0.6428571428571429,0.4838709677419355,0.39473684210526316,0.45555555555555555,0.5,0.625,0.6842105263157895,0.25,84.28265524625267,18.65,15.595238095238095,17.475,14.547619047619047,0.3157894736842105,0.25,0.25,0.3333333333333333,0.4723907894736842,9.612903225806452,0.125,9.0,43.0,12.0,0.23684210526315788,0.42105263157894735,6.0,8.0,1.0,2.0,1.0,1.0,4.0,10.0,3.0,4.0,1.0,7.0,12.0,2.0,5.0,1.0,2.0,6.0,2.0,3.0,3.0,7.0,12.0,2.0,4.0,1.0,5.0,3.0,1.0,7.0,3.0,8.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,17.0,2.0,1.0,9.0,2.0,2.0,2.0,1.0,7.0,0.4,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.375,0.875,0.18421052631578946,0.03225806451612903,0.1,0.4375,1.0,0.14285714285714285,0.34782608695652173,0.5,0.4444444444444444,0.3333333333333333,1.0,0.6666666666666666,1.0,0.09090909090909091,0.5,0.8888888888888888,0.8888888888888888,0.625,0.2631578947368421,0.4,0.4444444444444444,0.75,0.07894736842105263,0.10526315789473684,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,1.0,0.45442,0.4442333333333333,0.2,0.23684210526315788,0.14285714285714285,0.16666666666666666,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1714-1892-441,1610612739,"Michael Hawkins, Cedric Henderson, Robert Traylor, Trajan Langdon, Lamond Murray","Hawkins, Henderson, Traylor, Langdon, Murray",1138-1538-1714-1892-441,CLE,137.0,2,2.0,,5.0,6.0,5.0,6.0,11.0,,1.0,2.0,3.0,4.0,2.0,1.0,1.0,,2.0,1.0,3.0,3.0,,,1.0,1.0,4.0,5.0,0.5,0.5,0.6666666666666666,0.5,0.5,,0.5,0.6666666666666666,0.5,115.62043795620438,14.2,11.0,14.2,10.833333333333334,0.25,,,,0.4490375,6.8,1.0,1.0,4.0,1.0,0.25,0.5,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,2.0,3.0,,4.0,2.0,,1.0,,1.0,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,4.0,,0.6666666666666666,,0.5,,0.5,0.25,,,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,0.25,1.0,1.0,,,0.25,,,,0.25,1.0,,0.4490375,,,,1.0,24.2,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1714-221-441,1610612739,"Michael Hawkins, Cedric Henderson, Robert Traylor, Clar. Weatherspoon, Lamond Murray","Hawkins, Henderson, Traylor, Weatherspoon, Murray",1138-1538-1714-221-441,CLE,43.0,1,1.0,2.0,1.0,2.0,1.0,2.0,3.0,,,,,2.0,,,,,,1.0,1.0,1.0,,,,,2.0,1.0,,,,,1.0,,0.5,0.5,,100.46511627906976,18.0,12.5,18.0,12.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1714-423-441,1610612739,"Michael Hawkins, Cedric Henderson, Robert Traylor, Chris Gatling, Lamond Murray","Hawkins, Henderson, Traylor, Gatling, Murray",1138-1538-1714-423-441,CLE,143.0,2,2.0,4.0,4.0,5.0,4.0,5.0,9.0,1.0,1.0,3.0,3.0,9.0,2.0,1.0,2.0,1.0,5.0,,2.0,2.0,,,,,9.0,4.0,0.3333333333333333,0.3333333333333333,1.0,1.125,1.125,,,0.6666666666666666,,90.62937062937063,14.75,16.8,14.75,13.6,0.25,1.0,1.0,1.0,0.5549,8.9,1.0,1.0,5.0,1.0,0.25,0.5,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,3.0,3.0,,9.0,4.0,,,,,,,,2.0,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,9.0,,1.0,,1.125,,1.125,0.25,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,0.25,1.0,1.0,,0.25,,,,,0.25,1.0,,0.5549,0.25,0.3333333333333333,,1.0,22.6,,1.0,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1723-1889-1892,1610612739,"Michael Hawkins, Cedric Henderson, Matt Harpring, Andre Miller, Trajan Langdon","Hawkins, Henderson, Harpring, Miller, Langdon",1138-1538-1723-1889-1892,CLE,1.0,1,,-2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1723-1892-980,1610612739,"Michael Hawkins, Cedric Henderson, Matt Harpring, Trajan Langdon, Zydrunas Ilgauskas","Hawkins, Henderson, Harpring, Langdon, Ilgauskas",1138-1538-1723-1892-980,CLE,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1723-221-423,1610612739,"Michael Hawkins, Cedric Henderson, Matt Harpring, Clar. Weatherspoon, Chris Gatling","Hawkins, Henderson, Harpring, Weatherspoon, Gatling",1138-1538-1723-221-423,CLE,2.0,1,,2.0,1.0,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,2.0,1.0,,,,,1.0,,,,,720.0,2.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1723-221-980,1610612739,"Michael Hawkins, Cedric Henderson, Matt Harpring, Clar. Weatherspoon, Zydrunas Ilgauskas","Hawkins, Henderson, Harpring, Weatherspoon, Ilgauskas",1138-1538-1723-221-980,CLE,100.0,1,2.0,-2.0,2.0,3.0,,,5.0,,,,,,,,,,,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,72.0,30.5,13.0,30.5,13.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1723-423-980,1610612739,"Michael Hawkins, Cedric Henderson, Matt Harpring, Chris Gatling, Zydrunas Ilgauskas","Hawkins, Henderson, Harpring, Gatling, Ilgauskas",1138-1538-1723-423-980,CLE,57.0,1,1.0,2.0,2.0,2.0,1.0,2.0,4.0,,,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,,,1.0,,2.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,101.05263157894737,10.5,18.0,10.5,18.0,,,,,0.431,13.7,0.5,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,0.431,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1892-2036-423,1610612739,"Michael Hawkins, Cedric Henderson, Trajan Langdon, Chris Mihm, Chris Gatling","Hawkins, Henderson, Langdon, Mihm, Gatling",1138-1538-1892-2036-423,CLE,60.0,1,1.0,-2.0,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,72.0,16.0,22.0,16.0,22.0,,,,,0.4965,,1.0,,2.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.4965,,,,,24.2,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1892-2036-441,1610612739,"Michael Hawkins, Cedric Henderson, Trajan Langdon, Chris Mihm, Lamond Murray","Hawkins, Henderson, Langdon, Mihm, Murray",1138-1538-1892-2036-441,CLE,93.0,1,2.0,,3.0,3.0,3.0,,6.0,1.0,1.0,2.0,2.0,5.0,,,,,,1.0,1.0,1.0,,,,,5.0,3.0,,,1.0,1.0,1.25,,1.0,1.0,,92.90322580645162,20.333333333333332,10.666666666666666,20.333333333333332,10.666666666666666,0.5,1.0,1.0,,0.53785,7.75,1.0,1.0,5.0,,0.5,0.5,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,2.0,2.0,1.0,5.0,4.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,5.0,,1.0,,1.0,,1.25,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,0.5,1.0,,0.53785,0.5,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1892-221-423,1610612739,"Michael Hawkins, Cedric Henderson, Trajan Langdon, Clar. Weatherspoon, Chris Gatling","Hawkins, Henderson, Langdon, Weatherspoon, Gatling",1138-1538-1892-221-423,CLE,178.0,1,3.0,-1.0,6.0,6.0,5.0,,12.0,,,2.0,3.0,7.0,2.0,1.0,1.0,,2.0,2.0,2.0,3.0,,,1.0,1.0,7.0,5.0,0.5,0.5,0.6666666666666666,0.5,0.7,,1.0,1.0,1.0,97.07865168539325,16.166666666666668,13.5,15.833333333333334,13.5,,,,,0.4352,5.3,0.8333333333333334,2.0,8.0,2.0,0.5,0.75,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,3.0,,1.0,,,,2.0,3.0,3.0,7.0,2.0,,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,3.0,1.0,,2.0,,,,,7.0,,0.6666666666666666,,0.5,,0.7,0.25,,,,,1.0,0.5,,,,,1.0,,,,0.5,0.5,1.0,0.25,1.0,1.0,,,0.25,1.0,,,0.5,0.5,,0.4352,0.4,0.5,,1.0,24.8,1.0,1.0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-1892-423-980,1610612739,"Michael Hawkins, Cedric Henderson, Trajan Langdon, Chris Gatling, Zydrunas Ilgauskas","Hawkins, Henderson, Langdon, Gatling, Ilgauskas",1138-1538-1892-423-980,CLE,25.0,1,,1.0,1.0,1.0,,,2.0,,,,,3.0,,,1.0,,3.0,,,,,,,,3.0,,,,,1.5,1.5,,,,,115.19999999999999,11.0,14.0,11.0,14.0,,,,,0.48825,,,,2.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,24.8,,,,,,,,,1.0,,3.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
1138-1538-221-423-441,1610612739,"Michael Hawkins, Cedric Henderson, Clar. Weatherspoon, Chris Gatling, Lamond Murray","Hawkins, Henderson, Weatherspoon, Gatling, Murray",1138-1538-221-423-441,CLE,124.0,1,2.0,4.0,5.0,4.0,2.0,3.0,9.0,,2.0,,2.0,7.0,,,1.0,,3.0,1.0,2.0,2.0,,,,,7.0,2.0,,,,0.5,0.7,,1.0,1.0,,104.51612903225805,13.6,14.0,13.6,14.0,0.6666666666666666,,,,0.42723333333333335,15.85,0.4,,3.0,1.0,,0.3333333333333333,,,,,,,,,1.0,,,1.0,4.0,,,,,,,,2.0,5.0,,,,,,,,,,,,1.0,1.0,,1.0,,,4.0,,,,,,,,5.0,,,,1.5,,1.25,0.3333333333333333,,,,,,,,,,1.0,,,,,,,,,,,,0.3333333333333333,,,,,,,,0.5685,,,,0.7142857142857143,22.6,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,True
