EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,FirstChancePoints,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,Avg2ptShotDistance,LongMidRangeFGA,Steals,BadPassSteals,DeadBallTurnovers,Travels,Turnovers,Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,PlusMinus,FtPoints,FTDefRebounds,FTA,TwoPtShootingFoulsDrawn,DefFTReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGA,LongMidRangeFGM,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceFG2A,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,NonShootingFoulsDrawn,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGM,AtRimAssists,ShortMidRangeAssists,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,ShootingFouls,SecondChanceAtRimFGA,SecondChanceFtPoints,SecondChancePoints,OffThreePtRebounds,LostBallSteals,Technical Free Throw Trips,SecondChanceTsPct,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChancePointsPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,PenaltyFG2M,PtsPutbacks,LiveBallTurnovers,BadPassTurnovers,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,LiveBallTurnoverPct,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGA,BadPassOutOfBoundsTurnovers,Corner3Frequency,LostBallTurnovers,PenaltyArc3FGA,PenaltyFG3A,2pt And 1 Free Throw Trips,PenaltyArc3Frequency,DefCorner3ReboundPct,PtsUnassisted3s,SelfOReb,BlockedLongMidRange,LongMidRangePctBlocked,SelfORebPct,SecondChanceAtRimPctAssisted,OffCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceCorner3Frequency,Corner3FGM,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Corner3Assists,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,DefensiveGoaltends,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PenaltyFG3M,FTOffRebounds,Defensive 3 Seconds Violations,PenaltyFg3Pct,OffFTReboundPct,PenaltyArc3Accuracy,PenaltyCorner3FGA,PenaltyCorner3Frequency,OffensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
1890-201-2101-361-386,1610612756,"Shawn Marion, Chris Dudley, Paul McPherson, Clifford Robinson, Elliot Perry","Marion, Dudley, McPherson, Robinson, Perry",1890-201-2101-361-386,PHX,95.0,1,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,60.631578947368425,21.5,26.0,21.5,22.5,1.0,0.5,0.5,0.3658,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2001,2000-01,True
1890-201-2101-467-915,1610612756,"Shawn Marion, Chris Dudley, Paul McPherson, Jason Kidd, Rodney Rogers","Marion, Dudley, McPherson, Kidd, Rogers",1890-201-2101-467-915,PHX,110.0,1,2.0,4.0,4.0,,8.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,0.25,0.2,,104.72727272727273,10.75,16.75,10.75,11.75,0.5,1.0,1.0,0.3857,14.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2001,2000-01,True
1890-201-2101-467-960,1610612756,"Shawn Marion, Chris Dudley, Paul McPherson, Jason Kidd, Tony Delk","Marion, Dudley, McPherson, Kidd, Delk",1890-201-2101-467-960,PHX,19.0,1,,1.0,1.0,1.0,2.0,,,,,2.0,,,,1.0,1.0,2.0,,,1.0,,,,151.57894736842107,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2001,2000-01,True
1890-201-2101-915-960,1610612756,"Shawn Marion, Chris Dudley, Paul McPherson, Rodney Rogers, Tony Delk","Marion, Dudley, McPherson, Rogers, Delk",1890-201-2101-915-960,PHX,248.0,2,4.0,9.0,8.0,1.0,17.0,,1.0,2.0,5.0,11.0,9.0,,1.0,3.0,3.0,11.0,0.4,0.5833333333333334,0.6875,0.5,0.75,,98.70967741935483,11.666666666666666,17.875,11.666666666666666,16.0,0.16666666666666666,,,0.4488916666666667,13.1,3.0,,,,,,,,,,,,,,0.5,2.0,4.0,,4.0,2.0,,0.25,0.2857142857142857,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.5,1.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2001,2000-01,True
1890-201-2101-916-960,1610612756,"Shawn Marion, Chris Dudley, Paul McPherson, Corie Blount, Tony Delk","Marion, Dudley, McPherson, Blount, Delk",1890-201-2101-916-960,PHX,146.0,1,2.0,4.0,4.0,,8.0,,1.0,,4.0,2.0,2.0,,2.0,2.0,5.0,2.0,,,0.2,1.0,1.0,1.0,78.9041095890411,19.75,16.75,11.25,16.75,0.25,,,0.39585,15.7,3.0,1.0,1.0,2.0,,2.0,1.0,,,,,,,,0.75,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.3333333333333333,0.25,1.0,0.75,0.75,1.0,0.6666666666666666,0.3949,0.40465,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2001,2000-01,True
1890-201-219-339-467,1610612756,"Shawn Marion, Chris Dudley, Vinny Del Negro, Tom Gugliotta, Jason Kidd","Marion, Dudley, Del Negro, Gugliotta, Kidd",1890-201-219-339-467,PHX,342.0,1,6.0,11.0,11.0,9.0,22.0,1.0,1.0,8.0,10.0,16.0,8.0,,5.0,6.0,6.0,16.0,0.8,0.8,0.8,0.8333333333333334,0.8333333333333334,0.8,92.63157894736842,14.636363636363637,16.454545454545453,14.636363636363637,16.454545454545453,0.1,1.0,1.0,0.44159,10.14,6.0,1.0,1.0,1.0,,1.0,2.0,,,,,,,,0.6,8.0,,1.0,,,1.0,,,3.0,4.0,,,,,16.0,,,,8.0,,8.0,,4.0,16.0,,1.0,1.0,,,,,,1.0,,0.3,0.6666666666666666,0.6666666666666666,1.0,,,,,0.3,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2001,2000-01,True
1890-201-219-339-53,1610612756,"Shawn Marion, Chris Dudley, Vinny Del Negro, Tom Gugliotta, Mario Elie","Marion, Dudley, Del Negro, Gugliotta, Elie",1890-201-219-339-53,PHX,33.0,1,1.0,2.0,2.0,2.0,4.0,,,,,2.0,5.0,,,,,2.0,,,1.0,,,,174.54545454545453,2.0,14.5,2.0,14.5,,,,,,,,,,,,1.0,,,,,,,,,-3.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,,,1.0,,2.0,2.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2001,2000-01,True
1890-201-219-339-960,1610612756,"Shawn Marion, Chris Dudley, Vinny Del Negro, Tom Gugliotta, Tony Delk","Marion, Dudley, Del Negro, Gugliotta, Delk",1890-201-219-339-960,PHX,41.0,1,1.0,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,35.1219512195122,,27.0,,27.0,,,,,,,,,,,,1.0,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2001,2000-01,True
1890-201-219-361-386,1610612756,"Shawn Marion, Chris Dudley, Vinny Del Negro, Clifford Robinson, Elliot Perry","Marion, Dudley, Del Negro, Robinson, Perry",1890-201-219-361-386,PHX,56.0,1,1.0,1.0,2.0,,3.0,,,1.0,1.0,2.0,2.0,,,,,2.0,1.0,1.0,1.0,,,,77.14285714285714,23.0,16.5,23.0,16.5,,,,0.525,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,1.0,,1.0,,,2.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2001,2000-01,True
1890-201-219-361-467,1610612756,"Shawn Marion, Chris Dudley, Vinny Del Negro, Clifford Robinson, Jason Kidd","Marion, Dudley, Del Negro, Robinson, Kidd",1890-201-219-361-467,PHX,356.0,1,6.0,9.0,9.0,,18.0,1.0,2.0,4.0,9.0,9.0,9.0,,1.0,1.0,3.0,8.0,0.4444444444444444,0.4,0.4090909090909091,0.3333333333333333,0.25,,72.80898876404494,20.0,19.555555555555557,18.333333333333332,18.444444444444443,0.2,0.5,0.5,0.505035,6.055555555555555,2.0,2.0,,,,,2.0,,,,,,0.5,,0.2,,1.0,,3.0,,,,,5.0,1.0,,1.0,,1.0,8.0,,1.0,,4.0,,4.0,,1.0,8.0,,1.0,1.0,,,,0.1,,,,0.5,0.5,0.5,1.0,0.1,,,,0.6,,25.5,,1.0,1.0,,,,1.0,1.0,2.0,,,,1.0,,,,,0.1111111111111111,,0.2,0.3333333333333333,,,,,,,2.0,2.0,1.0,,,0.4,0.5,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.2,1.0,0.3333333333333333,1.0,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2001,2000-01,True
