EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,Blocked3s,BlockedArc3,HeaveAttempts,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,BlockedCorner3,team_id,year,season,team_vs
1000-1005-1508-1509-1883,1610612745,"Shandon Anderson, Walt Williams, Maurice Taylor, Kelvin Cato, Steve Francis","Anderson, Williams, Taylor, Cato, Francis",1000-1005-1508-1509-1883,HOU,307.0,3,5.0,4.0,9.0,9.0,8.0,1.0,18,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,7.0,2.0,10.0,6.0,1.0,1.0,2.0,4.0,6.0,2.0,10.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,5.0,5.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,8.0,10.0,8.0,0.5,0.5,0.5714285714285714,1.0,0.6666666666666666,0.5714285714285714,1.0,0.6666666666666666,0.5555555555555556,1.0,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,1.0,84.4299674267101,16.88888888888889,17.22222222222222,15.444444444444445,16.333333333333332,0.2857142857142857,1.0,1.0,0.5,0.2857142857142857,0.5,0.5,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.47294285714285716,0.385,0.4877666666666667,0.125,0.125,0.2,1.0,11.1,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2001,2000-01,True
1000-1005-1508-1509-983,1610612745,"Shandon Anderson, Walt Williams, Maurice Taylor, Kelvin Cato, Moochie Norris","Anderson, Williams, Taylor, Cato, Norris",1000-1005-1508-1509-983,HOU,15.0,1,,2.0,1.0,,1.0,1.0,1,,1.0,,1.0,,,,,,1.0,2.0,2.0,,,,2.0,,1.0,2.0,2.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,0.5,1.0,0.5,,1.0,,1.0,,,,,,96.0,15.0,,15.0,,1.0,,,,,,,,,,,1.0,,1.0,0.5737,,0.5737,0.5,0.5,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2001,2000-01,True
1000-1005-1508-165-1883,1610612745,"Shandon Anderson, Walt Williams, Maurice Taylor, Hakeem Olajuwon, Steve Francis","Anderson, Williams, Taylor, Olajuwon, Francis",1000-1005-1508-165-1883,HOU,18742.0,25,312.0,65.0,589.0,588.0,39.0,60.0,1177,90.0,136.0,6.0,8.0,52.0,138.0,85.0,177.0,227.0,451.0,91.0,650.0,585.0,27.0,49.0,80.0,11.0,22.0,12.0,43.0,270.0,184.0,135.0,167.0,52.0,23.0,366.0,60.0,162.0,210.0,73.0,283.0,55.0,34.0,7.0,36.0,3.0,83.0,8.0,55.0,104.0,119.0,49.0,12.0,27.0,7.0,27.0,570.0,43.0,39.0,0.5947136563876652,0.627906976744186,0.5033259423503326,0.5510204081632653,0.5,0.5293560606060606,0.6160714285714286,0.5740740740740741,0.5560344827586207,0.625,0.6323529411764706,0.7330316742081447,0.26785714285714285,0.7406015037593985,0.2669172932330827,0.2558139534883721,0.20652173913043478,0.7090909090909091,0.6707317073170732,0.8095238095238095,90.43218439867677,15.397283531409169,16.450680272108844,14.762308998302208,15.782312925170068,0.25757575757575757,0.6617647058823529,0.7317073170731707,0.5777777777777777,0.26136363636363635,0.37681159420289856,0.42276422764227645,0.4423076923076923,0.3352272727272727,0.480225988700565,0.48295454545454547,0.2962962962962963,0.75,0.4034090909090909,0.47298996212121214,0.4928802083333333,0.48972037037037036,0.08626760563380281,0.09979633401221996,0.12307692307692308,0.06615384615384616,10.03991130820399,0.06621392190152801,11.0,29.0,0.06430155210643015,0.09558823529411764,0.41304347826086957,32.0,16.0,24.0,7.0,22.0,1.0,2.0,1.0,3.0,28.0,55.0,4.0,5.0,2.0,2.0,35.0,77.0,5.0,7.0,3.0,5.0,96.0,9.0,24.0,55.0,28.0,32.0,25.0,7.0,60.0,11.0,2.0,35.0,13.0,7.0,21.0,47.0,24.0,3.0,23.0,7.0,3.0,11.0,9.0,5.0,15.0,5.0,22.0,10.0,5.0,4.0,2.0,0.9142857142857143,0.45454545454545453,0.7142857142857143,0.6,0.45454545454545453,0.14583333333333334,0.10869565217391304,0.005649717514124294,0.5662650602409639,0.8666666666666667,0.18181818181818182,0.7777777777777778,0.2619047619047619,0.2222222222222222,0.3333333333333333,0.8181818181818182,0.6666666666666666,0.029535864978902954,0.8148148148148148,0.7058823529411765,0.041666666666666664,0.3181818181818182,0.3181818181818182,1.0,0.10416666666666667,0.509090909090909,0.509090909090909,0.8928571428571429,0.42857142857142855,0.6666666666666666,0.3125,0.03571428571428571,0.5,1.0,0.08928571428571429,0.8,1.0,0.1111111111111111,0.3333333333333333,0.07407407407407407,1.0,0.509090909090909,24.712987012987014,,,,,,,,,,,,1610612745,2001,2000-01,True
1000-1005-1508-165-983,1610612745,"Shandon Anderson, Walt Williams, Maurice Taylor, Hakeem Olajuwon, Moochie Norris","Anderson, Williams, Taylor, Olajuwon, Norris",1000-1005-1508-165-983,HOU,2064.0,6,34.0,-1.0,65.0,62.0,12.0,8.0,127,5.0,10.0,2.0,2.0,2.0,15.0,7.0,20.0,14.0,45.0,16.0,59.0,60.0,2.0,9.0,10.0,2.0,6.0,4.0,14.0,16.0,12.0,8.0,13.0,3.0,2.0,31.0,11.0,17.0,22.0,12.0,34.0,8.0,2.0,3.0,9.0,2.0,12.0,2.0,3.0,14.0,23.0,10.0,2.0,2.0,,2.0,49.0,14.0,12.0,0.5714285714285714,0.6153846153846154,0.3111111111111111,0.2222222222222222,0.3333333333333333,0.39814814814814814,0.35,0.5555555555555556,0.45384615384615384,0.4166666666666667,0.6363636363636364,0.7391304347826086,0.3548387096774194,0.7333333333333333,0.34285714285714286,0.23076923076923078,0.38461538461538464,0.7142857142857143,0.3333333333333333,0.8461538461538461,88.6046511627907,15.246153846153845,17.306451612903224,14.307692307692308,16.548387096774192,0.18518518518518517,0.5,0.7142857142857143,0.6,0.2777777777777778,0.13333333333333333,0.16666666666666666,1.0,0.37037037037037035,0.35,0.3888888888888889,0.2222222222222222,1.0,0.35185185185185186,0.47180925925925926,0.46385,0.4749166666666667,0.15873015873015872,0.18518518518518517,0.1694915254237288,0.23728813559322035,11.153333333333332,0.18461538461538463,3.0,8.0,0.17777777777777778,0.3,0.6,6.0,2.0,3.0,1.0,2.0,,,,,4.0,7.0,1.0,1.0,2.0,3.0,5.0,9.0,1.0,1.0,2.0,3.0,15.0,,2.0,7.0,4.0,5.0,4.0,1.0,3.0,1.0,,5.0,,3.0,6.0,3.0,2.0,1.0,1.0,,1.0,3.0,1.0,,1.0,1.0,2.0,1.0,,,3.0,1.0,0.5555555555555556,1.0,0.6666666666666666,0.5555555555555556,0.16666666666666666,0.2,0.1,0.25,,,0.7142857142857143,0.25,0.3333333333333333,,0.8,0.5,0.1111111111111111,1.0,0.42857142857142855,0.037037037037037035,0.5,0.5,1.0,0.12962962962962962,0.5714285714285714,0.5714285714285714,1.0,0.3,0.6666666666666666,0.5,,,,0.1,1.0,1.0,,,0.3333333333333333,0.6666666666666666,0.5714285714285714,24.444444444444443,,,,,,,,,,,,1610612745,2001,2000-01,True
1000-1005-1508-1749-1883,1610612745,"Shandon Anderson, Walt Williams, Maurice Taylor, Cuttino Mobley, Steve Francis","Anderson, Williams, Taylor, Mobley, Francis",1000-1005-1508-1749-1883,HOU,616.0,2,10.0,-9.0,19.0,18.0,1.0,2.0,37,2.0,5.0,,,,5.0,1.0,2.0,3.0,12.0,1.0,13.0,22.0,2.0,3.0,4.0,1.0,2.0,,2.0,2.0,4.0,1.0,3.0,,,8.0,2.0,2.0,7.0,3.0,10.0,1.0,1.0,1.0,2.0,,5.0,,2.0,4.0,2.0,1.0,,1.0,,2.0,9.0,2.0,1.0,0.3333333333333333,0.5,0.25,0.6666666666666666,0.5,0.375,0.6666666666666666,0.5,0.38235294117647056,0.6666666666666666,0.5,0.6666666666666666,0.2222222222222222,0.8571428571428571,0.18181818181818182,0.2,,1.0,,0.5,86.49350649350649,16.68421052631579,16.61111111111111,16.05263157894737,15.61111111111111,0.3125,0.4,0.4,,0.3125,,,,0.125,0.5,0.5,,,0.5625,0.46688125,0.45389999999999997,0.2359,0.058823529411764705,0.07692307692307693,0.3076923076923077,0.15384615384615385,8.216666666666667,0.05263157894736842,,,,,0.3333333333333333,3.0,1.0,2.0,,1.0,,,,,2.0,3.0,,,,,2.0,4.0,,,,,6.0,,2.0,3.0,2.0,2.0,2.0,,1.0,,1.0,4.0,1.0,,,3.0,1.0,1.0,2.0,,1.0,,,,1.0,,2.0,,,1.0,,1.0,0.5,,,0.5,0.25,,,0.6,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,0.0625,,,,0.1875,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,,,,,,,,,,,,0.6666666666666666,25.45,1.0,1.0,,,,,,,,,,1610612745,2001,2000-01,True
1000-1005-1508-1749-983,1610612745,"Shandon Anderson, Walt Williams, Maurice Taylor, Cuttino Mobley, Moochie Norris","Anderson, Williams, Taylor, Mobley, Norris",1000-1005-1508-1749-983,HOU,156.0,2,3.0,-5.0,5.0,6.0,4.0,1.0,11,,1.0,,1.0,,3.0,,1.0,,5.0,4.0,4.0,9.0,,2.0,,,5.0,2.0,2.0,,,,,,,,2.0,1.0,2.0,2.0,4.0,,,,,,,,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,,,,,,,,,0.2857142857142857,,0.16666666666666666,1.0,0.4,1.0,0.4,0.3333333333333333,,,1.0,,101.53846153846153,15.4,13.166666666666666,13.0,13.166666666666666,0.2,,,,0.6,,,,0.2,,,0.2,,0.2,0.41712,0.45695,0.41712,0.16666666666666666,0.16666666666666666,,0.5,9.14,0.8,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,0.4,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2001,2000-01,True
1000-1005-1508-1883-1903,1610612745,"Shandon Anderson, Walt Williams, Maurice Taylor, Steve Francis, Kenny Thomas","Anderson, Williams, Taylor, Francis, Thomas",1000-1005-1508-1883-1903,HOU,1372.0,6,23.0,-12.0,46.0,43.0,,5.0,89,5.0,10.0,,,1.0,4.0,7.0,20.0,13.0,34.0,9.0,41.0,53.0,,3.0,2.0,,,,,12.0,14.0,6.0,8.0,2.0,,18.0,4.0,7.0,12.0,5.0,17.0,4.0,2.0,1.0,3.0,,6.0,,2.0,7.0,10.0,5.0,,2.0,,2.0,39.0,,,0.46153846153846156,0.46153846153846156,0.38235294117647056,,,0.3902439024390244,,,0.4444444444444444,0.2,,0.5384615384615384,0.19047619047619047,0.55,0.19230769230769232,0.6666666666666666,0.15384615384615385,0.3333333333333333,1.0,0.42857142857142855,93.41107871720116,14.978260869565217,15.883720930232558,14.478260869565217,14.744186046511627,0.24390243902439024,0.5,0.625,0.4,0.0975609756097561,0.25,0.3333333333333333,,0.4878048780487805,0.35,0.35,,,0.4146341463414634,0.49180731707317077,0.49374999999999997,,0.1111111111111111,0.13157894736842105,0.04878048780487805,,11.85,,2.0,3.0,0.08823529411764706,0.2,,7.0,,1.0,,3.0,,,,,2.0,4.0,,1.0,,,2.0,7.0,,1.0,,,6.0,,,4.0,2.0,2.0,2.0,,4.0,1.0,,4.0,1.0,,2.0,3.0,2.0,2.0,1.0,,1.0,,1.0,1.0,2.0,,,,,,1.0,1.0,0.2857142857142857,,,0.2857142857142857,0.17073170731707318,0.25,,0.5,1.0,,0.5714285714285714,0.2,,0.3333333333333333,0.5,1.0,,,0.5714285714285714,0.07317073170731707,,,,0.0975609756097561,0.5,0.5,1.0,0.25,,,,,,0.25,,,,,,,0.5,24.357142857142858,,,,,,,,,,,,1610612745,2001,2000-01,True
1000-1005-1508-1883-2044,1610612745,"Shandon Anderson, Walt Williams, Maurice Taylor, Steve Francis, Jason Collier","Anderson, Williams, Taylor, Francis, Collier",1000-1005-1508-1883-2044,HOU,439.0,3,7.0,2.0,15.0,15.0,3.0,,30,2.0,6.0,,1.0,1.0,2.0,1.0,2.0,4.0,10.0,,14.0,12.0,,,,1.0,2.0,,2.0,6.0,2.0,3.0,5.0,1.0,1.0,12.0,,6.0,6.0,,6.0,1.0,1.0,,1.0,,2.0,1.0,1.0,4.0,,,,2.0,2.0,2.0,14.0,2.0,3.0,0.75,0.75,0.4,,0.5,0.5384615384615384,,0.5,0.5384615384615384,,0.5,0.75,,0.75,,,,0.5,1.0,1.0,98.40546697038725,14.333333333333334,14.933333333333334,14.333333333333334,14.466666666666667,0.46153846153846156,0.3333333333333333,0.5,0.5,0.15384615384615385,0.5,0.5,1.0,0.15384615384615385,0.5,0.5,0.5,,0.6923076923076923,0.48499230769230767,,0.4627,,,,0.14285714285714285,6.18,0.2,,2.0,0.2,0.3333333333333333,,3.0,,,1.0,1.0,,,,,1.0,2.0,,,,,2.0,3.0,,,,,6.0,,,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,2.0,,,,2.0,1.0,0.6666666666666666,,,0.6666666666666666,0.23076923076923078,,,0.5,,,,,,,,,,1.0,1.0,0.07692307692307693,1.0,1.0,1.0,0.15384615384615385,0.5,0.5,1.0,,,,,,,,,,,,,,0.5,24.833333333333332,,,,,,,,,,,,1610612745,2001,2000-01,True
1000-1005-1508-1883-672,1610612745,"Shandon Anderson, Walt Williams, Maurice Taylor, Steve Francis, Matt Bullard","Anderson, Williams, Taylor, Francis, Bullard",1000-1005-1508-1883-672,HOU,168.0,1,3.0,5.0,6.0,6.0,,1.0,12,,1.0,,,,1.0,1.0,1.0,1.0,3.0,,8.0,3.0,,1.0,,,,,,,2.0,,2.0,,,6.0,,2.0,3.0,1.0,4.0,,,,,,,,,1.0,,,,,,,8.0,,,,,0.3333333333333333,,,0.5714285714285714,,,0.5714285714285714,,,1.0,,1.0,0.25,,,1.0,,1.0,102.85714285714286,13.333333333333334,14.666666666666666,12.833333333333334,14.666666666666666,0.14285714285714285,,,,0.14285714285714285,,,,0.14285714285714285,1.0,1.0,,,0.7142857142857143,0.5578214285714286,,,,,,,8.933333333333334,,,1.0,0.3333333333333333,1.0,,,,,2.0,2.0,,,,,,2.0,,,,,2.0,4.0,,,,,6.0,,,2.0,,2.0,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,0.5,0.5714285714285714,,,,,,1.0,0.5,0.5,,1.0,,,,,0.2857142857142857,1.0,1.0,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,24.15,,,,,,,,,,,,1610612745,2001,2000-01,True
1000-1005-1508-1883-983,1610612745,"Shandon Anderson, Walt Williams, Maurice Taylor, Steve Francis, Moochie Norris","Anderson, Williams, Taylor, Francis, Norris",1000-1005-1508-1883-983,HOU,79.0,1,1.0,2.0,4.0,5.0,3.0,1.0,9,,1.0,,1.0,,,,1.0,,2.0,6.0,6.0,4.0,,1.0,,,2.0,4.0,4.0,,,,,,,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,6.0,1.0,2.0,,,,6.0,4.0,3.0,,,,,,,,,0.6,,0.5,,0.5,1.0,0.5,,,,,,164.0506329113924,10.75,7.2,9.5,7.2,0.5,,,,,,,,0.5,,,0.5,,0.5,0.37545,0.3208,0.37545,0.3333333333333333,0.3333333333333333,,0.6666666666666666,7.15,0.75,,1.0,0.5,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2001,2000-01,True
