EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,PenaltyFtPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,OffRebounds,NonShootingFoulsDrawn,SecondChanceTsPct,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGA,OffTwoPtRebounds,DeadBallTurnovers,Loose Ball Fouls,Offensive Fouls,OffTwoPtReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,ShortMidRangeFGA,OffShortMidRangeReboundPct,ShortMidRangeFrequency,BadPassOutOfBoundsTurnovers,Blocked2s,BlockedShortMidRange,Blocks,LongMidRangeAssists,BlockedLongMidRange,LongMidRangePctAssisted,Corner3FGA,PenaltyCorner3FGA,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,Corner3Frequency,PenaltyCorner3Frequency,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LostBallTurnovers,DefLongMidRangeReboundPct,SecondChanceTurnovers,Technical Free Throw Trips,RecoveredBlocks,3SecondViolations,AtRimPctBlocked,BlocksRecoveredPct,Corner3FGM,Corner3Assists,ShortMidRangeAssists,Steals,BadPassSteals,LostBallSteals,LongMidRangePctBlocked,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,PtsPutbacks,Fg3aBlocked,SelfOReb,Travels,Blocked3s,BlockedArc3,BlockedAtRim,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG3APctBlocked,Corner3PctBlocked,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,DefensiveGoaltends,Arc3PctBlocked,OffensiveGoaltends,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,3pt And 1 Free Throw Trips,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1032-1501-1747-281-283,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Scott Williams, Lindsey Hunter","Ham, Thomas, Alston, Williams, Hunter",1032-1501-1747-281-283,MIL,52.0,1,1.0,2.0,3.0,3.0,3.0,3.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,5.0,2.0,2.0,1.0,1.0,7.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,7.0,7.0,3.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.3333333333333333,166.15384615384616,7.666666666666667,9.666666666666666,7.666666666666667,9.666666666666666,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.42441666666666666,0.42441666666666666,1.0,7.55,24.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,True
1032-1501-1747-283-299,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Lindsey Hunter, Glenn Robinson","Ham, Thomas, Alston, Hunter, Robinson",1032-1501-1747-283-299,MIL,67.0,1,1.0,1.0,2.0,2.0,2.0,1.0,4,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,3.0,2.0,1.0,1.0,,,3.0,2.0,,,,,1.0,,1.0,,1.0,2.0,2.0,3.0,3.0,2.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.5,1.5,,85.97014925373134,21.0,12.5,21.0,12.5,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,0.4459,0.4459,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,True
1032-1501-1747-283-998,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Lindsey Hunter, Mark Pope","Ham, Thomas, Alston, Hunter, Pope",1032-1501-1747-283-998,MIL,81.0,1,1.0,-1.0,2.0,2.0,2.0,2.0,4,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,2.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,0.16666666666666666,0.16666666666666666,0.5,71.1111111111111,31.5,9.0,17.5,9.0,,,,,0.5,,,0.5,,,,,,0.5,,0.5,,0.278225,0.278225,1.0,16.3,28.4,1.0,1.0,1.0,,,1.0,3.0,,,,,,2.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,1.0,1.0,0.2053,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,True
1032-1501-208-281-951,1610612749,"Darvin Ham, Tim Thomas, Sam Cassell, Scott Williams, Ray Allen","Ham, Thomas, Cassell, Williams, Allen",1032-1501-208-281-951,MIL,111.0,1,2.0,-7.0,3.0,3.0,3.0,3.0,6,,1.0,,1.0,,2.0,,,,,,3.0,,,,7.0,,3.0,,,,,,,,,,,,,,,2.0,,,3.0,1.0,,,,,,,,,,,,,,77.83783783783784,21.0,16.0,20.666666666666668,16.0,0.3333333333333333,,,,0.6666666666666666,,,,,,,0.3333333333333333,,,,0.3333333333333333,,0.44976666666666665,0.44976666666666665,,10.5,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,0.3333333333333333,,,0.6,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,True
1032-1501-208-283-299,1610612749,"Darvin Ham, Tim Thomas, Sam Cassell, Lindsey Hunter, Glenn Robinson","Ham, Thomas, Cassell, Hunter, Robinson",1032-1501-208-283-299,MIL,23.0,1,,2.0,1.0,,1.0,,1,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,2.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,0.5,0.5,,62.60869565217391,23.0,,23.0,,,,,,,,,,,,,,,,,,,0.3283,0.3283,1.0,9.4,,1.0,2.0,2.0,,,,1.0,,,,,,2.0,,,,,,,,,,1.0,,2.0,2.0,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,True
1032-1501-208-283-679,1610612749,"Darvin Ham, Tim Thomas, Sam Cassell, Lindsey Hunter, Jason Caffey","Ham, Thomas, Cassell, Hunter, Caffey",1032-1501-208-283-679,MIL,243.0,4,4.0,-1.0,6.0,7.0,,,13,1.0,1.0,,,,1.0,,1.0,,,1.0,4.0,,1.0,2.0,3.0,,,,,,2.0,,,1.0,,1.0,,1.0,,1.0,2.0,1.0,2.0,,,,1.0,1.0,,,,,0.25,,0.2,,0.2,,0.2,77.03703703703704,17.166666666666668,20.0,17.166666666666668,14.142857142857142,0.2,1.0,1.0,1.0,0.2,,,0.2,,,,,,,,0.4,,0.49063,,,10.75,24.4,,,,2.0,,4.0,4.0,,,1.0,,,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,2.0,,,,,0.6666666666666666,,,,0.6666666666666666,,,,,1.0,,,,,,2.0,,0.4,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,True
1032-1501-208-283-911,1610612749,"Darvin Ham, Tim Thomas, Sam Cassell, Lindsey Hunter, Ervin Johnson","Ham, Thomas, Cassell, Hunter, Johnson",1032-1501-208-283-911,MIL,104.0,1,2.0,-2.0,2.0,3.0,,,5,,,,,1.0,1.0,,,,,1.0,1.0,,,4.0,6.0,,,,,,2.0,,,,,1.0,,1.0,,,2.0,1.0,4.0,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,69.23076923076923,25.0,18.0,25.0,18.0,,,,,1.0,1.0,1.0,,,,,,,,,,,0.3049,,,17.6,,,2.0,,,,,,,,,,1.0,2.0,,1.0,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,True
1032-1501-208-299-951,1610612749,"Darvin Ham, Tim Thomas, Sam Cassell, Glenn Robinson, Ray Allen","Ham, Thomas, Cassell, Robinson, Allen",1032-1501-208-299-951,MIL,353.0,1,6.0,-12.0,13.0,12.0,12.0,11.0,25,3.0,5.0,3.0,5.0,,1.0,,1.0,,1.0,3.0,10.0,,2.0,11.0,23.0,3.0,9.0,,2.0,11.0,2.0,4.0,,1.0,,1.0,,1.0,,1.0,2.0,4.0,9.0,11.0,12.0,,0.3333333333333333,0.3333333333333333,,,,,0.3,0.3333333333333333,0.25,0.2727272727272727,0.39285714285714285,0.4230769230769231,0.16666666666666666,101.98300283286119,17.846153846153847,10.083333333333334,17.23076923076923,10.083333333333334,0.4166666666666667,0.6,0.6,0.3333333333333333,0.08333333333333333,,,0.08333333333333333,,,,0.45454545454545453,0.6,0.09090909090909091,,0.5833333333333334,,0.42012916666666666,0.4250681818181818,1.0,5.720000000000001,25.6,0.9230769230769231,5.0,5.0,1.0,,2.0,3.0,,,,,4.0,5.0,1.0,1.0,,,1.0,1.0,1.0,0.08333333333333333,0.1,1.0,,2.0,2.0,,,1.0,1.0,2.0,1.0,,1.0,,0.125,,1.0,,0.18181818181818182,,1.0,,,,0.14285714285714285,,,4.0,,0.3333333333333333,,,,,,,,1.0,1.0,2.0,0.2,0.5,0.5,0.08333333333333333,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,True
1032-1501-208-679-951,1610612749,"Darvin Ham, Tim Thomas, Sam Cassell, Jason Caffey, Ray Allen","Ham, Thomas, Cassell, Caffey, Allen",1032-1501-208-679-951,MIL,41.0,1,1.0,,1.0,2.0,1.0,2.0,3,,,,,,,,,,,1.0,1.0,,,2.0,2.0,1.0,1.0,,,2.0,,2.0,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,105.36585365853658,21.0,10.0,21.0,10.0,,,,,,,,,,,,,,,,,,0.3761,0.3761,1.0,13.4,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,True
1032-1501-208-911-951,1610612749,"Darvin Ham, Tim Thomas, Sam Cassell, Ervin Johnson, Ray Allen","Ham, Thomas, Cassell, Johnson, Allen",1032-1501-208-911-951,MIL,92.0,2,2.0,1.0,2.0,2.0,,,4,1.0,1.0,,,,,,,,,1.0,1.0,,,4.0,3.0,,,,,,2.0,,,,,1.0,,1.0,,1.0,2.0,,4.0,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,62.60869565217391,20.0,26.0,20.0,23.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,0.5924,,,,,,2.0,,1.0,,1.0,1.0,,,,,,2.0,,1.0,,,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2001,2000-01,True
