EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,NonShootingPenaltyNonTakeFouls,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Fg2aBlocked,DefThreePtRebounds,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,DefArc3ReboundPct,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,Loose Ball Fouls,FG3APct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,OffRebounds,SelfOReb,SecondChanceTurnovers,BlockedShortMidRange,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LostBallOutOfBoundsTurnovers,HeaveAttempts,FTDefRebounds,Travels,Offensive Fouls,BlockedLongMidRange,3SecondViolations,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Technical Free Throw Trips,DefensiveGoaltends,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1594-280-349-779-970,1610612752,"Rick Brunson, Felton Spencer, Mark Jackson, Glen Rice, Othella Harrington","Brunson, Spencer, Jackson, Rice, Harrington",1594-280-349-779-970,NYK,199.0,1,3.0,-1.0,9,10.0,9.0,8.0,19,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,8.0,9.0,3.0,4.0,2.0,8.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,9.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75,0.75,0.8,0.8,0.75,1.0,1.0,1.0,137.48743718592965,1.0,10.777777777777779,10.2,10.777777777777779,10.2,0.25,1.0,1.0,0.75,0.6666666666666666,0.6666666666666666,0.5,0.25,1.0,0.25,0.40215,0.40215,0.25,0.25,1.0,14.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
1594-349-369-84-969,1610612752,"Rick Brunson, Mark Jackson, Charlie Ward, Latrell Sprewell, Travis Knight","Brunson, Jackson, Ward, Sprewell, Knight",1594-349-369-84-969,NYK,1.0,1,,2.0,1,,1.0,,1,,,,,,,,,2.0,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,2.0,2.0,1.0,,,,,,,1.0,1.0,,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
275-280-349-779-84,1610612752,"Allan Houston, Felton Spencer, Mark Jackson, Glen Rice, Latrell Sprewell","Houston, Spencer, Jackson, Rice, Sprewell",275-280-349-779-84,NYK,31.0,1,1.0,,1,1.0,1.0,1.0,2,,,,,,,1.0,1.0,,2.0,2.0,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,92.9032258064516,,21.0,10.0,21.0,10.0,,,,,,,,,,,0.2753,0.2753,,,1.0,8.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
275-349-369-703-779,1610612752,"Allan Houston, Mark Jackson, Charlie Ward, Kurt Thomas, Glen Rice","Houston, Jackson, Ward, Thomas, Rice",275-349-369-703-779,NYK,57.0,1,1.0,-1.0,1,2.0,1.0,,3,,1.0,,1.0,,,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,0.25,0.25,,,1.0,,75.78947368421053,,27.0,15.0,27.0,15.0,1.0,,,,,,,1.0,,1.0,0.5455,0.5455,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
275-349-369-779-948,1610612752,"Allan Houston, Mark Jackson, Charlie Ward, Glen Rice, Marcus Camby","Houston, Jackson, Ward, Rice, Camby",275-349-369-779-948,NYK,72.0,1,1.0,,2,2.0,2.0,,4,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,80.0,,20.5,15.5,20.5,15.5,,,,0.5,,,,,,0.5,0.431,0.431,,,,20.1,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
275-349-703-779-84,1610612752,"Allan Houston, Mark Jackson, Kurt Thomas, Glen Rice, Latrell Sprewell","Houston, Jackson, Thomas, Rice, Sprewell",275-349-703-779-84,NYK,1244.0,4,21.0,6.0,37,38.0,16.0,16.0,75,5.0,11.0,2.0,2.0,5.0,14.0,12.0,34.0,9.0,51.0,45.0,5.0,9.0,7.0,23.0,18.0,6.0,9.0,12.0,4.0,27.0,4.0,7.0,20.0,2.0,2.0,,3.0,1.0,3.0,1.0,,4.0,3.0,4.0,8.0,12.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,46.0,23.0,16.0,0.75,0.8181818181818182,0.35294117647058826,0.5555555555555556,0.5,0.6153846153846154,0.5425531914893617,0.6764705882352942,0.75,0.5714285714285714,0.6363636363636364,0.5,86.81672025723472,0.3333333333333333,17.405405405405407,15.789473684210526,16.10810810810811,15.526315789473685,0.2619047619047619,0.45454545454545453,0.5,0.3333333333333333,0.35714285714285715,0.35714285714285715,0.8,0.15384615384615385,1.0,0.4523809523809524,0.44781309523809526,0.4257961538461539,0.06976744186046512,0.08571428571428572,0.45098039215686275,9.705882352941176,0.43243243243243246,2.0,9.0,2.0,0.21428571428571427,0.2222222222222222,0.2222222222222222,1.0,3.0,0.029411764705882353,0.09090909090909091,0.75,0.6666666666666666,7.0,3.0,8.0,4.0,7.0,1.0,0.19047619047619047,0.16666666666666666,0.23076923076923078,24.6125,8.0,2.0,5.0,1.0,1.0,6.0,2.0,6.0,2.0,9.0,1.0,5.0,2.0,9.0,9.0,2.0,6.0,3.0,3.0,3.0,2.0,1.0,11.0,1.0,13.0,2.0,2.0,1.0,0.5,0.75,0.5,0.75,0.2222222222222222,0.2222222222222222,0.25,0.3333333333333333,0.5,1.0,0.5217391304347826,0.3333333333333333,0.5714285714285714,0.5555555555555556,1.0,0.3333333333333333,1.0,1.0,0.09090909090909091,0.6,1.0,0.023809523809523808,0.8571428571428571,0.8571428571428571,0.5,0.5555555555555556,0.4,0.07692307692307693,0.6666666666666666,0.8571428571428571,0.49546666666666667,0.09803921568627451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
275-349-703-779-948,1610612752,"Allan Houston, Mark Jackson, Kurt Thomas, Glen Rice, Marcus Camby","Houston, Jackson, Thomas, Rice, Camby",275-349-703-779-948,NYK,107.0,1,2.0,-3.0,3,3.0,3.0,3.0,6,,,,,,1.0,,1.0,2.0,2.0,5.0,,1.0,2.0,2.0,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,2.0,,1.0,,,,,,,2.0,3.0,,,,,,,0.3333333333333333,0.3333333333333333,,,,,80.74766355140187,,19.666666666666668,16.0,15.666666666666666,15.666666666666666,,,,0.5,,,,,,0.5,0.439225,0.439225,0.3333333333333333,0.5,1.0,20.2,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,0.5,0.5,0.5,25.3,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,0.5,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
275-349-703-779-970,1610612752,"Allan Houston, Mark Jackson, Kurt Thomas, Glen Rice, Othella Harrington","Houston, Jackson, Thomas, Rice, Harrington",275-349-703-779-970,NYK,61.0,1,1.0,,1,2.0,1.0,,3,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,70.81967213114754,,21.0,20.0,21.0,20.0,0.5,,,,,,,0.5,,1.0,0.3338,0.3338,,,,3.9,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,0.5,0.5,0.5,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
275-349-703-84-948,1610612752,"Allan Houston, Mark Jackson, Kurt Thomas, Latrell Sprewell, Marcus Camby","Houston, Jackson, Thomas, Sprewell, Camby",275-349-703-84-948,NYK,3804.0,4,63.0,18.0,119,117.0,4.0,9.0,236,18.0,33.0,,,19.0,47.0,47.0,95.0,14.0,132.0,114.0,1.0,2.0,2.0,4.0,50.0,44.0,25.0,31.0,14.0,68.0,39.0,47.0,62.0,7.0,4.0,3.0,9.0,3.0,8.0,9.0,1.0,18.0,1.0,9.0,25.0,21.0,3.0,12.0,,6.0,1.0,6.0,6.0,122.0,4.0,4.0,0.5319148936170213,0.5681818181818182,0.49473684210526314,0.5,0.5514018691588785,0.5,0.5689655172413793,0.6666666666666666,0.5,0.8478260869565217,0.8490566037735849,0.6666666666666666,89.33753943217665,1.0,15.319327731092438,16.931623931623932,14.655462184873949,16.76923076923077,0.308411214953271,0.5454545454545454,0.6666666666666666,0.4392523364485981,0.40425531914893614,0.41304347826086957,0.7368421052631579,,,0.4205607476635514,0.470092523364486,0.3455,0.10344827586206896,0.11538461538461539,0.030303030303030304,10.986315789473684,0.03361344537815126,10.0,15.0,1.0,0.14018691588785046,0.6666666666666666,0.7142857142857143,8.0,6.0,0.08421052631578947,0.18181818181818182,0.8571428571428571,0.8,11.0,,12.0,,11.0,,0.11214953271028037,0.102803738317757,,24.75,13.0,3.0,7.0,1.0,,8.0,,8.0,4.0,11.0,2.0,10.0,,18.0,6.0,6.0,8.0,6.0,6.0,8.0,3.0,1.0,14.0,,15.0,3.0,3.0,4.0,0.75,0.6666666666666666,,0.6666666666666666,0.36363636363636365,0.36363636363636365,0.4166666666666667,,0.2916666666666667,0.25,0.28846153846153844,0.4,0.2,0.25,,0.8095238095238095,0.9473684210526315,1.0,0.06818181818181818,0.4444444444444444,0.3,0.009345794392523364,0.7272727272727273,0.7272727272727273,0.75,0.6363636363636364,0.42857142857142855,,,0.7272727272727273,0.48037,0.07575757575757576,1.0,,2.0,2.0,2.0,1.0,1.0,0.06666666666666667,0.02127659574468085,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
275-349-703-84-970,1610612752,"Allan Houston, Mark Jackson, Kurt Thomas, Latrell Sprewell, Othella Harrington","Houston, Jackson, Thomas, Sprewell, Harrington",275-349-703-84-970,NYK,1497.0,3,25.0,-9.0,47,47.0,7.0,21.0,94,2.0,5.0,1.0,1.0,4.0,19.0,14.0,34.0,6.0,37.0,46.0,3.0,5.0,1.0,7.0,10.0,18.0,5.0,6.0,2.0,13.0,15.0,17.0,21.0,4.0,,4.0,5.0,,4.0,5.0,1.0,10.0,1.0,5.0,11.0,7.0,,3.0,,3.0,2.0,3.0,3.0,33.0,7.0,7.0,0.35714285714285715,0.35714285714285715,0.4117647058823529,0.6,0.40789473684210525,0.5,0.43902439024390244,0.5,0.5,0.7894736842105263,0.8,0.5714285714285714,90.42084168336673,1.0,15.851063829787234,16.0,15.659574468085106,15.553191489361701,0.13157894736842105,0.4,0.5,0.5,0.21052631578947367,0.21052631578947367,0.5,0.16666666666666666,1.0,0.23684210526315788,0.4267855263157894,0.3972583333333333,0.07317073170731707,0.08108108108108109,0.1891891891891892,13.561764705882354,0.14893617021276595,8.0,10.0,2.0,0.2631578947368421,0.8,0.8,1.0,1.0,0.029411764705882353,0.2,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,0.10526315789473684,0.10526315789473684,0.16666666666666666,25.5,4.0,,,,,1.0,,1.0,,1.0,1.0,4.0,,3.0,,,1.0,1.0,1.0,,3.0,,4.0,,4.0,,1.0,1.0,1.0,0.25,,0.25,,0.75,0.6666666666666666,,0.2,,0.17391304347826086,0.6666666666666666,,0.13333333333333333,,1.0,0.8,,,,0.375,,0.25,0.25,1.0,,,,,0.25,0.499625,0.10810810810810811,4.0,,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,1610612752,2001,2000-01,True
