EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2A,FG3A,OpponentPoints,NonHeaveArc3FGA,Fg2aBlocked,DefTwoPtRebounds,DefRebounds,Rebounds,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGA,ShortMidRangeFGM,FG2M,FtPoints,Points,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,AtRimFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Arc3FGM,FG3M,PtsUnassisted3s,NonHeaveArc3FGM,DefThreePtRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,DeadBallTurnovers,PenaltyTurnovers,Steals,LostBallSteals,PenaltyArc3FGA,PenaltyFG3A,BadPassOutOfBoundsTurnovers,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,PenaltyArc3Frequency,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceFG2M,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,Travels,SecondChanceTurnovers,Assisted3sPct,SecondChanceFg2Pct,SecondChanceEfgPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,PtsAssisted2s,TwoPtAssists,ShortMidRangeAssists,Offensive Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,ShortMidRangePctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,LostBallTurnovers,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,LongMidRangeFGM,LongMidRangeAssists,BadPassSteals,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SelfOReb,OffAtRimReboundPct,SelfORebPct,HeaveAttempts,AtRimAssists,2pt And 1 Free Throw Trips,BlockedShortMidRange,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,3SecondViolations,AtRimPctBlocked,FTOffRebounds,OffFTReboundPct,Technical Free Throw Trips,Blocked3s,BlockedCorner3,PenaltyCorner3FGM,OffCorner3ReboundPct,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,DefensiveGoaltends,BlockedLongMidRange,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedArc3,OffensiveGoaltends,3pt And 1 Free Throw Trips,Clear Path Fouls,Defensive 3 Seconds Violations,team_id,year,season,team_vs
145-1541-1565-164-966,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Chris Childs, Jerome Williams","Murray, Williams, Stewart, Childs, Williams",145-1541-1565-164-966,TOR,113.0,1,2.0,-2.0,4.0,4.0,8.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,101.94690265486726,18.5,9.75,18.5,9.75,0.5,0.25,0.25,0.25,0.4166375,13.033333333333333,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
145-1541-1565-1713-1721,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Vince Carter, Keon Clark","Murray, Williams, Stewart, Carter, Clark",145-1541-1565-1713-1721,TOR,203.0,2,3.0,-6.0,7.0,6.0,13.0,1.0,2.0,1.0,5.0,1.0,11.0,1.0,,,,2.0,0.16666666666666666,,,,,,,92.21674876847291,20.428571428571427,10.0,15.428571428571429,9.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.4896833333333333,9.98,24.7,3.0,6.0,2.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,0.2,1.0,0.16666666666666666,1.0,0.2777777777777778,0.25,0.6666666666666666,0.25,1.0,0.4,0.5,1.0,0.3333333333333333,1.0,1.0,0.3849,0.25,0.2857142857142857,0.2,0.8,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
145-1541-1565-1713-891,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Vince Carter, Charles Oakley","Murray, Williams, Stewart, Carter, Oakley",145-1541-1565-1713-891,TOR,146.0,1,2.0,-1.0,4.0,5.0,9.0,,1.0,2.0,1.0,2.0,4.0,2.0,,,2.0,2.0,0.6666666666666666,,,,0.5,,,88.76712328767124,21.0,12.4,21.0,12.4,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.46859999999999996,19.0,25.05,,5.0,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
145-1541-1565-1721-177,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Keon Clark, Muggsy Bogues","Murray, Williams, Stewart, Clark, Bogues",145-1541-1565-1721-177,TOR,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
145-1541-1565-1721-209,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Keon Clark, Dell Curry","Murray, Williams, Stewart, Clark, Curry",145-1541-1565-1721-209,TOR,46.0,1,1.0,-1.0,2.0,2.0,4.0,,1.0,,1.0,,2.0,,,,,,,,,,,,,125.21739130434781,12.0,11.0,12.0,11.0,,1.0,,,0.3833,22.0,,2.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,2.0,,1.0,,,,1.0,1.0,2.0,,,,,0.25,,0.25,,,,,,,,,0.3833,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
145-1541-1565-177-2050,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Muggsy Bogues, Morris Peterson","Murray, Williams, Stewart, Bogues, Peterson",145-1541-1565-177-2050,TOR,150.0,1,2.0,-3.0,5.0,5.0,10.0,2.0,,1.0,2.0,1.0,7.0,1.0,,1.0,1.0,2.0,0.3333333333333333,,,0.5,0.5,,,96.0,15.2,14.8,14.8,13.2,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.34745000000000004,9.8,24.5,5.0,,1.0,,1.0,1.0,2.0,4.0,1.0,,,1.0,2.0,2.0,4.0,2.0,1.0,,1.0,,,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.4,,0.4,,1.0,1.0,,1.0,,0.5,0.5,0.34745000000000004,0.25,0.3333333333333333,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
145-1541-1565-2055-722,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Mamadou N'diaye, Corliss Williamson","Murray, Williams, Stewart, N'diaye, Williamson",145-1541-1565-2055-722,TOR,287.0,1,5.0,8.0,9.0,9.0,18.0,,2.0,2.0,5.0,3.0,8.0,2.0,,1.0,3.0,5.0,0.375,,,0.3333333333333333,0.6,,0.5,90.31358885017421,13.222222222222221,18.666666666666668,12.333333333333334,17.333333333333332,,0.25,0.25,0.75,0.5197125,6.58,24.400000000000002,,9.0,3.0,3.0,,3.0,4.0,16.0,1.0,2.0,4.0,,,,,6.0,1.0,1.0,2.0,,1.0,4.0,2.0,,,,,12.0,,,0.6,,0.75,,0.8,1.0,,0.5,1.0,0.6666666666666666,0.5,1.0,0.375,,,,0.2,0.2857142857142857,0.25,,,1.0,2.0,,1.0,2.0,,,,1.0,,1.0,0.6666666666666666,0.6666666666666666,,,1.0,1.0,0.5,0.5,0.5,1.0,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0,1.0,1.0,1.0,0.6825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
145-1541-1565-209-213,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Dell Curry, Antonio Davis","Murray, Williams, Stewart, Curry, Davis",145-1541-1565-209-213,TOR,187.0,1,3.0,-4.0,6.0,6.0,12.0,3.0,,,4.0,,8.0,,,2.0,2.0,2.0,,,,0.5,0.5,,,92.40641711229947,15.5,15.666666666666666,15.5,13.5,0.75,,,0.25,0.4649,4.85,,,,,1.0,2.0,2.0,,4.0,,,,,,,,2.0,,,,2.0,3.0,,,,2.0,2.0,2.0,4.0,,,0.5,,0.5,,0.5,,,,,,,,0.25,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,1.0,1.0,2.0,,,,,0.5,,,,,,,1.0,,,,,,,1.0,0.6666666666666666,0.5,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
145-1541-1565-209-376,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Dell Curry, Eric Montross","Murray, Williams, Stewart, Curry, Montross",145-1541-1565-209-376,TOR,122.0,1,2.0,,4.0,3.0,7.0,,1.0,3.0,1.0,3.0,3.0,3.0,,,,1.0,0.75,,,,,,,82.62295081967214,16.0,19.333333333333332,10.25,19.333333333333332,,0.25,0.75,0.75,0.3652,17.5,26.866666666666664,4.0,3.0,2.0,,,,,3.0,,,3.0,,1.0,,3.0,,,1.0,1.0,,1.0,,,,,,,,3.0,4.0,,,0.375,0.375,0.375,0.75,0.375,1.0,,0.3333333333333333,1.0,,,,,0.3652,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,0.3333333333333333,0.3333333333333333,1.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,1.0,,,3.0,3.0,,,,,0.75,,,,,,,3.0,,1.0,1.0,1.0,,3.0,,,1.0,,0.75,,,,,,,,1.0,,,0.406425,,,,,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
145-1541-1565-209-722,1610612761,"Tracy Murray, Alvin Williams, Michael Stewart, Dell Curry, Corliss Williamson","Murray, Williams, Stewart, Curry, Williamson",145-1541-1565-209-722,TOR,298.0,2,5.0,-7.0,11.0,11.0,22.0,1.0,3.0,3.0,5.0,3.0,13.0,3.0,,1.0,1.0,3.0,0.375,,,0.5,0.5,,,106.30872483221476,15.727272727272727,11.363636363636363,13.818181818181818,11.272727272727273,0.125,0.375,0.375,0.5,0.46440625,13.02,25.3,3.0,6.0,1.0,1.0,,2.0,2.0,6.0,,2.0,2.0,,,,,,2.0,,2.0,2.0,4.0,2.0,1.0,,1.0,1.0,1.0,4.0,,3.0,0.4,,0.25,,0.3333333333333333,1.0,,,0.6666666666666666,0.3333333333333333,,0.6666666666666666,0.125,,,0.48645,0.1111111111111111,0.16666666666666666,0.3333333333333333,,0.2727272727272727,,,,,,,2.0,,3.0,,1.0,,,0.6666666666666666,,,,,,,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,4.0,2.0,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,2.0,2.0,2.0,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
