EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,FG2A,OpponentPoints,Steals,BadPassSteals,Fouls,Loose Ball Fouls,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,FG2M,Points,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,OffShortMidRangeReboundPct,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFtPoints,BadPassTurnovers,PenaltyTurnovers,Corner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,LostBallSteals,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,DefensiveGoaltends,PenaltyAtRimFGM,PtsPutbacks,PenaltyAtRimAccuracy,OffThreePtRebounds,BlockedLongMidRange,OffThreePtReboundPct,OffArc3ReboundPct,BlockedAtRim,OffCorner3ReboundPct,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,HeaveMakes,HeaveAttempts,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,Defensive 3 Seconds Violations,Technical Free Throw Trips,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,Blocked3s,BlockedArc3,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,OffensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1138-1538-1714-1723-423,1610612739,"Michael Hawkins, Cedric Henderson, Robert Traylor, Matt Harpring, Chris Gatling","Hawkins, Henderson, Traylor, Harpring, Gatling",1138-1538-1714-1723-423,CLE,49.0,2,1.0,-2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,117.55102040816327,13.5,11.0,13.5,11.0,1.0,1.0,0.3758,3.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,False
1138-1538-1714-1723-980,1610612739,"Michael Hawkins, Cedric Henderson, Robert Traylor, Matt Harpring, Zydrunas Ilgauskas","Hawkins, Henderson, Traylor, Harpring, Ilgauskas",1138-1538-1714-1723-980,CLE,56.0,1,1.0,,1.0,2.0,,,3.0,,1.0,2.0,,,,,,77.14285714285714,26.0,15.0,26.0,15.0,,,0.3909,16.2,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,False
1138-1538-1714-1892-423,1610612739,"Michael Hawkins, Cedric Henderson, Robert Traylor, Trajan Langdon, Chris Gatling","Hawkins, Henderson, Traylor, Langdon, Gatling",1138-1538-1714-1892-423,CLE,1401.0,7,23.0,1.0,42.0,40.0,,5.0,82.0,16.0,34.0,42.0,2.0,2.0,18.0,,,84.28265524625267,15.595238095238095,18.65,14.547619047619047,17.475,0.42105263157894735,0.5263157894736842,0.479146052631579,8.705882352941176,,4.0,13.0,18.0,43.0,28.0,14.0,15.0,4.0,31.0,9.0,17.0,23.0,37.0,0.7777777777777778,0.7777777777777778,0.5294117647058824,0.5131578947368421,0.5375,0.5625,0.6521739130434783,1.0,0.34210526315789475,0.3076923076923077,0.36363636363636365,1.0,5.0,12.0,2.0,4.0,2.0,5.0,1.0,4.0,1.0,4.0,4.0,2.0,4.0,2.0,6.0,8.0,3.0,4.0,1.0,2.0,1.0,1.0,9.0,1.0,6.0,6.0,2.0,6.0,1.0,2.0,1.0,6.0,1.0,2.0,1.0,8.0,2.0,9.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.5,0.5,0.6,0.10526315789473684,0.058823529411764705,0.15384615384615385,0.25,1.0,0.375,0.8571428571428571,0.3157894736842105,0.75,0.3333333333333333,0.5,0.5555555555555556,1.0,0.6666666666666666,0.058823529411764705,1.0,0.75,0.75,0.75,0.13157894736842105,0.4,0.4,0.5,0.10526315789473684,0.25,0.25,1.0,1.0,0.5,1.0,0.25,0.5320333333333334,0.075,0.08333333333333333,0.13953488372093023,25.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,False
1138-1538-1714-1892-441,1610612739,"Michael Hawkins, Cedric Henderson, Robert Traylor, Trajan Langdon, Lamond Murray","Hawkins, Henderson, Traylor, Langdon, Murray",1138-1538-1714-1892-441,CLE,137.0,2,2.0,,6.0,5.0,6.0,5.0,11.0,2.0,4.0,4.0,,,,,6.0,115.62043795620438,11.0,14.2,10.833333333333334,14.2,0.4,0.6,0.47483000000000003,8.85,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,0.5,0.5,0.5,0.4,0.4,1.0,1.0,,0.2,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,2.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.5,,0.3333333333333333,0.5,,,1.0,,,,,,,,0.2,1.0,1.0,,0.2,,,,1.0,,,,0.6318,,,,25.7,2.0,1.0,2.0,4.0,1.0,4.0,4.0,0.5,0.4,0.4,0.4,0.2,0.47483000000000003,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,False
1138-1538-1714-221-441,1610612739,"Michael Hawkins, Cedric Henderson, Robert Traylor, Clar. Weatherspoon, Lamond Murray","Hawkins, Henderson, Traylor, Weatherspoon, Murray",1138-1538-1714-221-441,CLE,43.0,1,1.0,-2.0,2.0,1.0,2.0,1.0,3.0,,2.0,2.0,,,1.0,,2.0,100.46511627906976,12.5,18.0,12.5,18.0,,,0.33855,11.45,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.33855,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,False
1138-1538-1714-423-441,1610612739,"Michael Hawkins, Cedric Henderson, Robert Traylor, Chris Gatling, Lamond Murray","Hawkins, Henderson, Traylor, Gatling, Murray",1138-1538-1714-423-441,CLE,143.0,2,2.0,-4.0,5.0,4.0,5.0,4.0,9.0,,3.0,9.0,,,2.0,,5.0,90.62937062937063,16.8,14.75,13.6,14.75,,0.4,0.43979999999999997,10.933333333333332,1.0,,1.0,2.0,5.0,2.0,1.0,1.0,,2.0,,1.0,2.0,4.0,0.5,0.5,0.6666666666666666,0.4,0.4166666666666667,,,,0.2,,,,1.0,,,,2.0,2.0,,1.0,,2.0,1.0,,,1.0,1.0,2.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,0.25,0.4,,,1.0,1.0,1.0,,0.3333333333333333,,1.0,,,,,,,,,,0.4,1.0,1.0,0.5,0.2,,,,,,,,0.47625,0.16666666666666666,0.25,0.2,23.85,,1.0,2.0,3.0,2.0,5.0,5.0,0.6666666666666666,0.4,0.4166666666666667,,0.2,0.43979999999999997,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,False
1138-1538-1723-1889-1892,1610612739,"Michael Hawkins, Cedric Henderson, Matt Harpring, Andre Miller, Trajan Langdon","Hawkins, Henderson, Harpring, Miller, Langdon",1138-1538-1723-1889-1892,CLE,1.0,1,,2.0,1.0,,1.0,,1.0,,,,,,,,1.0,1440.0,1.0,,1.0,,,,,,1.0,,,,2.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,1.0,,,,1.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,False
1138-1538-1723-1892-980,1610612739,"Michael Hawkins, Cedric Henderson, Matt Harpring, Trajan Langdon, Zydrunas Ilgauskas","Hawkins, Henderson, Harpring, Langdon, Ilgauskas",1138-1538-1723-1892-980,CLE,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,False
1138-1538-1723-221-423,1610612739,"Michael Hawkins, Cedric Henderson, Matt Harpring, Clar. Weatherspoon, Chris Gatling","Hawkins, Henderson, Harpring, Weatherspoon, Gatling",1138-1538-1723-221-423,CLE,2.0,1,,-2.0,,1.0,,1.0,1.0,,,2.0,,,1.0,,,720.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,False
1138-1538-1723-221-980,1610612739,"Michael Hawkins, Cedric Henderson, Matt Harpring, Clar. Weatherspoon, Zydrunas Ilgauskas","Hawkins, Henderson, Harpring, Weatherspoon, Ilgauskas",1138-1538-1723-221-980,CLE,100.0,1,2.0,2.0,3.0,2.0,,,5.0,2.0,3.0,,2.0,,1.0,,,72.0,13.0,30.5,13.0,30.5,0.6666666666666666,0.6666666666666666,0.4183333333333333,3.5,,,,1.0,2.0,2.0,1.0,1.0,,2.0,,,,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2001,2000-01,False
