EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,FTDefRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,FG3APct,DefFTReboundPct,Arc3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,FtPoints,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,ShortMidRangeAssists,FTOffRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,OffFTReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,PtsUnassisted2s,DefTwoPtRebounds,Steals,BadPassSteals,LostBallTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,BlockedShortMidRange,OffensiveGoaltends,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SelfOReb,SelfORebPct,LongMidRangePctBlocked,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,AtRimPctBlocked,BlockedLongMidRange,Technical Free Throw Trips,DefensiveGoaltends,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
1051-111-1497-1732-1887,1610612750,"Dean Garrett, LaPhonso Ellis, Chauncey Billups, Felipe Lopez, Wally Szczerbiak","Garrett, Ellis, Billups, Lopez, Szczerbiak",1051-111-1497-1732-1887,MIN,12.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,True
1051-111-1732-210-417,1610612750,"Dean Garrett, LaPhonso Ellis, Felipe Lopez, Terrell Brandon, Sam Mitchell","Garrett, Ellis, Lopez, Brandon, Mitchell",1051-111-1732-210-417,MIN,84.0,1,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,51.42857142857143,13.0,58.0,13.0,44.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5944,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,True
1051-111-1887-1895-324,1610612750,"Dean Garrett, LaPhonso Ellis, Wally Szczerbiak, William Avery, Anthony Peeler","Garrett, Ellis, Szczerbiak, Avery, Peeler",1051-111-1887-1895-324,MIN,12.0,1,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,360.0,7.0,2.5,7.0,2.5,,,,,,1.0,0.4167,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4167,24.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,True
1051-111-1887-210-324,1610612750,"Dean Garrett, LaPhonso Ellis, Wally Szczerbiak, Terrell Brandon, Anthony Peeler","Garrett, Ellis, Szczerbiak, Brandon, Peeler",1051-111-1887-210-324,MIN,134.0,2,2.0,-3.0,3.0,3.0,6.0,,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,64.4776119402985,26.333333333333332,18.333333333333332,20.666666666666668,18.333333333333332,,,,,0.5,0.5,0.410925,9.1,3.0,2.0,,,1.0,1.0,,,,1.0,3.0,0.5,,,,0.410925,23.3,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2625,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,True
1051-1732-1887-210-708,1610612750,"Dean Garrett, Felipe Lopez, Wally Szczerbiak, Terrell Brandon, Kevin Garnett","Garrett, Lopez, Szczerbiak, Brandon, Garnett",1051-1732-1887-210-708,MIN,147.0,2,2.0,,5.0,5.0,10.0,2.0,2.0,,2.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,0.5,0.5,0.5,0.5,0.625,97.95918367346938,15.4,14.0,15.4,12.4,0.5,1.0,1.0,0.5,,0.5,0.5335,8.225,2.0,1.0,,,,,,,2.0,2.0,2.0,,,,,0.527,,0.4,,,,,1.0,5.0,,,,1.0,2.0,,2.0,,,,1.0,,1.0,,1.0,1.0,,2.0,,0.5,,0.5,,0.5,1.0,,,,,,,,,0.4,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,0.5,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,True
1051-1732-210-417-708,1610612750,"Dean Garrett, Felipe Lopez, Terrell Brandon, Sam Mitchell, Kevin Garnett","Garrett, Lopez, Brandon, Mitchell, Garnett",1051-1732-210-417-708,MIN,15.0,1,,2.0,1.0,1.0,2.0,,,,1.0,1.0,2.0,,,,,,,2.0,,,1.0,1.0,1.0,192.0,11.0,4.0,11.0,4.0,,,,,,,0.3501,15.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,0.3501,,1.0,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,2.0,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,True
1051-1887-210-324-708,1610612750,"Dean Garrett, Wally Szczerbiak, Terrell Brandon, Anthony Peeler, Kevin Garnett","Garrett, Szczerbiak, Brandon, Peeler, Garnett",1051-1887-210-324-708,MIN,2094.0,3,35.0,7.0,62.0,60.0,122.0,8.0,10.0,10.0,20.0,41.0,68.0,20.0,10.0,13.0,4.0,29.0,10.0,56.0,0.5,0.5882352941176471,0.4878048780487805,0.5188679245283019,0.5573770491803278,83.89684813753583,17.516129032258064,16.8,16.661290322580644,15.716666666666667,0.18867924528301888,0.8,0.8,0.5,0.18867924528301888,0.41509433962264153,0.4740047169811321,10.617073170731707,17.0,9.0,8.0,2.0,12.0,5.0,8.0,1.0,24.0,35.0,17.0,0.22641509433962265,1.0,0.1509433962264151,0.11764705882352941,0.48035000000000005,24.53333333333333,0.27419354838709675,8.0,4.0,4.0,3.0,13.0,61.0,4.0,6.0,12.0,7.0,12.0,4.0,21.0,2.0,1.0,11.0,5.0,4.0,11.0,2.0,5.0,17.0,1.0,21.0,0.6666666666666666,0.5833333333333334,0.6875,0.5,0.6666666666666666,0.525,0.45454545454545453,0.5,0.4,0.4444444444444444,0.5,0.07547169811320754,0.17647058823529413,0.49212999999999996,0.17647058823529413,0.3088235294117647,3.0,4.0,21.0,20.0,18.0,5.0,3.0,1.0,1.0,8.0,4.0,3.0,4.0,1.0,0.6206896551724138,0.6571428571428571,0.5,0.25,0.39622641509433965,0.23529411764705882,0.75,0.13333333333333333,0.16666666666666666,8.0,5.0,0.8333333333333334,0.6666666666666666,0.38095238095238093,0.38095238095238093,3.0,3.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,9.0,6.0,6.0,5.0,1.0,3.0,3.0,4.0,3.0,7.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4166666666666667,0.5,0.2,0.4166666666666667,0.024390243902439025,0.1,0.3333333333333333,0.42857142857142855,0.35714285714285715,0.5,0.16666666666666666,0.38461538461538464,0.3333333333333333,0.5,0.42857142857142855,0.7222222222222222,1.0,0.5,0.625,0.625,0.6,0.375,1.0,0.125,0.125,1.0,1.0,0.5,0.625,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,True
1073-111-1497-1732-1887,1610612750,"Reggie Slater, LaPhonso Ellis, Chauncey Billups, Felipe Lopez, Wally Szczerbiak","Slater, Ellis, Billups, Lopez, Szczerbiak",1073-111-1497-1732-1887,MIN,20.0,1,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,0.5,72.0,,13.0,,13.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,True
1073-111-1497-1887-324,1610612750,"Reggie Slater, LaPhonso Ellis, Chauncey Billups, Wally Szczerbiak, Anthony Peeler","Slater, Ellis, Billups, Szczerbiak, Peeler",1073-111-1497-1887-324,MIN,40.0,1,1.0,,1.0,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,,,,,,1.0,,,,0.5,0.5,0.5,72.0,20.0,20.0,20.0,20.0,0.5,1.0,1.0,,,0.5,0.48595,9.6,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,2.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,0.5372,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,True
1073-111-1732-210-417,1610612750,"Reggie Slater, LaPhonso Ellis, Felipe Lopez, Terrell Brandon, Sam Mitchell","Slater, Ellis, Lopez, Brandon, Mitchell",1073-111-1732-210-417,MIN,402.0,2,7.0,1.0,12.0,11.0,23.0,1.0,3.0,1.0,4.0,8.0,12.0,8.0,4.0,4.0,1.0,8.0,4.0,11.0,1.0,1.0,0.5,0.4444444444444444,0.5,82.38805970149254,17.833333333333332,17.09090909090909,17.416666666666668,16.727272727272727,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,0.4444444444444444,0.4696111111111111,9.65,3.0,3.0,1.0,,1.0,,1.0,,3.0,5.0,3.0,0.1111111111111111,,0.1111111111111111,,0.5107,25.3,0.25,2.0,1.0,,,4.0,11.0,,,1.0,2.0,3.0,1.0,5.0,1.0,,2.0,,,2.0,,2.0,6.0,,5.0,,0.6666666666666666,,0.6666666666666666,0.5,0.625,,,1.0,1.0,1.0,,,,0.08333333333333333,0.4166666666666667,1.0,1.0,4.0,,3.0,,,,,3.0,1.0,,1.0,1.0,0.5,0.5,0.5,1.0,0.4444444444444444,0.3333333333333333,1.0,0.25,0.2727272727272727,2.0,,,,0.5,0.5,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,0.25,1.0,0.4,,,0.5,1.0,,1.0,0.3333333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,True
