EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,FG3A,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,LostBallSteals,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,DefThreePtRebounds,DeadBallTurnovers,Turnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,PtsPutbacks,Fg2aBlocked,AtRimAssists,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,OffLongMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyArc3FGA,PenaltyFG3A,LiveBallTurnovers,LostBallTurnovers,PenaltyTurnovers,LiveBallTurnoverPct,DefAtRimReboundPct,PenaltyArc3Frequency,3SecondViolations,ShortMidRangeAssists,BadPassTurnovers,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,BlockedAtRim,ShortMidRangePctBlocked,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,FTOffRebounds,SelfOReb,OffFTReboundPct,SelfORebPct,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,Offensive Fouls,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3FGA,PenaltyCorner3Frequency,BadPassOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,Technical Free Throw Trips,SecondChanceFg3Pct,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Travels,BlockedLongMidRange,Blocked3s,BlockedArc3,team_id,year,season,team_vs
1503-1607-1720-1727-244,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Pat Garrity, Dee Brown","McGrady, Hudson, Doleac, Garrity, Brown",1503-1607-1720-1727-244,ORL,165.0,1,3.0,4.0,5.0,5.0,10.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,0.3333333333333333,0.3333333333333333,0.6,0.6,0.6,1.0,1.0,1.0,1.0,87.27272727272727,15.6,17.4,15.6,17.4,0.4,0.5,0.5,0.2,1.0,1.0,0.4,0.5,0.5,1.0,0.4,0.44526000000000004,8.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,False
1503-1607-1720-1727-353,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Pat Garrity, Darrell Armstrong","McGrady, Hudson, Doleac, Garrity, Armstrong",1503-1607-1720-1727-353,ORL,175.0,2,3.0,-1.0,7.0,6.0,13.0,1.0,2.0,,,1.0,4.0,2.0,6.0,5.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,,2.0,2.0,4.0,0.5,0.5,0.3333333333333333,0.2857142857142857,0.3125,1.0,0.6666666666666666,0.6666666666666666,0.5,106.97142857142858,12.714285714285714,14.333333333333334,12.714285714285714,14.166666666666666,0.2857142857142857,0.5,0.5,,,,0.5714285714285714,0.25,0.25,1.0,0.42857142857142855,0.4470071428571428,11.299999999999999,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.5,0.5,0.5,0.5,0.14285714285714285,0.25,0.2,1.0,1.0,1.0,0.14285714285714285,1.0,0.5,0.5522,0.2,0.6,25.8,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,False
1503-1607-1720-1727-448,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Pat Garrity, Bo Outlaw","McGrady, Hudson, Doleac, Garrity, Outlaw",1503-1607-1720-1727-448,ORL,173.0,1,3.0,-5.0,5.0,5.0,10.0,,1.0,,,,2.0,,3.0,3.0,8.0,,,,1.0,,3.0,,,1.0,1.0,,,1.0,1.0,3.0,,,,0.375,0.375,,,1.0,,83.23699421965318,20.2,14.4,20.2,14.4,0.25,,,,,,0.5,,,,0.5,0.4472625,11.633333333333333,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,24.8,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,False
1503-1607-1720-244-448,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Dee Brown, Bo Outlaw","McGrady, Hudson, Doleac, Brown, Outlaw",1503-1607-1720-244-448,ORL,46.0,1,1.0,-2.0,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,31.304347826086953,,29.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,False
1503-1607-1720-353-448,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Darrell Armstrong, Bo Outlaw","McGrady, Hudson, Doleac, Armstrong, Outlaw",1503-1607-1720-353-448,ORL,272.0,3,5.0,2.0,9.0,8.0,17.0,3.0,4.0,,,1.0,7.0,4.0,11.0,8.0,6.0,2.0,6.0,1.0,1.0,,2.0,1.0,1.0,3.0,7.0,2.0,2.0,1.0,3.0,6.0,0.25,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.3333333333333333,1.0,0.25,0.4,,90.0,18.22222222222222,13.5,16.22222222222222,13.125,0.3333333333333333,0.75,1.0,,,,0.5833333333333334,0.14285714285714285,0.14285714285714285,,0.4166666666666667,0.49127916666666666,11.19090909090909,4.0,8.0,3.0,2.0,2.0,1.0,1.0,,,2.0,2.0,4.0,,4.0,1.0,4.0,4.0,,1.0,,,,,,4.0,4.0,0.5,0.5,0.3333333333333333,0.5,0.08333333333333333,0.5714285714285714,0.5,1.0,1.0,,0.08333333333333333,0.5,1.0,0.58475,0.25,0.5,25.2,0.4444444444444444,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.3333333333333333,0.09090909090909091,0.25,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.51335,0.08333333333333333,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,False
1503-1607-1727-2034-353,1610612753,"Tracy McGrady, Troy Hudson, Pat Garrity, Mike Miller, Darrell Armstrong","McGrady, Hudson, Garrity, Miller, Armstrong",1503-1607-1727-2034-353,ORL,196.0,3,3.0,3.0,8.0,7.0,15.0,3.0,4.0,,,,,3.0,4.0,8.0,5.0,4.0,2.0,2.0,2.0,,4.0,3.0,,3.0,3.0,,,,2.0,8.0,0.6666666666666666,0.6666666666666666,0.75,0.5,0.5714285714285714,,1.0,1.0,,110.20408163265306,11.625,14.714285714285714,11.625,14.714285714285714,0.6666666666666666,0.75,0.75,,,,,,,,1.0,0.5352583333333333,,4.0,3.0,,,,2.0,2.0,2.0,,,,,1.0,1.0,2.0,,,,3.0,1.0,,,,,1.0,4.0,,,,0.16666666666666666,0.3333333333333333,,,,1.0,,0.3333333333333333,,,0.465375,,0.125,24.7,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,2.0,,,,,,,0.6666666666666666,,,,,0.16666666666666666,0.25,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,False
1503-1607-1727-2034-680,1610612753,"Tracy McGrady, Troy Hudson, Pat Garrity, Mike Miller, John Amaechi","McGrady, Hudson, Garrity, Miller, Amaechi",1503-1607-1727-2034-680,ORL,158.0,1,3.0,2.0,5.0,5.0,10.0,1.0,1.0,1.0,1.0,,,2.0,2.0,6.0,4.0,,4.0,,,,,2.0,,3.0,3.0,,,,,6.0,,,1.0,0.6666666666666666,0.75,,1.0,1.0,1.0,91.13924050632912,15.6,16.0,15.6,16.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,0.6666666666666666,0.4568666666666667,5.25,,,,,,1.0,1.0,2.0,,,,,,,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.3333333333333333,,,,1.0,1.0,0.3333333333333333,,,,,,24.3,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,False
1503-1607-1727-2034-690,1610612753,"Tracy McGrady, Troy Hudson, Pat Garrity, Mike Miller, Don Reid","McGrady, Hudson, Garrity, Miller, Reid",1503-1607-1727-2034-690,ORL,55.0,1,1.0,-4.0,2.0,2.0,4.0,,,,2.0,,,,2.0,,4.0,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,104.72727272727273,20.5,7.0,20.5,7.0,,,,1.0,,,,,,,,0.36905,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,False
1503-1607-1727-244-353,1610612753,"Tracy McGrady, Troy Hudson, Pat Garrity, Dee Brown, Darrell Armstrong","McGrady, Hudson, Garrity, Brown, Armstrong",1503-1607-1727-244-353,ORL,1.0,1,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,False
1503-1607-1727-244-680,1610612753,"Tracy McGrady, Troy Hudson, Pat Garrity, Dee Brown, John Amaechi","McGrady, Hudson, Garrity, Brown, Amaechi",1503-1607-1727-244-680,ORL,227.0,1,4.0,,7.0,7.0,14.0,,,1.0,2.0,1.0,3.0,2.0,5.0,6.0,6.0,4.0,,2.0,2.0,1.0,4.0,3.0,,3.0,4.0,1.0,,,2.0,4.0,1.0,1.0,0.4,0.4,0.5,,0.75,0.75,,88.81057268722468,16.285714285714285,16.142857142857142,16.142857142857142,13.428571428571429,,,,0.4,0.5,0.5,0.6,0.3333333333333333,0.3333333333333333,1.0,,0.39604,15.14,4.0,,1.0,,,,,2.0,2.0,2.0,1.0,3.0,,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,2.0,4.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.75,,,,,0.40850000000000003,0.3333333333333333,0.3333333333333333,,0.5714285714285714,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.16666666666666666,0.16666666666666666,,,2.0,,1.0,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,False
