EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Fouls,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Corner3FGA,FG3A,OpponentPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,DefThreePtRebounds,PenaltyOffPossExcludingTakeFouls,DefThreePtReboundPct,DefArc3ReboundPct,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,Steals,BadPassSteals,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,2pt And 1 Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,Arc3FGA,PenaltyArc3FGA,PenaltyFG3A,HeaveAttempts,Arc3Frequency,PenaltyArc3Frequency,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,SecondChancePointsPct,SecondChanceAtRimFGM,PtsPutbacks,SecondChanceAtRimAccuracy,Offensive Fouls,BlockedLongMidRange,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyFG3M,PtsUnassisted3s,Blocked3s,BlockedArc3,PenaltyFg3Pct,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,BlockedAtRim,PenaltyAtRimFGM,PenaltyAtRimAccuracy,LongMidRangePctBlocked,Technical Free Throw Trips,PenaltyArc3FGM,PenaltyArc3Accuracy,DefensiveGoaltends,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
1051-111-1497-1732-1887,1610612750,"Dean Garrett, LaPhonso Ellis, Chauncey Billups, Felipe Lopez, Wally Szczerbiak","Garrett, Ellis, Billups, Lopez, Szczerbiak",1051-111-1497-1732-1887,MIN,12.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,False
1051-111-1732-210-417,1610612750,"Dean Garrett, LaPhonso Ellis, Felipe Lopez, Terrell Brandon, Sam Mitchell","Garrett, Ellis, Lopez, Brandon, Mitchell",1051-111-1732-210-417,MIN,84.0,1,,1.0,-2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.42857142857143,58.0,13.0,44.0,13.0,1.0,1.0,0.56835,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,False
1051-111-1887-1895-324,1610612750,"Dean Garrett, LaPhonso Ellis, Wally Szczerbiak, William Avery, Anthony Peeler","Garrett, Ellis, Szczerbiak, Avery, Peeler",1051-111-1887-1895-324,MIN,12.0,1,,,,2.0,1.0,3.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,360.0,2.5,7.0,2.5,7.0,,,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,False
1051-111-1887-210-324,1610612750,"Dean Garrett, LaPhonso Ellis, Wally Szczerbiak, Terrell Brandon, Anthony Peeler","Garrett, Ellis, Szczerbiak, Brandon, Peeler",1051-111-1887-210-324,MIN,134.0,2,1.0,2.0,3.0,3.0,3.0,6.0,,,3.0,,,1.0,,1.0,,,,,,,1.0,,,,64.4776119402985,18.333333333333332,26.333333333333332,18.333333333333332,20.666666666666668,,,0.3096,,2.0,3.0,1.0,2.0,1.0,,0.6666666666666666,2.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2695,0.3333333333333333,0.3333333333333333,0.6666666666666666,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,False
1051-1732-1887-210-708,1610612750,"Dean Garrett, Felipe Lopez, Wally Szczerbiak, Terrell Brandon, Kevin Garnett","Garrett, Lopez, Szczerbiak, Brandon, Garnett",1051-1732-1887-210-708,MIN,147.0,2,3.0,2.0,,5.0,5.0,10.0,,,5.0,,2.0,2.0,1.0,3.0,,,1.0,,1.0,,1.0,0.3333333333333333,,,97.95918367346938,14.0,15.4,12.4,15.4,,0.6,0.60362,,1.0,2.0,,1.0,,,0.2,1.0,1.0,2.0,5.0,1.0,5.0,,1.0,,,,4.0,,,,,1.0,,1.0,1.0,5.0,,,,,0.4,,0.4,,0.5,,,0.2,1.0,1.0,,0.7573,0.2,0.2,,5.4799999999999995,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6,0.3333333333333333,1.0,0.2,1.0,1.0,0.6241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,False
1051-1732-210-417-708,1610612750,"Dean Garrett, Felipe Lopez, Terrell Brandon, Sam Mitchell, Kevin Garnett","Garrett, Lopez, Brandon, Mitchell, Garnett",1051-1732-210-417-708,MIN,15.0,1,,,-2.0,1.0,1.0,2.0,,1.0,2.0,,,,,,,,,1.0,,,,,,,192.0,4.0,11.0,4.0,11.0,,1.0,,40.7,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,False
1051-1887-210-324-708,1610612750,"Dean Garrett, Wally Szczerbiak, Terrell Brandon, Anthony Peeler, Kevin Garnett","Garrett, Szczerbiak, Brandon, Peeler, Garnett",1051-1887-210-324-708,MIN,2094.0,3,13.0,35.0,-7.0,60.0,62.0,122.0,4.0,8.0,68.0,1.0,14.0,19.0,12.0,31.0,2.0,,7.0,0.13559322033898305,0.6666666666666666,0.16666666666666666,0.6428571428571429,0.34285714285714286,,0.8333333333333334,83.89684813753583,16.8,17.516129032258064,15.716666666666667,16.661290322580644,0.06779661016949153,0.2711864406779661,0.44192542372881355,24.25,9.0,17.0,4.0,9.0,0.5714285714285714,0.6666666666666666,0.15,4.0,11.0,22.0,51.0,11.0,61.0,2.0,6.0,3.0,7.0,26.0,18.0,13.0,15.0,3.0,32.0,5.0,4.0,12.0,5.0,52.0,7.0,1.0,0.5909090909090909,0.5909090909090909,0.43137254901960786,0.3333333333333333,0.423728813559322,0.25,0.46923076923076923,0.35,0.5,0.1864406779661017,0.36363636363636365,0.4,0.75,0.42885625,0.078125,0.08928571428571429,0.11475409836065574,12.752941176470587,9.0,4.0,8.0,1.0,,32.0,9.0,4.0,11.0,1.0,5.0,3.0,8.0,,0.0784313725490196,0.375,0.7142857142857143,0.3793103448275862,0.2777777777777778,0.6153846153846154,0.13559322033898305,0.5,0.8,0.5423728813559322,0.1111111111111111,,0.3739444444444444,4.0,1.0,2.0,,0.06779661016949153,0.125,14.0,1.0,1.0,1.0,2.0,4.0,1.0,9.0,6.0,4.0,1.0,2.0,1.0,1.0,1.0,9.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.4444444444444444,0.4444444444444444,0.45,0.09090909090909091,0.5,0.5,0.5714285714285714,0.3333333333333333,0.5,0.06451612903225806,1.0,0.25,0.4375,0.4375,0.6428571428571429,0.25,0.25,1.0,0.25,0.25,1.0,0.125,0.25,0.14754098360655737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,False
1073-111-1497-1732-1887,1610612750,"Reggie Slater, LaPhonso Ellis, Chauncey Billups, Felipe Lopez, Wally Szczerbiak","Slater, Ellis, Billups, Lopez, Szczerbiak",1073-111-1497-1732-1887,MIN,20.0,1,1.0,,-1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,72.0,13.0,,13.0,,,,0.3866,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,8.4,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,False
1073-111-1497-1887-324,1610612750,"Reggie Slater, LaPhonso Ellis, Chauncey Billups, Wally Szczerbiak, Anthony Peeler","Slater, Ellis, Billups, Szczerbiak, Peeler",1073-111-1497-1887-324,MIN,40.0,1,,1.0,,1.0,1.0,2.0,,,2.0,,,,1.0,1.0,,,,,,,,1.0,,,72.0,20.0,20.0,20.0,20.0,,0.5,0.45505,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,0.5,,0.5,,0.5,,,0.5,,,,,,,,3.95,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,0.5,1.0,1.0,,1.0,,0.5363,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,False
1073-111-1732-210-417,1610612750,"Reggie Slater, LaPhonso Ellis, Felipe Lopez, Terrell Brandon, Sam Mitchell","Slater, Ellis, Lopez, Brandon, Mitchell",1073-111-1732-210-417,MIN,402.0,2,4.0,7.0,-1.0,11.0,12.0,23.0,,,12.0,,3.0,5.0,3.0,8.0,1.0,1.0,1.0,,0.75,,0.6,0.5,,,82.38805970149254,17.09090909090909,17.833333333333332,16.727272727272727,17.416666666666668,,0.2727272727272727,0.4019,,3.0,3.0,,3.0,,,0.2727272727272727,3.0,4.0,4.0,11.0,3.0,11.0,,3.0,2.0,2.0,8.0,,4.0,4.0,3.0,8.0,,,4.0,2.0,10.0,2.0,,1.0,1.0,0.36363636363636365,,0.36363636363636365,,0.4230769230769231,0.25,,0.36363636363636365,0.75,1.0,1.0,0.3696,0.15384615384615385,0.15384615384615385,0.18181818181818182,9.018181818181818,3.0,,3.0,2.0,1.0,4.0,2.0,1.0,3.0,,,,3.0,,0.09090909090909091,,,0.5,0.6666666666666666,0.5,0.2727272727272727,,,0.36363636363636365,1.0,0.3333333333333333,0.48105,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,0.16666666666666666,0.25,1.0,0.5,,,1.0,0.4,,,0.25,0.25,1.0,,,,,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2001,2000-01,False
