EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsAssisted3s,ThreePtAssists,Arc3Assists,Assisted3sPct,DefAtRimReboundPct,Arc3PctAssisted,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,PenaltyAtRimFGM,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGA,SecondChanceFG3A,Corner3Assists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,SecondChanceTurnovers,LongMidRangePctBlocked,OffShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,Fg3aBlocked,Offensive Fouls,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyTurnovers,LostBallOutOfBoundsTurnovers,HeaveAttempts,SelfOReb,SelfORebPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFtPoints,FTOffRebounds,LostBallTurnovers,Blocked3s,BlockedArc3,SecondChanceFg3Pct,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedShortMidRange,3SecondViolations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1503-1607-1720-1727-2034,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Pat Garrity, Mike Miller","McGrady, Hudson, Doleac, Garrity, Miller",1503-1607-1720-1727-2034,ORL,739.0,10,12.0,5.0,27.0,27.0,9.0,10.0,3.0,54.0,5.0,9.0,1.0,2.0,2.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,8.0,17.0,1.0,2.0,10.0,29.0,24.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,7.0,12.0,12.0,4.0,3.0,2.0,1.0,1.0,6.0,6.0,4.0,2.0,12.0,3.0,3.0,6.0,1.0,10.0,3.0,13.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,8.0,2.0,14.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,27.0,12.0,9.0,1.0,0.75,0.8571428571428571,0.5,1.0,0.5,0.47058823529411764,0.3333333333333333,0.25,0.5,0.3333333333333333,0.5,0.56,0.3333333333333333,0.6875,0.10526315789473684,1.0,1.0,0.6666666666666666,0.3333333333333333,0.75,0.6923076923076923,0.3,0.5,0.25,1.0,0.8333333333333334,0.75,105.22327469553451,0.3333333333333333,12.148148148148149,15.222222222222221,11.88888888888889,13.555555555555555,0.47368421052631576,0.5555555555555556,0.5555555555555556,0.8,0.05263157894736842,0.3684210526315789,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.05263157894736842,0.05263157894736842,1.0,1.0,0.6666666666666666,0.5,0.4,0.2,1.0,0.5789473684210527,1.0,0.49703157894736844,0.5099666666666667,0.45007,0.18181818181818182,0.2,0.06896551724137931,0.41379310344827586,8.523529411764706,24.45,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,True
1503-1607-1720-1727-244,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Pat Garrity, Dee Brown","McGrady, Hudson, Doleac, Garrity, Brown",1503-1607-1720-1727-244,ORL,105.0,1,2.0,3.0,3.0,3.0,,,,6.0,1.0,2.0,,,,,,,,1.0,1.0,,,1.0,2.0,1.0,1.0,,5.0,2.0,,,,,,,,,,2.0,,,,1.0,1.0,1.0,2.0,1.0,,5.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,5.0,,,,1.0,1.0,1.0,,1.0,0.5,,,0.8333333333333334,,,0.8333333333333334,,,0.3333333333333333,,,1.0,,,1.0,,,,,,,82.28571428571429,1.0,13.0,22.0,13.0,22.0,0.6666666666666666,0.5,0.5,1.0,,,,,,,0.3333333333333333,1.0,1.0,,,,,,1.0,1.0,0.5628833333333333,,,,,,,,25.5,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,True
1503-1607-1720-1727-255,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Pat Garrity, Grant Hill","McGrady, Hudson, Doleac, Garrity, Hill",1503-1607-1720-1727-255,ORL,14.0,1,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.85714285714286,,12.0,,12.0,,,,,,1.0,,,,,,,,,,,,,,,,0.3071,,0.3071,,,,,6.9,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,True
1503-1607-1720-1727-353,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Pat Garrity, Darrell Armstrong","McGrady, Hudson, Doleac, Garrity, Armstrong",1503-1607-1720-1727-353,ORL,307.0,5,5.0,-2.0,12.0,14.0,5.0,9.0,,26.0,1.0,1.0,,,,4.0,,1.0,,1.0,1.0,,,1.0,6.0,1.0,1.0,7.0,12.0,14.0,,,,,,,,6.0,6.0,2.0,,,,1.0,1.0,1.0,2.0,1.0,,5.0,,1.0,2.0,,3.0,,3.0,2.0,1.0,1.0,,,,2.0,3.0,,9.0,,1.0,,4.0,,,,,,,,12.0,6.0,5.0,1.0,1.0,1.0,1.0,,1.0,0.16666666666666666,,,0.35714285714285715,,,0.5,,0.75,0.14285714285714285,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,121.95439739413682,,14.833333333333334,9.214285714285714,14.833333333333334,9.214285714285714,0.14285714285714285,1.0,1.0,1.0,0.5714285714285714,0.14285714285714285,,,,,0.14285714285714285,1.0,1.0,,,,,,0.2857142857142857,1.0,0.4153857142857143,,,,,,0.5,10.450000000000001,26.4,0.4166666666666667,3.0,1.0,1.0,1.0,,1.0,1.0,0.16666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,True
1503-1607-1720-1727-42,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Pat Garrity, Monty Williams","McGrady, Hudson, Doleac, Garrity, Williams",1503-1607-1720-1727-42,ORL,632.0,5,11.0,7.0,22.0,20.0,4.0,2.0,2.0,42.0,4.0,6.0,,,2.0,5.0,2.0,5.0,3.0,,,,,7.0,16.0,1.0,3.0,6.0,23.0,16.0,,1.0,,1.0,2.0,,,3.0,5.0,8.0,6.0,,,,,4.0,5.0,3.0,,11.0,3.0,3.0,6.0,,9.0,3.0,12.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,,7.0,1.0,,2.0,2.0,,,,,,,,23.0,5.0,4.0,,0.5714285714285714,0.5714285714285714,0.3333333333333333,,0.3333333333333333,0.4375,,0.5,0.4473684210526316,,0.5,0.5227272727272727,,0.625,0.15789473684210525,0.3333333333333333,,0.8571428571428571,0.3333333333333333,1.0,0.9,0.2727272727272727,0.5,0.3333333333333333,1.0,0.6666666666666666,1.0,95.69620253164557,,14.5,15.65,13.909090909090908,15.3,0.3157894736842105,0.6666666666666666,0.6666666666666666,0.75,0.2631578947368421,0.2631578947368421,0.4,0.6666666666666666,,0.15789473684210525,,,,,,1.0,,,0.47368421052631576,,0.45005,0.3878,0.5345,0.1,0.11764705882352941,,0.21739130434782608,8.6875,23.233333333333334,0.18181818181818182,3.0,1.0,,1.0,1.0,,2.0,0.125,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.4,0.25,1.0,0.2,0.2,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,True
1503-1607-1720-1727-448,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Pat Garrity, Bo Outlaw","McGrady, Hudson, Doleac, Garrity, Outlaw",1503-1607-1720-1727-448,ORL,588.0,4,10.0,3.0,19.0,19.0,11.0,7.0,1.0,38.0,3.0,4.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,6.0,10.0,3.0,4.0,5.0,26.0,23.0,1.0,1.0,2.0,4.0,6.0,2.0,3.0,1.0,15.0,10.0,2.0,3.0,,3.0,2.0,5.0,7.0,2.0,1.0,16.0,1.0,1.0,7.0,1.0,9.0,1.0,10.0,,,,,,1.0,1.0,4.0,,11.0,1.0,,6.0,,,,,,,,,24.0,15.0,11.0,1.0,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.75,0.6,1.0,0.6666666666666666,0.75,1.0,0.7777777777777778,0.6842105263157895,1.0,0.6818181818181818,0.2857142857142857,,1.0,1.0,0.25,1.0,1.0,0.2,,,1.0,1.0,,93.06122448979592,,16.736842105263158,14.210526315789474,16.473684210526315,14.210526315789474,0.2857142857142857,0.75,1.0,0.6666666666666666,0.35714285714285715,0.07142857142857142,1.0,1.0,1.0,0.07142857142857142,0.21428571428571427,0.6666666666666666,1.0,1.0,1.0,0.2222222222222222,0.2222222222222222,0.5,0.5714285714285714,0.6666666666666666,0.4869214285714286,0.5167,0.48370555555555556,0.3157894736842105,0.4,0.07692307692307693,0.5769230769230769,6.640000000000001,25.35,0.5789473684210527,6.0,2.0,1.0,0.6666666666666666,,0.5,2.0,0.2,0.2,1.0,2.0,1.0,,,1.0,2.0,,1.0,,,,0.3333333333333333,1.0,0.4,0.5,1.0,1.0,1.0,1.0,,0.5,1.0,1.0,1.0,1.0,0.25,0.25,0.3333333333333333,1.0,0.1111111111111111,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,True
1503-1607-1720-1727-680,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Pat Garrity, John Amaechi","McGrady, Hudson, Doleac, Garrity, Amaechi",1503-1607-1720-1727-680,ORL,79.0,1,1.0,-4.0,3.0,3.0,3.0,3.0,,6.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,2.0,,,,2.0,6.0,,,,1.0,2.0,,,,2.0,,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,2.0,2.0,3.0,,,,,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,,,1.0,,,,,,,,,,,109.36708860759494,,20.0,6.333333333333333,20.0,6.333333333333333,0.5,1.0,1.0,,0.5,,,,,,,,,,,0.5,,,0.5,,0.4824,,0.4824,,,,1.0,4.5,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,True
1503-1607-1720-1727-690,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Pat Garrity, Don Reid","McGrady, Hudson, Doleac, Garrity, Reid",1503-1607-1720-1727-690,ORL,36.0,1,1.0,2.0,1.0,,1.0,,1.0,1.0,,,,,,2.0,,,,,,,,1.0,2.0,,,,2.0,,1.0,1.0,2.0,1.0,2.0,,,,2.0,2.0,,,,,,1.0,1.0,,,2.0,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,,,,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,,,,,1.0,,,1.0,,,,,,40.0,,22.0,,18.0,,,,,,1.0,,,,,,,,,,,,,,,,0.39615,0.416,0.39615,,,1.0,1.0,10.55,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,True
1503-1607-1720-2034-255,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Mike Miller, Grant Hill","McGrady, Hudson, Doleac, Miller, Hill",1503-1607-1720-2034-255,ORL,56.0,1,1.0,,4.0,3.0,4.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,3.0,,,,1.0,1.0,4.0,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,0.25,,0.75,,,0.75,,,,,0.5,,180.0,,4.75,12.333333333333334,4.75,11.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,True
1503-1607-1720-2034-353,1610612753,"Tracy McGrady, Troy Hudson, Michael Doleac, Mike Miller, Darrell Armstrong","McGrady, Hudson, Doleac, Miller, Armstrong",1503-1607-1720-2034-353,ORL,194.0,3,3.0,-1.0,12.0,14.0,10.0,14.0,1.0,26.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,,1.0,,1.0,4.0,5.0,,1.0,10.0,18.0,19.0,1.0,1.0,2.0,2.0,2.0,,1.0,10.0,14.0,2.0,6.0,,2.0,,,1.0,1.0,,,2.0,1.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,,,,,1.0,7.0,,14.0,,,,7.0,1.0,,1.0,1.0,,,,16.0,14.0,10.0,5.0,0.25,0.3333333333333333,,,,0.8,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6923076923076923,1.0,0.7,0.16666666666666666,,1.0,0.4,1.0,1.0,0.5,1.0,,,,0.3333333333333333,,192.98969072164948,,6.083333333333333,8.642857142857142,6.0,8.071428571428571,0.5,1.0,1.0,,0.3333333333333333,,,,,,0.16666666666666666,,,1.0,1.0,0.3333333333333333,0.3333333333333333,,0.6666666666666666,,0.5132,0.5399,0.49115,,,0.1111111111111111,0.7777777777777778,2.6399999999999997,74.5,0.8333333333333334,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,0.5,0.5,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2001,2000-01,True
