EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,LongMidRangeFGA,Fouls,DefAtRimReboundPct,LongMidRangeFrequency,PenaltyOffPoss,PenaltyDefPoss,LongMidRangeFGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,DefThreePtRebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGA,SecondChanceFtPoints,Fg2aBlocked,BadPassSteals,FG2APctBlocked,LongMidRangePctBlocked,PenaltyAtRimFrequency,PenaltyAtRimFGM,FTDefRebounds,LostBallTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,Technical Free Throw Trips,AtRimPctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,DefCorner3ReboundPct,BlockedShortMidRange,FTOffRebounds,OffFTReboundPct,SelfOReb,SecondChanceTurnovers,Defensive 3 Seconds Violations,SelfORebPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Corner3Assists,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,ShortMidRangePctBlocked,3SecondViolations,PenaltyCorner3FGM,PenaltyCorner3FGA,OffCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,DefensiveGoaltends,HeaveAttempts,Blocked3s,BlockedArc3,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
1434-1500-1724-1736-1913,1610612741,"Dragan Tarlac, Ron Mercer, Bryce Drew, Corey Benjamin, Michael Ruffin","Tarlac, Mercer, Drew, Benjamin, Ruffin",1434-1500-1724-1736-1913,CHI,186.0,1,3.0,5.0,5.0,1.0,10.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,9.0,9.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,7.0,0.5,0.6666666666666666,0.8,0.5,0.5714285714285714,0.5,0.6428571428571429,0.5,0.2857142857142857,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.5,1.0,77.41935483870968,21.2,16.0,20.6,16.0,0.5714285714285714,0.75,0.75,0.3333333333333333,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,1.0,0.5,0.8571428571428571,0.5502785714285714,0.5651,0.14285714285714285,0.2,0.2222222222222222,1.02,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2001,2000-01,True
1434-1500-1724-1802-1897,1610612741,"Dragan Tarlac, Ron Mercer, Bryce Drew, Brad Miller, Metta World Peace","Tarlac, Mercer, Drew, Miller, World Peace",1434-1500-1724-1802-1897,CHI,69.0,1,1.0,2.0,2.0,,4.0,,,,,,,1.0,,1.0,1.0,,,3.0,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,0.5,0.5,,,0.5,,,,,83.47826086956522,19.0,15.5,19.0,9.0,,,,,,,,,0.5,,,0.5,0.4862,,,,,20.9,24.8,-3.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2001,2000-01,True
1434-1500-1724-1882-1897,1610612741,"Dragan Tarlac, Ron Mercer, Bryce Drew, Elton Brand, Metta World Peace","Tarlac, Mercer, Drew, Brand, World Peace",1434-1500-1724-1882-1897,CHI,706.0,4,12.0,25.0,25.0,3.0,50.0,6.0,7.0,1.0,1.0,2.0,2.0,4.0,12.0,14.0,4.0,5.0,38.0,22.0,1.0,2.0,5.0,16.0,8.0,2.0,4.0,8.0,10.0,4.0,1.0,22.0,1.0,1.0,10.0,11.0,2.0,13.0,10.0,,3.0,33.0,0.6666666666666666,0.7272727272727273,0.8571428571428571,0.5,0.9166666666666666,0.8333333333333334,0.8260869565217391,0.8333333333333334,0.2222222222222222,0.8333333333333334,0.5,1.0,0.7857142857142857,0.6666666666666666,1.0,1.0,1.0,101.98300283286119,11.52,16.72,10.64,16.52,0.3888888888888889,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.1111111111111111,1.0,1.0,0.5,0.2222222222222222,0.3333333333333333,1.0,0.6111111111111112,0.5113388888888889,0.553825,0.14285714285714285,0.17647058823529413,0.13157894736842105,8.214285714285714,25.825,16.0,5.0,5.0,0.5,0.2777777777777778,7.0,8.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,7.0,6.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,7.0,2.0,0.6666666666666666,0.75,1.0,0.75,1.0,1.0,0.5833333333333334,0.5,0.5,1.0,0.5,1.0,0.8,0.8,0.75,0.75,0.75,0.6666666666666666,0.3333333333333333,1.0,1.0,0.75,0.4084,0.18421052631578946,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2001,2000-01,True
1434-1500-1724-1882-2033,1610612741,"Dragan Tarlac, Ron Mercer, Bryce Drew, Elton Brand, Marcus Fizer","Tarlac, Mercer, Drew, Brand, Fizer",1434-1500-1724-1882-2033,CHI,180.0,1,3.0,6.0,5.0,1.0,11.0,,1.0,,,,,,1.0,4.0,,4.0,6.0,4.0,,,2.0,2.0,,,,1.0,1.0,,,2.0,,1.0,1.0,1.0,1.0,2.0,4.0,,1.0,4.0,1.0,1.0,0.25,,0.25,,0.5,1.0,,0.5,0.5,,0.5,0.5,1.0,,,88.0,12.0,21.6,12.0,19.6,0.25,,,,,,,,,,,0.25,0.43235,,0.2,0.2,0.3333333333333333,15.05,,2.0,3.0,2.0,,0.75,2.0,,1.0,,,,,,,,2.0,2.0,2.0,,,,,,1.0,,1.0,,,,,2.0,,2.0,,,1.0,,,,,2.0,2.0,,,,,,,,0.3333333333333333,,,1.0,,,0.3333333333333333,0.5,1.0,,,,,,,,0.48685,0.3333333333333333,0.3333333333333333,1.0,2.0,1.0,1.0,0.25,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2001,2000-01,True
1434-1500-1724-1882-2064,1610612741,"Dragan Tarlac, Ron Mercer, Bryce Drew, Elton Brand, Khalid El-Amin","Tarlac, Mercer, Drew, Brand, El-Amin",1434-1500-1724-1882-2064,CHI,77.0,1,1.0,3.0,3.0,,6.0,,,,,1.0,1.0,,1.0,2.0,,,2.0,5.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,0.5,,0.5,,0.5,,,,,,,,,,,112.2077922077922,10.0,15.666666666666666,10.0,15.666666666666666,,,,,0.5,1.0,1.0,,,,,,0.42355,,,,,15.1,,-3.0,1.0,2.0,,0.5,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2001,2000-01,True
1434-1500-1724-1882-697,1610612741,"Dragan Tarlac, Ron Mercer, Bryce Drew, Elton Brand, Fred Hoiberg","Tarlac, Mercer, Drew, Brand, Hoiberg",1434-1500-1724-1882-697,CHI,1222.0,5,20.0,39.0,39.0,6.0,78.0,9.0,12.0,4.0,4.0,3.0,6.0,2.0,13.0,26.0,2.0,12.0,41.0,35.0,4.0,4.0,11.0,16.0,10.0,6.0,2.0,8.0,9.0,5.0,2.0,19.0,1.0,6.0,9.0,12.0,7.0,19.0,17.0,,6.0,30.0,0.6153846153846154,0.8,0.5,1.0,0.5178571428571429,1.0,0.5555555555555556,0.9166666666666666,0.07142857142857142,0.8181818181818182,0.46153846153846156,1.0,0.7857142857142857,0.5,0.3333333333333333,1.0,1.0,91.91489361702128,16.794871794871796,14.538461538461538,16.692307692307693,14.205128205128204,0.42857142857142855,0.75,0.8181818181818182,0.5555555555555556,0.21428571428571427,0.5,0.5,0.6666666666666666,0.07142857142857142,1.0,1.0,0.5,0.4541017857142857,0.568,0.17647058823529413,0.1875,0.2682926829268293,7.869230769230769,26.8,6.0,8.0,10.0,0.5,0.2857142857142857,10.0,16.0,1.0,1.0,,,1.0,,,3.0,5.0,6.0,12.0,3.0,,1.0,1.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,10.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,12.0,10.0,1.0,1.0,0.5,,0.5,0.6,0.6,0.6,0.4,0.6666666666666666,1.0,0.6666666666666666,0.5,0.125,0.125,1.0,0.5,0.5,1.0,,,,0.5,0.40469999999999995,0.2926829268292683,0.2564102564102564,1.0,3.0,1.0,4.0,0.038461538461538464,,0.2,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.08333333333333333,1.0,0.6666666666666666,0.42857142857142855,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2001,2000-01,True
1434-1500-1724-1897-2033,1610612741,"Dragan Tarlac, Ron Mercer, Bryce Drew, Metta World Peace, Marcus Fizer","Tarlac, Mercer, Drew, World Peace, Fizer",1434-1500-1724-1897-2033,CHI,201.0,2,3.0,6.0,6.0,1.0,12.0,3.0,5.0,1.0,2.0,,1.0,2.0,3.0,6.0,2.0,,9.0,4.0,1.0,2.0,2.0,2.0,4.0,,2.0,1.0,2.0,1.0,,5.0,1.0,1.0,3.0,4.0,2.0,6.0,,,,7.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5625,0.5,0.5625,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,1.0,85.97014925373134,17.166666666666668,16.333333333333332,16.333333333333332,16.333333333333332,0.625,0.6,0.6,0.3333333333333333,0.125,,,,0.25,1.0,0.5,0.875,0.559825,0.5642,,,0.2222222222222222,1.7166666666666668,25.4,5.0,,1.0,1.0,,2.0,3.0,,1.0,,,1.0,,,1.0,1.0,,5.0,3.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,5.0,2.0,1.0,1.0,0.5,,0.5,1.0,1.25,1.25,,,,,,,,,0.5,0.5,1.0,,,,0.5,0.698375,0.5555555555555556,0.3333333333333333,1.0,,,1.0,,,0.5,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2001,2000-01,True
1434-1500-1736-1802-2037,1610612741,"Dragan Tarlac, Ron Mercer, Corey Benjamin, Brad Miller, Jamal Crawford","Tarlac, Mercer, Benjamin, Miller, Crawford",1434-1500-1736-1802-2037,CHI,144.0,1,2.0,5.0,5.0,,10.0,,,,,,1.0,,1.0,3.0,,,2.0,6.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,100.0,18.2,10.6,18.2,10.6,,,,,0.3333333333333333,,,,,,,,0.3954333333333333,,,,,13.1,,-4.0,2.0,,,0.6666666666666666,,,1.0,,,,,,,,,,,,,,,,,,1.0,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,0.5,0.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2001,2000-01,True
1434-1500-1736-1802-697,1610612741,"Dragan Tarlac, Ron Mercer, Corey Benjamin, Brad Miller, Fred Hoiberg","Tarlac, Mercer, Benjamin, Miller, Hoiberg",1434-1500-1736-1802-697,CHI,306.0,2,5.0,10.0,8.0,1.0,18.0,,,,,3.0,3.0,2.0,5.0,6.0,2.0,4.0,17.0,4.0,1.0,1.0,2.0,2.0,8.0,,2.0,1.0,2.0,,,5.0,1.0,,3.0,4.0,1.0,5.0,4.0,,2.0,15.0,0.2,0.2,0.8333333333333334,1.0,0.8125,1.0,0.85,1.0,0.25,0.5,,1.0,0.5714285714285714,0.5,,1.0,0.6666666666666666,84.70588235294119,15.7,18.625,14.3,17.875,,,,,0.375,1.0,1.0,,0.25,,,0.25,0.41733125,,0.2,0.25,0.11764705882352941,12.866666666666667,24.35,13.0,3.0,,,0.375,4.0,,2.0,1.0,,,1.0,,,3.0,4.0,,6.0,3.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,6.0,4.0,,1.0,0.5,,0.5,0.75,0.75,0.75,1.0,1.0,1.0,,,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,1.0,,,,0.5,0.343375,0.35294117647058826,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2001,2000-01,True
1434-1500-1736-1882-1897,1610612741,"Dragan Tarlac, Ron Mercer, Corey Benjamin, Elton Brand, Metta World Peace","Tarlac, Mercer, Benjamin, Brand, World Peace",1434-1500-1736-1882-1897,CHI,435.0,2,7.0,11.0,12.0,3.0,23.0,2.0,4.0,1.0,1.0,,1.0,,6.0,11.0,,5.0,17.0,8.0,3.0,3.0,6.0,4.0,8.0,2.0,,2.0,2.0,,,4.0,,3.0,3.0,4.0,3.0,7.0,5.0,1.0,3.0,11.0,0.3333333333333333,0.4,0.5454545454545454,1.0,0.5454545454545454,1.0,0.6538461538461539,1.0,,1.0,0.6,,1.0,0.6,1.0,,1.0,76.13793103448276,19.454545454545453,18.416666666666668,18.272727272727273,18.416666666666668,0.36363636363636365,0.5,0.5,,0.09090909090909091,,,,,0.3333333333333333,1.0,0.36363636363636365,0.4634181818181818,0.4538,0.23076923076923078,0.23076923076923078,0.35294117647058826,10.072727272727272,,9.0,6.0,2.0,1.0,0.5454545454545454,1.0,,4.0,,,,,,,1.0,2.0,,2.0,,,,,,2.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,0.5,0.5,0.5,,1.0,1.0,,1.0,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,0.43685,0.11764705882352941,0.09090909090909091,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2001,2000-01,True
