EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,SecondChanceFG3A,AtRimAssists,RecoveredBlocks,SecondChanceFg3Pct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,2pt And 1 Free Throw Trips,FTDefRebounds,DefFTReboundPct,BlockedAtRim,SecondChanceArc3FGA,Offensive Fouls,SecondChanceArc3Frequency,LongMidRangeAssists,LongMidRangePctAssisted,SecondChanceFtPoints,HeaveAttempts,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawn,ShortMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,Corner3Assists,Corner3PctAssisted,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls,3SecondViolations,BlockedLongMidRange,Blocked3s,BlockedCorner3,Travels,BlockedArc3,DefensiveGoaltends,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,OffensiveGoaltends,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
1563-1908-1928-1934-1952,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Rodney Buford, Raja Bell","Ollie, Jones, MacCulloch, Buford, Bell",1563-1908-1928-1934-1952,PHI,809.0,7,13.0,-12.0,29.0,29.0,22.0,27.0,7.0,58.0,3.0,5.0,3.0,4.0,3.0,5.0,2.0,5.0,1.0,3.0,1.0,1.0,3.0,9.0,3.0,7.0,6.0,13.0,3.0,10.0,2.0,23.0,35.0,3.0,4.0,6.0,4.0,11.0,3.0,8.0,2.0,19.0,2.0,10.0,3.0,6.0,4.0,9.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,4.0,1.0,1.0,5.0,6.0,7.0,13.0,1.0,3.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,7.0,3.0,5.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,17.0,19.0,22.0,2.0,0.16666666666666666,0.25,0.3333333333333333,0.3,0.375,0.3,0.46153846153846156,0.75,0.36363636363636365,0.45652173913043476,0.75,0.4473684210526316,0.4791666666666667,0.75,0.475,0.43478260869565216,0.15384615384615385,0.4,0.5714285714285714,0.5,0.625,0.5714285714285714,1.0,0.3333333333333333,0.6666666666666666,0.46153846153846156,0.5,1.0,0.4,0.5,0.75,1.0,0.09090909090909091,103.23856613102596,16.448275862068964,11.448275862068966,15.482758620689655,11.413793103448276,0.21739130434782608,0.6,1.0,0.21739130434782608,0.4,0.4,0.5,0.13043478260869565,0.3333333333333333,0.3333333333333333,0.043478260869565216,0.391304347826087,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.75,0.2631578947368421,0.6,0.05263157894736842,0.3684210526315789,0.42857142857142855,0.6521739130434783,0.3333333333333333,0.3783478260869565,0.4412,0.3881,0.2608695652173913,0.8260869565217391,8.461538461538462,28.05,0.7586206896551724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,True
1563-1908-1928-1934-243,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Rodney Buford, Aaron McKie","Ollie, Jones, MacCulloch, Buford, McKie",1563-1908-1928-1934-243,PHI,71.0,2,1.0,1.0,2.0,3.0,,,,5.0,,,,,,,,1.0,,1.0,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,101.40845070422534,29.0,4.333333333333333,29.0,4.333333333333333,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,0.37215,,,,,16.05,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,True
1563-1908-1928-1934-248,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Rodney Buford, George Lynch","Ollie, Jones, MacCulloch, Buford, Lynch",1563-1908-1928-1934-248,PHI,199.0,1,3.0,4.0,6.0,7.0,6.0,7.0,1.0,13.0,1.0,1.0,,,1.0,1.0,,,,1.0,2.0,2.0,,,,,1.0,2.0,1.0,2.0,1.0,6.0,2.0,,,3.0,1.0,2.0,1.0,2.0,1.0,6.0,2.0,,,3.0,,,,,1.0,,1.0,,,2.0,,1.0,,1.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,,1.0,1.0,,0.5,0.5,0.5,0.5,,0.5,0.625,1.5,0.625,0.6,1.5,0.6,0.5,,,0.5,,0.75,1.0,1.0,,0.8,0.5,,,,1.0,0.5,,0.5,94.07035175879396,14.0,16.428571428571427,12.333333333333334,15.428571428571429,0.25,1.0,1.0,,,,,0.25,,,0.5,,,,,,,0.25,1.0,0.5,,,0.75,,0.55845,0.56835,0.55845,0.5,1.0,8.8,22.9,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,True
1563-1908-1928-1934-727,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Rodney Buford, Eric Snow","Ollie, Jones, MacCulloch, Buford, Snow",1563-1908-1928-1934-727,PHI,29.0,1,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,49.6551724137931,23.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,True
1563-1908-1928-1952-727,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Raja Bell, Eric Snow","Ollie, Jones, MacCulloch, Bell, Snow",1563-1908-1928-1952-727,PHI,19.0,1,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.57894736842107,1.0,18.0,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,True
1563-1908-1928-1952-947,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Raja Bell, Allen Iverson","Ollie, Jones, MacCulloch, Bell, Iverson",1563-1908-1928-1952-947,PHI,62.0,2,1.0,4.0,3.0,1.0,3.0,1.0,,4.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,2.0,2.0,,,2.0,6.0,2.0,,,,2.0,2.0,,,2.0,6.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,6.0,6.0,3.0,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,92.9032258064516,16.0,14.0,16.0,14.0,0.5,1.0,1.0,,,,,0.5,1.0,1.0,,,,,,,,0.5,1.0,,,,0.5,,0.49835,,0.49835,,1.0,8.5,,1.0,2.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,True
1563-1908-1928-238-243,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Tyrone Hill, Aaron McKie","Ollie, Jones, MacCulloch, Hill, McKie",1563-1908-1928-238-243,PHI,45.0,1,1.0,4.0,2.0,1.0,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,4.0,1.0,,,,4.0,4.0,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,96.0,8.5,28.0,8.5,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,True
1563-1908-1928-238-727,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Tyrone Hill, Eric Snow","Ollie, Jones, MacCulloch, Hill, Snow",1563-1908-1928-238-727,PHI,49.0,1,1.0,-1.0,2.0,2.0,2.0,2.0,1.0,4.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,1.0,2.0,,,,2.0,3.0,,,,1.0,2.0,,,,2.0,,2.0,,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,,0.5,1.0,,,,1.0,,,,1.0,1.0,,,,,,,117.55102040816327,13.0,11.5,13.0,11.5,0.5,,,0.5,1.0,1.0,,,,,,,,,,,,0.5,,,,,0.5,,0.41665,,0.41665,,1.0,6.25,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,True
1563-1908-1928-243-87,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Aaron McKie, Dikembe Mutombo","Ollie, Jones, MacCulloch, McKie, Mutombo",1563-1908-1928-243-87,PHI,60.0,1,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,21.0,,21.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.317,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,True
1563-1908-1934-243-727,1610612755,"Kevin Ollie, Jumaine Jones, Rodney Buford, Aaron McKie, Eric Snow","Ollie, Jones, Buford, McKie, Snow",1563-1908-1934-243-727,PHI,4.0,1,,-2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,True
