EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,FG2M,FtPoints,Points,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyPointsPct,ShortMidRangeFGM,ShortMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,AtRimFGM,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,HeaveAttempts,AtRimAssists,OffThreePtRebounds,FTOffRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,LostBallOutOfBoundsTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,NonShootingPenaltyNonTakeFouls,OffLongMidRangeReboundPct,PenaltyAtRimFGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,SelfOReb,SecondChanceTurnovers,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,OffAtRimReboundPct,Corner3FGM,SecondChanceCorner3FGA,Corner3Assists,Travels,Loose Ball Fouls,Technical Free Throw Trips,BlockedAtRim,DefensiveGoaltends,3SecondViolations,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,OffensiveGoaltends,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
145-1565-1721-209-376,1610612761,"Tracy Murray, Michael Stewart, Keon Clark, Dell Curry, Eric Montross","Murray, Stewart, Clark, Curry, Montross",145-1565-1721-209-376,TOR,78.0,1,1.0,-6.0,4.0,3.0,4.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.5,0.5,1.0,1.0,0.5,0.3333333333333333,1.0,129.23076923076923,15.5,5.333333333333333,14.75,5.333333333333333,0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.75,0.3640625,0.2918,0.3640625,8.5,28.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
145-1565-2050-209-966,1610612761,"Tracy Murray, Michael Stewart, Morris Peterson, Dell Curry, Jerome Williams","Murray, Stewart, Peterson, Curry, Williams",145-1565-2050-209-966,TOR,149.0,1,2.0,-2.0,8.0,8.0,8.0,8.0,,16.0,,,,,,,,,3.0,,7.0,,3.0,,,,,,,3.0,2.0,4.0,4.0,2.0,2.0,8.0,,,,0.75,,,,154.63087248322148,10.0,8.625,10.0,8.625,,,,,,,,,,0.3687,,0.3687,18.833333333333332,,1.0,2.0,3.0,2.0,1.0,5.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.625,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
145-164-209-891-966,1610612761,"Tracy Murray, Chris Childs, Dell Curry, Charles Oakley, Jerome Williams","Murray, Childs, Curry, Oakley, Williams",145-164-209-891-966,TOR,29.0,1,,-2.0,1.0,1.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,99.3103448275862,6.0,23.0,6.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
145-1721-2050-209-966,1610612761,"Tracy Murray, Keon Clark, Morris Peterson, Dell Curry, Jerome Williams","Murray, Clark, Peterson, Curry, Williams",145-1721-2050-209-966,TOR,12.0,1,,-2.0,,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,120.0,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
145-1721-209-376-966,1610612761,"Tracy Murray, Keon Clark, Dell Curry, Eric Montross, Jerome Williams","Murray, Clark, Curry, Montross, Williams",145-1721-209-376-966,TOR,33.0,1,1.0,-1.0,1.0,1.0,1.0,,,2.0,,,,1.0,,,,,1.0,,3.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,87.27272727272727,18.0,15.0,18.0,15.0,,1.0,,,,,,,,0.3088,,0.3088,7.7,,1.0,,,1.0,,2.0,1.0,,2.0,2.0,,1.0,1.0,,2.0,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
1541-164-1713-1721-213,1610612761,"Alvin Williams, Chris Childs, Vince Carter, Keon Clark, Antonio Davis","Williams, Childs, Carter, Clark, Davis",1541-164-1713-1721-213,TOR,450.0,3,8.0,1.0,12.0,14.0,2.0,,2.0,26.0,4.0,1.0,1.0,2.0,,,2.0,1.0,9.0,2.0,11.0,2.0,2.0,1.0,1.0,1.0,,2.0,10.0,,,2.0,,1.0,4.0,2.0,0.18181818181818182,0.1111111111111111,0.25,,,0.2,,83.2,15.583333333333334,18.785714285714285,14.916666666666666,18.428571428571427,0.36363636363636365,0.18181818181818182,,0.18181818181818182,0.5,0.3333333333333333,,0.3333333333333333,0.5454545454545454,0.4649,0.4113,0.3566,8.855555555555556,42.25,0.16666666666666666,1.0,3.0,5.0,2.0,12.0,,,,6.0,4.0,3.0,3.0,1.0,6.0,1.0,1.0,,,2.0,,4.0,,8.0,,0.6,0.75,0.5555555555555556,,0.45454545454545453,,0.5,,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,,1.0,,0.5,0.5,,3.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,7.0,1.0,8.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.5,0.875,1.0,0.875,1.0,1.0,1.0,0.75,0.75,1.0,0.6666666666666666,1.0,0.25,0.3,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
1541-164-1713-1721-376,1610612761,"Alvin Williams, Chris Childs, Vince Carter, Keon Clark, Eric Montross","Williams, Childs, Carter, Clark, Montross",1541-164-1713-1721-376,TOR,148.0,1,2.0,-3.0,4.0,5.0,3.0,5.0,1.0,9.0,2.0,1.0,1.0,1.0,,,1.0,1.0,4.0,1.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,1.0,3.0,0.2,0.25,0.5,,0.3333333333333333,0.3333333333333333,,87.56756756756756,21.0,12.8,19.5,12.4,0.4,0.2,,0.2,1.0,0.25,,0.25,0.6,0.43044000000000004,0.345,0.385,8.75,25.6,0.75,,1.0,1.0,1.0,3.0,,1.0,1.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,,1.0,,2.0,1.0,3.0,1.0,1.0,1.0,0.25,,0.2,,0.25,0.1,0.2,,,,0.3333333333333333,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,0.5,,0.5,,1.0,,,0.5,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
1541-164-1713-1721-891,1610612761,"Alvin Williams, Chris Childs, Vince Carter, Keon Clark, Charles Oakley","Williams, Childs, Carter, Clark, Oakley",1541-164-1713-1721-891,TOR,821.0,3,14.0,5.0,25.0,27.0,18.0,7.0,6.0,52.0,6.0,1.0,4.0,6.0,,,4.0,2.0,20.0,4.0,27.0,2.0,16.0,2.0,4.0,1.0,6.0,6.0,14.0,1.0,1.0,3.0,3.0,2.0,3.0,18.0,0.16666666666666666,0.05,0.16666666666666666,0.3333333333333333,0.46153846153846156,0.42857142857142855,0.6,91.20584652862362,16.4,15.222222222222221,15.24,15.11111111111111,0.25,0.25,,0.16666666666666666,0.25,0.2222222222222222,,0.1111111111111111,0.4166666666666667,0.45741458333333335,0.5106375,0.4346722222222222,9.605,25.025,0.72,1.0,8.0,7.0,9.0,32.0,6.0,5.0,23.0,8.0,6.0,4.0,5.0,1.0,11.0,1.0,1.0,,1.0,2.0,,10.0,1.0,23.0,23.0,0.5714285714285714,0.6666666666666666,0.35,0.375,0.4791666666666667,0.5,0.5517241379310345,0.5476190476190477,0.3333333333333333,0.125,0.125,1.0,0.71875,1.0,,0.16666666666666666,0.16666666666666666,,5.0,1.0,1.0,9.0,2.0,,3.0,,,6.0,,8.0,,1.0,,4.0,0.5,0.625,0.75,,,0.75,,0.8,,,0.5,1.0,0.8333333333333334,1.0,0.6,1.0,0.14285714285714285,0.16666666666666666,0.28125,,0.42857142857142855,4.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.75,0.5,1.0,0.75,1.0,1.0,1.0,0.07692307692307693,0.5,0.75,0.75,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
1541-164-1713-2050-213,1610612761,"Alvin Williams, Chris Childs, Vince Carter, Morris Peterson, Antonio Davis","Williams, Childs, Carter, Peterson, Davis",1541-164-1713-2050-213,TOR,7.0,1,,,1.0,,1.0,,,1.0,,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,205.71428571428572,7.0,,7.0,,,,,1.0,,,,1.0,1.0,0.43425,,0.43425,,25.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
1541-164-1713-209-213,1610612761,"Alvin Williams, Chris Childs, Vince Carter, Dell Curry, Antonio Davis","Williams, Childs, Carter, Curry, Davis",1541-164-1713-209-213,TOR,95.0,3,2.0,-1.0,7.0,5.0,7.0,5.0,3.0,12.0,5.0,1.0,5.0,1.0,,,2.0,2.0,7.0,2.0,5.0,2.0,7.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,,2.0,2.0,,3.0,7.0,0.2222222222222222,0.2857142857142857,0.4,1.0,0.6,0.5714285714285714,1.0,181.89473684210526,9.428571428571429,5.8,8.571428571428571,5.6,0.5555555555555556,0.1111111111111111,,0.2222222222222222,0.3333333333333333,0.5555555555555556,,0.2222222222222222,0.7777777777777778,0.4315277777777778,0.32535,0.4315277777777778,3.1714285714285713,30.5,1.0,,1.0,2.0,,4.0,2.0,,4.0,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,,,,2.0,,,2.0,4.0,0.5,1.0,0.2857142857142857,0.2857142857142857,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,,,,1.0,,,,,,2.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,,0.5,,0.5,,,,0.4,0.6666666666666666,0.5,1.0,,,0.5,3.0,1.0,2.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,0.4,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
1541-164-1713-209-891,1610612761,"Alvin Williams, Chris Childs, Vince Carter, Dell Curry, Charles Oakley","Williams, Childs, Carter, Curry, Oakley",1541-164-1713-209-891,TOR,13.0,1,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,2.0,1.0,,2.0,,,,1.0,2.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,,221.53846153846152,9.0,4.0,5.0,4.0,,,,1.0,,,,1.0,1.0,0.3282,,0.40425,,27.65,1.0,,,,,3.0,,,3.0,,,,1.0,,3.0,,,,,,,,,,3.0,,,,,0.75,1.5,0.75,1.5,,,,,1.0,,,,,,,,,3.0,,,,1.0,,,,,,,,,,1.5,1.5,,,,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,,1.0,1.0,1.0,,,,,,,,,1.0,0.5,1.0,1.0,0.5,,,,,,0.5,0.5,1.0,1.0,1.0,1.0,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2001,2000-01,False
