EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,FTDefRebounds,DefRebounds,Rebounds,Fouls,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,OffThreePtRebounds,OffRebounds,Loose Ball Fouls,PenaltyOffPossExcludingTakeFouls,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FtPoints,Points,PtsUnassisted2s,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,AtRimFGM,LongMidRangeFGM,PenaltyFG2M,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyPointsPct,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,HeaveAttempts,ShortMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,BlockedShortMidRange,PenaltyArc3FGM,PenaltyFG3M,PenaltyFtPoints,LostBallSteals,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChancePointsPct,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,DefCorner3ReboundPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceFG3M,Corner3Assists,Technical Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,AtRimPctBlocked,SecondChanceFtPoints,Travels,PtsUnassisted3s,FTOffRebounds,LongMidRangePctBlocked,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,BlockedCorner3,BlockedLongMidRange,Clear Path Fouls,Corner3PctBlocked,OffensiveGoaltends,FoulsDrawn,Offensive Fouls Drawn,team_id,year,season,team_vs
1065-1594-164-275-779,1610612752,"Erick Strickland, Rick Brunson, Chris Childs, Allan Houston, Glen Rice","Strickland, Brunson, Childs, Houston, Rice",1065-1594-164-275-779,NYK,7.0,1,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,205.71428571428572,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
1065-1594-164-779-969,1610612752,"Erick Strickland, Rick Brunson, Chris Childs, Glen Rice, Travis Knight","Strickland, Brunson, Childs, Rice, Knight",1065-1594-164-779-969,NYK,40.0,1,-2.0,1.0,1.0,3.0,2.0,,,1.0,1.0,1.0,,108.0,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.6666666666666666,0.5,0.3333333333333333,0.5,20.0,19.5,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,0.5071166666666667,0.5071166666666667,25.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
1065-1594-2068-703-969,1610612752,"Erick Strickland, Rick Brunson, Lavor Postell, Kurt Thomas, Travis Knight","Strickland, Brunson, Postell, Thomas, Knight",1065-1594-2068-703-969,NYK,305.0,1,-11.0,10.0,10.0,21.0,17.0,,1.0,1.0,6.0,2.0,,99.14754098360656,9.6,9.0,5.0,11.0,5.0,,,,,2.0,1.0,3.0,2.0,,1.0,1.0,2.0,,,,5.0,0.4,,,,19.0,19.0,,0.4,,,0.5,0.4,0.40038,0.3836,24.4,0.45454545454545453,2.0,2.0,1.0,2.0,2.0,6.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,1.0,6.0,0.6666666666666666,0.4,0.5,0.5,0.25,0.2,1.0,0.4,1.0,1.0,0.2,0.16666666666666666,0.25,12.200000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
1065-1594-26-275-703,1610612752,"Erick Strickland, Rick Brunson, Luc Longley, Allan Houston, Kurt Thomas","Strickland, Brunson, Longley, Houston, Thomas",1065-1594-26-275-703,NYK,63.0,1,5.0,2.0,2.0,4.0,,,1.0,1.0,,,,91.42857142857143,15.0,15.0,1.0,2.0,1.0,,1.0,,,,,2.0,,,1.0,,,,,,1.0,,,,,16.5,16.5,0.5,,,,,0.5,0.4739,0.3148,,0.5,,,1.0,2.0,1.0,5.0,,1.0,,,,,,,,,1.0,1.0,5.0,1.0,1.0,1.25,,1.0,1.0,,,,,0.5,0.5,0.5,9.4,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
1065-1594-26-703-84,1610612752,"Erick Strickland, Rick Brunson, Luc Longley, Kurt Thomas, Latrell Sprewell","Strickland, Brunson, Longley, Thomas, Sprewell",1065-1594-26-703-84,NYK,650.0,2,-11.0,20.0,6.0,38.0,24.0,,6.0,13.0,6.0,,,84.18461538461538,15.2,14.95,11.0,18.0,4.0,5.0,2.0,1.0,,3.0,1.0,16.0,4.0,2.0,2.0,2.0,2.0,1.0,7.0,,4.0,0.2,0.3333333333333333,0.5,,19.22222222222222,18.0,0.1,0.15,0.25,,0.25,0.3,0.4368447368421053,0.44766666666666666,31.325,0.2222222222222222,1.0,5.0,9.0,5.0,3.0,13.0,,3.0,3.0,2.0,2.0,,5.0,2.0,4.0,,4.0,1.0,13.0,0.3125,0.25,0.29545454545454547,0.6,0.375,0.5454545454545454,1.0,0.25,0.2,0.2,0.45,0.047619047619047616,0.058823529411764705,13.7125,1.0,3.0,1.0,2.0,10.0,5.0,5.0,1.0,3.0,10.0,,2.0,1.0,1.0,0.5,0.25,0.25,1.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.15384615384615385,1.0,1.0,2.0,2.0,1.0,1.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5454545454545454,1.0,1.0,0.5,0.5,1.0,0.16666666666666666,1.0,0.21428571428571427,1.0,1.0,0.05,0.5,0.25,0.5073375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
1065-1594-275-703-948,1610612752,"Erick Strickland, Rick Brunson, Allan Houston, Kurt Thomas, Marcus Camby","Strickland, Brunson, Houston, Thomas, Camby",1065-1594-275-703-948,NYK,38.0,1,,1.0,1.0,3.0,,,,,,,,113.6842105263158,22.0,22.0,1.0,2.0,2.0,,,,,,,1.0,,,1.0,,,,,,2.0,,,,,8.0,8.0,,,,,,,0.3896,0.3896,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
1065-1594-703-779-84,1610612752,"Erick Strickland, Rick Brunson, Kurt Thomas, Glen Rice, Latrell Sprewell","Strickland, Brunson, Thomas, Rice, Sprewell",1065-1594-703-779-84,NYK,86.0,1,4.0,2.0,,5.0,2.0,,1.0,1.0,,,,83.72093023255813,18.5,18.5,1.0,3.0,,,,,,,,3.0,,,,,,,,,,,,,,16.333333333333332,16.333333333333332,,,,,,,0.3816,,,,1.0,1.0,2.0,3.0,,6.0,2.0,1.0,,,,,,,,,,,6.0,1.0,1.0,1.0,,1.0,1.0,,0.3333333333333333,1.0,1.0,0.6666666666666666,,,12.5,,2.0,,,4.0,2.0,2.0,,2.0,4.0,,,0.6666666666666666,0.6666666666666666,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
1065-1594-703-84-948,1610612752,"Erick Strickland, Rick Brunson, Kurt Thomas, Latrell Sprewell, Marcus Camby","Strickland, Brunson, Thomas, Sprewell, Camby",1065-1594-703-84-948,NYK,21.0,1,2.0,,,1.0,,,,,,,,68.57142857142857,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,21.0,21.0,,,,,,,0.2806,0.2806,,1.0,,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,1.0,,,19.5,,1.0,1.0,2.0,,,,,,,,2.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
1065-164-2068-26-703,1610612752,"Erick Strickland, Chris Childs, Lavor Postell, Luc Longley, Kurt Thomas","Strickland, Childs, Postell, Longley, Thomas",1065-164-2068-26-703,NYK,149.0,1,-1.0,5.0,,9.0,6.0,,,1.0,,,,86.97986577181207,15.6,15.6,2.0,4.0,,1.0,,,,2.0,,2.0,2.0,,,,2.0,1.0,1.0,,,0.5,1.0,0.5,1.0,17.75,15.75,,0.5,,,,0.5,0.4934375,,24.55,,1.0,1.0,1.0,1.0,,5.0,2.0,,1.0,,,,1.0,,,,,,5.0,0.5,0.625,0.625,1.0,,,,0.25,1.0,1.0,0.25,,,13.0,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
1065-164-2068-26-969,1610612752,"Erick Strickland, Chris Childs, Lavor Postell, Luc Longley, Travis Knight","Strickland, Childs, Postell, Longley, Knight",1065-164-2068-26-969,NYK,214.0,1,3.0,7.0,3.0,14.0,1.0,,4.0,5.0,1.0,,,94.2056074766355,15.428571428571429,14.285714285714286,4.0,7.0,1.0,1.0,,,,1.0,,7.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,0.125,,0.16666666666666666,,15.142857142857142,14.714285714285714,,0.125,,,,0.125,0.3831375,0.3286,24.3,0.14285714285714285,1.0,5.0,2.0,2.0,,4.0,,4.0,,,,,,,1.0,,,,4.0,0.2857142857142857,0.25,0.25,,0.6666666666666666,0.6666666666666666,0.75,0.625,0.2,0.2,0.25,,,10.685714285714285,,1.0,,,4.0,2.0,2.0,,1.0,4.0,,,1.0,1.0,,,,0.5,,,,0.5,0.5,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,0.2,,,0.25,,,,,,,1.0,,,,0.405,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2001,2000-01,True
