EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefTwoPtRebounds,DefRebounds,Rebounds,Travels,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,SecondChanceFG2A,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,AtRimFGM,SecondChanceArc3FGA,FG2M,Points,SecondChanceFG3A,PtsUnassisted2s,OffThreePtRebounds,FTDefRebounds,FirstChancePoints,Fg2Pct,EfgPct,TsPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceArc3Frequency,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,FtPoints,SecondChanceFtPoints,SecondChancePoints,Fg2aBlocked,Steals,LostBallSteals,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Arc3FGM,SecondChanceArc3FGM,FG3M,SecondChanceFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyFG3M,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Accuracy,PenaltyPointsPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGA,SecondChanceFG2M,PenaltyFG2M,PenaltyFtPoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,NonShootingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,OffFTReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,DefensiveGoaltends,PenaltyCorner3FGA,2pt And 1 Free Throw Trips,OffLongMidRangeReboundPct,PenaltyCorner3Frequency,SelfOReb,SelfORebPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,DefCorner3ReboundPct,HeaveAttempts,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Defensive 3 Seconds Violations,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,3SecondViolations,PtsUnassisted3s,Clear Path Fouls,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,HeaveMakes,team_id,year,season,team_vs
1499-1548-179-1960-677,1610612738,"Tony Battie, Mark Blount, Bryant Stith, Milt Palacio, Eric Williams","Battie, Blount, Stith, Palacio, Williams",1499-1548-179-1960-677,BOS,121.0,1,2.0,-4.0,5.0,4.0,5.0,4.0,9.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,0.6666666666666666,107.10743801652893,9.4,18.5,9.4,12.75,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4436833333333334,0.4436833333333334,18.8,24.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2001,2000-01,True
1499-1559-1594-1718-677,1610612738,"Tony Battie, Adrian Griffin, Rick Brunson, Paul Pierce, Eric Williams","Battie, Griffin, Brunson, Pierce, Williams",1499-1559-1594-1718-677,BOS,71.0,1,1.0,-3.0,1.0,2.0,,,3.0,,,,,,3.0,,,,1.0,1.0,,,,,,60.84507042253521,16.0,27.5,16.0,18.0,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2001,2000-01,True
1499-1559-1594-1718-952,1610612738,"Tony Battie, Adrian Griffin, Rick Brunson, Paul Pierce, Antoine Walker","Battie, Griffin, Brunson, Pierce, Walker",1499-1559-1594-1718-952,BOS,185.0,1,3.0,-13.0,7.0,7.0,,7.0,14.0,2.0,1.0,,5.0,1.0,13.0,,,1.0,,2.0,,1.0,,,0.16666666666666666,108.97297297297297,17.428571428571427,9.0,16.857142857142858,9.0,0.3333333333333333,0.16666666666666666,,0.5,0.48242500000000005,,10.1,24.5,,,1.0,2.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.2,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.16666666666666666,1.0,0.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2001,2000-01,True
1499-1559-1594-179-677,1610612738,"Tony Battie, Adrian Griffin, Rick Brunson, Bryant Stith, Eric Williams","Battie, Griffin, Brunson, Stith, Williams",1499-1559-1594-179-677,BOS,75.0,1,1.0,,2.0,3.0,,2.0,5.0,,2.0,,2.0,2.0,2.0,,,2.0,,,,,,,0.5,96.0,23.0,9.666666666666666,13.5,9.666666666666666,,0.5,,1.0,0.5220875,,2.2,24.25,,,1.0,3.0,,,,,1.0,2.0,1.0,,1.0,,,2.0,,,,,,,,0.6666666666666666,,,0.5,,0.5,0.5367,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.5,0.25,0.25,1.0,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2001,2000-01,True
1499-1559-1594-179-952,1610612738,"Tony Battie, Adrian Griffin, Rick Brunson, Bryant Stith, Antoine Walker","Battie, Griffin, Brunson, Stith, Walker",1499-1559-1594-179-952,BOS,89.0,1,1.0,2.0,2.0,2.0,,,4.0,,,,2.0,,,,,,,1.0,,1.0,,,,64.71910112359551,21.5,23.0,20.5,23.0,,,,0.5,0.34795,,7.15,,,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,0.5,0.5,,,1.0,,1.0,2.0,,2.0,,,2.0,0.5,0.5,0.5,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2001,2000-01,True
1499-1559-1594-179-958,1610612738,"Tony Battie, Adrian Griffin, Rick Brunson, Bryant Stith, Vitaly Potapenko","Battie, Griffin, Brunson, Stith, Potapenko",1499-1559-1594-179-958,BOS,39.0,1,1.0,-2.0,1.0,1.0,,,2.0,,1.0,,,1.0,2.0,,,1.0,,,,1.0,,,1.0,73.84615384615384,27.0,12.0,27.0,12.0,,1.0,,1.0,0.378,,,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2001,2000-01,True
1499-1559-1594-677-962,1610612738,"Tony Battie, Adrian Griffin, Rick Brunson, Eric Williams, Walter McCarty","Battie, Griffin, Brunson, Williams, McCarty",1499-1559-1594-677-962,BOS,74.0,1,1.0,-2.0,3.0,4.0,,,7.0,1.0,,,2.0,,2.0,,,,1.0,1.0,,1.0,,,,136.2162162162162,11.333333333333334,10.0,11.333333333333334,10.0,0.5,,,0.5,0.42845,,12.75,,,2.0,2.0,2.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2001,2000-01,True
1499-1559-1718-1960-952,1610612738,"Tony Battie, Adrian Griffin, Paul Pierce, Milt Palacio, Antoine Walker","Battie, Griffin, Pierce, Palacio, Walker",1499-1559-1718-1960-952,BOS,196.0,3,3.0,-3.0,6.0,6.0,,2.0,12.0,,2.0,,4.0,2.0,5.0,,,2.0,,1.0,,3.0,,,0.3333333333333333,88.16326530612245,22.666666666666668,10.0,20.666666666666668,9.333333333333334,,0.3333333333333333,,0.8333333333333334,0.47228333333333333,,2.65,27.5,,1.0,3.0,5.0,,0.5,0.5,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,,,1.0,0.5,,0.3333333333333333,,,0.5,0.16666666666666666,1.0,0.565,,,,2.0,,,,2.0,,,,0.14285714285714285,1.0,,,,,,,,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.25,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2001,2000-01,True
1499-1559-1718-2040-753,1610612738,"Tony Battie, Adrian Griffin, Paul Pierce, Jerome Moiso, Randy Brown","Battie, Griffin, Pierce, Moiso, Brown",1499-1559-1718-2040-753,BOS,78.0,1,1.0,3.0,2.0,1.0,,,3.0,,3.0,,1.0,3.0,,,,3.0,,,,1.0,,,0.75,55.38461538461538,24.0,30.0,13.0,30.0,,0.75,,0.75,0.4847125,,5.5,25.5,,1.0,1.0,3.0,,1.0,1.0,,2.0,,,1.0,,1.0,,2.0,,,,,,1.0,,0.6666666666666666,1.0,,,0.25,,0.51135,,2.0,,3.0,2.0,,1.0,,,,0.375,0.375,,0.5,0.5,,,1.0,,,,,,3.0,1.0,,,,,,,,0.75,1.0,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.75,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2001,2000-01,True
1499-1559-1718-677-753,1610612738,"Tony Battie, Adrian Griffin, Paul Pierce, Eric Williams, Randy Brown","Battie, Griffin, Pierce, Williams, Brown",1499-1559-1718-677-753,BOS,89.0,2,1.0,3.0,4.0,4.0,3.0,3.0,8.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,1.0,1.0,,,3.0,1.0,129.43820224719101,10.5,11.75,10.5,11.75,,1.0,1.0,1.0,0.35325,0.35325,,26.15,0.75,2.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,5.0,,,,,5.0,,0.75,0.8333333333333334,,,,,,,1.0,,,2.0,,,,1.0,1.0,2.0,1.0,,,,,,,,0.3333333333333333,1.0,,1.0,,1.0,,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,,0.5,,,,0.5,0.5,1.0,,,0.5,1.0,1.0,3.0,3.0,0.5,0.75,0.75,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2001,2000-01,True
