EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShootingFouls,DefShortMidRangeReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,Loose Ball Fouls,SecondChanceArc3Frequency,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,AtRimPctBlocked,OffAtRimReboundPct,LongMidRangeAssists,LongMidRangePctAssisted,HeaveAttempts,OffThreePtRebounds,SelfOReb,Offensive Fouls,BlockedLongMidRange,OffThreePtReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceFtPoints,3SecondViolations,FTOffRebounds,OffFTReboundPct,BlockedShortMidRange,Travels,ThreePtShootingFoulsDrawn,OffArc3ReboundPct,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,Technical Free Throw Trips,LongMidRangePctBlocked,LostBallOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,OffensiveGoaltends,team_id,year,season,team_vs
1563-1908-1928-1934-1952,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Rodney Buford, Raja Bell","Ollie, Jones, MacCulloch, Buford, Bell",1563-1908-1928-1934-1952,PHI,809.0,7,13.0,12.0,29.0,29.0,27.0,22.0,3.0,58.0,7.0,7.0,1.0,1.0,6.0,6.0,3.0,7.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,19.0,1.0,2.0,10.0,35.0,23.0,2.0,2.0,4.0,9.0,17.0,1.0,2.0,9.0,30.0,10.0,12.0,3.0,4.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,4.0,1.0,13.0,3.0,4.0,3.0,1.0,8.0,3.0,11.0,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0,10.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,31.0,30.0,27.0,1.0,0.45454545454545453,0.5555555555555556,1.0,0.5,0.5,0.5,0.5789473684210527,1.0,0.5294117647058824,0.5952380952380952,1.0,0.5526315789473685,0.7,1.0,0.6521739130434783,0.09523809523809523,0.05263157894736842,0.14285714285714285,0.6,0.5,0.42857142857142855,0.375,0.6666666666666666,0.5384615384615384,0.3333333333333333,0.5,0.25,0.5,1.0,0.6,1.0,103.23856613102596,0.5,11.448275862068966,16.448275862068964,11.413793103448276,15.482758620689655,0.3333333333333333,1.0,1.0,0.5714285714285714,0.3333333333333333,0.42857142857142855,0.5,0.3333333333333333,0.23809523809523808,0.2,0.2,0.047619047619047616,0.047619047619047616,1.0,1.0,1.0,0.5,1.0,0.3157894736842105,1.0,0.05263157894736842,0.05263157894736842,1.0,0.42857142857142855,1.0,0.45376666666666665,0.55705,0.4591052631578948,0.17391304347826086,0.19047619047619047,0.11428571428571428,0.8571428571428571,7.184210526315789,24.3,0.9310344827586207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,False
1563-1908-1928-1934-243,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Rodney Buford, Aaron McKie","Ollie, Jones, MacCulloch, Buford, McKie",1563-1908-1928-1934-243,PHI,71.0,2,1.0,-1.0,3.0,2.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,2.0,1.0,1.0,1.0,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,1.0,,,1.0,,,,,1.0,,,101.40845070422534,,4.333333333333333,29.0,4.333333333333333,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,False
1563-1908-1928-1934-248,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Rodney Buford, George Lynch","Ollie, Jones, MacCulloch, Buford, Lynch",1563-1908-1928-1934-248,PHI,199.0,1,3.0,-4.0,7.0,6.0,7.0,6.0,1.0,13.0,,1.0,,,,1.0,,1.0,,2.0,,,,1.0,,1.0,,4.0,,1.0,2.0,2.0,6.0,,,,,4.0,,1.0,2.0,2.0,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,2.0,,1.0,,,,,,2.0,2.0,7.0,1.0,,,,,,,,,,,,,0.16666666666666666,,0.16666666666666666,0.2,0.25,1.0,1.0,,,0.25,1.0,0.5,0.2,,0.5,,,,1.0,94.07035175879396,,16.428571428571427,14.0,15.428571428571429,12.333333333333334,0.2,,,,0.2,,,,0.4,,,,0.2,,,,,,0.2,,,0.2,,0.4,,0.42929000000000006,0.53655,0.42929000000000006,0.16666666666666666,0.2,,1.0,9.325,24.9,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,False
1563-1908-1928-1934-727,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Rodney Buford, Eric Snow","Ollie, Jones, MacCulloch, Buford, Snow",1563-1908-1928-1934-727,PHI,29.0,1,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6551724137931,,,23.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,False
1563-1908-1928-1952-727,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Raja Bell, Eric Snow","Ollie, Jones, MacCulloch, Bell, Snow",1563-1908-1928-1952-727,PHI,19.0,1,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,151.57894736842107,,18.0,1.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,False
1563-1908-1928-1952-947,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Raja Bell, Allen Iverson","Ollie, Jones, MacCulloch, Bell, Iverson",1563-1908-1928-1952-947,PHI,62.0,2,1.0,-4.0,1.0,3.0,1.0,3.0,,4.0,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,2.0,6.0,,,,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,92.9032258064516,,14.0,16.0,14.0,16.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,0.3879,,0.3879,,,,1.0,14.4,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,False
1563-1908-1928-238-243,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Tyrone Hill, Aaron McKie","Ollie, Jones, MacCulloch, Hill, McKie",1563-1908-1928-238-243,PHI,45.0,1,1.0,-4.0,1.0,2.0,1.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,2.0,2.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,96.0,,28.0,8.5,28.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,False
1563-1908-1928-238-727,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Tyrone Hill, Eric Snow","Ollie, Jones, MacCulloch, Hill, Snow",1563-1908-1928-238-727,PHI,49.0,1,1.0,1.0,2.0,2.0,2.0,2.0,,4.0,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,3.0,2.0,,,,,,1.0,1.0,,3.0,,,3.0,,,,,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,3.0,3.0,2.0,,,,1.0,1.0,1.0,1.0,,,,1.5,,1.5,1.5,,1.5,1.0,,,,,,,,,,,,,,,,117.55102040816327,,11.5,13.0,11.5,13.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,0.48585,,0.48585,,,,1.0,,22.9,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,False
1563-1908-1928-243-87,1610612755,"Kevin Ollie, Jumaine Jones, Todd MacCulloch, Aaron McKie, Dikembe Mutombo","Ollie, Jones, MacCulloch, McKie, Mutombo",1563-1908-1928-243-87,PHI,60.0,1,1.0,,,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,1.0,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,24.0,,,21.0,,21.0,0.5,,,,,,,,0.5,,,,,,,,1.0,,,,,,,0.5,,0.42535,0.4713,,,,,,8.3,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,False
1563-1908-1934-243-727,1610612755,"Kevin Ollie, Jumaine Jones, Rodney Buford, Aaron McKie, Eric Snow","Ollie, Jones, Buford, McKie, Snow",1563-1908-1934-243-727,PHI,4.0,1,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,360.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2001,2000-01,False
