EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,ShortMidRangeAssists,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGA,PtsUnassisted2s,Fg2aBlocked,ShootingFouls,Fouls,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,AtRimFrequency,AtRimFG3AFrequency,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,OffThreePtRebounds,DefThreePtRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,Blocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,ShortMidRangePctBlocked,DefThreePtReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Loose Ball Fouls,Charge Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,RecoveredBlocks,BlocksRecoveredPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Offensive Fouls,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,DefArc3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG3A,PenaltyTurnovers,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyCorner3Frequency,PenaltyArc3Frequency,ThreePtShootingFoulsDrawnPct,OffCorner3ReboundPct,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,Fg3aBlocked,FTDefRebounds,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,SecondChanceFtPoints,Travels,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,HeaveAttempts,LostBallSteals,PenaltyCorner3Accuracy,FTOffRebounds,Technical Free Throw Trips,OffFTReboundPct,SecondChanceAtRimPctAssisted,BlockedLongMidRange,DefensiveGoaltends,Corner3PctBlocked,SelfOReb,SelfORebPct,Loose Ball Fouls Drawn,BlockingFouls,3SecondViolations,Blocked3s,BlockedArc3,Charge Fouls,BlockingFoulsDrawn,Defensive 3 Seconds Violations,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,Clear Path Fouls,OffensiveGoaltends,team_id,year,season,team_vs
1740-201202-201596-202708-2034,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Norris Cole, Mike Miller","Lewis, Anthony, Chalmers, Cole, Miller",1740-201202-201596-202708-2034,MIA,89.0,1,1.0,-2.0,3.0,3.0,1.0,6.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,97.07865168539325,18.666666666666668,11.0,16.666666666666668,11.0,1.0,0.5,0.5,1.0,0.42465,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,False
1740-201202-201596-202708-2544,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Norris Cole, LeBron James","Lewis, Anthony, Chalmers, Cole, James",1740-201202-201596-202708-2544,MIA,43.0,1,1.0,,1.0,1.0,,2.0,,,1.0,1.0,3.0,3.0,2.0,1.0,1.0,,2.0,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.5,,,,,,,,66.97674418604652,17.0,26.0,17.0,26.0,,,,,0.3976,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,False
1740-201202-201596-202708-2592,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Norris Cole, James Jones","Lewis, Anthony, Chalmers, Cole, Jones",1740-201202-201596-202708-2592,MIA,71.0,1,1.0,-3.0,1.0,2.0,,3.0,1.0,1.0,1.0,2.0,2.0,5.0,,,,,,1.0,,,1.0,1.0,,,,,,2.0,,,0.5,0.5,0.5,,,1.0,,1.0,,,60.84507042253521,38.0,16.5,38.0,16.5,0.5,1.0,1.0,,0.55545,8.9,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,False
1740-201202-201596-2034-2203,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Mike Miller, Shane Battier","Lewis, Anthony, Chalmers, Miller, Battier",1740-201202-201596-2034-2203,MIA,761.0,2,13.0,2.0,26.0,27.0,3.0,53.0,1.0,1.0,4.0,7.0,26.0,24.0,4.0,2.0,6.0,1.0,16.0,2.0,12.0,13.0,3.0,16.0,6.0,4.0,2.0,10.0,1.0,21.0,0.5,0.6666666666666666,0.5714285714285714,0.65,0.65,0.6,0.8571428571428571,0.6666666666666666,0.8125,0.3333333333333333,,1.0,100.28909329829172,15.307692307692308,13.444444444444445,14.807692307692308,13.25925925925926,0.05,1.0,1.0,1.0,0.5288875,7.785714285714286,,3.0,,,2.0,,,,0.15,,,,,,3.0,4.0,1.0,5.0,7.0,0.14285714285714285,,,0.15,0.8,3.0,1.0,1.0,1.0,6.0,5.0,7.0,1.0,1.0,6.0,13.0,1.0,1.0,1.0,1.0,5.0,12.0,6.0,2.0,7.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.46153846153846156,1.0,0.46153846153846156,1.0,1.25,1.25,0.65,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,0.5,0.75,0.875,0.5,1.0,1.0,0.3333333333333333,0.3,0.16666666666666666,0.16666666666666666,1.0,0.35,0.7142857142857143,0.7142857142857143,0.6,0.5,1.0,0.5,1.0,1.0,0.7142857142857143,0.4863,0.19230769230769232,25.16923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,False
1740-201202-201596-2034-2544,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Mike Miller, LeBron James","Lewis, Anthony, Chalmers, Miller, James",1740-201202-201596-2034-2544,MIA,185.0,1,3.0,4.0,4.0,4.0,,8.0,1.0,1.0,2.0,2.0,9.0,5.0,,,1.0,,3.0,,1.0,1.0,,1.0,,,,,,9.0,,,1.0,1.1666666666666667,1.125,,0.5,,0.3333333333333333,,,,62.27027027027027,16.5,29.75,16.5,20.0,0.3333333333333333,1.0,1.0,,0.4602333333333333,12.8,1.0,1.0,2.0,,3.0,3.0,1.0,2.0,0.3333333333333333,1.0,1.0,,0.5,0.6666666666666666,,4.0,,1.0,3.0,,,,,0.3333333333333333,,,,1.0,1.0,,,,,1.0,1.0,,,,,,3.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,0.3333333333333333,,,,,,,1.0,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,23.2,2.0,3.0,2.0,2.0,1.0,5.0,1.0,1.0,5.0,2.0,1.0,1.0,1.25,0.38705,0.5555555555555556,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,False
1740-201202-201596-2034-2548,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Mike Miller, Dwyane Wade","Lewis, Anthony, Chalmers, Miller, Wade",1740-201202-201596-2034-2548,MIA,38.0,1,1.0,,1.0,2.0,,3.0,,1.0,,1.0,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,113.6842105263158,12.0,13.0,12.0,13.0,1.0,,,,0.4243,20.4,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,False
1740-201202-201596-2034-2592,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Mike Miller, James Jones","Lewis, Anthony, Chalmers, Miller, Jones",1740-201202-201596-2034-2592,MIA,208.0,1,3.0,1.0,7.0,7.0,,14.0,,,1.0,2.0,5.0,4.0,,,1.0,,3.0,,3.0,3.0,,3.0,,,,1.0,,5.0,,,0.5,0.4166666666666667,0.4166666666666667,,0.5,,0.5,,,,96.92307692307692,13.714285714285714,16.0,13.714285714285714,13.857142857142858,,,,,0.5729583333333333,2.15,,,,,1.0,,,,,,,,,,2.0,2.0,,1.0,1.0,,,,0.3333333333333333,1.0,1.0,,,1.0,3.0,,1.0,,,1.0,4.0,,,,,,3.0,,,1.0,,1.0,,1.0,,,,1.0,,,4.0,4.0,4.0,1.0,0.25,,0.25,,,,0.6666666666666666,,,,,,0.5,,,0.5,0.5,,0.5,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,,,,,,,,,,,,24.6,,,,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,False
1740-201202-201596-2544-2548,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, LeBron James, Dwyane Wade","Lewis, Anthony, Chalmers, James, Wade",1740-201202-201596-2544-2548,MIA,396.0,3,7.0,2.0,12.0,12.0,,24.0,1.0,4.0,4.0,8.0,14.0,12.0,2.0,1.0,3.0,,8.0,,3.0,4.0,,4.0,,,,1.0,,14.0,0.25,0.25,0.5,0.7,0.7,,0.6,,0.6666666666666666,,,,87.27272727272728,14.5,18.5,14.5,18.416666666666668,0.4,0.25,0.25,,0.46843,12.45,1.0,2.0,,1.0,,,,,0.2,0.5,0.5,1.0,,,2.0,6.0,,1.0,5.0,,,,0.2,0.4,2.0,,,1.0,1.0,1.0,1.0,,,2.0,2.0,,,,,,6.0,,,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,0.2,,1.0,,,,0.75,,,1.0,1.0,,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,,,,,,1.0,,,23.4,6.0,3.0,3.0,5.0,,6.0,,,6.0,6.0,0.6,0.6,0.6,0.45658000000000004,0.42857142857142855,0.5,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,False
1740-201202-201596-2544-951,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, LeBron James, Ray Allen","Lewis, Anthony, Chalmers, James, Allen",1740-201202-201596-2544-951,MIA,816.0,1,14.0,8.0,21.0,21.0,,42.0,1.0,1.0,9.0,9.0,30.0,22.0,8.0,4.0,6.0,,14.0,,6.0,6.0,1.0,7.0,2.0,1.0,1.0,4.0,,30.0,0.4444444444444444,0.4444444444444444,1.0,0.75,0.7894736842105263,0.5,0.5,,0.4,0.2,,0.5714285714285714,74.11764705882354,16.38095238095238,22.476190476190474,16.38095238095238,19.142857142857142,0.0625,1.0,1.0,,0.50943125,6.1,3.0,3.0,6.0,,8.0,8.0,1.0,2.0,0.1875,1.0,1.0,,0.16666666666666666,0.2,5.0,10.0,,1.0,8.0,,,,0.3125,0.75,5.0,,,1.0,3.0,1.0,4.0,,,2.0,7.0,,,,,,6.0,,,4.0,1.0,2.0,1.0,1.0,4.0,1.0,,2.0,,,2.0,1.0,2.0,1.0,0.2857142857142857,,0.2857142857142857,,,,0.4375,,,0.2,,0.3333333333333333,,0.6666666666666666,,1.0,1.0,0.8,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.25,0.25,0.25,1.0,,,,,,0.25,,,24.157142857142855,10.0,16.0,5.0,5.0,2.0,12.0,3.0,,12.0,10.0,1.0,0.625,0.6,0.49834375,0.4,0.47619047619047616,2.0,2.0,1.0,,,2.0,2.0,1.0,1.0,3.0,,0.25,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.25,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,False
1740-201202-202227-202708-2592,1610612748,"Rashard Lewis, Joel Anthony, Terrel Harris, Norris Cole, James Jones","Lewis, Anthony, Harris, Cole, Jones",1740-201202-202227-202708-2592,MIA,87.0,1,1.0,-2.0,3.0,2.0,1.0,5.0,,1.0,,1.0,,2.0,,,,,,,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,,,,,,0.5,1.0,,0.5,0.5,,,82.75862068965517,19.0,15.0,18.333333333333332,15.0,0.5,,,,0.430225,19.4,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.5,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,0.5,,,1.0,,,1.0,,,,,,0.5,,,,,,,,,,,,,,,,24.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,False
