EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,ShootingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3A,PenaltyFG3M,OffThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,PenaltyFg3Pct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LongMidRangeAssists,DeadBallTurnovers,Travels,Loose Ball Fouls,Technical Free Throw Trips,OffLongMidRangeReboundPct,LongMidRangePctAssisted,SecondChanceArc3FGA,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,OffCorner3ReboundPct,SecondChanceArc3Frequency,PenaltyArc3FGM,ShortMidRangeAssists,LostBallSteals,ShortMidRangePctAssisted,PenaltyArc3Accuracy,PtsUnassisted3s,HeaveAttempts,BadPassOutOfBoundsTurnovers,BlockedLongMidRange,LostBallOutOfBoundsTurnovers,Charge Fouls,LongMidRangePctBlocked,SecondChanceFtPoints,DefensiveGoaltends,Offensive Fouls,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,Clear Path Fouls,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
101114-101154-201228-201572-2207,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Brook Lopez, Joe Johnson","Williams, Blatche, Watson, Lopez, Johnson",101114-101154-201228-201572-2207,BKN,752.0,5,13.0,2.0,24,25,8.0,7.0,2.0,49,5.0,9.0,2.0,3.0,2.0,5.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,5.0,2.0,7.0,16.0,3.0,8.0,7.0,30.0,28.0,2.0,3.0,4.0,2.0,8.0,2.0,2.0,6.0,4.0,10.0,9.0,4.0,5.0,1.0,3.0,2.0,3.0,5.0,1.0,2.0,2.0,13.0,3.0,3.0,5.0,2.0,10.0,3.0,13.0,1.0,4.0,9.0,9.0,1.0,1.0,7.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,26.0,6.0,8.0,3.0,1.0,0.2857142857142857,0.4,1.0,0.375,0.375,0.4375,0.6666666666666666,0.25,0.4791666666666667,0.6666666666666666,0.2,0.5555555555555556,0.6666666666666666,0.2727272727272727,0.3333333333333333,0.1875,0.2222222222222222,0.25,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.75,0.6153846153846154,0.21428571428571427,0.5,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,1.0,0.09090909090909091,93.82978723404256,0.3333333333333333,13.333333333333334,17.28,13.291666666666666,16.68,0.375,0.5555555555555556,0.7142857142857143,0.4,0.16666666666666666,0.25,0.3333333333333333,0.125,0.3333333333333333,0.3333333333333333,0.125,0.6666666666666666,0.6666666666666666,1.0,0.20833333333333334,0.2,0.2,1.0,1.0,0.6666666666666666,0.5,0.4,0.2,0.7083333333333334,0.2,0.5061208333333334,0.5764,0.5055799999999999,0.11538461538461539,0.16666666666666666,0.13333333333333333,0.2,6.68125,24.675,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,False
101114-101154-201228-201572-2222,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Brook Lopez, Gerald Wallace","Williams, Blatche, Watson, Lopez, Wallace",101114-101154-201228-201572-2222,BKN,190.0,2,3.0,-3.0,4,5,2.0,3.0,,9,,1.0,,,,1.0,,1.0,,,,,,1.0,,,2.0,,1.0,2.0,2.0,5.0,,,,,1.0,,2.0,2.0,,,,,1.0,,2.0,,,,,,,,,2.0,,,2.0,,2.0,,,,2.0,,,2.0,,1.0,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,0.25,,0.5,0.3333333333333333,1.0,1.0,1.0,,,,1.0,0.6666666666666666,,,,,,,1.0,1.0,,68.21052631578948,,25.0,18.0,25.0,16.6,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,0.3333333333333333,,,,,,1.0,,,0.6666666666666666,,0.4373666666666667,,0.4108,0.25,0.3333333333333333,,1.0,7.6,24.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,False
101114-101154-201228-201572-711,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Brook Lopez, Jerry Stackhouse","Williams, Blatche, Watson, Lopez, Stackhouse",101114-101154-201228-201572-711,BKN,266.0,2,4.0,10.0,10,9,8.0,,1.0,19,3.0,4.0,,,2.0,2.0,,,,,1.0,3.0,,2.0,2.0,3.0,4.0,1.0,5.0,3.0,12.0,2.0,,,,2.0,2.0,5.0,2.0,9.0,2.0,4.0,3.0,,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,5.0,,,6.0,,6.0,1.0,7.0,,,2.0,4.0,,,3.0,1.0,1.0,1.0,,,,,,12.0,9.0,8.0,,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,0.2,0.75,,1.0,0.5,,0.5,0.6,,0.5625,0.5555555555555556,0.25,0.25,,,0.75,,,0.75,0.2,,,0.6666666666666666,1.0,1.0,,,,102.85714285714285,,11.0,17.333333333333332,10.6,15.88888888888889,0.4444444444444444,0.75,1.0,0.3333333333333333,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.2222222222222222,,,,,,0.2857142857142857,1.0,0.2857142857142857,1.0,,0.5571111111111111,,0.5688857142857143,0.1111111111111111,0.25,,0.75,2.025,24.14,0.8,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.25,0.5,1.0,0.42857142857142855,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,False
101114-101154-201228-202705-2743,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, MarShon Brooks, Kris Humphries","Williams, Blatche, Watson, Brooks, Humphries",101114-101154-201228-202705-2743,BKN,403.0,3,7.0,-2.0,11,13,,,,24,1.0,1.0,,,,,,2.0,3.0,6.0,,,,1.0,,4.0,9.0,,1.0,1.0,9.0,11.0,,,,,,,,,8.0,,,,1.0,,,4.0,,4.0,,,1.0,8.0,1.0,1.0,3.0,,4.0,1.0,5.0,,2.0,5.0,2.0,,1.0,1.0,,,,,,,,,9.0,,,,,1.0,1.0,,,,0.4444444444444444,,,0.4,,,0.4,,,0.1,,,,,1.0,0.2,0.5,0.8,0.16666666666666666,,,,1.0,,0.5,,,85.75682382133995,,14.363636363636363,18.846153846153847,13.818181818181818,17.307692307692307,0.1,1.0,1.0,1.0,0.2,,,0.6,0.5,0.5,,,,,0.1,,,,,,,,,0.2,,0.42816,,,,,,,15.177777777777777,26.6,,,,,,,,,,1.0,1.0,2.0,,,0.5,,,,,,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,False
101114-101154-201228-2207-2743,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Joe Johnson, Kris Humphries","Williams, Blatche, Watson, Johnson, Humphries",101114-101154-201228-2207-2743,BKN,592.0,4,10.0,-8.0,17,17,,5.0,5.0,34,4.0,10.0,2.0,3.0,,,1.0,3.0,,2.0,,2.0,1.0,4.0,,5.0,15.0,1.0,6.0,1.0,14.0,22.0,2.0,3.0,4.0,,,,,,2.0,8.0,3.0,2.0,4.0,1.0,,1.0,1.0,2.0,1.0,,1.0,5.0,4.0,2.0,4.0,,6.0,6.0,12.0,1.0,1.0,3.0,4.0,,,3.0,1.0,2.0,,,,,,,10.0,,,,,0.2,0.25,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.6666666666666666,,0.30952380952380953,0.5,,0.3181818181818182,0.4,,0.2857142857142857,,,,,0.8,0.4,1.0,0.8571428571428571,0.42857142857142855,0.3333333333333333,1.0,1.0,,0.5,1.0,,0.07142857142857142,82.7027027027027,,15.764705882352942,19.058823529411764,14.588235294117647,18.705882352941178,0.47619047619047616,0.4,0.4,0.25,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.09523809523809523,,,0.09523809523809523,,,,0.19047619047619047,0.25,0.25,1.0,0.75,0.6666666666666666,,,,0.7619047619047619,0.25,0.4910690476190476,0.52255,,0.09090909090909091,0.125,0.2857142857142857,,5.293333333333334,24.766666666666666,,,,,1.0,,2.0,,,2.0,1.0,2.0,,,1.0,0.5,0.5,,,,,,,,,,,1.0,1.0,1.0,2.0,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,False
101114-101154-201228-2222-2501,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Gerald Wallace, Reggie Evans","Williams, Blatche, Watson, Wallace, Evans",101114-101154-201228-2222-2501,BKN,642.0,3,11.0,-5.0,20,21,7.0,7.0,3.0,41,2.0,2.0,,,1.0,1.0,1.0,3.0,1.0,6.0,,,2.0,6.0,2.0,4.0,11.0,2.0,6.0,7.0,21.0,26.0,1.0,2.0,2.0,1.0,3.0,2.0,6.0,11.0,6.0,2.0,6.0,,6.0,2.0,,3.0,2.0,5.0,2.0,,1.0,12.0,2.0,1.0,3.0,1.0,5.0,3.0,8.0,,2.0,5.0,8.0,,,10.0,2.0,4.0,2.0,1.0,1.0,,1.0,,19.0,11.0,7.0,1.0,2.0,0.75,0.75,1.0,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.5,0.3333333333333333,0.4117647058823529,0.5,0.5,0.5,0.5,0.6875,0.35294117647058826,,,,1.0,0.6,0.2857142857142857,1.0,0.6666666666666666,0.3,,0.5,0.5,1.0,0.5,1.0,,,91.96261682242991,,17.15,14.238095238095237,16.1,13.904761904761905,0.11764705882352941,1.0,1.0,0.5,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.35294117647058826,0.16666666666666666,0.16666666666666666,,,,,0.35294117647058826,0.3333333333333333,0.3333333333333333,1.0,,,0.2,1.0,0.4,0.47058823529411764,0.3333333333333333,0.45533823529411765,0.4345,0.48806000000000005,0.21052631578947367,0.3076923076923077,0.09523809523809523,0.5238095238095238,13.054545454545455,25.766666666666666,0.35,,,,,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,,,,1.0,,,1.0,,0.2,1.0,,2.0,1.0,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,False
101114-101154-201228-2222-2586,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Gerald Wallace, Keith Bogans","Williams, Blatche, Watson, Wallace, Bogans",101114-101154-201228-2222-2586,BKN,113.0,1,2.0,1.0,3,3,,,,6,1.0,1.0,,,,,,,1.0,1.0,,,,,,2.0,2.0,,,1.0,5.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,2.0,,1.0,,,,,,,5.0,,,,,,,,,,1.0,,,1.0,,,0.8333333333333334,,,,,,,,,,1.0,0.5,,,,,,,1.0,,,76.46017699115045,,14.0,23.666666666666668,14.0,23.0,0.5,1.0,1.0,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,0.5,,0.497,,,0.3333333333333333,0.3333333333333333,,,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,False
101114-101154-201228-2222-2743,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Gerald Wallace, Kris Humphries","Williams, Blatche, Watson, Wallace, Humphries",101114-101154-201228-2222-2743,BKN,465.0,4,8.0,-4.0,15,13,4.0,1.0,3.0,28,,4.0,,3.0,,1.0,1.0,2.0,1.0,4.0,,,3.0,7.0,2.0,2.0,10.0,3.0,7.0,,13.0,17.0,,4.0,,,5.0,2.0,,,4.0,,6.0,,6.0,3.0,2.0,2.0,2.0,4.0,2.0,,,10.0,3.0,3.0,3.0,,6.0,5.0,11.0,,2.0,4.0,1.0,,,2.0,,1.0,,1.0,,1.0,1.0,1.0,13.0,,4.0,,,1.0,1.0,0.6666666666666666,0.42857142857142855,0.5,0.2,,,0.38235294117647056,,,0.3611111111111111,,,0.4117647058823529,0.2,0.5,,,0.42857142857142855,0.42857142857142855,1.0,0.6,0.5,0.75,,,0.75,,1.0,,,86.70967741935483,1.0,15.066666666666666,18.384615384615383,13.0,16.692307692307693,0.23529411764705882,,,,0.11764705882352941,0.5,0.5,0.23529411764705882,0.25,0.25,,,,,0.4117647058823529,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.75,,0.14285714285714285,,0.2857142857142857,0.6470588235294118,0.5,0.4359875,0.3144,0.39265833333333333,0.05555555555555555,0.09090909090909091,,,10.459999999999999,27.87142857142857,0.26666666666666666,,,,,,2.0,,,2.0,2.0,3.0,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,False
101114-101154-201228-2743-711,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Kris Humphries, Jerry Stackhouse","Williams, Blatche, Watson, Humphries, Stackhouse",101114-101154-201228-2743-711,BKN,282.0,2,5.0,-6.0,9,10,,,,19,1.0,1.0,,,,,,2.0,,2.0,,,,1.0,,1.0,5.0,,1.0,3.0,5.0,11.0,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,4.0,,4.0,,4.0,,1.0,2.0,3.0,,,4.0,,2.0,,2.0,2.0,,2.0,1.0,5.0,,,,,,,,,,0.2,,,0.16666666666666666,,,0.3125,,,0.16666666666666666,,,,,0.8,,,0.8,,,,0.6666666666666666,,1.0,,,,97.02127659574468,0.5,12.444444444444445,17.0,12.444444444444445,16.2,0.16666666666666666,1.0,1.0,,0.3333333333333333,,,0.3333333333333333,,,,,,,0.16666666666666666,,,,,,,,,0.3333333333333333,,0.4615916666666667,,,0.25,0.2857142857142857,,,11.3,27.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,False
101114-101154-201572-202705-2207,1610612751,"Deron Williams, Andray Blatche, Brook Lopez, MarShon Brooks, Joe Johnson","Williams, Blatche, Lopez, Brooks, Johnson",101114-101154-201572-202705-2207,BKN,345.0,2,6.0,8.0,9,9,,,1.0,18,3.0,4.0,1.0,1.0,,,1.0,2.0,,,,,,3.0,,4.0,6.0,,3.0,2.0,10.0,2.0,1.0,1.0,2.0,,,,,,6.0,2.0,,2.0,3.0,,,3.0,,3.0,,,2.0,6.0,,2.0,1.0,,3.0,1.0,4.0,,,1.0,2.0,1.0,,2.0,,1.0,,2.0,1.0,,2.0,,8.0,,,,,0.75,1.0,,,,0.6666666666666666,1.0,,0.4444444444444444,1.0,,0.5,1.0,,0.3333333333333333,,,,,0.25,,1.0,0.5,0.2,,,,0.5,,,1.0,,75.1304347826087,,15.555555555555555,22.77777777777778,15.555555555555555,18.555555555555557,0.4444444444444444,0.75,0.75,0.6666666666666666,0.2222222222222222,0.5,0.5,,,,,,,,0.3333333333333333,,,,1.0,1.0,,,,0.7777777777777778,,0.5161055555555555,,,0.1,0.14285714285714285,0.2,,3.533333333333333,26.0,,,,,,,1.0,1.0,1.0,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,False
