EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2A,PtsUnassisted2s,NonHeaveArc3FGA,Fouls,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyPoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,LongMidRangeFGM,LongMidRangeFGA,FtPoints,PenaltyFtPoints,LongMidRangeAssists,LostBallSteals,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,BadPassTurnovers,Offensive Fouls Drawn,Defensive 3 Seconds Violations,DefShortMidRangeReboundPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,ShootingFouls,BlockingFouls,Loose Ball Fouls,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceTurnovers,BlockedAtRim,BlockedShortMidRange,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,SecondChanceFtPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Offensive Fouls,LongMidRangePctBlocked,PtsUnassisted3s,Fg3aBlocked,Travels,2pt And 1 Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,FTOffRebounds,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,FTDefRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,Clear Path Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,OffensiveGoaltends,3SecondViolations,SecondChanceFg3Pct,Arc3PctBlocked,DefFTReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,DefensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,BlockedCorner3,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101107-200751-200794-201960-202692,1610612762,"Marvin Williams, Randy Foye, Paul Millsap, DeMarre Carroll, Alec Burks","Williams, Foye, Millsap, Carroll, Burks",101107-200751-200794-201960-202692,UTA,37.0,1,1.0,4.0,2.0,1.0,2.0,6.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,4.0,4.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,0.6666666666666666,0.5,0.5,0.25,233.51351351351352,7.75,3.0,7.75,3.0,0.75,0.6666666666666666,0.6666666666666666,0.25,1.0,1.0,0.4530375,0.3299,2.8666666666666667,25.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2013,2012-13,True
101107-200751-200794-201960-2590,1610612762,"Marvin Williams, Randy Foye, Paul Millsap, DeMarre Carroll, Mo Williams","Williams, Foye, Millsap, Carroll, Williams",101107-200751-200794-201960-2590,UTA,246.0,2,4.0,8.0,9.0,5.0,5.0,17.0,2.0,3.0,2.0,2.0,4.0,7.0,2.0,8.0,7.0,6.0,4.0,2.0,1.0,6.0,5.0,1.0,0.5714285714285714,0.4444444444444444,0.4444444444444444,0.2222222222222222,99.51219512195122,15.625,13.444444444444445,15.375,13.444444444444445,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.48535555555555554,0.43881666666666663,5.771428571428571,24.65,0.625,1.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,0.5,0.4444444444444444,0.5,0.5,0.5,1.0,0.5,0.5,0.5506,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2013,2012-13,True
101107-200751-200794-202324-202330,1610612762,"Marvin Williams, Randy Foye, Paul Millsap, Derrick Favors, Gordon Hayward","Williams, Foye, Millsap, Favors, Hayward",101107-200751-200794-202324-202330,UTA,232.0,2,4.0,6.0,5.0,3.0,,11.0,2.0,2.0,1.0,1.0,3.0,6.0,1.0,8.0,4.0,3.0,2.0,1.0,1.0,6.0,2.0,,0.5,0.42857142857142855,0.5,0.14285714285714285,68.27586206896552,20.833333333333332,21.4,16.333333333333332,20.6,0.2857142857142857,1.0,1.0,0.14285714285714285,0.3333333333333333,0.42857142857142855,0.5176071428571428,0.5021,7.25,24.9,0.5,4.0,1.0,1.0,1.0,1.0,,3.0,1.0,2.0,2.0,2.0,6.0,4.0,,2.0,2.0,1.0,,4.0,2.0,1.0,1.0,2.0,2.0,4.0,,1.0,,,,,,2.0,4.0,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.75,,0.5,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,,0.5,0.5,,0.5,0.42857142857142855,,,,0.5,1.0,1.0,0.54455,0.25,0.75,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2013,2012-13,True
101107-200751-200794-202324-202692,1610612762,"Marvin Williams, Randy Foye, Paul Millsap, Derrick Favors, Alec Burks","Williams, Foye, Millsap, Favors, Burks",101107-200751-200794-202324-202692,UTA,394.0,1,7.0,13.0,12.0,,,25.0,3.0,5.0,,3.0,4.0,8.0,3.0,8.0,15.0,,4.0,3.0,3.0,8.0,,,0.5,0.36363636363636365,0.36363636363636365,0.2727272727272727,91.37055837563452,12.76923076923077,19.0,12.76923076923077,19.0,0.45454545454545453,0.6,0.6,0.2727272727272727,,0.7272727272727273,0.5307409090909091,,7.9375,24.5,,-7.0,,,,,,,,,,,,4.0,,2.0,2.0,1.0,,4.0,,,4.0,4.0,,4.0,,1.0,1.0,2.0,1.0,2.0,,1.0,,0.5,0.5,,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,0.3333333333333333,,,,,,,,,,,1.0,3.0,,,1.0,,,,,,,,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2013,2012-13,True
101107-200751-200794-202324-2224,1610612762,"Marvin Williams, Randy Foye, Paul Millsap, Derrick Favors, Jamaal Tinsley","Williams, Foye, Millsap, Favors, Tinsley",101107-200751-200794-202324-2224,UTA,830.0,7,14.0,25.0,22.0,7.0,5.0,47.0,3.0,5.0,3.0,6.0,8.0,14.0,7.0,28.0,33.0,5.0,10.0,6.0,4.0,26.0,7.0,2.0,0.5714285714285714,0.5952380952380952,0.6086956521739131,0.3333333333333333,81.54216867469879,17.24,18.136363636363637,15.92,17.545454545454547,0.23809523809523808,0.6,0.75,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.525647619047619,0.5901928571428572,9.392857142857142,25.02857142857143,0.28,-5.0,4.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,9.0,6.0,2.0,3.0,6.0,2.0,1.0,15.0,1.0,2.0,3.0,5.0,3.0,8.0,,2.0,1.0,4.0,3.0,4.0,,6.0,9.0,0.375,0.42857142857142855,0.5,0.4,0.25,0.5,0.25,0.5625,1.0,0.375,0.16666666666666666,1.0,0.5,0.3,,0.5,0.5,1.0,,0.6666666666666666,0.23809523809523808,0.6,0.6,0.3333333333333333,0.25,1.0,0.6666666666666666,0.558975,0.07142857142857142,0.32142857142857145,2.0,4.0,3.0,2.0,,1.0,,4.0,,,,,,,0.19047619047619047,0.5,0.5,,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,9.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.42857142857142855,0.5,0.42857142857142855,0.07142857142857142,0.2,0.5,0.5,0.5,1.0,0.047619047619047616,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.14285714285714285,1.0,0.14285714285714285,0.3333333333333333,0.08695652173913043,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2013,2012-13,True
101107-200751-200794-202324-2248,1610612762,"Marvin Williams, Randy Foye, Paul Millsap, Derrick Favors, Earl Watson","Williams, Foye, Millsap, Favors, Watson",101107-200751-200794-202324-2248,UTA,1055.0,3,18.0,30.0,32.0,,,62.0,6.0,13.0,,2.0,9.0,24.0,5.0,28.0,23.0,,4.0,2.0,3.0,28.0,,,0.375,0.46551724137931033,0.4666666666666667,0.1724137931034483,84.62559241706161,15.266666666666667,18.65625,14.833333333333334,16.96875,0.4482758620689655,0.46153846153846156,0.5454545454545454,0.06896551724137931,,0.6206896551724138,0.5568275862068965,,7.345833333333334,24.259999999999998,,5.0,4.0,,3.0,,1.0,4.0,,4.0,,,,14.0,,7.0,10.0,4.0,1.0,23.0,5.0,3.0,10.0,13.0,5.0,18.0,,4.0,4.0,6.0,2.0,6.0,,1.0,,0.7777777777777778,0.7777777777777778,,,,,,,1.0,0.47619047619047616,0.3333333333333333,1.0,0.5416666666666666,0.29411764705882354,0.3333333333333333,0.375,0.5,1.0,,0.6666666666666666,0.13793103448275862,0.25,0.3333333333333333,1.0,0.75,,,0.575075,,,2.0,7.0,1.0,,2.0,,,2.0,,5.0,,5.0,1.0,0.2,0.2413793103448276,0.2857142857142857,0.2857142857142857,1.0,,4.0,,,0.5714285714285714,3.0,3.0,,,,,,3.0,,,,9.0,,3.0,3.0,,3.0,,1.0,,,1.0,1.0,0.6,,0.6,0.125,0.15384615384615385,,0.42857142857142855,,1.0,0.10344827586206896,1.0,1.0,1.0,,,,,,,,,0.03333333333333333,0.04,1.0,3.0,2.0,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2013,2012-13,True
101107-200751-200794-202324-2590,1610612762,"Marvin Williams, Randy Foye, Paul Millsap, Derrick Favors, Mo Williams","Williams, Foye, Millsap, Favors, Williams",101107-200751-200794-202324-2590,UTA,455.0,6,8.0,13.0,15.0,3.0,1.0,28.0,3.0,6.0,2.0,1.0,4.0,9.0,1.0,10.0,17.0,2.0,8.0,1.0,5.0,4.0,3.0,,0.4444444444444444,0.4,0.45454545454545453,0.1,88.61538461538461,18.0,14.733333333333333,17.53846153846154,12.8,0.6,0.5,0.6,0.1,1.0,0.7,0.521775,0.5202,6.488888888888889,25.1,0.23076923076923078,-7.0,3.0,2.0,3.0,1.0,,1.0,2.0,3.0,6.0,1.0,2.0,,4.0,,,,,,3.0,1.0,4.0,5.0,4.0,9.0,1.0,1.0,,2.0,,5.0,2.0,4.0,2.0,,,0.6666666666666666,0.5,0.6666666666666666,0.5,0.75,0.5,0.4,0.5,0.6,1.0,0.5555555555555556,0.6666666666666666,,0.5,0.5,1.0,0.2,,0.1,,,,1.0,0.6666666666666666,0.5,0.60965,0.6,0.2,1.0,2.0,2.0,,,1.0,,2.0,,1.0,,1.0,1.0,1.0,0.2,0.5,0.5,,,2.0,1.0,,0.5,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,,1.0,,,,,0.1111111111111111,0.16666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,0.09090909090909091,0.1,,1.0,,,,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2013,2012-13,True
101107-200751-200794-202330-2590,1610612762,"Marvin Williams, Randy Foye, Paul Millsap, Gordon Hayward, Mo Williams","Williams, Foye, Millsap, Hayward, Williams",101107-200751-200794-202330-2590,UTA,46.0,2,1.0,3.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,,1.0,2.0,,2.0,2.0,2.0,2.0,,1.0,2.0,3.0,1.0,0.5,0.5,0.5,,187.82608695652172,6.666666666666667,8.666666666666666,6.666666666666667,8.666666666666666,0.5,1.0,1.0,,0.5,0.5,0.6057,0.6057,8.75,,1.0,,,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,2.0,,,,0.5,,0.5,,0.5,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2013,2012-13,True
101107-200751-200794-202330-2744,1610612762,"Marvin Williams, Randy Foye, Paul Millsap, Gordon Hayward, Al Jefferson","Williams, Foye, Millsap, Hayward, Jefferson",101107-200751-200794-202330-2744,UTA,291.0,6,5.0,9.0,10.0,8.0,8.0,19.0,2.0,3.0,3.0,,5.0,7.0,1.0,15.0,15.0,6.0,2.0,,1.0,15.0,7.0,1.0,0.7142857142857143,0.8125,0.8333333333333334,0.125,94.02061855670104,15.555555555555555,15.1,15.555555555555555,13.3,0.375,0.6666666666666666,0.6666666666666666,,0.42857142857142855,0.5,0.44220625,0.45149285714285714,12.085714285714285,22.9,0.8888888888888888,,,,,2.0,,,,,,4.0,13.0,8.0,,4.0,4.0,1.0,,8.0,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,11.0,0.8,0.8,,0.6666666666666666,,0.7857142857142857,,0.8125,,0.5,,,0.5,,,1.0,,,,0.5,,,,,,,0.6666666666666666,,,0.8666666666666667,3.0,4.0,2.0,2.0,3.0,1.0,,2.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,0.75,0.75,1.0,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,0.125,1.0,1.0,,,,,,0.14285714285714285,1.0,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2013,2012-13,True
101107-200751-200794-202683-2224,1610612762,"Marvin Williams, Randy Foye, Paul Millsap, Enes Kanter, Jamaal Tinsley","Williams, Foye, Millsap, Kanter, Tinsley",101107-200751-200794-202683-2224,UTA,80.0,2,1.0,2.0,2.0,,,4.0,,,,,,1.0,,2.0,2.0,,,,,2.0,,,,,0.5,,72.0,30.5,9.5,30.5,3.5,,,,,,,0.3358,,20.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,3.0,,,,,,,,,,,0.5,,,0.5,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2013,2012-13,True
