EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,FG2M,FG2A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FtPoints,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Charge Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,LostBallSteals,LostBallTurnovers,ShootingFouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,DefensiveGoaltends,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,PenaltyAtRimFGM,Arc3FGM,SecondChanceFtPoints,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,RecoveredBlocks,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffShortMidRangeReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,BlockedShortMidRange,Travels,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,SelfOReb,BadPassOutOfBoundsTurnovers,Offensive Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceFg3Pct,PenaltyFg3Pct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3Accuracy,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Fg3aBlocked,Loose Ball Fouls,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,BlockingFouls,ThreePtShootingFoulsDrawn,3SecondViolations,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,HeaveMakes,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,OffensiveGoaltends,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
101128-101236-201166-201574-201949,1610612758,"Francisco Garcia, Chuck Hayes, Aaron Brooks, Jason Thompson, James Johnson","Garcia, Hayes, Brooks, Thompson, Johnson",101128-101236-201166-201574-201949,SAC,45.0,1,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,64.0,28.0,17.0,23.0,17.0,1.0,0.3333333333333333,0.5,1.0,0.5,1.0,0.6605333333333333,0.66665,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2013,2012-13,True
101128-101236-201166-201574-201977,1610612758,"Francisco Garcia, Chuck Hayes, Aaron Brooks, Jason Thompson, Marcus Thornton","Garcia, Hayes, Brooks, Thompson, Thornton",101128-101236-201166-201574-201977,SAC,144.0,3,2.0,4.0,7.0,5.0,,12.0,1.0,1.0,,,2.0,3.0,6.0,,,,,,,,2.0,3.0,,3.0,2.0,0.6666666666666666,,0.6666666666666666,,0.6,,,,0.6666666666666666,,0.75,,,0.5,120.0,10.0,14.8,10.0,14.8,0.3333333333333333,1.0,1.0,,,0.3333333333333333,0.5067,,,8.866666666666667,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3867,0.4,0.4,0.3333333333333333,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2013,2012-13,True
101128-101236-201166-201574-2422,1610612758,"Francisco Garcia, Chuck Hayes, Aaron Brooks, Jason Thompson, John Salmons","Garcia, Hayes, Brooks, Thompson, Salmons",101128-101236-201166-201574-2422,SAC,810.0,2,14.0,5.0,28.0,26.0,3.0,54.0,5.0,7.0,2.0,3.0,8.0,18.0,26.0,2.0,3.0,4.0,6.0,2.0,1.0,3.0,8.0,12.0,4.0,16.0,5.0,0.4444444444444444,0.6666666666666666,0.4074074074074074,0.5,0.43103448275862066,0.5,0.05555555555555555,0.14285714285714285,0.8888888888888888,0.3,0.9166666666666666,0.25,0.5,1.0,96.0,15.035714285714286,14.961538461538462,14.178571428571429,14.807692307692308,0.25925925925925924,0.7142857142857143,0.8333333333333334,0.75,0.6666666666666666,0.5925925925925926,0.5344203703703704,0.62235,0.15384615384615385,8.994444444444445,8.0,13.0,1.0,4.0,7.0,4.0,21.0,,5.0,2.0,10.0,5.0,7.0,4.0,,16.0,3.0,2.0,1.0,3.0,2.0,1.0,4.0,,4.0,,6.0,3.0,22.0,2.0,8.0,0.625,0.7142857142857143,,,0.1,0.75,1.0,0.5,1.0,0.8,0.14814814814814814,0.25,0.25,,0.25925925925925924,0.5071333333333333,0.10344827586206896,0.15,0.07692307692307693,0.2857142857142857,2.0,2.0,2.0,6.0,3.0,3.0,1.0,1.0,2.0,9.0,1.0,4.0,2.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,1.0,0.16666666666666666,0.4,0.25,1.0,0.2857142857142857,0.2857142857142857,0.5,0.2222222222222222,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,0.5,0.25,0.2222222222222222,0.3333333333333333,0.1111111111111111,23.844444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2013,2012-13,True
101128-101236-201166-201936-203080,1610612758,"Francisco Garcia, Chuck Hayes, Aaron Brooks, Tyreke Evans, Thomas Robinson","Garcia, Hayes, Brooks, Evans, Robinson",101128-101236-201166-201936-203080,SAC,48.0,2,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,0.5,,,30.0,35.0,,30.0,,,,,,,0.5,0.470225,,,15.4,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,0.5,0.52245,,,,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,0.5,,,1.0,,,,,,,,,,0.5,,,,,1.0,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2013,2012-13,True
101128-101236-201166-201949-201977,1610612758,"Francisco Garcia, Chuck Hayes, Aaron Brooks, James Johnson, Marcus Thornton","Garcia, Hayes, Brooks, Johnson, Thornton",101128-101236-201166-201949-201977,SAC,580.0,3,10.0,5.0,20.0,19.0,3.0,39.0,5.0,5.0,1.0,1.0,5.0,14.0,23.0,1.0,2.0,4.0,2.0,2.0,5.0,3.0,9.0,10.0,3.0,13.0,4.0,0.35714285714285715,0.5,0.4444444444444444,0.5,0.5,0.6666666666666666,0.35714285714285715,,0.75,0.375,0.7692307692307693,0.3,,1.0,96.82758620689656,13.2,16.63157894736842,12.8,15.947368421052632,0.2777777777777778,1.0,1.0,0.5,1.0,0.5,0.5107777777777778,0.37205,0.17391304347826086,8.657142857142857,3.0,3.0,,4.0,5.0,7.0,18.0,1.0,4.0,2.0,8.0,4.0,5.0,4.0,,11.0,1.0,,,,,3.0,3.0,2.0,3.0,,8.0,3.0,19.0,2.0,3.0,0.8,1.0,0.25,0.25,0.25,,1.0,0.75,1.0,0.8,0.2222222222222222,,,,0.2777777777777778,0.39115,0.14285714285714285,0.17647058823529413,0.08695652173913043,0.15,1.0,,,1.0,,3.0,,,2.0,4.0,,,,3.0,3.0,1.0,,,,,,,2.0,,,,2.0,1.0,1.0,1.0,,0.5,0.5,0.5,0.2222222222222222,,,,,0.3333333333333333,,,,0.05555555555555555,,,,0.16666666666666666,,,0.25,,,25.325,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,0.75,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2013,2012-13,True
101128-101236-201166-201949-202326,1610612758,"Francisco Garcia, Chuck Hayes, Aaron Brooks, James Johnson, DeMarcus Cousins","Garcia, Hayes, Brooks, Johnson, Cousins",101128-101236-201166-201949-202326,SAC,300.0,2,5.0,-3.0,9.0,8.0,1.0,17.0,1.0,2.0,1.0,1.0,2.0,7.0,7.0,1.0,1.0,2.0,2.0,,,1.0,2.0,3.0,1.0,4.0,,0.2857142857142857,1.0,0.4375,1.0,0.4375,1.0,,,0.5,0.2,0.5,0.2,,1.0,81.6,15.444444444444445,20.125,14.666666666666666,18.5,0.25,0.5,0.5,1.0,1.0,0.375,0.50168125,0.6927,0.2857142857142857,10.671428571428573,,,,2.0,3.0,,10.0,,,,2.0,1.0,2.0,,,5.0,1.0,1.0,,1.0,,1.0,2.0,,,,,,5.0,,,0.5,0.5,,,,0.5,0.5,,1.0,,0.25,,,,0.375,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,3.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,0.125,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,0.125,,,,,,25.0,,1.0,,,1.0,1.0,1.0,,1.0,,,0.5,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2013,2012-13,True
101128-101236-201166-201949-202690,1610612758,"Francisco Garcia, Chuck Hayes, Aaron Brooks, James Johnson, Jimmer Fredette","Garcia, Hayes, Brooks, Johnson, Fredette",101128-101236-201166-201949-202690,SAC,213.0,1,4.0,6.0,6.0,6.0,,12.0,1.0,1.0,,,3.0,3.0,12.0,,,,2.0,,,,,1.0,,1.0,,1.0,,1.2,,1.2,,,,,,0.5,,,,81.12676056338029,14.666666666666666,20.833333333333332,14.666666666666666,18.666666666666668,0.2,1.0,1.0,,,0.6,0.51518,,,14.633333333333333,,,,,2.0,,6.0,,,,4.0,2.0,3.0,1.0,,7.0,1.0,,,,,1.0,1.0,,,,,,12.0,,,0.6666666666666666,0.6666666666666666,,,,,1.0,,1.0,1.0,,,,,0.4,,,,,,,2.0,,,,2.0,,,2.0,2.0,,,,3.0,2.0,1.0,,1.0,,,,,,,,,,,,,,0.5,1.0,1.0,0.4,,,,,,1.0,1.0,0.5,,,,,0.4,,,,,,24.95,,2.0,,3.0,2.0,1.0,,,,,,,,1.0,1.0,0.5,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2013,2012-13,True
101128-101236-201166-201949-2422,1610612758,"Francisco Garcia, Chuck Hayes, Aaron Brooks, James Johnson, John Salmons","Garcia, Hayes, Brooks, Johnson, Salmons",101128-101236-201166-201949-2422,SAC,19.0,1,,-2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,,18.0,,18.0,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2013,2012-13,True
101128-101236-201166-201977-202326,1610612758,"Francisco Garcia, Chuck Hayes, Aaron Brooks, Marcus Thornton, DeMarcus Cousins","Garcia, Hayes, Brooks, Thornton, Cousins",101128-101236-201166-201977-202326,SAC,133.0,1,2.0,,4.0,5.0,,9.0,,,,,1.0,1.0,2.0,,,,,,,,1.0,2.0,,2.0,1.0,1.0,,1.0,,1.0,,,,0.5,,0.6666666666666666,,,1.0,97.44360902255639,11.75,17.2,11.75,17.0,,,,,,,0.4308,,,18.1,,,,,1.0,,2.0,,,,2.0,1.0,1.0,,,2.0,1.0,1.0,1.0,3.0,3.0,,3.0,,1.0,,,,2.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2013,2012-13,True
101128-101236-201166-201977-203080,1610612758,"Francisco Garcia, Chuck Hayes, Aaron Brooks, Marcus Thornton, Thomas Robinson","Garcia, Hayes, Brooks, Thornton, Robinson",101128-101236-201166-201977-203080,SAC,2890.0,10,48.0,8.0,92.0,92.0,10.0,184.0,24.0,34.0,7.0,10.0,36.0,63.0,105.0,8.0,12.0,19.0,32.0,6.0,4.0,9.0,21.0,31.0,14.0,45.0,22.0,0.5714285714285714,0.6666666666666666,0.5517241379310345,0.6785714285714286,0.5833333333333334,0.6785714285714286,0.06349206349206349,0.08823529411764706,0.5384615384615384,0.3333333333333333,0.5576923076923077,0.3333333333333333,0.5,0.6666666666666666,91.68166089965398,15.141304347826088,16.27173913043478,14.184782608695652,15.184782608695652,0.39080459770114945,0.7058823529411765,0.7741935483870968,0.7142857142857143,0.7,0.6666666666666666,0.5191287356321839,0.5552611111111111,0.18095238095238095,6.707936507936508,6.0,3.0,8.0,18.0,11.0,9.0,97.0,2.0,2.0,11.0,40.0,20.0,27.0,13.0,3.0,61.0,8.0,11.0,5.0,10.0,6.0,7.0,17.0,2.0,16.0,,10.0,7.0,86.0,11.0,6.0,0.5555555555555556,0.6060606060606061,1.0,1.0,1.1,0.5882352941176471,0.6153846153846154,0.5555555555555556,0.5555555555555556,0.5416666666666666,0.20689655172413793,0.4444444444444444,0.47058823529411764,0.375,0.12643678160919541,0.53505,0.07777777777777778,0.10606060606060606,0.10476190476190476,0.06521739130434782,2.0,4.0,1.0,7.0,1.0,17.0,2.0,2.0,8.0,24.0,2.0,3.0,1.0,21.0,17.0,7.0,1.0,4.0,5.0,2.0,6.0,4.0,11.0,2.0,3.0,4.0,,8.0,6.0,8.0,,0.875,0.3333333333333333,0.3333333333333333,0.27586206896551724,1.0,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.36363636363636365,1.0,0.08045977011494253,0.14285714285714285,0.14285714285714285,1.0,0.19540229885057472,0.2857142857142857,0.14285714285714285,0.4,0.2,0.4,25.070833333333336,2.0,7.0,,3.0,7.0,6.0,1.0,,4.0,0.05555555555555555,,0.2,0.5,0.4117647058823529,0.4117647058823529,0.8571428571428571,1.0,0.4117647058823529,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.75,0.05263157894736842,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2013,2012-13,True
