EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,FG3M,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Charge Fouls,RecoveredBlocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,PtsPutbacks,Travels,Offensive Fouls Drawn,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,Fg2aBlocked,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3FGM,BadPassOutOfBoundsTurnovers,PenaltyArc3Accuracy,PtsUnassisted3s,3SecondViolations,SecondChanceArc3FGA,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,BadPassTurnovers,SecondChanceTurnovers,LostBallSteals,BlockingFouls,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,SecondChanceArc3FGM,SelfOReb,SelfORebPct,SecondChanceArc3Accuracy,2pt And 1 Free Throw Trips,Offensive Fouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,BlockedLongMidRange,OffArc3ReboundPct,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,Corner3PctBlocked,Clear Path Fouls,BlockedArc3,HeaveMakes,team_id,year,season,team_vs
101138-101183-1718-1891-201584,1610612738,"Brandon Bass, Shavlik Randolph, Paul Pierce, Jason Terry, Courtney Lee","Bass, Randolph, Pierce, Terry, Lee",101138-101183-1718-1891-201584,BOS,284.0,2,5.0,2.0,10.0,9.0,6.0,3.0,2.0,19.0,5.0,6.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,5.0,7.0,3.0,2.0,12.0,10.0,2.0,2.0,4.0,3.0,5.0,1.0,6.0,2.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,6.0,6.0,0.2,0.2,0.7142857142857143,1.0,0.6,0.5,1.0,0.5,0.5454545454545454,1.0,0.5,0.3,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.2,0.5,1.0,1.0,0.6666666666666666,96.33802816901408,12.7,17.444444444444443,11.4,16.22222222222222,0.6,0.8333333333333334,0.8333333333333334,0.2,0.1,0.2,0.1,1.0,1.0,0.5,0.6666666666666666,0.75,0.16666666666666666,0.9,0.67206,0.7749,0.6472833333333333,0.09090909090909091,0.125,0.3333333333333333,0.5,3.2714285714285714,23.46666666666667,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-101183-1718-1891-202340,1610612738,"Brandon Bass, Shavlik Randolph, Paul Pierce, Jason Terry, Avery Bradley","Bass, Randolph, Pierce, Terry, Bradley",101138-101183-1718-1891-202340,BOS,551.0,1,9.0,-10.0,16.0,16.0,7.0,,3.0,32.0,,1.0,,1.0,,1.0,7.0,1.0,3.0,,4.0,9.0,4.0,1.0,15.0,25.0,,2.0,,2.0,5.0,1.0,8.0,4.0,4.0,3.0,2.0,4.0,,10.0,,,1.0,3.0,5.0,1.0,6.0,,,5.0,2.0,2.0,1.0,2.0,2.0,2.0,15.0,8.0,7.0,0.5,0.5,0.4444444444444444,,0.4,0.5384615384615384,,0.5833333333333334,0.5357142857142857,,0.5714285714285714,0.3076923076923077,,0.6,1.0,,0.6666666666666666,0.14285714285714285,,,1.0,,83.62976406533575,17.5625,16.875,15.8125,16.5,0.07692307692307693,,,,0.5384615384615384,0.07692307692307693,0.23076923076923078,0.5,,,0.16666666666666666,,,0.38461538461538464,0.48591153846153845,0.55355,0.505025,0.07142857142857142,0.1,,0.5333333333333333,13.844444444444443,24.225,0.4375,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.3333333333333333,1.0,0.2,0.25,0.5,1.0,0.5,0.07692307692307693,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-101183-1718-201145-201584,1610612738,"Brandon Bass, Shavlik Randolph, Paul Pierce, Jeff Green, Courtney Lee","Bass, Randolph, Pierce, Green, Lee",101138-101183-1718-201145-201584,BOS,209.0,1,3.0,3.0,7.0,7.0,,,1.0,14.0,1.0,2.0,1.0,1.0,,,2.0,,2.0,,2.0,4.0,2.0,2.0,9.0,6.0,1.0,1.0,2.0,,,,,,4.0,2.0,,1.0,,3.0,,,,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,7.0,,,,,0.5,1.0,,0.5833333333333334,1.0,,0.6428571428571429,1.0,,0.3333333333333333,,1.0,,,1.0,0.3333333333333333,,1.0,1.0,,96.45933014354067,14.571428571428571,15.285714285714286,14.285714285714286,15.285714285714286,0.3333333333333333,0.5,0.5,,0.3333333333333333,,0.3333333333333333,1.0,1.0,,,,,0.6666666666666666,0.49923333333333336,0.5134,,0.14285714285714285,0.2,0.2222222222222222,,10.025,25.5,,,,1.0,,,,1.0,1.0,,,3.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,1.0,0.5,,0.5,,,0.5,1.0,,,,,,,,0.5,0.5,,,,,0.5,0.5,1.0,,,0.5,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-101183-1718-201145-202340,1610612738,"Brandon Bass, Shavlik Randolph, Paul Pierce, Jeff Green, Avery Bradley","Bass, Randolph, Pierce, Green, Bradley",101138-101183-1718-201145-202340,BOS,720.0,6,12.0,9.0,23.0,23.0,5.0,,6.0,46.0,4.0,10.0,1.0,3.0,1.0,3.0,7.0,1.0,2.0,,8.0,20.0,3.0,9.0,31.0,22.0,1.0,4.0,8.0,1.0,3.0,1.0,7.0,8.0,8.0,2.0,4.0,6.0,3.0,14.0,,1.0,2.0,5.0,9.0,8.0,17.0,3.0,3.0,6.0,13.0,11.0,4.0,2.0,,2.0,23.0,7.0,5.0,0.5,0.5,0.4,0.25,0.3333333333333333,0.4782608695652174,0.5,0.625,0.5357142857142857,0.5714285714285714,0.5833333333333334,0.13043478260869565,0.3333333333333333,0.5,0.6666666666666666,,0.5384615384615384,0.5384615384615384,,0.75,0.6666666666666666,,92.0,15.26086956521739,16.043478260869566,13.043478260869565,14.434782608695652,0.43478260869565216,0.4,0.6666666666666666,0.75,0.30434782608695654,0.043478260869565216,0.08695652173913043,0.6,0.3333333333333333,1.0,0.75,0.3333333333333333,,0.5652173913043478,0.5300369565217391,0.5232,0.67975,0.14814814814814814,0.16666666666666666,0.25806451612903225,0.22580645161290322,7.654999999999999,24.833333333333332,0.21739130434782608,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,,1.0,7.0,2.0,1.0,1.0,,1.0,2.0,,4.0,,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5833333333333334,0.6,,1.0,0.5,0.13043478260869565,0.6666666666666666,0.6666666666666666,,0.2857142857142857,0.2857142857142857,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.25,1.0,0.5,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2,0.4,0.6666666666666666,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-101183-1718-201584-202340,1610612738,"Brandon Bass, Shavlik Randolph, Paul Pierce, Courtney Lee, Avery Bradley","Bass, Randolph, Pierce, Lee, Bradley",101138-101183-1718-201584-202340,BOS,209.0,1,3.0,-2.0,7.0,7.0,7.0,,,14.0,2.0,3.0,,,2.0,3.0,,,1.0,1.0,2.0,4.0,1.0,2.0,9.0,11.0,,,,2.0,4.0,1.0,9.0,4.0,,1.0,2.0,3.0,2.0,7.0,,,,,,,,2.0,2.0,,1.0,2.0,,,,,9.0,9.0,7.0,1.0,1.0,0.5,,0.5,0.7,,0.7,0.75,,0.75,0.2,,,,,,,,,,,96.45933014354067,16.714285714285715,13.142857142857142,16.714285714285715,13.142857142857142,0.6,0.6666666666666666,1.0,1.0,,,0.2,,,,0.6,0.6666666666666666,0.2,0.8,0.62417,,0.62417,,,,1.0,1.9,25.0,1.0,,1.0,,,,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,0.2,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,0.25,0.3333333333333333,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-101183-1718-201584-202348,1610612738,"Brandon Bass, Shavlik Randolph, Paul Pierce, Courtney Lee, Jordan Crawford","Bass, Randolph, Pierce, Lee, Crawford",101138-101183-1718-201584-202348,BOS,71.0,1,1.0,6.0,4.0,3.0,4.0,3.0,,7.0,1.0,1.0,,,1.0,1.0,,,2.0,2.0,1.0,1.0,2.0,1.0,6.0,,,,,1.0,1.0,2.0,6.0,,2.0,2.0,,1.0,,3.0,,,1.0,1.0,2.0,,2.0,1.0,1.0,,1.0,2.0,,,,,6.0,6.0,4.0,,,1.0,,1.0,0.8333333333333334,,0.8333333333333334,0.75,,0.75,0.6666666666666666,,0.5,1.0,,0.6666666666666666,,,,,,141.9718309859155,7.5,13.666666666666666,7.5,13.333333333333334,0.3333333333333333,1.0,1.0,,,,0.6666666666666666,,,,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6145166666666667,,0.6145166666666667,,,,1.0,0.4,24.65,1.0,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.5,0.5,0.5,,,,,0.5,1.0,,,,,,,,,,,,0.5,0.5,1.0,,,0.5,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-101183-1718-202340-202348,1610612738,"Brandon Bass, Shavlik Randolph, Paul Pierce, Avery Bradley, Jordan Crawford","Bass, Randolph, Pierce, Bradley, Crawford",101138-101183-1718-202340-202348,BOS,199.0,1,3.0,1.0,6.0,6.0,6.0,,,12.0,,,,,,,4.0,,2.0,2.0,2.0,4.0,2.0,,10.0,9.0,,,,2.0,4.0,2.0,10.0,2.0,2.0,2.0,1.0,2.0,,5.0,,,,2.0,2.0,,2.0,,,,,,,1.0,,1.0,10.0,10.0,6.0,0.5,0.5,0.5,,0.5,0.8333333333333334,,0.8333333333333334,0.8333333333333334,,0.8333333333333334,0.3333333333333333,,1.0,,,1.0,,,1.0,1.0,,86.83417085427135,15.333333333333334,17.833333333333332,15.333333333333334,17.833333333333332,,,,,0.6666666666666666,,0.3333333333333333,,,,,,0.3333333333333333,0.3333333333333333,0.4578083333333333,,0.4578083333333333,,,,1.0,15.9,26.0,1.0,,,2.0,,,,2.0,2.0,2.0,,3.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,0.5,1.0,1.0,1.0,,,,,,,1.0,,,,,0.5,0.5,0.5,,,,1.0,1.0,0.5,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-101183-1891-201145-201584,1610612738,"Brandon Bass, Shavlik Randolph, Jason Terry, Jeff Green, Courtney Lee","Bass, Randolph, Terry, Green, Lee",101138-101183-1891-201145-201584,BOS,157.0,2,3.0,3.0,4.0,5.0,1.0,,,9.0,,,,,,,2.0,,1.0,,,2.0,1.0,,3.0,,,,,,,,,,,1.0,,1.0,,3.0,,,1.0,3.0,4.0,,4.0,,,1.0,,,,,,,3.0,,1.0,,,,,,0.5,,,0.5,,,0.3333333333333333,,0.6,1.0,,0.6666666666666666,,,,0.5,,82.54777070063695,15.5,19.0,15.5,16.2,,,,,0.6666666666666666,,0.3333333333333333,,,,,,,0.3333333333333333,0.4563,,,,,,,18.45,25.5,0.25,,,,,,,1.0,1.0,,,3.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-101183-1891-201145-202340,1610612738,"Brandon Bass, Shavlik Randolph, Jason Terry, Jeff Green, Avery Bradley","Bass, Randolph, Terry, Green, Bradley",101138-101183-1891-201145-202340,BOS,327.0,2,5.0,-2.0,10.0,10.0,10.0,1.0,2.0,20.0,1.0,2.0,,,1.0,1.0,3.0,,1.0,1.0,2.0,7.0,1.0,5.0,9.0,11.0,,,2.0,2.0,6.0,1.0,9.0,4.0,,1.0,2.0,2.0,1.0,4.0,,,1.0,4.0,5.0,3.0,8.0,,,3.0,3.0,6.0,,1.0,1.0,1.0,7.0,9.0,10.0,1.0,1.0,0.2857142857142857,,0.3333333333333333,0.25,,0.2857142857142857,0.4090909090909091,0.5,0.45,0.125,,0.8,1.0,,0.8333333333333334,0.5,,1.0,1.0,1.0,88.07339449541284,14.6,18.1,12.6,18.1,0.25,0.5,1.0,1.0,0.375,,0.125,,,,0.14285714285714285,1.0,0.14285714285714285,0.375,0.43838125,0.37395,0.43712142857142855,,,0.2222222222222222,1.0,12.057142857142859,25.0,1.0,,2.0,1.0,,,,,,,5.0,,,,,,,1.0,3.0,,,2.0,1.0,,2.0,2.0,1.0,1.0,,,,,,,,0.6,0.5,,,,0.25,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,1.0,2.0,2.0,,1.0,,,3.0,,3.0,,0.2857142857142857,0.5,1.0,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-101183-1891-201584-201944,1610612738,"Brandon Bass, Shavlik Randolph, Jason Terry, Courtney Lee, Terrence Williams","Bass, Randolph, Terry, Lee, Williams",101138-101183-1891-201584-201944,BOS,187.0,1,3.0,4.0,6.0,6.0,,,1.0,12.0,3.0,4.0,1.0,1.0,,,,1.0,,,3.0,4.0,1.0,2.0,11.0,7.0,1.0,1.0,2.0,,,,,2.0,4.0,,1.0,2.0,1.0,5.0,,,,1.0,1.0,1.0,2.0,,,,2.0,2.0,1.0,,,,9.0,,,0.3333333333333333,0.5,0.75,1.0,,0.9,1.0,,0.9166666666666666,1.0,,0.2,,1.0,,,0.5,1.0,,1.0,,,92.40641711229947,15.5,15.666666666666666,15.333333333333334,15.5,0.8,0.75,0.75,0.3333333333333333,,0.2,,1.0,1.0,,,,,1.0,0.64399,0.6656,,0.16666666666666666,0.2,0.18181818181818182,,1.075,23.5,,,,,1.0,,,,1.0,,,3.0,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
