EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Fouls,Charge Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,FtPoints,SecondChanceFG2A,PtsUnassisted2s,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Arc3Assists,AtRimAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,BadPassSteals,LostBallTurnovers,Travels,SecondChanceTurnovers,ShootingFouls,BlockingFouls,Loose Ball Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,2pt And 1 Free Throw Trips,Technical Free Throw Trips,PenaltyOffPoss,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceFG2M,SecondChancePoints,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffShortMidRangeReboundPct,SecondChancePointsPct,Offensive Fouls,ThreePtShootingFoulsDrawn,OffCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFg2Pct,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsPutbacks,SecondChanceFtPoints,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,LongMidRangePctBlocked,HeaveAttempts,BlockedLongMidRange,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3,BlockedCorner3,3pt And 1 Free Throw Trips,OffensiveGoaltends,Clear Path Fouls,HeaveMakes,Corner3PctBlocked,team_id,year,season,team_vs
101139-200789-200809-201578-203158,1610612739,"CJ Miles, Daniel Gibson, Chris Quinn, Marreese Speights, Kevin Jones","Miles, Gibson, Quinn, Speights, Jones",101139-200789-200809-201578-203158,CLE,316.0,2,5.0,-1.0,10.0,11.0,1.0,21.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,7.0,8.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,1.0,1.0,0.25,0.25,0.5,0.4375,0.4375,0.5,0.5,0.5,1.0,0.75,1.0,1.0,1.0,95.69620253164557,13.3,16.636363636363637,13.3,16.636363636363637,0.125,1.0,1.0,1.0,0.375,0.3333333333333333,0.3333333333333333,1.0,0.125,0.375,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.4824375,16.2,25.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2013,2012-13,False
101139-200789-200809-201578-2575,1610612739,"CJ Miles, Daniel Gibson, Chris Quinn, Marreese Speights, Luke Walton","Miles, Gibson, Quinn, Speights, Walton",101139-200789-200809-201578-2575,CLE,1559.0,3,26.0,6.0,49.0,49.0,2.0,98.0,4.0,10.0,3.0,9.0,2.0,7.0,9.0,12.0,27.0,7.0,11.0,50.0,44.0,16.0,,9.0,7.0,8.0,15.0,2.0,2.0,37.0,8.0,10.0,21.0,23.0,3.0,2.0,8.0,6.0,3.0,11.0,14.0,1.0,50.0,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.4444444444444444,0.5921052631578947,0.6097560975609756,0.2894736842105263,0.7272727272727273,0.6666666666666666,0.8,0.72,0.8,0.7777777777777778,1.0,90.51956382296343,15.857142857142858,15.959183673469388,15.775510204081632,14.46938775510204,0.2631578947368421,0.4,0.4,0.5,0.23684210526315788,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.05263157894736842,0.23684210526315788,0.7777777777777778,0.7777777777777778,0.5,0.7777777777777778,0.49378552631578954,9.607407407407406,25.254545454545454,1.0,5.0,8.0,1.0,5.0,1.0,8.0,21.0,1.0,7.0,7.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,9.0,2.0,1.0,1.0,1.0,6.0,3.0,3.0,3.0,3.0,1.0,1.0,0.037037037037037035,0.125,1.0,0.14285714285714285,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.42857142857142855,1.0,0.058823529411764705,0.3333333333333333,0.21052631578947367,0.625,0.7142857142857143,0.8,1.0,1.0,0.6478,0.07317073170731707,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2013,2012-13,False
101139-200789-200809-202684-203092,1610612739,"CJ Miles, Daniel Gibson, Chris Quinn, Tristan Thompson, Tyler Zeller","Miles, Gibson, Quinn, Thompson, Zeller",101139-200789-200809-202684-203092,CLE,63.0,1,1.0,-2.0,2.0,2.0,2.0,4.0,,,,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.42857142857143,16.0,15.5,16.0,15.5,,,,,1.0,,,,,,,,,,0.4011,21.55,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2013,2012-13,False
101139-200789-201578-201956-2575,1610612739,"CJ Miles, Daniel Gibson, Marreese Speights, Omri Casspi, Luke Walton","Miles, Gibson, Speights, Casspi, Walton",101139-200789-201578-201956-2575,CLE,172.0,1,3.0,-7.0,5.0,5.0,,10.0,,1.0,,,,,2.0,,2.0,,2.0,,7.0,,,2.0,,,,,,,,1.0,2.0,3.0,,,,,2.0,2.0,1.0,,,,,,,,,,0.5,,1.0,,1.0,,,,83.72093023255813,20.8,13.6,17.8,13.6,0.25,,,,,,,,,0.5,,,0.75,,0.4653875,4.75,25.8,1.0,,1.0,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,0.5,1.0,1.0,,0.25,,,,1.0,,,0.25,,,,,,,,,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2013,2012-13,False
101139-200789-201578-201961-202087,1610612739,"CJ Miles, Daniel Gibson, Marreese Speights, Wayne Ellington, Alonzo Gee","Miles, Gibson, Speights, Ellington, Gee",101139-200789-201578-201961-202087,CLE,114.0,1,2.0,-2.0,3.0,3.0,,6.0,,,,,,,,1.0,3.0,,,3.0,5.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,1.0,,3.0,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,1.0,,1.0,1.0,,,75.78947368421053,16.666666666666668,21.333333333333332,12.333333333333334,21.333333333333332,,,,,,,,,,,,,1.0,,0.43093333333333333,3.0,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,2.0,1.0,,,,,,0.3333333333333333,0.3333333333333333,,0.5,0.5,0.5,,,,,,1.0,0.3333333333333333,0.5,,,1.0,0.4234,0.3333333333333333,0.3333333333333333,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2013,2012-13,False
101139-200789-201578-201961-202684,1610612739,"CJ Miles, Daniel Gibson, Marreese Speights, Wayne Ellington, Tristan Thompson","Miles, Gibson, Speights, Ellington, Thompson",101139-200789-201578-201961-202684,CLE,131.0,1,2.0,-7.0,4.0,4.0,,8.0,1.0,1.0,,1.0,1.0,,,1.0,2.0,,1.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.5,0.3333333333333333,0.25,0.3333333333333333,,,,,,,,87.93893129770993,20.0,12.75,20.0,12.75,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,0.3333333333333333,,,,0.3333333333333333,,0.45125,12.8,23.8,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2013,2012-13,False
101139-200789-201578-201961-203158,1610612739,"CJ Miles, Daniel Gibson, Marreese Speights, Wayne Ellington, Kevin Jones","Miles, Gibson, Speights, Ellington, Jones",101139-200789-201578-201961-203158,CLE,131.0,1,2.0,3.0,5.0,6.0,6.0,11.0,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,5.0,2.0,,3.0,1.0,1.0,,,,,,2.0,2.0,4.0,5.0,,,1.0,1.0,1.0,2.0,,,5.0,,,1.0,1.0,,0.75,0.625,0.5,0.5,1.0,1.0,1.0,1.0,1.0,,120.91603053435115,9.6,13.833333333333334,9.2,13.833333333333334,,,,,0.5,,,,,0.5,1.0,1.0,0.5,1.0,0.392375,16.1,26.0,1.0,,,,2.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,2.0,,1.0,,,4.0,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,0.3333333333333333,0.5,,,,,,,,5.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,0.75,0.625,0.5,1.0,0.392375,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2013,2012-13,False
101139-200789-201578-201961-2575,1610612739,"CJ Miles, Daniel Gibson, Marreese Speights, Wayne Ellington, Luke Walton","Miles, Gibson, Speights, Ellington, Walton",101139-200789-201578-201961-2575,CLE,867.0,3,14.0,-7.0,28.0,30.0,6.0,58.0,2.0,7.0,2.0,4.0,2.0,,4.0,6.0,15.0,2.0,6.0,22.0,29.0,10.0,,4.0,,5.0,7.0,2.0,1.0,16.0,5.0,5.0,10.0,10.0,5.0,3.0,2.0,2.0,3.0,5.0,6.0,,22.0,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.4,0.42857142857142855,0.4583333333333333,0.2857142857142857,0.4,0.625,1.0,0.7692307692307693,0.6666666666666666,1.0,1.0,96.33217993079585,16.75,13.266666666666667,16.75,12.1,0.3333333333333333,0.2857142857142857,0.3333333333333333,1.0,0.19047619047619047,0.5,0.5,0.5,0.09523809523809523,0.19047619047619047,,,0.47619047619047616,,0.4712595238095238,9.833333333333334,24.616666666666664,,2.0,4.0,,4.0,,2.0,6.0,2.0,2.0,,2.0,,,,,2.0,,,,2.0,1.0,2.0,7.0,,,,,6.0,3.0,2.0,1.0,2.0,1.0,1.0,0.13333333333333333,0.25,,,,,,,1.0,,0.5,0.19047619047619047,0.5,0.6666666666666666,1.0,,,,0.125,0.16666666666666666,,,,,,,,3.0,,,1.0,1.0,1.0,,3.0,3.0,1.0,,3.0,3.0,,1.0,0.75,0.75,,,0.5034,0.13636363636363635,0.10714285714285714,2.0,1.0,1.0,2.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2013,2012-13,False
101139-200789-201578-202681-202684,1610612739,"CJ Miles, Daniel Gibson, Marreese Speights, Kyrie Irving, Tristan Thompson","Miles, Gibson, Speights, Irving, Thompson",101139-200789-201578-202681-202684,CLE,99.0,1,2.0,5.0,3.0,4.0,,7.0,1.0,1.0,,,,,,2.0,3.0,,,5.0,,,,,,,,,,,2.0,,3.0,3.0,,,,,,,1.0,,5.0,,,,,0.6666666666666666,0.6666666666666666,0.8333333333333334,,,,1.0,1.0,,1.0,1.0,101.81818181818183,16.333333333333332,12.5,16.333333333333332,12.5,0.3333333333333333,1.0,1.0,,,,,,,,,,0.6666666666666666,,0.42219999999999996,3.5666666666666664,,,1.0,2.0,,1.0,,4.0,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,0.6666666666666666,0.5,0.5,,,,,0.3333333333333333,0.3333333333333333,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2013,2012-13,False
101139-200789-201578-202681-2575,1610612739,"CJ Miles, Daniel Gibson, Marreese Speights, Kyrie Irving, Luke Walton","Miles, Gibson, Speights, Irving, Walton",101139-200789-201578-202681-2575,CLE,163.0,2,3.0,-8.0,6.0,5.0,1.0,11.0,,,,1.0,,,2.0,,2.0,,2.0,,8.0,,,2.0,,,,,,,,1.0,1.0,2.0,,,1.0,,2.0,3.0,2.0,,,,,,,,,,0.5,0.3333333333333333,1.0,,1.0,1.0,,,97.17791411042944,15.0,14.6,14.5,14.6,,,,,0.25,,,,,0.5,,,0.75,,0.534475,10.55,26.05,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,0.25,,,,,,,0.25,,,,,1.0,,,,1.0,,,0.5,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2013,2012-13,False
