EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,FTDefRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyPointsPct,PenaltyOffPossPct,Minutes,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,ThreePtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceCorner3FGA,SecondChanceFG3A,Technical Free Throw Trips,BlockedShortMidRange,OffLongMidRangeReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,NonHeaveArc3FGM,Arc3Assists,Offensive Fouls Drawn,SecondChanceFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,HeaveAttempts,OffThreePtRebounds,LostBallSteals,StepOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFouls,Charge Fouls,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceCorner3FGM,PtsUnassisted3s,FTOffRebounds,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,BlockedLongMidRange,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffCorner3ReboundPct,Travels,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawnPct,3SecondViolations,BlockedCorner3,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101162-200769-200782-201162-201609,1610612756,"Marcin Gortat, Shannon Brown, PJ Tucker, Jared Dudley, Goran Dragic","Gortat, Brown, Tucker, Dudley, Dragic",101162-200769-200782-201162-201609,PHX,12.0,1,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,360.0,2.0,5.0,2.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2013,2012-13,True
101162-200769-200782-201162-202693,1610612756,"Marcin Gortat, Shannon Brown, PJ Tucker, Jared Dudley, Markieff Morris","Gortat, Brown, Tucker, Dudley, Morris",101162-200769-200782-201162-202693,PHX,53.0,1,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,,1.0,1.0,1.0,81.50943396226415,16.0,18.5,16.0,8.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2013,2012-13,True
101162-200769-200782-201162-2742,1610612756,"Marcin Gortat, Shannon Brown, PJ Tucker, Jared Dudley, Sebastian Telfair","Gortat, Brown, Tucker, Dudley, Telfair",101162-200769-200782-201162-2742,PHX,511.0,4,-4.0,18.0,16.0,16.0,10.0,34.0,7.0,15.0,7.0,13.0,,5.0,5.0,6.0,10.0,4.0,15.0,10.0,13.0,1.0,0.5769230769230769,0.5909090909090909,,95.81213307240704,15.222222222222221,14.8125,15.222222222222221,12.5,0.8666666666666667,0.8888888888888888,9.0,1.0,0.1111111111111111,0.1111111111111111,1.0,1.0,1.0,1.0,3.0,7.0,4.0,8.0,19.0,3.0,6.0,2.0,6.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,0.25,0.25,0.5,0.5,0.5,0.5,0.75,0.3333333333333333,0.8,0.625,1.0,0.8,0.125,1.0,1.0,0.875,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.16666666666666666,1.0,0.125,0.3754625,0.37998333333333334,17.4125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2013,2012-13,True
101162-200769-200782-201563-201609,1610612756,"Marcin Gortat, Shannon Brown, PJ Tucker, Michael Beasley, Goran Dragic","Gortat, Brown, Tucker, Beasley, Dragic",101162-200769-200782-201563-201609,PHX,849.0,5,-9.0,32.0,31.0,19.0,9.0,63.0,4.0,31.0,4.0,19.0,2.0,8.0,12.0,5.0,6.0,2.0,29.0,19.0,18.0,1.0,0.484375,0.475,1.0,106.85512367491165,12.90625,14.064516129032258,12.78125,13.129032258064516,0.6129032258064516,0.59375,14.0,1.0,0.03333333333333333,0.037037037037037035,8.0,15.0,4.0,8.0,2.0,4.0,12.0,26.0,40.0,6.0,15.0,12.0,12.0,6.0,7.0,2.0,15.0,4.0,2.0,1.0,,2.0,1.0,3.0,2.0,4.0,8.0,,,,,0.5,0.5454545454545454,0.46153846153846156,0.4,0.46551724137931033,0.4411764705882353,0.3333333333333333,0.25,1.0,0.5,,1.0,0.5172413793103449,0.5333333333333333,0.6153846153846154,0.13793103448275862,0.5,0.5,1.0,0.47058823529411764,0.5,0.6206896551724138,0.5273120689655172,0.5189058823529412,5.623076923076923,2.0,2.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.25,0.25,0.25,0.10344827586206896,0.07692307692307693,0.13333333333333333,0.2857142857142857,0.25,0.2857142857142857,0.4,0.5,0.2,0.14285714285714285,0.375,0.2413793103448276,0.2857142857142857,0.2857142857142857,0.5,0.034482758620689655,1.0,1.0,1.0,0.06896551724137931,0.5,0.058823529411764705,1.0,0.058823529411764705,0.500125,0.06451612903225806,24.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2013,2012-13,True
101162-200769-200782-201563-203088,1610612756,"Marcin Gortat, Shannon Brown, PJ Tucker, Michael Beasley, Kendall Marshall","Gortat, Brown, Tucker, Beasley, Marshall",101162-200769-200782-201563-203088,PHX,327.0,2,3.0,9.0,11.0,3.0,11.0,20.0,3.0,11.0,1.0,3.0,1.0,4.0,7.0,2.0,3.0,,7.0,3.0,3.0,,0.45454545454545453,0.25,1.0,88.07339449541284,19.77777777777778,13.545454545454545,15.666666666666666,13.363636363636363,0.2727272727272727,0.3333333333333333,5.0,1.0,0.09090909090909091,0.1111111111111111,3.0,4.0,1.0,1.0,,2.0,4.0,8.0,8.0,1.0,3.0,4.0,4.0,2.0,2.0,,4.0,1.0,2.0,,,1.0,,1.0,,1.0,3.0,1.0,1.0,,1.0,0.5,0.6666666666666666,0.5,0.3333333333333333,0.4,0.25,,0.4,1.0,0.5,0.25,1.0,0.4,0.75,0.75,0.2,,,,0.25,1.0,0.6,0.49238499999999996,0.50185,8.625,3.0,2.0,1.0,2.0,,1.0,,1.0,1.0,,,2.0,2.0,2.0,4.0,,1.0,,2.0,1.0,,,,2.0,,3.0,3.0,,,,,,,2.0,,,,,1.0,0.6666666666666666,0.6666666666666666,0.2,,,0.75,0.5,1.0,1.0,1.0,,,0.6666666666666666,0.2,0.5,0.5,,0.1,,,,0.1,0.6666666666666666,0.25,,,0.5438,0.36363636363636365,24.6,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2013,2012-13,True
101162-200769-200782-201563-2742,1610612756,"Marcin Gortat, Shannon Brown, PJ Tucker, Michael Beasley, Sebastian Telfair","Gortat, Brown, Tucker, Beasley, Telfair",101162-200769-200782-201563-2742,PHX,441.0,4,-1.0,16.0,15.0,6.0,5.0,31.0,5.0,15.0,1.0,4.0,,4.0,6.0,5.0,6.0,,10.0,4.0,6.0,,0.625,0.5,,101.22448979591837,15.0,13.4,13.625,12.933333333333334,0.26666666666666666,0.375,7.0,3.0,0.25,0.375,,1.0,,,1.0,3.0,2.0,5.0,16.0,,1.0,4.0,,2.0,4.0,1.0,10.0,,4.0,4.0,3.0,1.0,1.0,5.0,3.0,,2.0,,,,,1.0,1.0,0.4,,0.5555555555555556,0.5,0.8,0.8,,0.8,,,0.1111111111111111,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,,0.5555555555555556,0.48285555555555554,0.43333333333333335,13.34,2.0,,1.0,1.0,1.0,2.0,,,2.0,2.0,2.0,4.0,,,5.0,1.0,2.0,6.0,,2.0,,2.0,1.0,,1.0,2.0,2.0,,,,1.0,,,1.0,1.0,0.5,0.5,0.5,,1.5,1.25,0.4444444444444444,,,0.6666666666666666,0.4,,,1.0,0.75,,,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,0.5,0.5,1.0,0.2222222222222222,,,,0.6666666666666666,0.53655,0.3333333333333333,24.95,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2013,2012-13,True
101162-200769-200782-201609-202693,1610612756,"Marcin Gortat, Shannon Brown, PJ Tucker, Goran Dragic, Markieff Morris","Gortat, Brown, Tucker, Dragic, Morris",101162-200769-200782-201609-202693,PHX,2695.0,17,37.0,90.0,86.0,43.0,27.0,176.0,26.0,103.0,17.0,46.0,2.0,40.0,49.0,22.0,32.0,7.0,95.0,46.0,43.0,7.0,0.5862068965517241,0.5921052631578947,1.0,94.04081632653062,14.977777777777778,15.662790697674419,14.088888888888889,15.093023255813954,0.44660194174757284,0.4777777777777778,45.0,10.0,0.125,0.14705882352941177,17.0,26.0,7.0,13.0,8.0,16.0,34.0,61.0,66.0,13.0,25.0,28.0,40.0,14.0,17.0,2.0,37.0,6.0,32.0,7.0,6.0,7.0,1.0,14.0,8.0,2.0,9.0,,10.0,6.0,10.0,0.4117647058823529,0.42424242424242425,0.5573770491803278,0.52,0.5273972602739726,0.5178571428571429,0.5,0.7619047619047619,0.75,0.76,0.6666666666666666,0.6666666666666666,0.3561643835616438,0.6538461538461539,0.85,0.2191780821917808,0.5,0.5,0.25,0.4642857142857143,0.5384615384615384,0.5205479452054794,0.5037194444444445,0.5045,8.821311475409836,10.0,3.0,9.0,19.0,1.0,1.0,1.0,1.0,11.0,2.0,3.0,12.0,3.0,6.0,8.0,1.0,3.0,9.0,2.0,10.0,7.0,3.0,1.0,10.0,2.0,8.0,9.0,,8.0,5.0,2.0,1.0,1.0,,1.0,0.25,0.3333333333333333,0.2727272727272727,0.5,0.42857142857142855,0.4375,0.1643835616438356,0.11475409836065574,0.23076923076923078,0.32,0.28125,0.25,0.4,0.9,0.7647058823529411,,0.5882352941176471,0.2602739726027397,0.47368421052631576,0.5,0.2222222222222222,0.0136986301369863,1.0,1.0,1.0,0.1506849315068493,0.42857142857142855,0.03571428571428571,1.0,0.07142857142857142,0.5372071428571429,0.07766990291262135,26.45,2.0,,1.0,1.0,4.0,0.2857142857142857,0.6666666666666666,,,2.0,,1.0,,,2.0,2.0,2.0,1.0,,0.18181818181818182,0.18181818181818182,1.0,0.14285714285714285,,,,0.2,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,9.0,2.0,1.0,0.05263157894736842,0.14285714285714285,0.14285714285714285,1.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2013,2012-13,True
101162-200769-200782-201609-2449,1610612756,"Marcin Gortat, Shannon Brown, PJ Tucker, Goran Dragic, Luis Scola","Gortat, Brown, Tucker, Dragic, Scola",101162-200769-200782-201609-2449,PHX,3474.0,14,-1.0,114.0,113.0,21.0,17.0,227.0,18.0,123.0,10.0,25.0,2.0,36.0,50.0,25.0,25.0,4.0,110.0,23.0,19.0,2.0,0.5491071428571429,0.6578947368421053,1.0,94.09326424870467,15.18421052631579,15.424778761061948,14.464912280701755,14.619469026548673,0.2032520325203252,0.18421052631578946,58.0,10.0,0.09259259259259259,0.10869565217391304,20.0,33.0,1.0,3.0,13.0,32.0,42.0,85.0,124.0,3.0,6.0,40.0,44.0,20.0,23.0,6.0,49.0,8.0,26.0,8.0,8.0,7.0,,15.0,4.0,11.0,24.0,2.0,4.0,3.0,4.0,0.47619047619047616,0.5128205128205128,0.49411764705882355,0.5,0.5198019801980198,0.625,0.5333333333333333,0.6842105263157895,0.6666666666666666,0.68,0.7142857142857143,0.6666666666666666,0.32673267326732675,0.6060606060606061,0.6451612903225806,0.31683168316831684,0.40625,0.40625,0.46153846153846156,0.25,0.3333333333333333,0.48514851485148514,0.497200495049505,0.5244875,9.392941176470588,11.0,6.0,9.0,20.0,3.0,5.0,1.0,2.0,11.0,4.0,7.0,16.0,3.0,10.0,13.0,3.0,6.0,9.0,6.0,11.0,4.0,3.0,2.0,12.0,2.0,12.0,14.0,2.0,8.0,4.0,3.0,2.0,1.0,3.0,0.42857142857142855,0.4375,0.5,0.4375,0.3,0.4090909090909091,0.4642857142857143,0.15841584158415842,0.047058823529411764,0.06060606060606061,0.2857142857142857,0.2549019607843137,0.3076923076923077,0.2727272727272727,0.8,0.6190476190476191,0.0425531914893617,0.6,0.19801980198019803,0.45,0.5,0.2222222222222222,0.04950495049504951,0.6,0.6,0.6666666666666666,0.10891089108910891,0.5454545454545454,0.16666666666666666,0.5,0.3333333333333333,0.5366045454545455,0.10569105691056911,24.68125,3.0,1.0,1.0,,,0.2777777777777778,0.5,,0.09090909090909091,4.0,,,2.0,1.0,4.0,4.0,1.0,1.0,1.0,0.36363636363636365,0.36363636363636365,0.25,,,,0.5,0.36363636363636365,,1.0,4.0,,,1.0,1.0,,3.0,3.0,,,0.1,0.1111111111111111,0.14285714285714285,0.6666666666666666,0.75,1.0,12.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,,,,,,,,,,,,,,,,,1610612756,2013,2012-13,True
101162-200769-200782-201609-2742,1610612756,"Marcin Gortat, Shannon Brown, PJ Tucker, Goran Dragic, Sebastian Telfair","Gortat, Brown, Tucker, Dragic, Telfair",101162-200769-200782-201609-2742,PHX,224.0,3,4.0,7.0,6.0,2.0,,13.0,,11.0,,,,3.0,6.0,1.0,,,9.0,,2.0,,0.5,,,83.57142857142857,15.285714285714286,19.5,14.285714285714286,19.5,,0.2857142857142857,4.0,,,,1.0,3.0,,,2.0,2.0,4.0,6.0,7.0,,,2.0,6.0,1.0,2.0,1.0,5.0,1.0,2.0,,,,,,,,,,,,,0.25,0.3333333333333333,0.6666666666666666,,0.5,,,1.0,1.0,1.0,1.0,,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.18181818181818182,1.0,1.0,0.5,,,0.7272727272727273,0.4438,0.2637,8.9,1.0,3.0,1.0,1.0,1.0,2.0,,,3.0,2.0,1.0,5.0,1.0,3.0,2.0,,2.0,3.0,2.0,2.0,,1.0,1.0,,,2.0,3.0,1.0,,,,,,,1.0,0.2,,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.45454545454545453,,,1.0,0.75,1.0,,,1.0,0.25,,0.09090909090909091,1.0,1.0,,0.18181818181818182,0.5,0.5,1.0,0.2727272727272727,1.0,,,1.0,0.50855,0.18181818181818182,34.4,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.5,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1610612756,2013,2012-13,True
101162-200769-200782-202693-2742,1610612756,"Marcin Gortat, Shannon Brown, PJ Tucker, Markieff Morris, Sebastian Telfair","Gortat, Brown, Tucker, Morris, Telfair",101162-200769-200782-202693-2742,PHX,1281.0,10,,45.0,44.0,18.0,12.0,89.0,9.0,39.0,7.0,23.0,2.0,22.0,22.0,7.0,9.0,2.0,39.0,23.0,18.0,2.0,0.5,0.71875,1.0,100.04683840749414,14.244444444444444,14.545454545454545,14.022222222222222,13.454545454545455,0.5897435897435898,0.4,21.0,3.0,0.08108108108108109,0.13043478260869565,4.0,8.0,3.0,3.0,3.0,5.0,9.0,21.0,39.0,5.0,8.0,10.0,8.0,5.0,8.0,2.0,19.0,4.0,16.0,3.0,3.0,4.0,,7.0,3.0,7.0,13.0,2.0,1.0,,1.0,0.5555555555555556,0.5555555555555556,0.42857142857142855,0.625,0.42857142857142855,0.6153846153846154,0.42857142857142855,0.7272727272727273,1.0,0.7692307692307693,0.8,1.0,0.22857142857142856,0.5,0.5714285714285714,0.14285714285714285,0.6,0.6,0.6666666666666666,0.23076923076923078,1.0,0.6285714285714286,0.501320588235294,0.49361153846153843,8.385714285714286,1.0,,2.0,8.0,2.0,6.0,2.0,3.0,8.0,2.0,4.0,14.0,,,,2.0,5.0,9.0,,7.0,2.0,3.0,2.0,2.0,1.0,,,,2.0,2.0,,1.0,,,0.75,0.2857142857142857,0.4,0.3076923076923077,,,,0.4,0.09523809523809523,0.125,,,,,0.5,0.7692307692307693,,0.5,0.22857142857142856,0.25,0.2857142857142857,0.5,0.17142857142857143,0.3333333333333333,0.3333333333333333,1.0,0.22857142857142856,,0.23076923076923078,0.6666666666666666,0.15384615384615385,0.5853,,25.82857142857143,,1.0,1.0,,1.0,,,,1.0,2.0,,,,,,2.0,1.0,1.0,,0.25,0.25,0.5,,,,,0.2857142857142857,1.0,,,,,1.0,,,1.0,1.0,,,0.125,,,,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1610612756,2013,2012-13,True
