EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,Offensive Fouls Drawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,FTDefRebounds,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGM,HeaveAttempts,Fg2aBlocked,LongMidRangeAssists,OffThreePtRebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,LiveBallTurnovers,BadPassTurnovers,BlockedAtRim,3SecondViolations,LiveBallTurnoverPct,DefCorner3ReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Fg3aBlocked,LostBallSteals,PenaltyTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Arc3PctBlocked,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,NonShootingFoulsDrawn,BlockedShortMidRange,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PtsUnassisted3s,Charge Fouls Drawn,PtsPutbacks,LostBallTurnovers,OffensiveGoaltends,OffArc3ReboundPct,SelfOReb,Travels,Blocked3s,BlockedArc3,BlockedCorner3,SelfORebPct,Offensive Fouls,SecondChanceTurnovers,BlockingFoulsDrawn,Corner3PctBlocked,StepOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3FGA,BadPassOutOfBoundsTurnovers,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,BlockingFouls,Charge Fouls,ShortMidRangePctBlocked,team_id,year,season,team_vs
1889-201147-201163-201576-201951,1610612743,"Andre Miller, Corey Brewer, Wilson Chandler, Anthony Randolph, Ty Lawson","Miller, Brewer, Chandler, Randolph, Lawson",1889-201147-201163-201576-201951,DEN,186.0,1,3.0,7.0,7.0,1.0,14,1.0,3.0,3.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,0.125,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,0.16666666666666666,1.0,1.0,0.14285714285714285,0.5,1.0,1.0,1.0,108.38709677419355,15.142857142857142,11.428571428571429,13.428571428571429,11.428571428571429,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.5217555555555555,0.4202,8.4125,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2013,2012-13,True
1889-201147-201163-201580-201951,1610612743,"Andre Miller, Corey Brewer, Wilson Chandler, JaVale McGee, Ty Lawson","Miller, Brewer, Chandler, McGee, Lawson",1889-201147-201163-201580-201951,DEN,111.0,2,2.0,6.0,4.0,1.0,10,,,3.0,,1.0,2.0,3.0,2.0,15.0,3.0,,2.0,1.0,3.0,,8.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,,13.0,0.5,0.5,0.6666666666666666,1.0,1.0714285714285714,0.4,1.0,1.0,1.0,1.0,1.0,,,,1.0,129.7297297297297,8.0,15.75,7.833333333333333,15.75,,,,,0.6,,0.2,0.4,0.44806,,6.5,25.55,12.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,15.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,6.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0714285714285714,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,1.0,0.2,1.0,1.0,0.44806,0.2857142857142857,0.25,0.3333333333333333,0.13333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2013,2012-13,True
1889-201147-201163-201580-2738,1610612743,"Andre Miller, Corey Brewer, Wilson Chandler, JaVale McGee, Andre Iguodala","Miller, Brewer, Chandler, McGee, Iguodala",1889-201147-201163-201580-2738,DEN,371.0,2,6.0,11.0,12.0,1.0,23,,2.0,2.0,4.0,1.0,2.0,8.0,3.0,9.0,18.0,,2.0,1.0,1.0,,2.0,1.0,,2.0,3.0,2.0,5.0,4.0,,7.0,0.5,0.5,0.25,0.18181818181818182,0.3076923076923077,0.2727272727272727,1.0,0.16666666666666666,,1.0,0.25,,,1.0,,89.2722371967655,18.727272727272727,13.75,18.727272727272727,13.75,0.18181818181818182,,,,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.45454545454545453,0.46326,,11.55,32.733333333333334,-9.0,5.0,7.0,1.0,,,,,2.0,,2.0,,5.0,2.0,2.0,1.0,4.0,,2.0,,2.0,2.0,,1.0,,,,,,1.0,,,5.0,2.0,,,,,,2.0,5.0,,,,,0.25,0.16666666666666666,1.0,0.16666666666666666,1.0,,1.0,,0.5,0.5,,,,,0.18181818181818182,,,,,,0.3333333333333333,,,0.44518,0.15384615384615385,0.2,,0.2222222222222222,0.2222222222222222,0.45454545454545453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.5,0.5,0.5,1.0,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2013,2012-13,True
1889-201147-201163-201585-201951,1610612743,"Andre Miller, Corey Brewer, Wilson Chandler, Kosta Koufos, Ty Lawson","Miller, Brewer, Chandler, Koufos, Lawson",1889-201147-201163-201585-201951,DEN,147.0,1,2.0,5.0,6.0,,11,2.0,2.0,1.0,,,2.0,3.0,,4.0,6.0,,4.0,2.0,2.0,2.0,4.0,,1.0,2.0,3.0,,3.0,,,4.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,1.0,0.75,,,0.6666666666666666,,,107.75510204081633,12.0,14.5,12.0,13.166666666666666,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,,,0.6666666666666666,0.46313333333333334,,5.1000000000000005,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,1.0,1.0,2.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2013,2012-13,True
1889-201147-201163-201585-2738,1610612743,"Andre Miller, Corey Brewer, Wilson Chandler, Kosta Koufos, Andre Iguodala","Miller, Brewer, Chandler, Koufos, Iguodala",1889-201147-201163-201585-2738,DEN,346.0,3,6.0,14.0,13.0,,27,1.0,1.0,6.0,2.0,,6.0,9.0,2.0,16.0,7.0,,6.0,3.0,4.0,,9.0,1.0,,7.0,7.0,1.0,8.0,1.0,,16.0,0.5,0.5,0.6666666666666666,0.6818181818181818,0.6666666666666666,0.18181818181818182,0.875,0.3333333333333333,,0.875,0.25,,1.0,0.6666666666666666,,112.3699421965318,11.642857142857142,14.076923076923077,11.642857142857142,12.538461538461538,0.09090909090909091,1.0,1.0,,0.5454545454545454,0.18181818181818182,,0.2727272727272727,0.42720454545454545,,10.177777777777777,25.55,9.0,12.0,6.0,3.0,,,,1.0,2.0,1.0,2.0,1.0,1.0,,,6.0,8.0,1.0,2.0,,15.0,6.0,3.0,2.0,1.0,1.0,1.0,,2.0,,2.0,3.0,2.0,1.0,,1.0,,1.0,1.0,15.0,12.0,1.0,0.5,0.5,0.5,0.75,0.75,,0.75,,0.3333333333333333,1.0,1.0,0.5,0.5,0.6666666666666666,,,,0.18181818181818182,0.5,1.0,1.0,,,0.2,0.5,0.5,0.433685,0.08333333333333333,0.1,,,0.9375,0.8571428571428571,2.0,,,1.0,,1.0,,1.0,2.0,,,,,,,,1.0,1.0,0.5,1.0,1.0,1.0,,0.5,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2013,2012-13,True
1889-201147-201163-201951-202702,1610612743,"Andre Miller, Corey Brewer, Wilson Chandler, Ty Lawson, Kenneth Faried","Miller, Brewer, Chandler, Lawson, Faried",1889-201147-201163-201951-202702,DEN,498.0,4,8.0,16.0,15.0,3.0,31,2.0,4.0,5.0,4.0,1.0,3.0,13.0,2.0,15.0,20.0,1.0,2.0,1.0,2.0,1.0,5.0,3.0,2.0,3.0,5.0,3.0,8.0,5.0,,8.0,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.3,0.4166666666666667,0.13333333333333333,0.75,0.3,0.5,0.625,0.2727272727272727,0.25,1.0,0.5,,89.63855421686746,18.1875,13.8,16.9375,12.333333333333334,0.26666666666666666,0.5,0.6666666666666666,0.5,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.4,0.4730566666666667,0.676175,10.523076923076925,24.0,-5.0,9.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,6.0,2.0,7.0,2.0,8.0,1.0,1.0,4.0,11.0,4.0,3.0,1.0,,1.0,,1.0,,,1.0,3.0,6.0,1.0,,1.0,,1.0,,11.0,9.0,1.0,0.5,1.0,0.5,0.25,0.3888888888888889,1.1666666666666667,0.5,,0.5,1.0,,0.2,0.2,,1.0,1.0,1.0,0.06666666666666667,,,,0.1111111111111111,1.0,,,,0.49147222222222225,0.0625,0.07142857142857142,,0.4666666666666667,0.7333333333333333,0.5625,,,1.0,,,1.0,1.0,,1.0,1.0,,0.07692307692307693,0.25,,,,,,,1.0,1.0,,,1.0,0.5,2.0,2.0,,,1.0,,,,,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.25,0.5,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2013,2012-13,True
1889-201147-201163-201951-2738,1610612743,"Andre Miller, Corey Brewer, Wilson Chandler, Ty Lawson, Andre Iguodala","Miller, Brewer, Chandler, Lawson, Iguodala",1889-201147-201163-201951-2738,DEN,228.0,2,4.0,6.0,10.0,,16,4.0,4.0,,1.0,,5.0,5.0,1.0,10.0,8.0,,6.0,3.0,3.0,3.0,6.0,,2.0,2.0,4.0,,4.0,1.0,,10.0,0.6,0.6,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0,,0.6666666666666666,0.8,,,1.0,,1.0,101.05263157894737,19.5,11.1,19.5,10.6,0.6666666666666666,1.0,1.0,0.75,,0.16666666666666666,,0.8333333333333334,0.5452583333333333,,4.2,25.6,2.0,,10.0,,,,,,1.0,,,,,,,,,,,,,4.0,,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2013,2012-13,True
1889-201147-201163-202702-2738,1610612743,"Andre Miller, Corey Brewer, Wilson Chandler, Kenneth Faried, Andre Iguodala","Miller, Brewer, Chandler, Faried, Iguodala",1889-201147-201163-202702-2738,DEN,19.0,1,,1.0,1.0,,2,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.57894736842107,1.0,18.0,1.0,18.0,,,,,,,,,,,,,-2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2013,2012-13,True
1889-201147-201163-202933-2738,1610612743,"Andre Miller, Corey Brewer, Wilson Chandler, Julyan Stone, Andre Iguodala","Miller, Brewer, Chandler, Stone, Iguodala",1889-201147-201163-202933-2738,DEN,17.0,1,,1.0,,1.0,1,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.70588235294117,17.0,,,,,,,,,1.0,,,0.2337,0.2337,18.1,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2337,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2013,2012-13,True
1889-201147-201576-201580-201951,1610612743,"Andre Miller, Corey Brewer, Anthony Randolph, JaVale McGee, Ty Lawson","Miller, Brewer, Randolph, McGee, Lawson",1889-201147-201576-201580-201951,DEN,178.0,1,3.0,6.0,6.0,,12,2.0,2.0,,1.0,,3.0,3.0,2.0,13.0,7.0,,6.0,3.0,4.0,2.0,9.0,,1.0,2.0,3.0,,3.0,1.0,,13.0,1.0,1.0,1.0,1.2,1.0833333333333333,0.4,1.0,,1.0,1.0,,,,1.0,,97.07865168539325,11.0,18.666666666666668,11.0,18.666666666666668,0.4,1.0,1.0,1.0,,0.2,,0.8,0.58728,,6.3,25.6,6.0,,,,,,,2.0,2.0,,,2.0,1.0,,,,,,,,,,3.0,2.0,2.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,,,,,0.5,1.0,,1.0,,,,,,,1.0,,,,,,,,0.4,1.0,1.0,0.5,,,,,1.0,,0.16666666666666666,0.25,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2013,2012-13,True
