EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGA,OffTwoPtRebounds,OffRebounds,SelfOReb,DeadBallTurnovers,SecondChanceTurnovers,Charge Fouls,NonShootingPenaltyNonTakeFouls,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,SelfORebPct,LongMidRangeFrequency,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3A,OffThreePtRebounds,BadPassSteals,PenaltyTurnovers,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,PenaltyArc3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted3s,PtsPutbacks,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffArc3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,BlockingFoulsDrawn,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG3M,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,LostBallTurnovers,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,SecondChanceFg3Pct,PenaltyFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,BadPassOutOfBoundsTurnovers,OffShortMidRangeReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FTOffRebounds,Loose Ball Fouls Drawn,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,BlockedShortMidRange,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,Fg3aBlocked,Travels,BlockingFouls,BlockedLongMidRange,OffensiveGoaltends,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveAttempts,Blocked3s,BlockedCorner3,DefensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,BlockedArc3,Corner3PctBlocked,team_id,year,season,team_vs
101153-1905-200811-200826-202419,1610612750,"Mickael Gelabale, Andrei Kirilenko, Lou Amundson, J.J. Barea, Chris Johnson","Gelabale, Kirilenko, Amundson, Barea, Johnson",101153-1905-200811-200826-202419,MIN,256.0,1,4.0,7.0,8.0,9.0,2.0,6.0,17.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,13.0,6.0,1.0,1.0,2.0,4.0,2.0,2.0,6.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,13.0,4.0,2.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.8333333333333334,1.0,0.9285714285714286,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.5,0.6,1.0,0.5,0.5,95.625,11.125,18.555555555555557,11.125,17.666666666666668,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.60735,0.62,0.2857142857142857,0.6666666666666666,0.3076923076923077,1.05,24.925,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2013,2012-13,True
101153-1905-200811-200826-2557,1610612750,"Mickael Gelabale, Andrei Kirilenko, Lou Amundson, J.J. Barea, Luke Ridnour","Gelabale, Kirilenko, Amundson, Barea, Ridnour",101153-1905-200811-200826-2557,MIN,38.0,1,1.0,-1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.89473684210527,30.0,,27.0,,,,,,,,,,,,,,,,,,0.3285,,,,,23.2,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2013,2012-13,True
101153-1905-200826-201880-201967,1610612750,"Mickael Gelabale, Andrei Kirilenko, J.J. Barea, Greg Stiemsma, Dante Cunningham","Gelabale, Kirilenko, Barea, Stiemsma, Cunningham",101153-1905-200826-201880-201967,MIN,309.0,2,5.0,1.0,12.0,12.0,9.0,12.0,24.0,1.0,1.0,1.0,1.0,,1.0,,2.0,4.0,5.0,,3.0,4.0,12.0,11.0,3.0,4.0,4.0,10.0,,8.0,,2.0,,,,,,,,,,1.0,1.0,2.0,3.0,2.0,,1.0,1.0,3.0,2.0,5.0,4.0,4.0,,,12.0,10.0,9.0,,,,,,0.8,0.75,0.5,0.6,0.6,0.7142857142857143,0.375,0.3333333333333333,1.0,0.5,,0.5,,1.0,,111.84466019417475,13.416666666666666,12.333333333333334,12.916666666666666,12.333333333333334,0.125,1.0,1.0,,0.125,,,,0.25,,,,0.2,1.0,0.5,,0.4971125,0.48554,,,0.8333333333333334,10.26,25.633333333333336,0.75,1.0,2.0,,1.0,,2.0,,,1.0,,0.25,,,0.25,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.3333333333333333,1.0,0.25,1.0,1.0,0.5,0.5,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2013,2012-13,True
101153-1905-200826-201880-202419,1610612750,"Mickael Gelabale, Andrei Kirilenko, J.J. Barea, Greg Stiemsma, Chris Johnson","Gelabale, Kirilenko, Barea, Stiemsma, Johnson",101153-1905-200826-201880-202419,MIN,221.0,1,4.0,6.0,8.0,7.0,,,15.0,3.0,4.0,,,,,1.0,2.0,3.0,5.0,1.0,2.0,1.0,10.0,4.0,,,,,2.0,4.0,,2.0,1.0,1.0,,1.0,,,1.0,2.0,1.0,3.0,,4.0,5.0,1.0,1.0,,,1.0,,3.0,1.0,2.0,,1.0,8.0,,,0.3333333333333333,0.5,,0.5,0.5,0.6,,0.6428571428571429,,0.625,,0.2857142857142857,,,1.0,1.0,1.0,,1.0,1.0,97.73755656108598,11.5,18.428571428571427,11.375,18.428571428571427,0.5714285714285714,0.75,0.75,0.3333333333333333,,,,,0.2857142857142857,0.5,0.5,,,,0.8571428571428571,0.5,0.5767071428571429,,0.125,0.16666666666666666,,3.2,25.65,,1.0,,,1.0,,1.0,,1.0,,,0.3333333333333333,,,,,1.0,,,,,,1.0,,,,,,1.0,,0.14285714285714285,,,,,,,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2013,2012-13,True
101153-1905-200826-201937-201967,1610612750,"Mickael Gelabale, Andrei Kirilenko, J.J. Barea, Ricky Rubio, Dante Cunningham","Gelabale, Kirilenko, Barea, Rubio, Cunningham",101153-1905-200826-201937-201967,MIN,133.0,1,2.0,1.0,4.0,4.0,3.0,4.0,8.0,4.0,4.0,3.0,3.0,,,,,4.0,4.0,,,,8.0,7.0,3.0,3.0,,6.0,6.0,2.0,,,,3.0,,3.0,,,3.0,6.0,,,,,,1.0,1.0,,,,,,1.0,,,,8.0,6.0,3.0,0.75,0.75,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,86.61654135338345,13.75,19.5,13.75,18.75,1.0,1.0,1.0,0.75,,,,,,,,,1.0,1.0,1.0,,0.709675,0.7206333333333333,,,0.75,1.175,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2013,2012-13,True
101153-1905-200826-201967-202419,1610612750,"Mickael Gelabale, Andrei Kirilenko, J.J. Barea, Dante Cunningham, Chris Johnson","Gelabale, Kirilenko, Barea, Cunningham, Johnson",101153-1905-200826-201967-202419,MIN,1177.0,4,20.0,,34.0,36.0,9.0,6.0,70.0,5.0,12.0,,1.0,,2.0,4.0,7.0,11.0,27.0,4.0,9.0,4.0,38.0,38.0,1.0,5.0,1.0,6.0,18.0,4.0,6.0,7.0,4.0,9.0,2.0,11.0,2.0,,4.0,24.0,4.0,6.0,,10.0,19.0,2.0,1.0,2.0,,5.0,1.0,6.0,11.0,5.0,1.0,2.0,29.0,6.0,9.0,0.8181818181818182,0.8181818181818182,0.5,0.4444444444444444,0.4444444444444444,0.4074074074074074,0.2,0.4722222222222222,0.3125,0.5,0.3333333333333333,0.25,0.4,,0.5454545454545454,0.8,0.625,0.25,0.75,0.75,85.64146134239591,18.08823529411765,15.61111111111111,16.676470588235293,14.555555555555555,0.3333333333333333,0.4166666666666667,0.625,0.8,0.05555555555555555,,,,0.19444444444444445,0.5714285714285714,0.5714285714285714,0.5,0.125,,0.5833333333333334,0.5714285714285714,0.4932402777777778,0.48314375,0.05405405405405406,0.07142857142857142,0.15789473684210525,9.985185185185186,24.833333333333332,0.2647058823529412,7.0,12.0,8.0,9.0,1.0,3.0,1.0,,,0.5,0.42857142857142855,0.14285714285714285,0.0625,0.3333333333333333,1.0,3.0,5.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2,,0.08333333333333333,0.3333333333333333,0.5,0.4166666666666667,0.4166666666666667,0.25,0.25,1.0,3.0,1.0,6.0,9.0,6.0,,,1.0,1.0,1.0,,0.16666666666666666,0.5,0.5625,0.3333333333333333,0.6666666666666666,,0.375,0.3333333333333333,0.23684210526315788,,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,2.0,1.0,2.0,1.0,0.3333333333333333,0.18518518518518517,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.8,1.0,1.0,0.5,0.125,0.5,0.4773071428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2013,2012-13,True
101153-1905-200826-201967-202682,1610612750,"Mickael Gelabale, Andrei Kirilenko, J.J. Barea, Dante Cunningham, Derrick Williams","Gelabale, Kirilenko, Barea, Cunningham, Williams",101153-1905-200826-201967-202682,MIN,90.0,1,2.0,-3.0,2.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,,,,2.0,5.0,1.0,2.0,,2.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,,,,,,2.0,1.0,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,80.0,18.0,18.0,17.5,18.0,0.5,1.0,1.0,,,,,,,,,,0.5,1.0,0.5,,0.4878,0.4878,,,1.0,3.1,,0.5,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,1.0,1.0,1.0,1.0,2.0,,2.0,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6007,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2013,2012-13,True
101153-1905-200826-202419-2557,1610612750,"Mickael Gelabale, Andrei Kirilenko, J.J. Barea, Chris Johnson, Luke Ridnour","Gelabale, Kirilenko, Barea, Johnson, Ridnour",101153-1905-200826-202419-2557,MIN,84.0,1,1.0,-4.0,3.0,2.0,,,5.0,,1.0,,,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.71428571428572,19.666666666666668,12.5,19.666666666666668,11.5,0.5,,,,,,,,,,,,,,0.5,,0.547,,,,,5.9,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.5,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2013,2012-13,True
101153-1905-201880-201937-201967,1610612750,"Mickael Gelabale, Andrei Kirilenko, Greg Stiemsma, Ricky Rubio, Dante Cunningham","Gelabale, Kirilenko, Stiemsma, Rubio, Cunningham",101153-1905-201880-201937-201967,MIN,28.0,1,,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,2.0,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.0,2.0,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,102.85714285714286,11.0,17.0,11.0,17.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2013,2012-13,True
101153-1905-201880-202682-203144,1610612750,"Mickael Gelabale, Andrei Kirilenko, Greg Stiemsma, Derrick Williams, Alexey Shved","Gelabale, Kirilenko, Stiemsma, Williams, Shved",101153-1905-201880-202682-203144,MIN,57.0,1,1.0,-1.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,,1.0,1.0,,,,2.0,3.0,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,101.05263157894737,21.0,7.5,21.0,7.5,,,,,,,,,,,,,,,,,0.3137,0.3137,,,1.0,20.2,,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2013,2012-13,True
