EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,FtPoints,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted2s,PtsAssisted3s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,BadPassTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChancePoints,PtsPutbacks,FTDefRebounds,Steals,BadPassSteals,Loose Ball Fouls Drawn,Technical Free Throw Trips,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,DefFTReboundPct,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChancePointsPct,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,SecondChanceFtPoints,BlockingFouls,Charge Fouls Drawn,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,ShortMidRangeAssists,LostBallSteals,StepOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls Drawn,BlockedLongMidRange,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,Travels,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,LongMidRangePctBlocked,SelfOReb,SelfORebPct,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
101128-201166-201600-201935-201976,1610612745,"Francisco Garcia, Aaron Brooks, Omer Asik, James Harden, Patrick Beverley","Garcia, Brooks, Asik, Harden, Beverley",101128-201166-201600-201935-201976,HOU,129.0,1,2.0,5.0,4.0,4.0,2.0,2.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,7.0,5.0,2.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.875,1.25,0.875,1.25,0.25,1.0,1.0,1.0,1.0,89.30232558139535,12.0,20.25,12.0,20.25,0.5,0.5,0.5,0.25,1.0,1.0,0.25,1.0,1.0,0.5,1.0,0.25,1.0,0.4159625,0.440525,0.7142857142857143,11.033333333333333,24.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2013,2012-13,False
101128-201166-201600-201935-202718,1610612745,"Francisco Garcia, Aaron Brooks, Omer Asik, James Harden, Chandler Parsons","Garcia, Brooks, Asik, Harden, Parsons",101128-201166-201600-201935-202718,HOU,522.0,4,9.0,,14.0,14.0,,2.0,28.0,,1.0,1.0,2.0,1.0,4.0,,,6.0,11.0,2.0,5.0,20.0,20.0,,,,,,6.0,,4.0,1.0,3.0,5.0,9.0,3.0,2.0,20.0,,,0.4,,0.4,0.5454545454545454,,0.5625,,0.5882352941176471,,0.3125,0.6,0.625,,1.0,77.24137931034484,19.714285714285715,17.571428571428573,16.857142857142858,17.357142857142858,0.0625,,,0.125,0.5,0.5,0.25,0.25,0.25,,,0.8125,0.25,0.517471875,,,5.790909090909091,24.94,,4.0,5.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,6.0,2.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,12.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,0.5,0.5,1.0,0.18181818181818182,0.25,0.5,0.6,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,0.5,0.625,0.8333333333333334,0.4,1.0,0.0625,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.52945,0.11764705882352941,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2013,2012-13,False
101128-201166-201600-201976-2568,1610612745,"Francisco Garcia, Aaron Brooks, Omer Asik, Patrick Beverley, Carlos Delfino","Garcia, Brooks, Asik, Beverley, Delfino",101128-201166-201600-201976-2568,HOU,263.0,1,4.0,1.0,9.0,8.0,,,17.0,,1.0,,1.0,1.0,1.0,,,1.0,3.0,1.0,1.0,7.0,6.0,,,,,,,,1.0,1.0,3.0,4.0,4.0,4.0,2.0,7.0,,,1.0,,1.0,0.3333333333333333,,0.625,,0.7,,0.25,0.75,0.6666666666666666,1.0,,93.07984790874524,12.555555555555555,18.75,12.555555555555555,17.375,0.25,,,0.25,,,0.25,1.0,1.0,,,0.5,1.0,0.4989,,,9.466666666666667,27.8,,,1.0,1.0,,,,,2.0,,,2.0,3.0,,1.0,1.0,2.0,1.0,,1.0,,5.0,,,1.0,,2.0,1.0,2.0,1.0,4.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,,,0.5,,0.5,,,,,,,,0.25,1.0,1.0,1.0,,,,,,1.0,,,,0.2,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2013,2012-13,False
101128-201166-201600-202718-2568,1610612745,"Francisco Garcia, Aaron Brooks, Omer Asik, Chandler Parsons, Carlos Delfino","Garcia, Brooks, Asik, Parsons, Delfino",101128-201166-201600-202718-2568,HOU,97.0,1,2.0,-1.0,3.0,3.0,,,6.0,,,,,,1.0,,,1.0,1.0,,2.0,2.0,3.0,,,,,,,,1.0,,,1.0,1.0,1.0,,2.0,,,,,,1.0,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,,0.5,,,89.0721649484536,12.666666666666666,19.666666666666668,12.666666666666666,18.0,,,,,,,0.3333333333333333,,,,,1.0,,0.5962,,,1.7,24.05,,,1.0,1.0,,,1.0,,,,,2.0,,,1.0,,1.0,,,1.0,,2.0,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2013,2012-13,False
101128-201166-201935-201976-202962,1610612745,"Francisco Garcia, Aaron Brooks, James Harden, Patrick Beverley, Greg Smith","Garcia, Brooks, Harden, Beverley, Smith",101128-201166-201935-201976-202962,HOU,67.0,1,1.0,2.0,2.0,1.0,2.0,1.0,3.0,,,1.0,1.0,,,,,1.0,1.0,,,4.0,2.0,1.0,1.0,,,4.0,2.0,,,,,,,,1.0,4.0,4.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,64.4776119402985,23.0,21.0,23.0,21.0,,,,1.0,1.0,1.0,,,,,,,,0.3801,0.3801,1.0,14.5,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2013,2012-13,False
101128-201166-201935-202718-203093,1610612745,"Francisco Garcia, Aaron Brooks, James Harden, Chandler Parsons, Terrence Jones","Garcia, Brooks, Harden, Parsons, Jones",101128-201166-201935-202718-203093,HOU,488.0,1,8.0,9.0,17.0,17.0,4.0,12.0,34.0,1.0,4.0,1.0,2.0,2.0,3.0,,,6.0,11.0,3.0,6.0,25.0,16.0,2.0,3.0,,1.0,5.0,6.0,,3.0,2.0,3.0,7.0,10.0,4.0,3.0,20.0,5.0,4.0,0.5,,0.5,0.5454545454545454,0.6666666666666666,0.6176470588235294,0.5,0.631578947368421,0.5,0.35294117647058826,1.0,0.8571428571428571,1.0,,100.32786885245902,12.705882352941176,16.0,12.0,16.0,0.23529411764705882,0.25,0.3333333333333333,0.11764705882352941,0.5,0.5,0.17647058823529413,0.6666666666666666,0.6666666666666666,,,0.6470588235294118,0.6666666666666666,0.5286235294117647,0.5876375,0.2,7.172727272727273,24.183333333333334,0.23529411764705882,3.0,4.0,5.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,6.0,9.0,2.0,3.0,3.0,6.0,2.0,1.0,2.0,1.0,15.0,1.0,2.0,3.0,3.0,1.0,,,,1.0,,3.0,,5.0,,2.0,0.5,0.6,1.0,0.18181818181818182,0.2,1.0,0.4,0.75,0.3333333333333333,0.375,,0.6666666666666666,,1.0,0.75,0.29411764705882354,0.8,1.0,0.5,1.0,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6169166666666667,0.10526315789473684,0.15384615384615385,1.0,,2.0,,2.0,2.0,1.0,,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.25,1.0,0.5,1.0,1.0,0.5,1.0,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2013,2012-13,False
101128-201166-201935-202962-2568,1610612745,"Francisco Garcia, Aaron Brooks, James Harden, Greg Smith, Carlos Delfino","Garcia, Brooks, Harden, Smith, Delfino",101128-201166-201935-202962-2568,HOU,91.0,1,2.0,-3.0,4.0,4.0,,4.0,8.0,,,,,,1.0,,,,,,1.0,1.0,4.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.25,,1.0,1.0,1.0,,1.0,126.5934065934066,9.25,13.5,9.25,13.5,,,,,,,1.0,,,,,1.0,,0.54465,,,,24.7,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2013,2012-13,False
101128-201166-201976-202341-203093,1610612745,"Francisco Garcia, Aaron Brooks, Patrick Beverley, James Anderson, Terrence Jones","Garcia, Brooks, Beverley, Anderson, Jones",101128-201166-201976-202341-203093,HOU,208.0,1,3.0,,6.0,6.0,,4.0,12.0,1.0,2.0,,,1.0,2.0,,,2.0,4.0,1.0,3.0,7.0,7.0,,,,,,4.0,,2.0,1.0,2.0,3.0,4.0,2.0,,4.0,,,0.3333333333333333,,0.3333333333333333,0.5,,0.5,,0.5,,0.42857142857142855,0.6666666666666666,0.75,0.5,,83.07692307692308,14.0,20.666666666666668,13.333333333333334,20.5,0.2857142857142857,0.5,0.5,,,,0.2857142857142857,0.5,0.5,,,0.7142857142857143,0.5,0.5428928571428572,,,5.1,24.0,,1.0,1.0,2.0,,,1.0,1.0,,,1.0,,3.0,1.0,,1.0,1.0,1.0,,,,3.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,0.25,0.5,,,1.0,0.5,0.25,,,,,1.0,0.2857142857142857,0.5,1.0,,,0.14285714285714285,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,3.0,,,,,,,,,1.0,,1.5,1.5,,,,1.0,1.0,,,,0.42857142857142855,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2013,2012-13,False
101128-201166-201976-202718-202962,1610612745,"Francisco Garcia, Aaron Brooks, Patrick Beverley, Chandler Parsons, Greg Smith","Garcia, Brooks, Beverley, Parsons, Smith",101128-201166-201976-202718-202962,HOU,118.0,1,2.0,-9.0,5.0,5.0,4.0,4.0,10.0,,,,,,2.0,,2.0,,,,2.0,2.0,11.0,,,,2.0,2.0,,,2.0,,,,,3.0,1.0,2.0,2.0,4.0,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,122.03389830508475,11.0,12.6,11.0,12.4,,,,,,,1.0,,,1.0,,1.0,,0.522375,0.522375,1.0,,25.3,0.8,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2013,2012-13,False
101128-201166-201976-202962-2568,1610612745,"Francisco Garcia, Aaron Brooks, Patrick Beverley, Greg Smith, Carlos Delfino","Garcia, Brooks, Beverley, Smith, Delfino",101128-201166-201976-202962-2568,HOU,58.0,1,1.0,-1.0,2.0,2.0,2.0,2.0,4.0,,1.0,,,,1.0,,1.0,,2.0,,1.0,1.0,2.0,,2.0,,1.0,1.0,,,1.0,,1.0,1.0,2.0,,,1.0,1.0,2.0,,,,,,,,,,0.3333333333333333,0.5,0.5,1.0,,99.3103448275862,21.0,8.0,16.0,8.0,0.3333333333333333,,,,,,0.3333333333333333,,,0.3333333333333333,,0.6666666666666666,,0.4201166666666667,0.4201166666666667,1.0,3.15,25.4,1.0,1.0,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,0.5,1.0,,0.5,,,0.3333333333333333,1.0,,,,,0.3333333333333333,,,,,,,,,,,,0.2072,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2013,2012-13,False
