EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FG2M,FG2A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,OffRebounds,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Corner3FGM,FG3M,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShortMidRangeFGA,SecondChanceFtPoints,SelfOReb,SecondChanceTurnovers,Loose Ball Fouls Drawn,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,BadPassSteals,BlockingFoulsDrawn,DefTwoPtRebounds,DefTwoPtReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,PtsAssisted2s,TwoPtAssists,AtRimAssists,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3FGA,SecondChanceFG3A,DefensiveGoaltends,SecondChanceArc3Frequency,LongMidRangeFGM,Fg2aBlocked,ShortMidRangeAssists,FG2APctBlocked,ShortMidRangePctBlocked,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,PenaltyFg3Pct,PenaltyArc3Accuracy,FTOffRebounds,OffFTReboundPct,Loose Ball Fouls,BlockedShortMidRange,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,LongMidRangeAssists,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,Travels,Charge Fouls Drawn,2pt And 1 Free Throw Trips,3SecondViolations,SecondChanceFg3Pct,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,OffCorner3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,BlockingFouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Defensive 3 Seconds Violations,team_id,year,season,team_vs
101108-101142-1497-201933-2440,1610612746,"Chris Paul, Ronny Turiaf, Chauncey Billups, Blake Griffin, Matt Barnes","Paul, Turiaf, Billups, Griffin, Barnes",101108-101142-1497-201933-2440,LAC,254.0,1,4.0,-6.0,8.0,8.0,8.0,8.0,16.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,10.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,8.0,2.0,1.0,0.4,0.4,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,90.70866141732283,12.75,19.0,12.75,15.75,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.51315,0.51315,0.25,1.0,1.0,24.766666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-1497-2406-2440,1610612746,"Chris Paul, Ronny Turiaf, Chauncey Billups, Caron Butler, Matt Barnes","Paul, Turiaf, Billups, Butler, Barnes",101108-101142-1497-2406-2440,LAC,45.0,1,1.0,4.0,2.0,1.0,2.0,1.0,3.0,,,,,,2.0,4.0,,,2.0,4.0,,1.0,,1.0,2.0,,,,,,,,,,,,1.0,2.0,,1.0,2.0,4.0,2.0,,1.0,0.6666666666666666,0.6666666666666666,,,,1.0,1.0,1.0,,96.0,11.0,23.0,11.0,23.0,,,,,0.5,0.31455,0.31455,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.3188,0.5,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-1885-202339-2037,1610612746,"Chris Paul, Ronny Turiaf, Lamar Odom, Eric Bledsoe, Jamal Crawford","Paul, Turiaf, Odom, Bledsoe, Crawford",101108-101142-1885-202339-2037,LAC,86.0,1,1.0,-1.0,1.0,2.0,,,3.0,1.0,,,,1.0,,3.0,4.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,3.0,,,,,1.5,,1.0,,,,,,,50.23255813953488,31.0,27.5,31.0,20.5,1.0,,,,1.0,0.573,,,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-1885-2037-2440,1610612746,"Chris Paul, Ronny Turiaf, Lamar Odom, Jamal Crawford, Matt Barnes","Paul, Turiaf, Odom, Crawford, Barnes",101108-101142-1885-2037-2440,LAC,163.0,2,3.0,-4.0,4.0,3.0,2.0,1.0,7.0,,,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,,,2.0,,,1.0,1.0,,,1.0,,,,,2.0,2.0,,1.0,,1.0,2.0,,1.0,0.1,0.125,0.25,1.0,,,,,,61.84049079754601,30.5,13.666666666666666,19.5,10.666666666666666,,0.25,,0.3333333333333333,0.25,0.37455,0.3611333333333333,,,1.0,23.8,0.5,2.0,,,,,,,1.0,,3.0,,1.0,1.0,,2.0,,,2.0,2.0,,,,,,,0.25,0.6666666666666666,0.5,1.0,,,,0.25,,,,,0.2573,1.0,10.733333333333334,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-201599-202339-2037,1610612746,"Chris Paul, Ronny Turiaf, DeAndre Jordan, Eric Bledsoe, Jamal Crawford","Paul, Turiaf, Jordan, Bledsoe, Crawford",101108-101142-201599-202339-2037,LAC,82.0,1,1.0,2.0,2.0,2.0,2.0,2.0,4.0,,,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,2.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,1.0,2.0,,1.0,,2.0,2.0,,1.0,0.3333333333333333,0.3333333333333333,0.5,,,1.0,1.0,1.0,,70.2439024390244,22.0,19.0,11.0,19.0,,0.5,,0.5,0.5,0.507075,0.507075,,,1.0,25.1,1.0,1.0,,,,,,,1.0,,1.0,,,2.0,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,0.5,1.0,,,,0.5,,,,,,1.0,17.0,,,,,,,,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-201599-2037-2440,1610612746,"Chris Paul, Ronny Turiaf, DeAndre Jordan, Jamal Crawford, Matt Barnes","Paul, Turiaf, Jordan, Crawford, Barnes",101108-101142-201599-2037-2440,LAC,253.0,1,4.0,1.0,8.0,7.0,5.0,1.0,15.0,,,2.0,2.0,2.0,3.0,7.0,6.0,2.0,3.0,3.0,2.0,,,4.0,7.0,,,,,,,,,,1.0,,3.0,4.0,,2.0,5.0,3.0,5.0,,2.0,0.35,0.25,0.25,,,,0.6666666666666666,,,85.37549407114625,14.375,19.714285714285715,12.0,18.571428571428573,,0.25,,0.5,0.75,0.51291875,0.4756125,,,0.42857142857142855,26.65,0.625,2.0,2.0,4.0,1.0,3.0,,1.0,,2.0,6.0,1.0,3.0,2.0,,2.0,4.0,2.0,3.0,3.0,0.3333333333333333,0.3333333333333333,,0.25,0.3333333333333333,,0.3333333333333333,0.75,0.5,,0.5,0.5,0.5,,1.0,0.3333333333333333,0.25,,0.5940333333333333,0.2857142857142857,3.6166666666666667,,,,,,,,,,,,,,2.0,,2.0,,1.0,1.0,0.3333333333333333,0.25,,,4.0,0.8,0.5,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-201933-202339-2440,1610612746,"Chris Paul, Ronny Turiaf, Blake Griffin, Eric Bledsoe, Matt Barnes","Paul, Turiaf, Griffin, Bledsoe, Barnes",101108-101142-201933-202339-2440,LAC,96.0,1,2.0,-1.0,3.0,3.0,3.0,,6.0,,,1.0,1.0,1.0,,2.0,3.0,1.0,,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,2.0,2.0,3.0,,,0.5,0.5,0.5,1.0,,,1.0,,,90.0,15.0,17.0,15.0,17.0,,0.5,,0.5,1.0,0.604225,0.604225,,,1.0,25.5,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,1.0,0.5,,0.5,,,,,0.5,1.0,1.0,,,,0.5,1.0,,,0.6,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-201933-2037-2406,1610612746,"Chris Paul, Ronny Turiaf, Blake Griffin, Jamal Crawford, Caron Butler","Paul, Turiaf, Griffin, Crawford, Butler",101108-101142-201933-2037-2406,LAC,139.0,2,2.0,-2.0,5.0,6.0,4.0,2.0,11.0,,,,,,,6.0,8.0,,,6.0,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,3.0,3.0,,,,,,6.0,6.0,4.0,,,0.75,1.0,,1.0,,,0.3333333333333333,,,113.95683453237409,13.2,12.166666666666666,10.8,11.833333333333334,,,,,0.5,0.400825,0.40503333333333336,,,1.0,,0.8,1.0,2.0,2.0,,,2.0,2.0,,3.0,4.0,,1.0,,3.0,3.0,4.0,,,,0.75,,1.0,0.75,,1.0,,,,,0.5,1.0,1.0,,,,0.6666666666666666,1.0,0.3882,,5.15,,,,,1.0,,2.0,,,,,,,2.0,,,,,,,0.5,1.0,,1.0,0.3333333333333333,,,1.0,2.0,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,,,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-201933-2037-2440,1610612746,"Chris Paul, Ronny Turiaf, Blake Griffin, Jamal Crawford, Matt Barnes","Paul, Turiaf, Griffin, Crawford, Barnes",101108-101142-201933-2037-2440,LAC,265.0,2,4.0,-7.0,7.0,8.0,4.0,6.0,15.0,1.0,1.0,2.0,1.0,3.0,,4.0,11.0,2.0,,2.0,2.0,,,1.0,2.0,,,1.0,1.0,,,1.0,1.0,2.0,4.0,,,,,,4.0,2.0,4.0,1.0,,0.2857142857142857,0.3333333333333333,0.42857142857142855,1.0,,,0.5,,,81.50943396226414,21.714285714285715,14.125,18.285714285714285,14.125,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.5228571428571429,0.5719666666666666,,,0.5,25.0,0.5714285714285714,1.0,2.0,2.0,,,1.0,1.0,2.0,2.0,4.0,,,,1.0,1.0,,,1.0,1.0,0.5,,1.0,0.2857142857142857,,0.3333333333333333,,0.5,0.2,0.5,0.2857142857142857,1.0,1.0,0.2857142857142857,,,0.3333333333333333,1.0,0.4266,,9.275,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,1.0,0.5,,1.0,,4.0,2.0,2.0,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-202339-2037-2440,1610612746,"Chris Paul, Ronny Turiaf, Eric Bledsoe, Jamal Crawford, Matt Barnes","Paul, Turiaf, Bledsoe, Crawford, Barnes",101108-101142-202339-2037-2440,LAC,178.0,1,3.0,-2.0,4.0,4.0,3.0,,8.0,1.0,1.0,,,1.0,,4.0,6.0,1.0,,4.0,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,2.0,4.0,3.0,,,0.4,0.4,0.2,,,,,,,64.71910112359551,14.75,29.75,13.25,23.25,0.2,,0.2,,1.0,0.58888,0.58888,,,1.0,22.8,0.75,1.0,2.0,4.0,1.0,2.0,2.0,4.0,,2.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,0.5,0.5,0.5,0.4,0.5,0.4,0.5,1.0,0.6666666666666666,,0.8,0.5,0.5,,1.0,0.5,0.8,0.5,0.5888,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
