EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctBlocked,SecondChanceArc3FGA,BlockingFouls,SecondChanceArc3Frequency,Blocked3s,BlockedCorner3,BlockedShortMidRange,PenaltyArc3FGM,FTOffRebounds,SelfOReb,Travels,SecondChanceTurnovers,Clear Path Fouls,Loose Ball Fouls,ThreePtShootingFoulsDrawn,AtRimPctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,HeaveAttempts,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,DefensiveGoaltends,team_id,year,season,team_vs
200757-201142-201566-201586-2570,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Kendrick Perkins","Sefolosha, Durant, Westbrook, Ibaka, Perkins",200757-201142-201566-201586-2570,OKC,2313.0,2,39.0,30.0,80.0,79.0,20.0,12.0,9.0,159.0,17.0,22.0,2.0,2.0,7.0,8.0,6.0,11.0,5.0,17.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,16.0,2.0,28.0,50.0,6.0,21.0,16.0,90.0,60.0,5.0,8.0,1.0,1.0,3.0,16.0,11.0,13.0,1.0,3.0,4.0,29.0,34.0,22.0,12.0,6.0,4.0,16.0,4.0,1.0,17.0,4.0,21.0,2.0,2.0,11.0,2.0,4.0,46.0,4.0,6.0,10.0,20.0,1.0,31.0,10.0,41.0,11.0,5.0,6.0,6.0,2.0,5.0,1.0,4.0,11.0,5.0,10.0,20.0,1.0,2.0,20.0,1.0,3.0,1.0,1.0,18.0,1.0,1.0,9.0,9.0,8.0,1.0,9.0,7.0,1.0,1.0,74.0,29.0,20.0,2.0,0.6071428571428571,0.6538461538461539,0.6666666666666666,0.2857142857142857,1.0,0.3333333333333333,0.2857142857142857,0.56,0.625,0.8461538461538461,0.5211267605633803,0.7222222222222222,0.78125,0.5632911392405063,0.8,0.7777777777777778,0.29577464788732394,0.02,0.09090909090909091,0.5454545454545454,1.0,0.7407407407407407,0.2727272727272727,0.7692307692307693,0.26666666666666666,0.75,0.2702702702702703,0.2,0.4,0.25,0.3333333333333333,0.7647058823529411,0.6666666666666666,0.7142857142857143,0.8181818181818182,0.5,98.98832684824903,0.7777777777777778,14.6875,14.405063291139241,13.8125,13.518987341772151,0.30985915492957744,0.7727272727272727,0.7727272727272727,0.6470588235294118,0.15492957746478872,0.5454545454545454,0.6,0.3333333333333333,0.23943661971830985,0.29411764705882354,0.29411764705882354,0.8,0.07042253521126761,0.4,0.4,1.0,0.22535211267605634,0.25,0.25,0.5,0.2222222222222222,1.0,0.1111111111111111,1.0,1.0,0.5,0.875,0.0625,1.0,0.125,0.6056338028169014,0.25,0.5341739436619718,0.47021428571428575,0.596278125,0.11392405063291139,0.15517241379310345,0.17777777777777778,0.32222222222222224,8.77,24.214285714285715,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-201142-201566-201586-2755,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Kevin Martin","Sefolosha, Durant, Westbrook, Ibaka, Martin",200757-201142-201566-201586-2755,OKC,477.0,2,8.0,-4.0,19.0,17.0,10.0,2.0,2.0,36.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,,,,,,,1.0,5.0,2.0,5.0,9.0,1.0,5.0,6.0,19.0,23.0,1.0,1.0,,,2.0,4.0,4.0,6.0,,2.0,6.0,14.0,4.0,6.0,3.0,,2.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,,,1.0,1.0,7.0,2.0,,3.0,2.0,1.0,6.0,2.0,8.0,1.0,,1.0,,,3.0,1.0,,3.0,,3.0,4.0,,,6.0,,1.0,,,9.0,,1.0,,1.0,1.0,,1.0,,,,15.0,12.0,8.0,,0.4,0.5,1.0,0.2,,,0.2,0.5555555555555556,1.0,0.6666666666666666,0.4642857142857143,1.0,0.5,0.5277777777777778,1.0,0.5833333333333334,0.35714285714285715,0.1111111111111111,,,1.0,0.6666666666666666,,0.6,0.5,0.625,0.25,,,,0.5,0.5,,1.0,0.5,1.0,108.67924528301887,,13.0,13.529411764705882,13.0,12.058823529411764,0.2857142857142857,0.5,0.5,,0.14285714285714285,1.0,1.0,0.5,0.21428571428571427,0.3333333333333333,0.5,1.0,,,,,0.35714285714285715,0.2,0.2,1.0,1.0,1.0,,,,0.25,0.5,,,0.25,0.6428571428571429,0.2,0.5266678571428571,,0.5048875,,,0.21052631578947367,0.7368421052631579,8.266666666666667,24.5,0.5263157894736842,1.0,1.0,4.0,2.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-201142-201566-2555-2755,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Nick Collison, Kevin Martin","Sefolosha, Durant, Westbrook, Collison, Martin",200757-201142-201566-2555-2755,OKC,16.0,1,,-2.0,1.0,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,6.0,10.0,6.0,10.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.4721,,,,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-201142-201566-2570-2755,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Kendrick Perkins, Kevin Martin","Sefolosha, Durant, Westbrook, Perkins, Martin",200757-201142-201566-2570-2755,OKC,129.0,1,2.0,-1.0,4.0,4.0,4.0,,1.0,8.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,1.0,,2.0,2.0,1.0,1.0,,3.0,2.0,4.0,5.0,,,,1.0,,,1.0,1.0,,3.0,2.0,4.0,,2.0,,,,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,2.0,1.0,3.0,,,,,,,,,,,,1.0,,,2.0,,,,,3.0,1.0,,2.0,,,,,,,,4.0,4.0,4.0,,,,,,,,,1.0,,1.0,0.25,,0.25,0.4,,0.4,0.75,,,,,0.5,,0.5,0.3333333333333333,0.5,0.3333333333333333,,,,0.5,0.5,,,0.5,,89.30232558139535,,16.5,15.75,14.5,15.0,0.25,1.0,1.0,,,,,,,,,,0.25,,,,0.5,,,,,,,,,0.25,1.0,0.25,,0.5,1.0,,0.5734125,,0.5734125,0.4,1.0,,1.0,1.9,23.96666666666667,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-201142-201586-202704-202732,1610612760,"Thabo Sefolosha, Kevin Durant, Serge Ibaka, Reggie Jackson, DeAndre Liggins","Sefolosha, Durant, Ibaka, Jackson, Liggins",200757-201142-201586-202704-202732,OKC,663.0,3,11.0,-7.0,20.0,19.0,4.0,,1.0,39.0,,,,,,,,3.0,5.0,7.0,1.0,2.0,,,,,,1.0,,5.0,10.0,1.0,3.0,4.0,17.0,24.0,,,,,1.0,1.0,1.0,3.0,,,,2.0,2.0,8.0,3.0,,,1.0,,1.0,1.0,1.0,2.0,,1.0,,,1.0,5.0,,1.0,4.0,2.0,1.0,7.0,1.0,8.0,1.0,,1.0,4.0,3.0,2.0,1.0,1.0,6.0,1.0,3.0,3.0,,,5.0,,,,1.0,5.0,1.0,,3.0,3.0,1.0,,4.0,,,,16.0,2.0,4.0,,0.2,0.2,1.0,0.3333333333333333,,,0.3333333333333333,0.5,,0.3333333333333333,0.5,,0.3333333333333333,0.5666666666666667,0.5,0.3333333333333333,0.23076923076923078,0.1,0.3333333333333333,0.6666666666666666,1.0,0.25,0.25,1.0,,0.5,0.16666666666666666,,0.5,,,0.5,0.2,,1.0,1.0,84.70588235294117,,17.95,16.0,17.85,13.789473684210526,,,,,0.23076923076923078,,,,0.5384615384615384,0.7142857142857143,0.7142857142857143,0.2,0.15384615384615385,0.5,0.5,1.0,0.07692307692307693,,,,,,,,,,,,,,0.23076923076923078,,0.4117423076923077,,0.3819666666666666,0.2,0.25,0.058823529411764705,0.11764705882352941,14.95,23.733333333333334,0.2,,1.0,,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-201142-201586-202704-2555,1610612760,"Thabo Sefolosha, Kevin Durant, Serge Ibaka, Reggie Jackson, Nick Collison","Sefolosha, Durant, Ibaka, Jackson, Collison",200757-201142-201586-202704-2555,OKC,192.0,1,3.0,-5.0,5.0,6.0,2.0,3.0,,11.0,,,,,,,,1.0,1.0,2.0,,,,,,,,,,1.0,3.0,,,4.0,6.0,11.0,,,,,,,,1.0,,,2.0,2.0,2.0,,,,,,,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,2.0,4.0,,,3.0,,1.0,,,4.0,,,1.0,,,,,,,,6.0,2.0,2.0,1.0,1.0,1.0,,,,,,0.3333333333333333,,,0.3333333333333333,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,82.5,,14.2,20.166666666666668,14.2,17.5,,,,,0.3333333333333333,,,,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,0.3687666666666667,,0.3119,0.25,0.25,,0.3333333333333333,17.866666666666667,,0.4,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
200757-201142-201586-202704-2570,1610612760,"Thabo Sefolosha, Kevin Durant, Serge Ibaka, Reggie Jackson, Kendrick Perkins","Sefolosha, Durant, Ibaka, Jackson, Perkins",200757-201142-201586-202704-2570,OKC,6415.0,10,107.0,-55.0,188.0,184.0,10.0,9.0,31.0,372.0,21.0,41.0,5.0,10.0,,1.0,12.0,44.0,16.0,51.0,5.0,17.0,,4.0,,,6.0,20.0,2.0,49.0,136.0,11.0,37.0,33.0,164.0,219.0,6.0,22.0,,4.0,10.0,22.0,1.0,4.0,1.0,2.0,5.0,10.0,50.0,48.0,30.0,3.0,6.0,20.0,6.0,13.0,25.0,10.0,35.0,5.0,5.0,10.0,5.0,10.0,80.0,10.0,24.0,18.0,46.0,4.0,68.0,35.0,103.0,9.0,7.0,2.0,15.0,7.0,20.0,2.0,8.0,35.0,2.0,20.0,49.0,3.0,6.0,36.0,,4.0,3.0,2.0,38.0,1.0,6.0,12.0,12.0,9.0,,12.0,8.0,,1.0,142.0,10.0,10.0,,0.5102040816326531,0.5434782608695652,0.9090909090909091,0.2972972972972973,,0.5,0.2972972972972973,0.3602941176470588,0.2727272727272727,0.25,0.3786127167630058,0.23076923076923078,0.4166666666666667,0.42021276595744683,0.3548387096774194,0.5555555555555556,0.2138728323699422,0.09558823529411764,0.09090909090909091,0.42857142857142855,1.0,0.7419354838709677,0.27906976744186046,0.72,0.38461538461538464,0.735632183908046,0.30357142857142855,0.35,0.25806451612903225,0.2571428571428571,0.2857142857142857,0.6551724137931034,0.625,0.88,0.7333333333333333,0.7,83.50428682774746,0.6666666666666666,17.856382978723403,16.619565217391305,16.51595744680851,15.766304347826088,0.23699421965317918,0.5121951219512195,0.6363636363636364,0.47619047619047616,0.2543352601156069,0.2727272727272727,0.3,0.4166666666666667,0.2947976878612717,0.3137254901960784,0.32,0.625,0.09826589595375723,0.29411764705882354,0.29411764705882354,1.0,0.11560693641618497,0.3,0.3,0.8333333333333334,0.38461538461538464,0.5,0.15384615384615385,,,0.16666666666666666,,,,0.3333333333333333,0.4508670520231214,0.3,0.48676242774566475,0.4963184210526316,0.41100000000000003,0.07027027027027027,0.08163265306122448,0.13414634146341464,0.06097560975609756,10.068382352941176,24.186486486486487,0.05319148936170213,3.0,2.0,3.0,3.0,0.0196078431372549,,,,,,3.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,1.0,0.1951219512195122,0.3333333333333333,0.5,0.030303030303030304,0.4,0.5,0.02631578947368421,,,,,,,,,,1610612760,2013,2012-13,False
200757-201142-201586-202704-2755,1610612760,"Thabo Sefolosha, Kevin Durant, Serge Ibaka, Reggie Jackson, Kevin Martin","Sefolosha, Durant, Ibaka, Jackson, Martin",200757-201142-201586-202704-2755,OKC,2173.0,7,36.0,2.0,66.0,68.0,34.0,28.0,11.0,134.0,7.0,13.0,,3.0,4.0,8.0,8.0,13.0,4.0,14.0,2.0,5.0,,,2.0,4.0,7.0,18.0,9.0,19.0,40.0,9.0,23.0,21.0,86.0,84.0,3.0,6.0,1.0,2.0,4.0,13.0,8.0,19.0,4.0,13.0,9.0,37.0,10.0,28.0,21.0,6.0,,17.0,7.0,5.0,5.0,7.0,12.0,5.0,2.0,2.0,3.0,,31.0,4.0,8.0,9.0,12.0,2.0,23.0,12.0,35.0,5.0,3.0,2.0,3.0,3.0,3.0,,,6.0,3.0,8.0,13.0,,1.0,13.0,,1.0,1.0,,22.0,2.0,2.0,8.0,4.0,3.0,,4.0,2.0,,,73.0,37.0,34.0,1.0,0.2631578947368421,0.2631578947368421,0.7777777777777778,0.391304347826087,0.5,0.3076923076923077,0.4090909090909091,0.475,0.5,0.42105263157894735,0.5158730158730159,0.5625,0.4375,0.5833333333333334,0.65,0.5,0.36507936507936506,0.125,0.15384615384615385,0.5,1.0,0.6666666666666666,0.38095238095238093,0.6428571428571429,0.3076923076923077,0.65625,0.35294117647058826,0.3333333333333333,0.6,0.3,0.3,0.5714285714285714,0.7142857142857143,0.75,0.7,0.5,88.79889553612517,0.5,16.939393939393938,15.514705882352942,16.242424242424242,14.308823529411764,0.20634920634920634,0.5384615384615384,0.7,0.2857142857142857,0.20634920634920634,0.6153846153846154,0.7272727272727273,0.375,0.2222222222222222,0.2857142857142857,0.2857142857142857,,0.07936507936507936,0.4,0.4,1.0,0.2857142857142857,0.3888888888888889,0.3888888888888889,0.7142857142857143,0.375,,,,,0.25,0.5,0.125,0.5,0.28125,0.5714285714285714,0.4117647058823529,0.4840129032258065,0.515975,0.5035193548387097,0.11594202898550725,0.17391304347826086,0.1511627906976744,0.43023255813953487,9.6525,25.96521739130435,0.5151515151515151,1.0,,3.0,3.0,,2.0,1.0,0.25,,,1.0,2.0,,2.0,1.0,1.0,,1.0,,0.23076923076923078,,0.3333333333333333,0.06896551724137931,,0.2222222222222222,,1.0,1.0,0.5,1.0,,,,,,1610612760,2013,2012-13,False
200757-201142-201586-202704-965,1610612760,"Thabo Sefolosha, Kevin Durant, Serge Ibaka, Reggie Jackson, Derek Fisher","Sefolosha, Durant, Ibaka, Jackson, Fisher",200757-201142-201586-202704-965,OKC,995.0,6,17.0,3.0,39.0,38.0,18.0,22.0,5.0,77.0,5.0,11.0,1.0,3.0,,4.0,4.0,6.0,,3.0,1.0,4.0,,,,,3.0,11.0,6.0,9.0,20.0,4.0,15.0,9.0,39.0,36.0,2.0,4.0,2.0,2.0,,10.0,1.0,8.0,2.0,6.0,4.0,12.0,6.0,12.0,6.0,6.0,,11.0,3.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,,,12.0,2.0,3.0,8.0,3.0,4.0,15.0,6.0,21.0,4.0,3.0,1.0,1.0,,3.0,,1.0,4.0,3.0,4.0,18.0,1.0,2.0,8.0,1.0,,,,11.0,,1.0,3.0,1.0,,1.0,1.0,1.0,,,29.0,12.0,18.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.26666666666666666,1.0,0.3333333333333333,0.26666666666666666,0.45,0.5,0.125,0.42857142857142855,0.8333333333333334,0.2857142857142857,0.475,0.8333333333333334,0.375,0.42857142857142855,0.05,,0.25,1.0,1.0,0.3,0.8888888888888888,0.18181818181818182,0.9166666666666666,0.23809523809523808,0.4,0.5,,0.125,,1.0,1.0,1.0,0.6666666666666666,111.43718592964825,1.0,12.282051282051283,13.578947368421053,11.820512820512821,13.552631578947368,0.3142857142857143,0.45454545454545453,0.5,0.6,0.17142857142857143,0.6666666666666666,0.6666666666666666,,0.08571428571428572,,,,0.11428571428571428,0.25,0.25,1.0,0.3142857142857143,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.5,0.3333333333333333,,,,0.2857142857142857,,,,0.42857142857142855,0.7428571428571429,0.2727272727272727,0.5340957142857142,0.5445125,0.49281785714285714,0.07894736842105263,0.13043478260869565,0.2564102564102564,0.3076923076923077,6.235,24.513333333333332,0.46153846153846156,,,2.0,2.0,,2.0,,0.3333333333333333,,,,2.0,1.0,1.0,,,,,,0.09090909090909091,0.5,0.3333333333333333,0.05,1.0,0.3333333333333333,,2.0,,1.0,0.5,,,,,,1610612760,2013,2012-13,False
200757-201142-201586-2555-965,1610612760,"Thabo Sefolosha, Kevin Durant, Serge Ibaka, Nick Collison, Derek Fisher","Sefolosha, Durant, Ibaka, Collison, Fisher",200757-201142-201586-2555-965,OKC,32.0,1,1.0,-2.0,1.0,1.0,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,21.0,11.0,21.0,11.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.4271,,,,,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2013,2012-13,False
