EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,GamesPlayed,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,SecondsPlayed,Minutes,DefPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PlusMinus,PenaltyDefPoss,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,Offensive Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFtPoints,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,FTDefRebounds,Travels,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,DefFTReboundPct,OffFTReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallTurnovers,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,HeaveAttempts,LostBallOutOfBoundsTurnovers,BlockingFouls,Technical Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,Charge Fouls Drawn,BlockingFoulsDrawn,3SecondViolations,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
101138-101183-1718-1891-202340,1610612738,"Brandon Bass, Shavlik Randolph, Paul Pierce, Jason Terry, Avery Bradley","Bass, Randolph, Pierce, Terry, Bradley",101138-101183-1718-1891-202340,BOS,1,1.0,1.0,1.0,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201145-201584,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Jeff Green, Courtney Lee","Bass, Pierce, Terry, Green, Lee",101138-1718-1891-201145-201584,BOS,1,2.0,1.0,1.0,3,1.0,0.5,57.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,75.78947368421053,15.0,27.0,15.0,27.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,0.6778333333333334,0.7349,0.72195,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201145-201944,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Jeff Green, Terrence Williams","Bass, Pierce, Terry, Green, Williams",101138-1718-1891-201145-201944,BOS,2,20.0,8.0,4.0,41,8.0,0.4,652.0,11.0,21.0,3.0,7.0,,1.0,,3.0,3.0,10.0,18.0,19.0,,2.0,,,5.0,3.0,4.0,,4.0,5.0,12.0,,1.0,6.0,6.0,,3.0,18.0,3.0,0.3,,,0.3333333333333333,,0.15,0.42857142857142855,,0.15,0.6666666666666666,0.4166666666666667,0.5,90.5521472392638,16.0,15.80952380952381,15.45,15.80952380952381,0.3888888888888889,0.42857142857142855,0.5,0.25,,0.3,,0.8333333333333334,0.5299611111111111,0.4939,0.501445,0.14285714285714285,0.23076923076923078,,0.16666666666666666,4.74,-1.0,10.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,1.0,1.0,3.0,2.0,8.0,6.0,2.0,1.0,5.0,2.0,3.0,3.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,7.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.25,0.2,0.25,0.4444444444444444,0.1,0.14285714285714285,0.3333333333333333,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.09090909090909091,0.3333333333333333,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.25,0.25,0.2,0.3,0.3333333333333333,0.3333333333333333,24.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201145-202340,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Jeff Green, Avery Bradley","Bass, Pierce, Terry, Green, Bradley",101138-1718-1891-201145-202340,BOS,5,58.0,19.0,5.0,117,19.0,0.3275862068965517,2119.0,35.0,59.0,7.0,12.0,,,3.0,5.0,20.0,38.0,71.0,49.0,1.0,2.0,11.0,5.0,13.0,20.0,28.0,2.0,6.0,8.0,32.0,6.0,14.0,19.0,20.0,2.0,6.0,60.0,20.0,0.5263157894736842,0.5,0.38461538461538464,0.5370370370370371,0.8333333333333334,0.3611111111111111,0.5634920634920635,0.7857142857142857,0.43478260869565216,0.3333333333333333,0.25,0.2,79.50920245398773,18.75862068965517,17.47457627118644,17.879310344827587,16.491525423728813,0.2222222222222222,0.5833333333333334,0.7,,,0.2777777777777778,0.6,0.5185185185185185,0.4961638888888889,0.4209,0.5001777777777777,0.10344827586206896,0.14285714285714285,0.15492957746478872,0.28169014084507044,10.228947368421052,22.0,6.0,12.0,14.0,4.0,,,4.0,12.0,1.0,1.0,5.0,6.0,16.0,13.0,1.0,1.0,5.0,12.0,15.0,3.0,12.0,4.0,2.0,6.0,5.0,11.0,3.0,4.0,27.0,1.0,11.0,12.0,24.0,1.0,7.0,2.0,5.0,,1.0,,6.0,6.0,3.0,2.0,1.0,0.3,0.3157894736842105,0.8333333333333334,0.375,0.2,0.375,0.2962962962962963,0.05263157894736842,0.16666666666666666,,0.7058823529411765,0.8461538461538461,0.1,0.7666666666666667,0.16666666666666666,0.5714285714285714,0.125,0.25,1.0,0.7777777777777778,1.0,0.038461538461538464,0.5714285714285714,0.2222222222222222,0.25925925925925924,0.07407407407407407,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.75,,0.3333333333333333,,0.2777777777777778,0.2,0.3333333333333333,25.225,6.0,7.0,2.0,1.0,1.0,6.0,7.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,3.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,0.3333333333333333,0.6,0.2,0.5,0.5,0.16666666666666666,0.5,0.5,0.14285714285714285,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201145-202348,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Jeff Green, Jordan Crawford","Bass, Pierce, Terry, Green, Crawford",101138-1718-1891-201145-202348,BOS,3,14.0,7.0,1.0,28,7.0,0.5,420.0,7.0,14.0,3.0,5.0,1.0,1.0,2.0,4.0,5.0,11.0,16.0,20.0,1.0,1.0,2.0,2.0,7.0,8.0,8.0,2.0,2.0,2.0,7.0,1.0,4.0,3.0,3.0,1.0,2.0,14.0,8.0,0.45454545454545453,1.0,0.2857142857142857,0.5416666666666666,1.0,0.4375,0.6153846153846154,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,96.0,16.285714285714285,13.714285714285714,16.285714285714285,12.928571428571429,0.4166666666666667,0.6,0.75,1.0,1.0,0.5,0.5,0.5,0.5261333333333333,0.4934,0.5411375,0.15384615384615385,0.16666666666666666,0.125,0.5,8.918181818181818,-4.0,8.0,2.0,4.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,2.0,3.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,,1.0,4.0,5.0,,1.0,,1.0,1.0,,,2.0,3.0,1.0,2.0,,0.2,0.25,1.0,1.0,1.0,1.0,0.08333333333333333,0.18181818181818182,0.2,0.3333333333333333,0.8,1.0,,0.8333333333333334,,0.3333333333333333,,1.0,,1.0,1.0,,0.3333333333333333,0.16666666666666666,0.3333333333333333,,0.08333333333333333,1.0,1.0,1.0,,,,0.125,1.0,1.0,25.1,1.0,1.0,,,,,1.0,,,,,,,,,,,,2.0,1.0,,1.0,2.0,1.0,,,,,,0.5,0.5,1.0,,0.25,0.25,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201145-708,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Jeff Green, Kevin Garnett","Bass, Pierce, Terry, Green, Garnett",101138-1718-1891-201145-708,BOS,4,57.0,9.0,4.0,115,9.0,0.15789473684210525,1835.0,31.0,58.0,12.0,18.0,3.0,4.0,1.0,1.0,19.0,37.0,59.0,64.0,3.0,4.0,6.0,3.0,3.0,15.0,32.0,4.0,3.0,4.0,22.0,5.0,14.0,11.0,9.0,,4.0,53.0,15.0,0.5135135135135135,0.75,1.0,0.53,0.6,0.75,0.5370370370370371,0.6,0.75,0.16666666666666666,0.16,0.3333333333333333,90.24523160762944,16.771929824561404,15.155172413793103,16.350877192982455,14.586206896551724,0.36,0.6666666666666666,0.7058823529411765,0.8,0.75,0.1,1.0,0.62,0.5058275510204082,0.608375,0.49525499999999995,0.07407407407407407,0.0975609756097561,0.1016949152542373,0.2542372881355932,8.783783783783784,-5.0,34.0,5.0,14.0,2.0,1.0,1.0,4.0,11.0,,3.0,6.0,5.0,13.0,6.0,1.0,3.0,7.0,6.0,12.0,3.0,10.0,4.0,1.0,3.0,4.0,7.0,3.0,3.0,18.0,1.0,7.0,11.0,18.0,,5.0,4.0,1.0,4.0,1.0,3.0,5.0,9.0,,1.0,3.0,0.15789473684210525,0.17647058823529413,0.8,0.38461538461538464,0.42857142857142855,0.4166666666666667,0.26,0.02702702702702703,0.05555555555555555,0.4444444444444444,0.9166666666666666,0.875,0.14285714285714285,0.9,,0.1,0.16666666666666666,,1.0,0.875,0.875,,0.25,0.1,0.28,0.04,0.22,0.36363636363636365,0.36363636363636365,0.75,0.2,,0.1,0.6,0.5,0.4,27.815384615384616,3.0,4.0,1.0,,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,0.6,0.6,,0.2857142857142857,0.2857142857142857,,0.5,0.5,1.0,,,1.0,3.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201944-202340,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Terrence Williams, Avery Bradley","Bass, Pierce, Terry, Williams, Bradley",101138-1718-1891-201944-202340,BOS,1,7.0,7.0,1.0,13,7.0,1.0,176.0,3.0,6.0,1.0,2.0,,1.0,1.0,2.0,1.0,4.0,5.0,10.0,,1.0,,1.0,4.0,5.0,2.0,,1.0,1.0,2.0,,,2.0,4.0,,,5.0,5.0,0.25,,0.25,0.25,,0.25,0.4166666666666667,,0.4166666666666667,0.3333333333333333,0.3333333333333333,,106.36363636363637,13.0,14.166666666666666,12.571428571428571,14.166666666666666,0.5,0.5,0.5,1.0,,0.5,0.5,0.5,0.506,0.5432,0.506,,,,1.0,5.3,-5.0,6.0,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,,,,,,,,,,,,0.5,,1.0,,1.0,0.5,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-201944-708,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Terrence Williams, Kevin Garnett","Bass, Pierce, Terry, Williams, Garnett",101138-1718-1891-201944-708,BOS,2,10.0,2.0,2.0,21,2.0,0.2,363.0,6.0,11.0,,2.0,,1.0,,,,6.0,4.0,6.0,,1.0,1.0,,1.0,,,,2.0,2.0,7.0,1.0,3.0,2.0,2.0,,1.0,3.0,,,,,0.125,,,0.15384615384615385,0.25,,0.3333333333333333,0.2,0.5,83.30578512396694,20.2,14.636363636363637,20.0,13.272727272727273,0.16666666666666666,,,1.0,,,,0.6666666666666666,0.49153181818181824,0.6464,0.467775,0.07692307692307693,0.14285714285714285,0.25,,12.683333333333332,-2.0,4.0,,4.0,,,,1.0,6.0,,,2.0,1.0,6.0,1.0,,,2.0,,3.0,,5.0,1.0,,,1.0,1.0,1.0,,3.0,,2.0,3.0,5.0,1.0,2.0,2.0,,,,,,,,,1.0,,,1.0,0.16666666666666666,,0.2,0.5,,,,0.75,0.6666666666666666,,0.7142857142857143,,0.25,,0.5,,1.0,1.0,0.1,,,0.3333333333333333,,0.5,0.16666666666666666,0.16666666666666666,1.0,,,,0.6666666666666666,,0.2,27.483333333333334,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-202340-202348,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Avery Bradley, Jordan Crawford","Bass, Pierce, Terry, Bradley, Crawford",101138-1718-1891-202340-202348,BOS,1,1.0,1.0,1.0,3,1.0,1.0,40.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,2.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,108.0,6.0,17.0,5.0,17.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5983,0.6072,0.5983,,,1.0,1.0,1.6,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,0.5,0.5,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
101138-1718-1891-202340-708,1610612738,"Brandon Bass, Paul Pierce, Jason Terry, Avery Bradley, Kevin Garnett","Bass, Pierce, Terry, Bradley, Garnett",101138-1718-1891-202340-708,BOS,2,5.0,1.0,2.0,10,1.0,0.2,160.0,3.0,5.0,1.0,1.0,,,,,1.0,3.0,2.0,10.0,,,,,1.0,,,,1.0,1.0,2.0,1.0,1.0,,,,,2.0,,0.3333333333333333,,,0.25,,,0.25,,,0.5,0.3333333333333333,,90.0,19.2,12.8,14.2,12.4,0.25,1.0,1.0,,,,,0.5,0.463075,0.4083,0.3848,,,,,10.299999999999999,-8.0,2.0,1.0,1.0,,,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,2.0,,,1.0,,,1.0,,1.0,,1.0,2.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,0.25,,,,,0.5,,0.5,1.0,,,,,,1.0,,1.0,0.25,0.25,,0.25,,,,,1.0,,0.5,,,25.6,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2013,2012-13,True
