EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyArc3FGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,HeaveAttempts,TwoPtAssists,AtRimAssists,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,Loose Ball Fouls,LiveBallTurnoverPct,DefTwoPtReboundPct,DefLongMidRangeReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFtPoints,Charge Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Loose Ball Fouls Drawn,RecoveredBlocks,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFGM,Fg2aBlocked,2pt And 1 Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,ShortMidRangeAssists,FTOffRebounds,BadPassOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,SecondChanceFg3Pct,OffFTReboundPct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffThreePtRebounds,SelfOReb,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,LongMidRangeAssists,LongMidRangePctAssisted,LostBallOutOfBoundsTurnovers,BlockingFouls,LongMidRangePctBlocked,ShortMidRangePctBlocked,StepOutOfBoundsTurnovers,OffShortMidRangeReboundPct,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,BlockingFoulsDrawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Charge Fouls,PtsUnassisted3s,OffCorner3ReboundPct,Technical Free Throw Trips,BlockedShortMidRange,Travels,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,BlockedLongMidRange,Blocked3s,BlockedCorner3,SecondChanceAtRimPctAssisted,Clear Path Fouls,Arc3PctBlocked,OffensiveGoaltends,team_id,year,season,team_vs
101123-101133-201571-201946-202331,1610612754,"Gerald Green, Ian Mahinmi, D.J. Augustin, Tyler Hansbrough, Paul George","Green, Mahinmi, Augustin, Hansbrough, George",101123-101133-201571-201946-202331,IND,91.0,1,2.0,7.0,3.0,3.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,8.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,94.94505494505495,11.333333333333334,19.0,11.333333333333334,19.0,0.5,0.5,0.5,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5617875,0.6503,0.25,1.55,24.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2013,2012-13,True
101123-101133-201571-202331-2561,1610612754,"Gerald Green, Ian Mahinmi, D.J. Augustin, Paul George, David West","Green, Mahinmi, Augustin, George, West",101123-101133-201571-202331-2561,IND,320.0,2,5.0,-1.0,9.0,10.0,,19.0,1.0,1.0,,,,,,1.0,4.0,6.0,,1.0,10.0,11.0,,,,6.0,,,,,,1.0,,,2.0,,1.0,2.0,,2.0,,3.0,10.0,,,,0.6666666666666666,,0.5714285714285714,,0.625,,0.14285714285714285,,0.5,0.3333333333333333,,,,1.0,85.5,17.77777777777778,16.0,17.77777777777778,14.7,0.14285714285714285,1.0,1.0,,,,,0.14285714285714285,,,,,,0.2857142857142857,,0.44765000000000005,,,13.583333333333334,48.4,5.0,8.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,0.25,0.25,0.6666666666666666,0.5,0.5,1.0,1.0,0.14285714285714285,0.5714285714285714,0.75,0.75,0.25,0.40386666666666665,0.125,0.14285714285714285,0.4,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2013,2012-13,True
101123-101133-201571-202362-2561,1610612754,"Gerald Green, Ian Mahinmi, D.J. Augustin, Lance Stephenson, David West","Green, Mahinmi, Augustin, Stephenson, West",101123-101133-201571-202362-2561,IND,135.0,1,2.0,1.0,5.0,4.0,,9.0,,,,,1.0,1.0,1.0,1.0,,,2.0,2.0,7.0,6.0,,,,,6.0,,1.0,1.0,2.0,2.0,1.0,1.0,6.0,,,2.0,,2.0,,2.0,7.0,1.0,1.0,1.0,,,1.5,,1.1666666666666667,,1.0,,,1.0,,,,,96.0,15.2,14.75,15.2,14.75,,,,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,1.0,1.0,0.5595,,,,25.1,,,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,,2.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2013,2012-13,True
101123-101133-201946-203111-203162,1610612754,"Gerald Green, Ian Mahinmi, Tyler Hansbrough, Orlando Johnson, Ben Hansbrough","Green, Mahinmi, Hansbrough, Johnson, Hansbrough",101123-101133-201946-203111-203162,IND,154.0,2,3.0,-3.0,6.0,7.0,,13.0,1.0,1.0,,,,,,1.0,1.0,3.0,,1.0,3.0,6.0,,,,,,,1.0,,,1.0,,,2.0,,,1.0,,1.0,,1.0,3.0,,,,0.3333333333333333,,0.25,,0.3,,0.25,,,,,,,,121.55844155844154,16.833333333333332,7.571428571428571,16.833333333333332,7.0,0.25,1.0,1.0,,,,,0.25,,,,,,0.5,,0.477325,,,10.566666666666666,25.1,5.0,7.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,3.0,2.0,,,,,3.0,5.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.375,1.0,1.0,0.25,0.25,,,0.3333333333333333,0.4987333333333333,,,1.0,0.8333333333333334,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2013,2012-13,True
101123-101133-201965-203111-203162,1610612754,"Gerald Green, Ian Mahinmi, Jeff Ayres, Orlando Johnson, Ben Hansbrough","Green, Mahinmi, Ayres, Johnson, Hansbrough",101123-101133-201965-203111-203162,IND,303.0,1,5.0,1.0,10.0,10.0,,20.0,2.0,2.0,,,,,,1.0,3.0,5.0,,1.0,8.0,7.0,,,,2.0,,,1.0,,,2.0,,,4.0,,2.0,8.0,,8.0,,2.0,8.0,,,,0.6,,0.5,,0.5,,0.16666666666666666,,1.0,0.7,,,1.0,1.0,95.04950495049505,15.5,14.8,15.5,13.7,0.3333333333333333,1.0,1.0,,,,,0.16666666666666666,,,,,,0.5,,0.4996416666666667,,,11.02,25.4,10.0,10.0,,1.0,3.0,1.0,2.0,3.0,5.0,1.0,8.0,4.0,,2.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,4.0,,1.0,1.0,1.0,8.0,10.0,,0.6666666666666666,0.6666666666666666,0.6,0.5,0.5,1.0,1.0,,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.4996416666666667,,,1.0,1.0,5.0,,,,,0.625,0.5,2.0,2.0,2.0,,,2.0,2.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2013,2012-13,True
101123-101133-201970-203111-203162,1610612754,"Gerald Green, Ian Mahinmi, Sam Young, Orlando Johnson, Ben Hansbrough","Green, Mahinmi, Young, Johnson, Hansbrough",101123-101133-201970-203111-203162,IND,173.0,1,3.0,8.0,6.0,6.0,1.0,12.0,1.0,3.0,,1.0,,,2.0,3.0,2.0,4.0,2.0,3.0,10.0,2.0,,1.0,,2.0,6.0,,3.0,2.0,2.0,3.0,2.0,,8.0,1.0,2.0,4.0,1.0,5.0,,,10.0,1.0,0.6666666666666666,0.6666666666666666,0.5,,0.7142857142857143,,0.7142857142857143,,0.42857142857142855,0.5,0.6666666666666666,0.8,0.3333333333333333,0.5,1.0,,99.88439306358381,10.333333333333334,18.5,9.166666666666666,18.5,0.42857142857142855,0.3333333333333333,0.5,,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,1.0,,0.8571428571428571,0.6666666666666666,0.5659714285714286,0.6879,,2.1,27.5,,6.0,1.0,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,0.5,0.5,,,,,1.0,0.14285714285714285,,,,,,0.14285714285714285,0.25,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2013,2012-13,True
101123-201571-201579-201588-201946,1610612754,"Gerald Green, D.J. Augustin, Roy Hibbert, George Hill, Tyler Hansbrough","Green, Augustin, Hibbert, Hill, Hansbrough",101123-201571-201579-201588-201946,IND,68.0,1,1.0,,2.0,1.0,,3.0,,,,,,,,,1.0,1.0,,,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,1.0,,1.0,,,,,,,,,,63.529411764705884,23.5,21.0,23.5,21.0,,,,,,,,,,,,,,,,0.3222,,,19.9,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2013,2012-13,True
101123-201571-201579-201946-202331,1610612754,"Gerald Green, D.J. Augustin, Roy Hibbert, Tyler Hansbrough, Paul George","Green, Augustin, Hibbert, Hansbrough, George",101123-201571-201579-201946-202331,IND,360.0,4,6.0,-2.0,11.0,12.0,3.0,23.0,1.0,3.0,,,,,2.0,4.0,3.0,6.0,2.0,4.0,14.0,16.0,,,5.0,2.0,6.0,,4.0,2.0,2.0,4.0,2.0,,10.0,2.0,1.0,3.0,3.0,6.0,2.0,6.0,9.0,1.0,0.5,0.5,0.5,,0.6,1.5,0.6363636363636364,1.25,0.4,0.6666666666666666,0.25,0.5,0.5,0.5,0.3333333333333333,,92.0,16.363636363636363,15.0,13.181818181818182,14.833333333333334,0.3,0.3333333333333333,1.0,,,,,0.4,0.5,0.5,1.0,,,0.7,0.5,0.444355,0.3696,0.35714285714285715,8.799999999999999,24.55,6.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,,2.0,1.0,,1.0,1.0,,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,6.0,3.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2,0.3333333333333333,,1.0,0.1,0.2,0.5,0.5,0.4,0.47178000000000003,0.09090909090909091,0.14285714285714285,0.2857142857142857,0.5454545454545454,2.0,1.0,,1.0,0.3333333333333333,1.0,,1.0,2.0,2.0,,,,,0.4,0.5,,1.0,1.0,,1.0,1.0,2.0,,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2013,2012-13,True
101123-201571-201579-201965-201970,1610612754,"Gerald Green, D.J. Augustin, Roy Hibbert, Jeff Ayres, Sam Young","Green, Augustin, Hibbert, Ayres, Young",101123-201571-201579-201965-201970,IND,84.0,1,1.0,3.0,4.0,3.0,2.0,7.0,2.0,4.0,1.0,2.0,,,1.0,3.0,2.0,4.0,1.0,3.0,7.0,4.0,1.0,2.0,5.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,,3.0,2.0,,1.0,4.0,5.0,,,2.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.625,0.5,0.625,0.42857142857142855,1.0,,1.0,1.0,1.0,,,120.00000000000001,7.75,17.666666666666668,5.5,17.666666666666668,0.5714285714285714,0.5,0.5,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,1.0,0.3333333333333333,0.5985142857142858,0.578775,0.7142857142857143,1.375,25.866666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,,0.5,,,,0.5,0.5,1.0,2.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2013,2012-13,True
101123-201571-201579-202331-2561,1610612754,"Gerald Green, D.J. Augustin, Roy Hibbert, Paul George, David West","Green, Augustin, Hibbert, George, West",101123-201571-201579-202331-2561,IND,279.0,1,5.0,,8.0,8.0,1.0,16.0,,2.0,,,,1.0,,1.0,1.0,4.0,,2.0,4.0,4.0,,,2.0,2.0,,,1.0,,,,,,,1.0,,3.0,1.0,4.0,,3.0,2.0,,,,0.25,,0.16666666666666666,,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,,0.6666666666666666,0.2,0.5,,,82.58064516129032,20.875,14.0,19.875,13.0,0.3333333333333333,,,0.16666666666666666,,,,0.16666666666666666,,,,,,0.6666666666666666,,0.47415,,0.5,5.325,23.7,8.0,7.0,2.0,,,1.0,2.0,1.0,4.0,2.0,4.0,,,,,1.0,2.0,2.0,,,1.0,1.0,,1.0,2.0,,,,,2.0,7.0,2.0,,,0.25,0.16666666666666666,0.2857142857142857,1.0,,0.3333333333333333,,,,0.16666666666666666,0.47415,,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,,2.0,2.0,,,1.0,,0.3333333333333333,,,,1.0,1.0,,1.0,1.0,,0.25,0.5,0.5,0.5,,,,,2.0,,,,1.0,,,,,,,,,,1.0,,,0.25,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2013,2012-13,True
