EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,PtsUnassisted2s,NonHeaveArc3FGA,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,Offensive Fouls Drawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceCorner3FGA,SecondChanceFG3A,OffArc3ReboundPct,SecondChanceCorner3Frequency,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,Arc3FGM,FG3M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,DefThreePtRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,BlockedShortMidRange,DefensiveGoaltends,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,Blocked3s,BlockedCorner3,SecondChanceArc3FGA,Charge Fouls Drawn,BlockingFoulsDrawn,SecondChanceArc3Frequency,PenaltyArc3FGM,PenaltyArc3Accuracy,Technical Free Throw Trips,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceArc3Accuracy,Clear Path Fouls,BlockedArc3,3SecondViolations,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Arc3PctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
200752-201144-201188-201573-201578,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Jerryd Bayless, Marreese Speights","Gay, Conley, Gasol, Bayless, Speights",200752-201144-201188-201573-201578,MEM,248.0,2,4.0,-10.0,7.0,8.0,1.0,15.0,1.0,4.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.14285714285714285,0.125,0.125,0.125,0.5,0.16666666666666666,0.5,0.14285714285714285,0.3333333333333333,1.0,87.09677419354838,21.571428571428573,12.125,20.857142857142858,10.0,0.5,0.25,0.25,0.375,0.125,1.0,0.625,0.478425,0.6455,5.328571428571428,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,False
200752-201144-201188-201573-201589,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Jerryd Bayless, Darrell Arthur","Gay, Conley, Gasol, Bayless, Arthur",200752-201144-201188-201573-201589,MEM,679.0,7,11.0,5.0,24.0,24.0,2.0,48.0,5.0,6.0,1.0,,1.0,6.0,9.0,2.0,26.0,21.0,1.0,2.0,1.0,,4.0,5.0,2.0,7.0,11.0,1.0,22.0,0.6666666666666666,0.5454545454545454,0.65,0.18181818181818182,0.8,,0.8,0.25,,,101.79675994108985,14.375,13.916666666666666,13.375,13.458333333333334,0.5454545454545454,0.8333333333333334,1.0,,0.09090909090909091,1.0,0.7272727272727273,0.576540909090909,,5.977777777777778,26.3,8.0,16.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,14.0,1.0,2.0,4.0,1.0,2.0,2.0,6.0,8.0,10.0,2.0,1.0,5.0,5.0,4.0,1.0,10.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,6.0,2.0,1.0,2.0,18.0,6.0,3.0,2.0,1.0,1.0,2.0,1.0,7.0,7.0,1.0,2.0,0.8333333333333334,1.0,1.0,0.5,1.0,0.25,1.0,0.5,0.1111111111111111,0.16666666666666666,0.6666666666666666,1.0,0.5,0.5,1.0,1.0,0.75,0.5,0.8,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.09090909090909091,1.0,0.25,1.0,0.25,0.25,0.5007875,0.35294117647058826,0.4,0.15384615384615385,0.3076923076923077,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,False
200752-201144-201188-201573-201961,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Jerryd Bayless, Wayne Ellington","Gay, Conley, Gasol, Bayless, Ellington",200752-201144-201188-201573-201961,MEM,32.0,1,1.0,,1.0,1.0,1.0,2.0,,,,,1.0,,,2.0,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,0.5,,,90.0,13.0,19.0,6.0,19.0,,,,,0.5,,1.0,0.44115,,,26.15,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,,0.5,0.5,0.44115,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,False
200752-201144-201188-201573-202347,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Jerryd Bayless, Quincy Pondexter","Gay, Conley, Gasol, Bayless, Pondexter",200752-201144-201188-201573-202347,MEM,74.0,2,1.0,-4.0,3.0,4.0,,7.0,1.0,1.0,,,,2.0,2.0,,4.0,8.0,,4.0,,,,1.0,,1.0,,,4.0,1.0,1.0,1.0,,,,,,,,136.2162162162162,19.0,4.25,19.0,4.0,0.5,1.0,1.0,,,,0.5,0.48215,,9.5,,3.0,3.0,,1.0,1.0,1.0,1.0,,,,,,,,2.0,2.0,,,4.0,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,4.0,3.0,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,0.5,1.0,1.0,,,,0.5,1.0,,,0.48215,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,False
200752-201144-201188-201573-2216,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Jerryd Bayless, Zach Randolph","Gay, Conley, Gasol, Bayless, Randolph",200752-201144-201188-201573-2216,MEM,2697.0,14,45.0,-2.0,80.0,78.0,12.0,158.0,16.0,25.0,9.0,19.0,9.0,31.0,57.0,14.0,95.0,97.0,12.0,28.0,9.0,12.0,16.0,27.0,15.0,42.0,21.0,,76.0,0.543859649122807,0.5422535211267606,0.5864197530864198,0.19718309859154928,0.8421052631578947,0.46153846153846156,0.75,0.42857142857142855,0.5555555555555556,0.8333333333333334,84.36040044493882,19.4125,14.666666666666666,17.9125,14.012820512820513,0.352112676056338,0.64,0.64,0.2676056338028169,0.1267605633802817,0.6923076923076923,0.5492957746478874,0.48204014084507046,0.49541250000000003,7.666666666666667,25.385714285714283,27.0,32.0,6.0,6.0,7.0,6.0,13.0,5.0,2.0,1.0,18.0,7.0,2.0,19.0,9.0,13.0,3.0,10.0,31.0,34.0,6.0,,17.0,21.0,10.0,4.0,46.0,3.0,,3.0,5.0,4.0,1.0,7.0,2.0,3.0,8.0,4.0,,15.0,8.0,11.0,27.0,20.0,8.0,2.0,4.0,2.0,,4.0,4.0,30.0,26.0,5.0,1.0,0.5483870967741935,0.6071428571428571,0.5833333333333334,0.6923076923076923,0.6538461538461539,0.65625,0.6785714285714286,0.7045454545454546,,,0.4666666666666667,0.75,,0.3333333333333333,,0.875,0.8,1.0,0.625,0.18309859154929578,0.46153846153846156,0.46153846153846156,0.6666666666666666,0.07042253521126761,0.6666666666666666,0.4375,0.8571428571428571,0.125,0.0625,0.509665625,0.10126582278481013,0.12307692307692308,0.2,0.3263157894736842,0.3375,1.0,1.0,0.5,0.07692307692307693,9.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,12.0,3.0,3.0,4.0,3.0,1.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,0.8,0.35714285714285715,1.0,0.3333333333333333,0.35714285714285715,0.6153846153846154,0.5,0.2857142857142857,0.5555555555555556,0.75,0.02857142857142857,0.47368421052631576,0.47368421052631576,0.3333333333333333,0.4,0.4,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,False
200752-201144-201188-201573-2754,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Jerryd Bayless, Tony Allen","Gay, Conley, Gasol, Bayless, Allen",200752-201144-201188-201573-2754,MEM,225.0,3,4.0,5.0,7.0,7.0,,14.0,2.0,4.0,,1.0,,3.0,5.0,1.0,10.0,5.0,,4.0,,,3.0,4.0,,4.0,2.0,,10.0,0.6,0.75,0.8333333333333334,0.16666666666666666,0.75,,0.6666666666666666,,,1.0,89.6,19.428571428571427,12.714285714285714,19.428571428571427,12.0,0.6666666666666666,0.5,0.6666666666666666,0.16666666666666666,,,0.8333333333333334,0.5593333333333333,,3.6,22.9,6.0,4.0,,1.0,3.0,,,1.0,1.0,,1.0,,,,2.0,4.0,1.0,,7.0,2.0,,1.0,1.0,2.0,1.0,,5.0,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,7.0,6.0,,,0.3333333333333333,0.3333333333333333,,0.5,,0.7,,0.7,0.2,0.25,,,,,,,,,0.5,,,,,0.16666666666666666,,0.6,0.3333333333333333,0.2,,0.54714,0.16666666666666666,0.2,,0.7,0.8571428571428571,,,,,1.0,1.0,,1.0,,1.0,,1.0,3.0,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,0.5,,,0.5,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,False
200752-201144-201188-201578-201961,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Marreese Speights, Wayne Ellington","Gay, Conley, Gasol, Speights, Ellington",200752-201144-201188-201578-201961,MEM,1125.0,8,19.0,11.0,33.0,33.0,6.0,66.0,8.0,18.0,6.0,8.0,2.0,12.0,31.0,2.0,38.0,27.0,8.0,6.0,2.0,11.0,13.0,17.0,11.0,28.0,7.0,,31.0,0.3870967741935484,0.4090909090909091,0.48717948717948717,0.06060606060606061,0.65,0.6111111111111112,0.6538461538461539,0.5789473684210527,0.8,0.5555555555555556,84.48,16.636363636363637,17.454545454545453,15.818181818181818,15.696969696969697,0.5454545454545454,0.4444444444444444,0.5,0.24242424242424243,0.06060606060606061,0.75,0.6060606060606061,0.5312469696969697,0.533525,5.948387096774193,25.6,4.0,17.0,1.0,3.0,5.0,,5.0,,,,11.0,2.0,3.0,7.0,3.0,6.0,,2.0,8.0,18.0,,5.0,9.0,10.0,7.0,,21.0,,,,1.0,1.0,,3.0,3.0,1.0,3.0,2.0,,6.0,,2.0,6.0,12.0,5.0,1.0,1.0,,,1.0,1.0,8.0,4.0,,1.0,0.75,0.75,0.25,0.5,0.25,0.5,0.35,0.5714285714285714,0.16129032258064516,0.1111111111111111,0.5,,,,,0.5,0.8571428571428571,1.0,0.875,0.15151515151515152,,,,,0.16666666666666666,0.8333333333333334,0.6,,,0.5792499999999999,0.13157894736842105,0.1388888888888889,0.18421052631578946,0.21052631578947367,0.12121212121212122,,,,,4.0,,,,1.0,1.0,,,3.0,,1.0,1.0,1.0,,2.0,4.0,1.0,,,,,,,,1.0,1.0,,1.0,0.5,,,0.5,0.6666666666666666,0.5,0.25,0.6666666666666666,,0.07142857142857142,0.5,0.8,0.5,,,,0.5,0.5,1.0,1.0,,,,0.5,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,False
200752-201144-201188-201578-202347,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Marreese Speights, Quincy Pondexter","Gay, Conley, Gasol, Speights, Pondexter",200752-201144-201188-201578-202347,MEM,661.0,7,11.0,-1.0,21.0,19.0,3.0,40.0,1.0,5.0,2.0,5.0,8.0,9.0,16.0,8.0,23.0,24.0,3.0,8.0,8.0,2.0,7.0,7.0,3.0,10.0,4.0,1.0,21.0,0.5625,0.4375,0.46,0.3333333333333333,0.5833333333333334,0.2857142857142857,0.5384615384615384,0.2727272727272727,0.25,0.5,87.14069591527988,15.142857142857142,18.05263157894737,14.095238095238095,16.68421052631579,0.20833333333333334,0.2,0.3333333333333333,0.20833333333333334,0.3333333333333333,0.6666666666666666,0.5416666666666666,0.4497125,0.5125333333333334,9.89375,26.8625,11.0,9.0,,,1.0,4.0,6.0,,,4.0,2.0,1.0,,2.0,5.0,9.0,4.0,,10.0,10.0,,2.0,5.0,6.0,1.0,2.0,13.0,1.0,,,,,,,,,,,,,,4.0,5.0,2.0,1.0,,1.0,,,2.0,1.0,10.0,11.0,,,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.38461538461538464,0.3333333333333333,0.38461538461538464,0.125,0.4,,,,0.25,,0.4,1.0,0.5,1.0,0.25,0.6666666666666666,0.6666666666666666,0.5,,,0.07692307692307693,,,0.3076923076923077,0.3644192307692308,0.04,0.058823529411764705,0.08695652173913043,0.43478260869565216,0.5238095238095238,,,0.25,,4.0,,,,1.0,1.0,,,3.0,,1.0,1.0,1.0,,2.0,,,,,,,,,,1.0,1.0,,1.0,0.125,,,0.125,,1.0,,,,,0.8,0.8,0.5,,,,0.125,0.125,1.0,,,,,0.125,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,False
200752-201144-201188-201578-203100,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Marreese Speights, Tony Wroten","Gay, Conley, Gasol, Speights, Wroten",200752-201144-201188-201578-203100,MEM,156.0,1,3.0,,6.0,5.0,,11.0,,1.0,,,,,2.0,,3.0,3.0,,,,,3.0,3.0,,3.0,3.0,,3.0,,,0.3,,1.0,,1.0,,,1.0,101.53846153846153,11.166666666666666,17.8,11.166666666666666,17.8,0.5,,,,,,0.5,0.43345,,10.35,,5.0,,,,1.0,,1.0,,,,3.0,,,,,2.0,,2.0,2.0,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,6.0,1.0,2.0,1.0,,,1.0,1.0,2.0,5.0,,2.0,,,,,,,,0.25,,,,,,,,,,1.0,,0.5,,,,,,0.5,,,,0.43345,0.3333333333333333,0.3333333333333333,,0.6666666666666666,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,False
200752-201144-201188-201578-2754,1610612763,"Rudy Gay, Mike Conley, Marc Gasol, Marreese Speights, Tony Allen","Gay, Conley, Gasol, Speights, Allen",200752-201144-201188-201578-2754,MEM,2577.0,9,43.0,8.0,80.0,84.0,11.0,164.0,14.0,26.0,6.0,20.0,4.0,29.0,66.0,8.0,78.0,70.0,9.0,26.0,4.0,12.0,25.0,33.0,14.0,47.0,19.0,1.0,62.0,0.4393939393939394,0.41216216216216217,0.46987951807228917,0.10810810810810811,0.7142857142857143,0.32432432432432434,0.7380952380952381,0.3181818181818182,0.25,0.75,91.64144353899883,15.7625,15.666666666666666,14.925,15.214285714285714,0.35135135135135137,0.5384615384615384,0.5833333333333334,0.2702702702702703,0.05405405405405406,0.5454545454545454,0.4594594594594595,0.5170952702702702,0.5649611111111111,8.924242424242424,24.5375,8.0,5.0,3.0,1.0,3.0,9.0,20.0,4.0,1.0,,17.0,4.0,5.0,16.0,2.0,5.0,1.0,5.0,12.0,32.0,4.0,4.0,16.0,17.0,9.0,6.0,35.0,2.0,,2.0,10.0,5.0,5.0,7.0,3.0,1.0,6.0,6.0,,13.0,2.0,8.0,15.0,19.0,7.0,3.0,8.0,3.0,2.0,8.0,4.0,12.0,8.0,1.0,,0.5517241379310345,0.5925925925925926,0.4444444444444444,0.4,0.5,0.5833333333333334,0.5714285714285714,0.6666666666666666,0.06060606060606061,0.07692307692307693,0.5384615384615384,0.6666666666666666,,0.2857142857142857,,0.4,0.8823529411764706,0.5,0.6428571428571429,0.2702702702702703,0.45,0.45,0.6666666666666666,0.05405405405405406,0.5,0.5,0.3333333333333333,0.16666666666666666,,0.5963083333333333,0.0875,0.09722222222222222,0.20512820512820512,0.15384615384615385,0.1,1.0,2.0,0.5,0.09090909090909091,6.0,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,,,1.0,,1.0,1.0,6.0,3.0,,1.0,1.0,,2.0,1.0,,3.0,3.0,,1.0,0.125,0.5,1.0,0.125,0.8571428571428571,0.35714285714285715,0.36363636363636365,0.8333333333333334,1.0,0.075,0.3,0.3333333333333333,0.16666666666666666,0.25,0.25,1.0,,,,,1.0,1.0,1.0,,1.0,0.1,,,1.0,2.0,1.0,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,1610612763,2013,2012-13,False
