EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PenaltyDefPoss,ShortMidRangeFGA,FtPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,FoulsDrawn,Charge Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Blocked2s,BlockedAtRim,Blocks,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceOffPoss,Corner3FGA,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,LostBallSteals,DeadBallTurnovers,Fouls,Offensive Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,Corner3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Charge Fouls,DefCorner3ReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,ShootingFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFtPoints,NonHeaveArc3FGM,Arc3Assists,ShortMidRangeAssists,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,PenaltyArc3FGM,SecondChanceFtPoints,Loose Ball Fouls Drawn,PenaltyArc3Accuracy,Technical Free Throw Trips,3SecondViolations,StepOutOfBoundsTurnovers,PtsUnassisted3s,Travels,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
101141-101145-200755-201601-202327,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Luc Mbah a Moute, Ekpe Udoh","Ilyasova, Ellis, Redick, Mbah a Moute, Udoh",101141-101145-200755-201601-202327,MIL,75.0,1,1.0,3.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,134.4,13.0,9.0,13.0,9.0,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.539,0.539,1.0,0.7,27.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,True
101141-101145-200755-201601-202336,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Luc Mbah a Moute, Larry Sanders","Ilyasova, Ellis, Redick, Mbah a Moute, Sanders",101141-101145-200755-201601-202336,MIL,121.0,1,2.0,4.0,4.0,,8.0,1.0,1.0,,,1.0,,1.0,2.0,1.0,4.0,2.0,,,,,,1.0,1.0,2.0,2.0,,,,,,,4.0,,,0.5,,0.3333333333333333,,0.5,,0.3333333333333333,,1.0,1.0,,95.20661157024794,14.25,16.0,14.25,16.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,0.6666666666666666,0.5672833333333334,,,4.35,27.0,,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,True
101141-101145-200755-201601-2223,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Luc Mbah a Moute, Samuel Dalembert","Ilyasova, Ellis, Redick, Mbah a Moute, Dalembert",101141-101145-200755-201601-2223,MIL,25.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,True
101141-101145-200755-201943-202336,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Brandon Jennings, Larry Sanders","Ilyasova, Ellis, Redick, Jennings, Sanders",101141-101145-200755-201943-202336,MIL,22.0,1,,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0,,2.0,2.0,1.0,1.0,,2.0,2.0,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,130.9090909090909,8.0,14.0,8.0,14.0,,,,,,,,,0.3088,0.3088,1.0,18.2,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,True
101141-101145-200755-202327-2399,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Ekpe Udoh, Mike Dunleavy","Ilyasova, Ellis, Redick, Udoh, Dunleavy",101141-101145-200755-202327-2399,MIL,136.0,1,2.0,4.0,4.0,4.0,8.0,,1.0,,1.0,,,1.0,2.0,1.0,2.0,6.0,1.0,2.0,1.0,2.0,2.0,,,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,,2.0,4.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,,0.3333333333333333,,84.70588235294117,13.75,20.25,12.0,18.5,0.3333333333333333,,,,0.3333333333333333,,,0.6666666666666666,0.5981500000000001,0.5981500000000001,1.0,9.55,24.1,1.0,-4.0,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3898,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,True
101141-101145-200755-202336-2399,1610612749,"Ersan Ilyasova, Monta Ellis, JJ Redick, Larry Sanders, Mike Dunleavy","Ilyasova, Ellis, Redick, Sanders, Dunleavy",101141-101145-200755-202336-2399,MIL,136.0,1,2.0,5.0,5.0,,10.0,,,,,1.0,,,2.0,2.0,,4.0,,,,,,1.0,,2.0,2.0,,,,,1.0,,,,,,,,,,,0.5,,,1.0,,105.88235294117648,19.0,8.2,19.0,8.2,,,,0.25,,,,0.5,0.485925,,,15.6,24.2,,-4.0,,1.0,,,,,,,2.0,1.0,1.0,,,,,,1.0,,1.0,,0.25,,,,,,,1.0,0.25,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,0.25,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,True
101141-101145-201601-201943-202327,1610612749,"Ersan Ilyasova, Monta Ellis, Luc Mbah a Moute, Brandon Jennings, Ekpe Udoh","Ilyasova, Ellis, Mbah a Moute, Jennings, Udoh",101141-101145-201601-201943-202327,MIL,867.0,2,14.0,27.0,30.0,16.0,57.0,7.0,8.0,5.0,5.0,5.0,4.0,13.0,18.0,8.0,30.0,33.0,9.0,9.0,7.0,21.0,18.0,5.0,6.0,13.0,16.0,2.0,1.0,1.0,1.0,3.0,2.0,26.0,21.0,16.0,0.7222222222222222,1.0,0.5576923076923077,0.65625,0.5555555555555556,0.65625,0.3076923076923077,0.3333333333333333,0.8571428571428571,0.9166666666666666,1.0,94.67128027681662,15.148148148148149,15.266666666666667,14.37037037037037,14.833333333333334,0.3076923076923077,0.875,0.875,0.19230769230769232,0.3125,1.0,0.25,0.6153846153846154,0.533823076923077,0.5632875,0.7,8.616666666666667,24.05,0.5925925925925926,-3.0,13.0,4.0,1.0,8.0,4.0,5.0,3.0,11.0,5.0,2.0,,,2.0,1.0,0.3076923076923077,0.3333333333333333,1.0,0.5,1.0,0.42857142857142855,0.15384615384615385,0.037037037037037035,0.05263157894736842,,,,3.0,6.0,0.23076923076923078,0.5,0.5,3.0,3.0,3.0,2.0,3.0,4.0,,1.0,3.0,1.0,2.0,9.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.2,0.25,,0.11538461538461539,0.1875,0.4238,0.13333333333333333,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,0.125,0.14285714285714285,0.125,1.0,0.2857142857142857,0.3333333333333333,0.4,1.0,0.75,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,True
101141-101145-201601-201943-202336,1610612749,"Ersan Ilyasova, Monta Ellis, Luc Mbah a Moute, Brandon Jennings, Larry Sanders","Ilyasova, Ellis, Mbah a Moute, Jennings, Sanders",101141-101145-201601-201943-202336,MIL,3583.0,4,60.0,111.0,111.0,5.0,222.0,29.0,44.0,3.0,5.0,10.0,,40.0,80.0,19.0,118.0,103.0,3.0,5.0,,9.0,24.0,10.0,17.0,42.0,63.0,13.0,10.0,15.0,9.0,22.0,1.0,93.0,9.0,5.0,0.5,0.6,0.494949494949495,0.6,0.5315315315315315,0.6428571428571429,0.1919191919191919,0.6818181818181818,0.6296296296296297,0.74,0.7142857142857143,89.22132291375942,16.675675675675677,15.603603603603604,15.405405405405405,15.27927927927928,0.4444444444444444,0.6590909090909091,0.7837837837837838,0.10101010101010101,1.0,0.6,,0.6363636363636364,0.5531510101010101,0.65578,0.07627118644067797,6.73625,24.973684210526315,0.04504504504504504,15.0,12.0,16.0,20.0,56.0,28.0,34.0,20.0,74.0,20.0,22.0,,2.0,27.0,14.0,0.7,0.8,0.8695652173913043,0.5384615384615384,0.8823529411764706,0.6896551724137931,0.16161616161616163,0.12727272727272726,0.15384615384615385,5.0,3.0,6.0,6.0,20.0,0.20202020202020202,0.3,0.3,18.0,9.0,,11.0,15.0,25.0,8.0,16.0,21.0,3.0,7.0,21.0,1.0,0.7333333333333333,0.6578947368421053,0.6578947368421053,0.1,0.1590909090909091,0.4,0.39622641509433965,0.6,0.09090909090909091,,0.5629866666666667,0.211864406779661,,0.8333333333333334,8.0,10.0,5.0,5.0,,6.0,,18.0,10.0,6.0,5.0,5.0,5.0,5.0,12.0,1.0,0.3157894736842105,,0.3157894736842105,1.0,0.38461538461538464,0.2857142857142857,0.2222222222222222,0.7142857142857143,0.3125,0.3333333333333333,0.8333333333333334,0.5555555555555556,0.5555555555555556,1.0,0.5263157894736842,0.8,,1.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,6.0,5.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.0625,0.2727272727272727,0.75,0.13333333333333333,0.3333333333333333,0.6,0.1,0.1,1.0,0.375,0.05263157894736842,1.0,1.0,0.15789473684210525,0.1,,,,,,,,,,,,1610612749,2013,2012-13,True
101141-101145-201601-201943-2223,1610612749,"Ersan Ilyasova, Monta Ellis, Luc Mbah a Moute, Brandon Jennings, Samuel Dalembert","Ilyasova, Ellis, Mbah a Moute, Jennings, Dalembert",101141-101145-201601-201943-2223,MIL,30.0,1,,2.0,1.0,2.0,3.0,,,,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,1.0,1.0,2.0,,,,,0.5,0.5,,,,,,144.0,6.0,18.0,6.0,15.0,,,,,,,,,,,1.0,,,1.0,-1.0,1.0,,1.0,,,,,,,1.0,,,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2013,2012-13,True
101141-101145-201601-201943-2399,1610612749,"Ersan Ilyasova, Monta Ellis, Luc Mbah a Moute, Brandon Jennings, Mike Dunleavy","Ilyasova, Ellis, Mbah a Moute, Jennings, Dunleavy",101141-101145-201601-201943-2399,MIL,208.0,1,3.0,5.0,6.0,5.0,11.0,,,,,2.0,2.0,1.0,2.0,2.0,11.0,10.0,1.0,2.0,2.0,11.0,2.0,2.0,2.0,2.0,3.0,,,,,,,10.0,11.0,5.0,0.5,0.5,1.0,1.0,0.9166666666666666,0.9166666666666666,0.5,,1.0,0.6666666666666666,1.0,76.15384615384615,21.0,17.166666666666668,21.0,15.833333333333334,,,,0.5,,,0.5,0.5,0.448475,0.448475,1.0,14.4,25.1,1.0,1.0,2.0,1.0,3.0,,,2.0,,6.0,,2.0,,1.0,4.0,1.0,,,,1.0,,,0.25,0.2,0.3333333333333333,,,,1.0,1.0,0.25,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,1.0,,,,0.5,,,1.0,1.0,,,,,0.09090909090909091,,,,,,,,2.0,2.0,6.0,,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,3.0,2.0,2.0,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,1610612749,2013,2012-13,True
