off_role,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,AST,TOV,STL,BLK,DREB,OREB,TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,PASSES_MADE,PASSES_RECEIVED,POTENTIAL_AST,RA_FGM,RA_FGA,ITP_FGM,ITP_FGA,MID_FGM,MID_FGA,CORNER_3_FGM,CORNER_3_FGA,ABOVE_BREAK_3_FGM,ABOVE_BREAK_3_FGA,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_PTS,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_PTS,wide_open_FG3M,wide_open_FG3A,open_FG3M,open_FG3A,tight_FG3M,tight_FG3A,very_tight_FG3M,very_tight_FG3A,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FTM,DRIVE_FTA,DRIVE_PTS,DRIVE_AST,DRIVE_PASSES,DRIVE_TOV,DRIVE_PF,OffPoss,DefPoss,TotalPoss
Athletic_Finisher,30018,12027,21541,846,2917,5118,7381,5241,3671,2692,2965,15056,7868,117486.0,3376.8,9008.11,3944.49,1192.246,87332.0,63876.0,9702.0,8751.0,12696.0,1889.0,4449.0,542.0,1492.0,296.0,984.0,547.0,1881.0,1133.0,3398.0,3053.0,559.0,1706.0,142.0,537.0,1260.0,555.0,1863.0,239.0,847.0,50.0,195.0,0.0,5.0,5023.0,1152.0,2430.0,675.0,898.0,3064.0,371.0,1643.0,366.0,451.0,179548.0,180163.0,359711.0
Movement_Shooter,29252,10372,24198,5283,14515,3225,4103,4402,2706,2128,1094,8848,2099,99095.0,3292.6,5820.99,3286.96,874.554,68437.0,64381.0,8428.0,3256.0,5012.0,1111.0,2793.0,733.0,1912.0,1837.0,4580.0,3433.0,9850.0,4810.0,12859.0,14395.0,1411.0,4094.0,587.0,1898.0,3409.0,2815.0,7166.0,2000.0,5771.0,436.0,1473.0,12.0,46.0,8473.0,1666.0,3692.0,868.0,1098.0,4323.0,730.0,3315.0,680.0,551.0,145720.0,145806.0,291526.0
Off_Screen_Shooter,12814,4525,10706,2596,6825,1168,1452,1792,1007,760,299,2757,511,37865.0,1297.3,2518.8,1466.53,399.365,24705.0,27293.0,3321.0,988.0,1583.0,420.0,1062.0,528.0,1256.0,718.0,1696.0,1871.0,5090.0,2156.0,5537.0,6408.0,1068.0,2788.0,511.0,1438.0,2647.0,1073.0,2515.0,1081.0,2887.0,399.0,1313.0,28.0,80.0,3181.0,635.0,1460.0,262.0,317.0,1564.0,288.0,1253.0,216.0,159.0,58354.0,58224.0,116578.0
Post_Scorer,18160,7082,13187,665,2142,3331,4540,3102,2454,957,1214,7738,3192,63713.0,2059.1,3074.31,1192.4,463.607,44986.0,38305.0,5672.0,4078.0,5930.0,1722.0,3573.0,617.0,1545.0,118.0,361.0,546.0,1757.0,992.0,2742.0,2758.0,481.0,1243.0,73.0,223.0,1035.0,420.0,1247.0,205.0,741.0,40.0,146.0,0.0,3.0,2303.0,595.0,1152.0,310.0,436.0,1552.0,137.0,649.0,190.0,220.0,73459.0,73348.0,146807.0
Primary_Ball_Handler,34214,12320,28532,4931,13403,4643,5676,12167,4773,2684,886,8396,1596,158634.0,11207.3,10741.75,9312.06,530.605,118266.0,127460.0,22695.0,3636.0,6035.0,2144.0,5158.0,1621.0,3964.0,1018.0,2560.0,3898.0,10723.0,3256.0,8482.0,9837.0,3982.0,10502.0,1702.0,4998.0,9666.0,2417.0,6176.0,1962.0,5510.0,495.0,1557.0,36.0,98.0,19990.0,3853.0,8299.0,1662.0,2029.0,9605.0,2231.0,8854.0,1283.0,1016.0,152045.0,151742.0,303787.0
Roll_Plus_Cut_Big,4004,1641,2809,90,290,632,938,708,478,260,345,1968,946,14510.0,397.6,554.2,181.96,97.05,10619.0,8148.0,1202.0,1131.0,1598.0,334.0,717.0,86.0,204.0,24.0,72.0,66.0,213.0,198.0,502.0,497.0,42.0,127.0,5.0,16.0,89.0,66.0,212.0,21.0,73.0,3.0,5.0,0.0,0.0,361.0,105.0,203.0,50.0,69.0,265.0,15.0,91.0,26.0,35.0,18169.0,18171.0,36340.0
Secondary_Ball_Handler,12619,4576,11011,1734,4963,1733,2177,2822,1555,882,328,3063,693,45370.0,2487.9,5793.47,4719.52,392.681,30506.0,33955.0,5278.0,1394.0,2406.0,812.0,2005.0,642.0,1647.0,422.0,1077.0,1305.0,3838.0,1207.0,3318.0,3615.0,1434.0,3899.0,560.0,1698.0,3428.0,835.0,2214.0,729.0,2102.0,157.0,602.0,5.0,20.0,6836.0,1405.0,3129.0,612.0,778.0,3510.0,643.0,2642.0,471.0,391.0,60239.0,60194.0,120433.0
Shot_Creator,100365,36088,78777,9841,28114,18348,22898,23892,12154,5834,2729,25052,5383,334266.0,22459.9,23504.34,18819.9,1784.216,222642.0,253707.0,45146.0,13313.0,20450.0,7168.0,16504.0,5783.0,13750.0,1890.0,5058.0,7931.0,22874.0,6151.0,16396.0,18770.0,11433.0,29612.0,4131.0,12515.0,26997.0,4302.0,11181.0,4383.0,12908.0,1087.0,3763.0,36.0,137.0,53210.0,11988.0,23815.0,6705.0,8297.0,31566.0,4919.0,20056.0,3493.0,4154.0,353288.0,352914.0,706202.0
Slasher,6758,2568,5761,389,1310,1233,1577,2344,986,497,159,1597,384,29679.0,2193.1,3100.04,2685.52,168.843,21245.0,23788.0,4515.0,1087.0,1820.0,712.0,1718.0,382.0,916.0,59.0,211.0,328.0,1084.0,202.0,656.0,601.0,792.0,2153.0,204.0,684.0,1788.0,191.0,606.0,173.0,561.0,22.0,133.0,1.0,7.0,6461.0,1308.0,2806.0,622.0,792.0,3319.0,673.0,2675.0,411.0,394.0,28703.0,28727.0,57430.0
Stationary_Shooter,21912,7893,18220,3855,10869,2271,3059,3920,2165,1932,1204,7910,1988,83008.0,2566.3,5574.01,2903.16,816.322,59838.0,50877.0,7349.0,2770.0,4215.0,851.0,2037.0,426.0,1132.0,1814.0,4779.0,2032.0,6025.0,3724.0,10217.0,11045.0,676.0,2040.0,235.0,841.0,1587.0,2613.0,6823.0,1076.0,3400.0,152.0,589.0,5.0,16.0,5915.0,1139.0,2420.0,578.0,763.0,2937.0,572.0,2463.0,484.0,380.0,127945.0,128200.0,256145.0
