off_role,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,AST,TOV,STL,BLK,DREB,OREB,TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,PASSES_MADE,PASSES_RECEIVED,POTENTIAL_AST,RA_FGM,RA_FGA,ITP_FGM,ITP_FGA,MID_FGM,MID_FGA,CORNER_3_FGM,CORNER_3_FGA,ABOVE_BREAK_3_FGM,ABOVE_BREAK_3_FGA,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_PTS,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_PTS,wide_open_FG3M,wide_open_FG3A,open_FG3M,open_FG3A,tight_FG3M,tight_FG3A,very_tight_FG3M,very_tight_FG3A,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FTM,DRIVE_FTA,DRIVE_PTS,DRIVE_AST,DRIVE_PASSES,DRIVE_TOV,DRIVE_PF
Athletic_Finisher,31085,12518,24886,574,1950,5475,8158,4601,4624,2819,3470,16449,8180,143224.0,3903.6,9608.7,3301.38,1181.467,107492.0,75267.0,10125.0,7939.0,12625.0,1476.0,3764.0,2529.0,6547.0,206.0,640.0,367.0,1269.0,2526.0,6494.0,5861.0,723.0,2106.0,64.0,279.0,1510.0,374.0,1208.0,153.0,545.0,35.0,154.0,9.0,23.0,4722.0,957.0,2272.0,672.0,945.0,2651.0,294.0,1206.0,379.0,477.0
Movement_Shooter,9896,3531,8213,1623,4375,1211,1588,1529,1076,811,345,3000,750,36692.0,1203.0,2057.38,1065.44,286.545,25813.0,24813.0,3160.0,1126.0,1845.0,254.0,624.0,528.0,1369.0,535.0,1360.0,1083.0,2986.0,1728.0,4463.0,5030.0,455.0,1274.0,96.0,337.0,1006.0,909.0,2287.0,552.0,1524.0,146.0,469.0,15.0,57.0,2704.0,498.0,1069.0,300.0,401.0,1338.0,228.0,911.0,229.0,206.0
Off_Screen_Shooter,24687,8794,20597,3579,9413,3520,4287,4122,2732,1809,684,6012,1201,84575.0,3063.0,5320.14,3143.09,714.449,57209.0,63258.0,8440.0,2439.0,4023.0,689.0,1766.0,2087.0,5393.0,1146.0,2783.0,2429.0,6584.0,3940.0,9948.0,11181.0,1885.0,4979.0,404.0,1208.0,4174.0,1871.0,4522.0,1290.0,3411.0,380.0,1254.0,36.0,138.0,6202.0,1119.0,2638.0,759.0,929.0,3068.0,523.0,1966.0,462.0,471.0
Post_Scorer,49751,19734,40401,678,2225,9605,13478,6584,6597,2713,3638,20324,8656,182155.0,5653.1,8271.15,2761.9,1184.811,125303.0,107973.0,14216.0,10293.0,16541.0,3908.0,9405.0,4855.0,12230.0,165.0,502.0,512.0,1668.0,3671.0,9121.0,9141.0,1641.0,4337.0,68.0,262.0,3350.0,428.0,1292.0,193.0,668.0,51.0,206.0,5.0,32.0,4639.0,1111.0,2457.0,727.0,1017.0,3020.0,260.0,952.0,363.0,519.0
Primary_Ball_Handler,30888,11006,26117,3657,9972,5219,6487,12617,5229,2942,539,6745,1401,175484.0,13968.0,13144.3,12950.13,474.474,134802.0,150951.0,26249.0,3617.0,6433.0,1131.0,3103.0,2601.0,6608.0,800.0,2007.0,2855.0,7869.0,2938.0,7522.0,8574.0,3693.0,9700.0,1051.0,3141.0,8437.0,1926.0,4779.0,1322.0,3689.0,365.0,1253.0,42.0,160.0,18330.0,2782.0,6546.0,1636.0,2083.0,7370.0,2261.0,6829.0,1220.0,1071.0
Roll_Plus_Cut_Big,5542,2240,4286,56,177,1006,1515,660,731,365,585,2769,1335,22691.0,586.4,803.43,216.05,129.483,16689.0,12012.0,1481.0,1484.0,2309.0,302.0,774.0,398.0,1026.0,18.0,49.0,38.0,126.0,369.0,937.0,857.0,89.0,235.0,3.0,14.0,181.0,49.0,135.0,6.0,30.0,1.0,9.0,0.0,3.0,473.0,113.0,242.0,68.0,100.0,299.0,16.0,115.0,43.0,50.0
Secondary_Ball_Handler,8102,2954,7246,799,2369,1395,1792,2031,1212,686,189,2070,418,33793.0,1845.0,4493.94,3874.88,248.485,23419.0,26900.0,4288.0,1081.0,1864.0,306.0,885.0,768.0,2127.0,247.0,621.0,552.0,1718.0,803.0,2146.0,2286.0,846.0,2488.0,156.0,595.0,1848.0,435.0,1158.0,277.0,884.0,78.0,267.0,6.0,34.0,3919.0,714.0,1705.0,460.0,586.0,1933.0,340.0,1237.0,259.0,299.0
Shot_Creator,72391,26006,57697,5756,15912,14623,18447,17311,10003,5314,1737,16668,3965,264572.0,17508.5,19192.76,16241.12,1390.296,179755.0,207533.0,35807.0,10159.0,16689.0,3318.0,8451.0,6773.0,16641.0,1325.0,3374.0,4417.0,12382.0,5284.0,13368.0,15436.0,7680.0,19747.0,1782.0,5390.0,17142.0,2594.0,6532.0,2235.0,6285.0,836.0,2641.0,85.0,332.0,33204.0,6218.0,13828.0,4279.0,5452.0,17211.0,3121.0,10399.0,2344.0,2776.0
Slasher,10004,3718,8591,472,1525,2096,2691,3839,1676,761,171,1923,535,48403.0,3921.2,4366.5,4230.62,184.609,35038.0,41715.0,7852.0,1824.0,3308.0,560.0,1503.0,862.0,2255.0,84.0,233.0,386.0,1274.0,333.0,991.0,942.0,1148.0,3035.0,228.0,753.0,2524.0,251.0,681.0,173.0,623.0,45.0,185.0,3.0,23.0,9256.0,1516.0,3539.0,867.0,1122.0,3988.0,1057.0,3297.0,590.0,574.0
Stationary_Shooter,12422,4493,10604,2059,5734,1377,1830,2089,1366,1184,549,4157,1017,50698.0,1539.1,3184.86,1541.1,432.387,36850.0,32925.0,4371.0,1445.0,2260.0,313.0,856.0,676.0,1752.0,870.0,2259.0,1187.0,3445.0,2302.0,6194.0,6625.0,483.0,1308.0,92.0,282.0,1058.0,1357.0,3554.0,556.0,1649.0,134.0,434.0,12.0,51.0,2967.0,470.0,1145.0,317.0,411.0,1291.0,286.0,1001.0,255.0,206.0
