EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,DefShortMidRangeReboundPct,LongMidRangeFrequency,Avg2ptShotDistance,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,FG2M,PenaltyFG2M,PtsUnassisted2s,FTDefRebounds,Fouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,PenaltyFg2Pct,DefFTReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,FtPoints,PenaltyFtPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Corner3FGA,PenaltyCorner3FGA,ShootingFouls,Corner3Frequency,PenaltyCorner3Frequency,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PtsAssisted2s,TwoPtAssists,AtRimAssists,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctAssisted,LiveBallTurnovers,BadPassTurnovers,Turnovers,LiveBallTurnoverPct,PtsUnassisted3s,DeadBallTurnovers,LostBallTurnovers,SecondChanceOffPoss,SecondChanceFG2A,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,Offensive Fouls,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,HeaveAttempts,Fg2aBlocked,PenaltyTurnovers,DefensiveGoaltends,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,SecondChanceTurnovers,LongMidRangePctBlocked,ShortMidRangeAssists,LongMidRangeAssists,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3FGM,Corner3Assists,OffAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,FTOffRebounds,Steals,BadPassSteals,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,OffFTReboundPct,SecondChanceFtPoints,Loose Ball Fouls,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,BadPassOutOfBoundsTurnovers,BlockedShortMidRange,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,LostBallSteals,3SecondViolations,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,Travels,Technical Free Throw Trips,Defensive 3 Seconds Violations,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,OffCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,PenaltyCorner3FGM,Blocked3s,BlockedArc3,OffensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,BlockedLongMidRange,team_id,year,season,team_vs
101137-101189-1749-1894-2733,1610612746,"Daniel Ewing, James Singleton, Cuttino Mobley, Corey Maggette, Shaun Livingston","Ewing, Singleton, Mobley, Maggette, Livingston",101137-101189-1749-1894-2733,LAC,36.0,1,1.0,3.0,1.0,2.0,1.0,2.0,3,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,120.0,18.0,9.0,18.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43995,0.43995,1.0,26.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2006,2005-06,False
101137-101189-1749-2209-962,1610612746,"Daniel Ewing, James Singleton, Cuttino Mobley, Vladimir Radmanovic, Walter McCarty","Ewing, Singleton, Mobley, Radmanovic, McCarty",101137-101189-1749-2209-962,LAC,48.0,1,1.0,-2.0,1.0,2.0,1.0,2.0,3,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,90.0,26.0,11.0,26.0,11.0,,,,,,,,,0.3452,0.3452,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2006,2005-06,False
101137-101189-1882-1894-2549,1610612746,"Daniel Ewing, James Singleton, Elton Brand, Corey Maggette, Chris Kaman","Ewing, Singleton, Brand, Maggette, Kaman",101137-101189-1882-1894-2549,LAC,31.0,1,1.0,-2.0,1.0,1.0,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,92.9032258064516,9.0,22.0,9.0,15.0,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2006,2005-06,False
101137-101189-1894-2209-2549,1610612746,"Daniel Ewing, James Singleton, Corey Maggette, Vladimir Radmanovic, Chris Kaman","Ewing, Singleton, Maggette, Radmanovic, Kaman",101137-101189-1894-2209-2549,LAC,121.0,1,2.0,3.0,4.0,3.0,4.0,3.0,7,,,,,,,6.0,,,6.0,,,,,,,,1.0,2.0,2.0,6.0,6.0,4.0,,,,,0.75,0.75,0.75,0.75,,1.0,1.0,,83.30578512396694,20.0,13.666666666666666,20.0,13.666666666666666,,,,,,,0.25,,0.364025,0.364025,1.0,,1.0,2.0,4.0,3.0,4.0,,0.5,11.925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.5,0.5,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2006,2005-06,False
101137-1749-1882-1894-2733,1610612746,"Daniel Ewing, Cuttino Mobley, Elton Brand, Corey Maggette, Shaun Livingston","Ewing, Mobley, Brand, Maggette, Livingston",101137-1749-1882-1894-2733,LAC,29.0,1,,2.0,1.0,1.0,1.0,1.0,2,,,,,,,2.0,,,2.0,,,,,,,,,1.0,1.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,99.3103448275862,9.0,20.0,9.0,20.0,,,,,,,,,0.3198,0.3198,1.0,,1.0,1.0,1.0,,1.0,,1.0,16.9,,,,,,,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2006,2005-06,False
101137-1749-1882-2624-2733,1610612746,"Daniel Ewing, Cuttino Mobley, Elton Brand, Quinton Ross, Shaun Livingston","Ewing, Mobley, Brand, Ross, Livingston",101137-1749-1882-2624-2733,LAC,18.0,1,,-2.0,,1.0,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,18.0,,18.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2006,2005-06,False
101137-1749-1894-2549-2733,1610612746,"Daniel Ewing, Cuttino Mobley, Corey Maggette, Chris Kaman, Shaun Livingston","Ewing, Mobley, Maggette, Kaman, Livingston",101137-1749-1894-2549-2733,LAC,2.0,1,,,1.0,,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,720.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2006,2005-06,False
101137-1749-2624-2733-962,1610612746,"Daniel Ewing, Cuttino Mobley, Quinton Ross, Shaun Livingston, Walter McCarty","Ewing, Mobley, Ross, Livingston, McCarty",101137-1749-2624-2733-962,LAC,14.0,2,,-3.0,1.0,3.0,1.0,2.0,4,,,,,,,2.0,,,2.0,,,,,,,,,1.0,1.0,2.0,2.0,1.0,,,,,,,1.0,1.0,,,0.5,,411.42857142857144,1.0,4.333333333333333,1.0,4.333333333333333,,,,,,,,,,,1.0,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2006,2005-06,False
101189-1749-1882-208-2624,1610612746,"James Singleton, Cuttino Mobley, Elton Brand, Sam Cassell, Quinton Ross","Singleton, Mobley, Brand, Cassell, Ross",101189-1749-1882-208-2624,LAC,172.0,1,3.0,-5.0,4.0,5.0,4.0,4.0,9,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,3.0,3.0,4.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.375,0.375,0.375,0.75,,0.5,,75.34883720930233,24.0,15.2,24.0,14.2,0.5,0.5,0.5,1.0,0.5,0.5,0.75,0.5,0.394375,0.394375,1.0,26.133333333333336,1.0,1.0,1.0,8.0,1.0,,0.25,17.7,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,0.5,1.0,,,,,,,1.0,1.0,3.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2006,2005-06,False
101189-1749-1882-2549-2733,1610612746,"James Singleton, Cuttino Mobley, Elton Brand, Chris Kaman, Shaun Livingston","Singleton, Mobley, Brand, Kaman, Livingston",101189-1749-1882-2549-2733,LAC,3.0,1,,,,1.0,,1.0,1,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,480.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2006,2005-06,False
