EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangePctBlocked,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGA,SecondChanceArc3Frequency,BlockedLongMidRange,PenaltyArc3FGM,Corner3PctBlocked,PenaltyArc3Accuracy,team_id,year,season,team_vs
101106-2048-2072-2250-2551,1610612749,"Andrew Bogut, Jamaal Magloire, Michael Redd, Bobby Simmons, T.J. Ford","Bogut, Magloire, Redd, Simmons, Ford",101106-2048-2072-2250-2551,MIL,4674.0,5,78.0,-8.0,138.0,136.0,8.0,15.0,20.0,274,24.0,47.0,4.0,11.0,1.0,2.0,15.0,34.0,13.0,34.0,5.0,7.0,3.0,3.0,6.0,12.0,1.0,52.0,115.0,11.0,19.0,20.0,157.0,165.0,7.0,17.0,3.0,3.0,3.0,26.0,2.0,5.0,1.0,4.0,8.0,56.0,48.0,30.0,3.0,6.0,12.0,6.0,8.0,1.0,28.0,10.0,38.0,6.0,4.0,18.0,4.0,6.0,86.0,2.0,19.0,1.0,14.0,34.0,5.0,53.0,22.0,75.0,2.0,7.0,3.0,4.0,8.0,3.0,7.0,11.0,1.0,1.0,1.0,19.0,1.0,2.0,20.0,43.0,2.0,4.0,25.0,2.0,1.0,23.0,4.0,1.0,11.0,2.0,5.0,4.0,1.0,5.0,2.0,1.0,131.0,8.0,8.0,4.0,2.0,0.5384615384615384,0.5714285714285714,0.9090909090909091,0.5789473684210527,1.0,0.5789473684210527,0.45217391304347826,0.4117647058823529,0.4,0.5111940298507462,0.575,0.3333333333333333,0.5454545454545454,0.5952380952380952,0.5,0.1417910447761194,0.05263157894736842,0.06956521739130435,0.14893617021276595,0.029411764705882353,0.08333333333333333,0.42105263157894735,0.8333333333333334,0.5,0.7391304347826086,0.3114754098360656,0.8235294117647058,0.25,0.7619047619047619,0.30434782608695654,0.13043478260869565,0.5789473684210527,0.2631578947368421,0.16666666666666666,0.5,0.6153846153846154,0.75,0.8235294117647058,0.7777777777777778,0.875,0.03333333333333333,84.41591784338895,0.4,16.630434782608695,17.49264705882353,15.659420289855072,16.727941176470587,0.35074626865671643,0.5106382978723404,0.6,0.75,0.2537313432835821,0.4411764705882353,0.45454545454545453,0.26666666666666666,0.2537313432835821,0.38235294117647056,0.38235294117647056,0.46153846153846156,0.05223880597014925,0.7142857142857143,0.7142857142857143,0.8,0.08955223880597014,0.5,0.5454545454545454,1.0,0.55,0.36363636363636365,0.25,0.15,1.0,1.0,0.3333333333333333,0.5,0.16666666666666666,0.4925373134328358,0.5,0.46978022388059704,0.5073722222222222,0.42614166666666664,0.07801418439716312,0.09016393442622951,0.16560509554140126,0.050955414012738856,7.782608695652174,25.36842105263158,0.057971014492753624,,,,,,,,,,,,,,1610612749,2006,2005-06,False
101106-2048-2072-2250-2590,1610612749,"Andrew Bogut, Jamaal Magloire, Michael Redd, Bobby Simmons, Mo Williams","Bogut, Magloire, Redd, Simmons, Williams",101106-2048-2072-2250-2590,MIL,140.0,2,2.0,-1.0,4.0,6.0,3.0,4.0,,10,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,2.0,3.0,,,3.0,7.0,8.0,,,,,,,2.0,3.0,,,4.0,2.0,2.0,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,2.0,,,1.0,,,3.0,,1.0,1.0,,,,,,,,7.0,4.0,3.0,1.0,,0.5,0.5,,,,,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.75,,0.6666666666666666,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,102.85714285714285,,16.25,12.5,16.25,12.5,0.3333333333333333,1.0,1.0,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,0.3333333333333333,,0.4252,,0.4252,0.25,0.25,,0.5714285714285714,7.8999999999999995,,0.75,,,,,,,,,,,,,,1610612749,2006,2005-06,False
101106-2048-2072-2294-2551,1610612749,"Andrew Bogut, Jamaal Magloire, Michael Redd, Charlie Bell, T.J. Ford","Bogut, Magloire, Redd, Bell, Ford",101106-2048-2072-2294-2551,MIL,307.0,2,5.0,7.0,9.0,9.0,4.0,,2.0,18,2.0,2.0,,,,,,1.0,3.0,3.0,,,,,,1.0,,5.0,6.0,,1.0,3.0,13.0,6.0,,,,,1.0,1.0,2.0,2.0,,,4.0,6.0,4.0,,,,1.0,,,,3.0,,3.0,,,1.0,,2.0,6.0,1.0,,1.0,1.0,3.0,1.0,5.0,2.0,7.0,1.0,,,,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,5.0,1.0,,7.0,1.0,,3.0,1.0,,,,,,,12.0,4.0,4.0,,1.0,0.6,0.6,,,,,0.8333333333333334,,1.0,0.7142857142857143,,1.0,0.65,0.25,0.6666666666666666,0.14285714285714285,,,,,,1.0,1.0,0.3333333333333333,1.0,,1.0,1.0,1.0,0.5,,,,1.0,,1.0,1.0,1.0,1.0,,0.5,84.4299674267101,,15.88888888888889,18.22222222222222,15.555555555555555,18.22222222222222,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,,,,0.42857142857142855,1.0,1.0,0.6666666666666666,,,,,0.14285714285714285,,,,,,,,,,,,,0.42857142857142855,,0.4587,,0.4136,0.3333333333333333,0.375,0.07692307692307693,0.3076923076923077,8.85,26.4,0.4444444444444444,,,,,,,,,,,,,,1610612749,2006,2005-06,False
101106-2048-2072-2294-2590,1610612749,"Andrew Bogut, Jamaal Magloire, Michael Redd, Charlie Bell, Mo Williams","Bogut, Magloire, Redd, Bell, Williams",101106-2048-2072-2294-2590,MIL,75.0,1,1.0,-2.0,3.0,2.0,,,,5,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,0.5,,,,,,,,,,1.0,,,96.0,,11.0,21.0,11.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.55605,,,,,,,,,,,,,,,,,,,,,,,1610612749,2006,2005-06,False
101106-2048-2072-2551-389,1610612749,"Andrew Bogut, Jamaal Magloire, Michael Redd, T.J. Ford, Toni Kukoc","Bogut, Magloire, Redd, Ford, Kukoc",101106-2048-2072-2551-389,MIL,22.0,1,,,1.0,,,,,1,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.45454545454545,,9.0,,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.6222,,,,,,,,,,,,,,,,,,,,,,,1610612749,2006,2005-06,False
101106-2048-2250-2294-2551,1610612749,"Andrew Bogut, Jamaal Magloire, Bobby Simmons, Charlie Bell, T.J. Ford","Bogut, Magloire, Simmons, Bell, Ford",101106-2048-2250-2294-2551,MIL,175.0,1,3.0,-2.0,5.0,5.0,3.0,5.0,2.0,10,2.0,3.0,1.0,1.0,2.0,3.0,,,,2.0,,,,,,1.0,1.0,2.0,5.0,,1.0,1.0,5.0,7.0,1.0,2.0,,,,2.0,2.0,4.0,1.0,1.0,5.0,,4.0,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,2.0,3.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,,,2.0,,,1.0,1.0,,1.0,,,,,,,,3.0,5.0,3.0,1.0,,,,,,,,0.4,0.5,0.5,0.3333333333333333,0.5,0.4,0.4166666666666667,0.5,0.5,0.16666666666666666,,0.2,0.3333333333333333,,,1.0,,,1.0,0.3333333333333333,,1.0,1.0,0.5,1.0,,,1.0,,1.0,,,,,,82.28571428571429,,20.6,14.4,18.4,14.4,0.5,0.6666666666666666,1.0,,,,,,0.3333333333333333,,,,,,,,0.16666666666666666,,,,0.5,1.0,,,,,0.6,0.6666666666666666,0.2,0.6666666666666666,,0.511525,0.4797,0.5371699999999999,0.16666666666666666,0.2,0.4,1.0,6.56,25.5,0.6,,,,,,,,,,,,,,1610612749,2006,2005-06,False
101106-2048-2250-2294-2590,1610612749,"Andrew Bogut, Jamaal Magloire, Bobby Simmons, Charlie Bell, Mo Williams","Bogut, Magloire, Simmons, Bell, Williams",101106-2048-2250-2294-2590,MIL,105.0,1,2.0,-5.0,4.0,3.0,,2.0,,7,,1.0,,,,,,,,2.0,,,,,,,,,3.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,2.0,,,,,,,,1.0,,,,1.0,,,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,96.0,,16.0,13.666666666666666,16.0,13.666666666666666,0.3333333333333333,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.46036666666666665,,,,,,,13.333333333333334,,,,,,,,,,,,,,,,1610612749,2006,2005-06,False
101106-2072-2250-2294-2551,1610612749,"Andrew Bogut, Michael Redd, Bobby Simmons, Charlie Bell, T.J. Ford","Bogut, Redd, Simmons, Bell, Ford",101106-2072-2250-2294-2551,MIL,85.0,1,1.0,,2.0,2.0,2.0,2.0,,4,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,2.0,2.0,2.0,,,,,,,,,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,0.5,,0.5,1.0,,,,,,,,,1.0,,,,0.5,,,,,,,,,1.0,,,,67.76470588235294,,13.0,29.5,13.0,17.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,0.46425,,0.46425,0.5,1.0,,1.0,,25.9,1.0,,,,,,,,,,,,,,1610612749,2006,2005-06,False
101106-2072-2250-2551-389,1610612749,"Andrew Bogut, Michael Redd, Bobby Simmons, T.J. Ford, Toni Kukoc","Bogut, Redd, Simmons, Ford, Kukoc",101106-2072-2250-2551-389,MIL,334.0,2,6.0,7.0,11.0,10.0,,,,21,4.0,4.0,,,,,1.0,2.0,1.0,1.0,,,,,1.0,2.0,,6.0,7.0,1.0,2.0,3.0,18.0,11.0,,,,,,,,,,,,8.0,4.0,3.0,,,2.0,1.0,,,4.0,1.0,5.0,1.0,,3.0,,1.0,11.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,1.0,,1.0,,,,1.0,,,,1.0,,,3.0,,,3.0,,1.0,1.0,,,,,,,,18.0,,,,,0.6666666666666666,0.6666666666666666,1.0,0.5,,0.5,0.8571428571428571,,,0.8333333333333334,,,0.85,,,0.2222222222222222,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,90.53892215568862,,12.727272727272727,19.4,12.727272727272727,19.4,0.4444444444444444,1.0,1.0,0.75,0.2222222222222222,0.5,0.5,,0.1111111111111111,1.0,1.0,1.0,,,,,0.2222222222222222,0.5,0.5,1.0,,,,,,,,,,0.6666666666666666,0.5,0.5263555555555555,,,0.1,0.125,,,4.757142857142857,26.4,,,,,,,,,,,,,,,1610612749,2006,2005-06,False
101106-2072-2250-2551-693,1610612749,"Andrew Bogut, Michael Redd, Bobby Simmons, T.J. Ford, Joe Smith","Bogut, Redd, Simmons, Ford, Smith",101106-2072-2250-2551-693,MIL,785.0,3,13.0,-15.0,23.0,23.0,18.0,14.0,3.0,46,3.0,7.0,1.0,2.0,3.0,6.0,1.0,2.0,1.0,8.0,,,,,,2.0,1.0,5.0,17.0,,2.0,7.0,17.0,32.0,1.0,3.0,,,,2.0,4.0,14.0,1.0,7.0,15.0,6.0,4.0,,,2.0,2.0,,2.0,,3.0,,3.0,,,1.0,1.0,1.0,6.0,,4.0,,2.0,4.0,2.0,8.0,4.0,12.0,,,,,1.0,,1.0,2.0,,,,3.0,,3.0,8.0,11.0,1.0,1.0,6.0,,,10.0,1.0,1.0,3.0,2.0,,,,,,,15.0,15.0,18.0,1.0,2.0,0.6,0.75,,,,,0.29411764705882354,0.3333333333333333,0.2857142857142857,0.2631578947368421,0.3333333333333333,0.26666666666666666,0.34782608695652173,0.25,0.3684210526315789,0.10526315789473684,,0.11764705882352941,0.14285714285714285,,,0.3333333333333333,1.0,,0.5714285714285714,0.3333333333333333,1.0,,0.6666666666666666,0.2857142857142857,0.25,1.0,0.2857142857142857,,,,0.5,0.6666666666666666,1.0,,,84.38216560509554,,16.52173913043478,17.608695652173914,15.652173913043478,15.478260869565217,0.3684210526315789,0.42857142857142855,0.5,0.3333333333333333,0.10526315789473684,0.5,0.5,1.0,0.42105263157894735,0.125,0.14285714285714285,1.0,,,,,0.10526315789473684,,,,0.6666666666666666,0.5,,,,,0.4,0.5,0.06666666666666667,0.47368421052631576,,0.46155000000000007,0.4889333333333334,0.45538333333333336,0.14285714285714285,0.15789473684210525,0.11764705882352941,0.8823529411764706,9.188235294117646,26.5,0.782608695652174,0.125,,,,,,,,,,,,,1610612749,2006,2005-06,False
