EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShootingFouls,Fouls,SecondChanceAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2M,SecondChancePoints,PtsUnassisted3s,PtsPutbacks,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,LostBallTurnovers,Travels,Offensive Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChancePointsPct,SecondChanceFtPoints,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,Loose Ball Fouls,SecondChanceArc3FGA,SecondChanceFG3A,BlockedShortMidRange,SecondChanceArc3Frequency,SecondChanceCorner3FGA,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceFG3M,HeaveAttempts,Fg3aBlocked,BlockedAtRim,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,Technical Free Throw Trips,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
101182-1498-1712-2041-2873,1610612764,"Donell Taylor, Antonio Daniels, Antawn Jamison, Etan Thomas, Billy Thomas","Taylor, Daniels, Jamison, Thomas, Thomas",101182-1498-1712-2041-2873,WAS,192.0,1,3.0,4.0,5,6,5.0,6.0,1.0,11,2.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,10.0,6,1.0,3.0,5.0,1.0,1.0,1.0,10.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,5.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.6,0.6,0.75,0.75,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.2,0.25,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,82.5,20.4,15.0,18.0,14.833333333333334,0.6666666666666666,0.5,0.6666666666666666,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.16666666666666666,1.0,0.8333333333333334,1.0,0.56435,0.463,0.56435,0.16666666666666666,0.2,1.0,2.56,25.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,True
1498-1712-1913-2217-2240,1610612764,"Antonio Daniels, Antawn Jamison, Michael Ruffin, Brendan Haywood, Gilbert Arenas","Daniels, Jamison, Ruffin, Haywood, Arenas",1498-1712-1913-2217-2240,WAS,25.0,1,,,1,1,1.0,1.0,,2,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,2.0,2,,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,115.19999999999999,3.0,22.0,3.0,22.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,0.6969,,0.6969,,,1.0,0.2,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,True
1498-1712-1913-2240-2406,1610612764,"Antonio Daniels, Antawn Jamison, Michael Ruffin, Gilbert Arenas, Caron Butler","Daniels, Jamison, Ruffin, Arenas, Butler",1498-1712-1913-2240-2406,WAS,1941.0,6,32.0,-19.0,57,60,21.0,31.0,11.0,117,15.0,20.0,4.0,4.0,4.0,1.0,7.0,3.0,10.0,1.0,2.0,20.0,42.0,4.0,13.0,8.0,60.0,79,11.0,5.0,12.0,2.0,4.0,3.0,19.0,20.0,20.0,9.0,10.0,3.0,4.0,10.0,3.0,13.0,2.0,7.0,29.0,8.0,5.0,10.0,2.0,17.0,13.0,30.0,2.0,4.0,2.0,9.0,,5.0,15.0,13.0,3.0,7.0,48.0,19.0,21.0,0.5,0.5882352941176471,0.75,0.3076923076923077,0.5,0.3076923076923077,0.47619047619047616,0.4166666666666667,0.4727272727272727,0.5,0.5,0.5277777777777778,0.23636363636363636,0.09523809523809523,0.05,0.4444444444444444,1.0,0.6666666666666666,0.36363636363636365,0.5,0.6,0.3548387096774194,0.6,0.5,,0.07407407407407407,86.80061823802164,17.80701754385965,15.433333333333334,16.596491228070175,14.466666666666667,0.36363636363636365,0.75,0.7894736842105263,0.4666666666666667,0.12727272727272726,0.14285714285714285,0.25,0.18181818181818182,0.3,0.3,0.6666666666666666,0.36363636363636365,0.25,1.0,0.125,0.5,0.6,0.3,0.5259427272727273,0.5022,0.505784375,0.11864406779661017,0.15217391304347827,0.31666666666666665,8.116666666666665,25.26923076923077,0.3684210526315789,9.0,18.0,3.0,4.0,15.0,1.0,3.0,1.0,2.0,6.0,12.0,3.0,6.0,1.0,3.0,3.0,2.0,5.0,3.0,2.0,5.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.42857142857142855,0.4,0.3333333333333333,0.5,0.18181818181818182,0.2857142857142857,0.5,0.5,0.8571428571428571,0.625,0.2727272727272727,0.26666666666666666,0.26666666666666666,0.75,0.05454545454545454,0.3333333333333333,0.3333333333333333,1.0,0.75,0.125,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,True
1498-1712-1913-2240-2407,1610612764,"Antonio Daniels, Antawn Jamison, Michael Ruffin, Gilbert Arenas, Jared Jeffries","Daniels, Jamison, Ruffin, Arenas, Jeffries",1498-1712-1913-2240-2407,WAS,483.0,3,8.0,3.0,14,15,4.0,6.0,1.0,29,1.0,2.0,,1.0,2.0,,,2.0,5.0,,1.0,2.0,4.0,3.0,7.0,6.0,19.0,16,,1.0,2.0,,1.0,4.0,6.0,2.0,2.0,3.0,5.0,2.0,,1.0,1.0,2.0,,1.0,5.0,1.0,1.0,5.0,1.0,7.0,1.0,8.0,,,,,,,7.0,10.0,,2.0,18.0,6.0,4.0,0.5,0.5,0.3333333333333333,0.42857142857142855,,0.42857142857142855,0.5,0.5,0.5909090909090909,0.3333333333333333,0.59375,0.5,0.6363636363636364,,,,1.0,1.0,0.5,1.0,1.0,0.16666666666666666,1.0,,,,86.45962732919254,17.428571428571427,15.933333333333334,17.428571428571427,15.866666666666667,0.18181818181818182,0.5,0.5,1.0,,,,0.45454545454545453,0.4,0.4,,,0.6666666666666666,0.5,0.3333333333333333,,0.8181818181818182,0.4,0.5166863636363637,,0.5599999999999999,0.15384615384615385,0.3333333333333333,0.3157894736842105,9.3,25.057142857142857,0.2857142857142857,1.0,1.0,,1.0,2.0,1.0,2.0,,,,1.0,6.0,,1.0,,,,1.0,,1.0,,,,,,3.0,,3.0,,,0.5,,,,,,,,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,,0.18181818181818182,0.5,0.5,1.0,,,,0.05263157894736842,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,True
1498-1712-1913-2406-2407,1610612764,"Antonio Daniels, Antawn Jamison, Michael Ruffin, Caron Butler, Jared Jeffries","Daniels, Jamison, Ruffin, Butler, Jeffries",1498-1712-1913-2406-2407,WAS,107.0,1,2.0,1.0,3,3,,,,6,1.0,1.0,,,,,1.0,,,,,1.0,2.0,,1.0,1.0,3.0,2,,,,,,,,2.0,,,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,,,,,0.5,,0.3333333333333333,,0.5,,0.3333333333333333,,,,,,,,,,,,,,80.74766355140187,21.666666666666668,14.0,21.666666666666668,14.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,0.6666666666666666,,0.5028833333333333,,,0.3333333333333333,0.5,,4.25,24.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,True
1498-1712-2041-2240-2406,1610612764,"Antonio Daniels, Antawn Jamison, Etan Thomas, Gilbert Arenas, Caron Butler","Daniels, Jamison, Thomas, Arenas, Butler",1498-1712-2041-2240-2406,WAS,310.0,2,5.0,1.0,8,6,,2.0,2.0,14,4.0,5.0,2.0,,,1.0,2.0,,2.0,,,5.0,9.0,,2.0,,10.0,9,2.0,,,,,,,4.0,6.0,,2.0,,1.0,2.0,,2.0,,2.0,4.0,2.0,1.0,1.0,,2.0,3.0,5.0,,,,,,,2.0,,,,6.0,,,0.4,0.6666666666666666,,,,,0.5555555555555556,,0.45454545454545453,,0.45454545454545453,,0.18181818181818182,0.1111111111111111,,,,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,,,,65.03225806451613,22.5,21.666666666666668,19.25,20.5,0.45454545454545453,0.8,0.8,0.5,0.18181818181818182,0.5,1.0,0.18181818181818182,,,,0.6666666666666666,,,,,0.6363636363636364,,0.5046090909090909,0.608375,,,,,7.188888888888889,24.75,,1.0,1.0,2.0,,2.0,,,,,2.0,4.0,,4.0,,,1.0,,,,,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,0.5,,0.5,,0.5,0.5,,0.5,,1.0,0.18181818181818182,,,,,,,,1.0,,,0.4,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,True
1498-1712-2041-2240-2407,1610612764,"Antonio Daniels, Antawn Jamison, Etan Thomas, Gilbert Arenas, Jared Jeffries","Daniels, Jamison, Thomas, Arenas, Jeffries",1498-1712-2041-2240-2407,WAS,169.0,2,3.0,-1.0,5,6,4.0,6.0,,11,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,2.0,3.0,,,,4.0,5,,2.0,2.0,,,,4.0,2.0,2.0,,,,,1.0,,1.0,,1.0,2.0,,1.0,2.0,,3.0,,3.0,,1.0,,2.0,,2.0,,,,,4.0,4.0,4.0,0.5,0.5,,,,,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,,,,0.5,,0.6666666666666666,,0.5,0.6,,,1.0,,,93.72781065088756,16.8,14.166666666666666,16.8,11.833333333333334,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,0.5,1.0,,,0.3333333333333333,,0.4533666666666667,,0.5331,,,1.0,9.9,,0.8,1.0,3.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,True
1498-1712-2217-2240-2406,1610612764,"Antonio Daniels, Antawn Jamison, Brendan Haywood, Gilbert Arenas, Caron Butler","Daniels, Jamison, Haywood, Arenas, Butler",1498-1712-2217-2240-2406,WAS,1905.0,6,32.0,-3.0,61,59,14.0,8.0,8.0,120,10.0,14.0,2.0,,,6.0,13.0,1.0,6.0,,1.0,17.0,38.0,3.0,10.0,14.0,57.0,60,4.0,2.0,4.0,,2.0,7.0,11.0,16.0,18.0,6.0,6.0,1.0,3.0,8.0,2.0,10.0,,3.0,22.0,4.0,8.0,14.0,2.0,24.0,7.0,31.0,2.0,7.0,4.0,14.0,2.0,5.0,15.0,18.0,4.0,8.0,53.0,11.0,14.0,0.47058823529411764,0.5,0.6666666666666666,0.3,,0.3,0.4473684210526316,0.5,0.4479166666666667,0.3333333333333333,0.5181818181818182,0.55,0.20833333333333334,0.07894736842105263,,0.5,1.0,0.6363636363636364,0.2,1.0,0.7333333333333333,0.25925925925925924,0.5,0.75,1.0,0.08333333333333333,90.70866141732283,16.688524590163933,15.033898305084746,15.508196721311476,14.610169491525424,0.2916666666666667,0.7142857142857143,0.7142857142857143,0.3,0.2708333333333333,0.46153846153846156,0.6,0.125,0.16666666666666666,0.16666666666666666,,0.3333333333333333,,,0.16666666666666666,,0.5,0.16666666666666666,0.4783755319148936,0.54783,0.37679,0.15384615384615385,0.19047619047619047,0.19298245614035087,8.244736842105263,25.44,0.22950819672131148,12.0,17.0,1.0,1.0,11.0,2.0,4.0,,1.0,2.0,4.0,3.0,2.0,2.0,,3.0,,4.0,1.0,3.0,7.0,3.0,1.0,1.0,,3.0,,3.0,0.5,0.3333333333333333,0.3333333333333333,0.23076923076923078,,0.42857142857142855,0.2857142857142857,,0.6,,0.3333333333333333,0.75,1.0,0.22916666666666666,0.09090909090909091,0.09090909090909091,,0.08333333333333333,0.5,0.5,1.0,0.5,0.16666666666666666,,0.07017543859649122,,3.0,,3.0,1.0,0.3333333333333333,,1.0,2.0,3.0,0.16666666666666666,1.0,5.0,1.0,2.0,0.8333333333333334,0.16666666666666666,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,True
1498-1712-2217-2240-2407,1610612764,"Antonio Daniels, Antawn Jamison, Brendan Haywood, Gilbert Arenas, Jared Jeffries","Daniels, Jamison, Haywood, Arenas, Jeffries",1498-1712-2217-2240-2407,WAS,972.0,4,16.0,-1.0,29,27,20.0,10.0,5.0,56,8.0,13.0,3.0,5.0,7.0,2.0,4.0,2.0,3.0,,1.0,14.0,23.0,2.0,4.0,3.0,37.0,38,5.0,11.0,15.0,,2.0,3.0,25.0,12.0,16.0,6.0,3.0,2.0,1.0,6.0,2.0,8.0,2.0,3.0,18.0,5.0,2.0,3.0,3.0,8.0,6.0,14.0,1.0,1.0,1.0,6.0,1.0,5.0,2.0,3.0,,2.0,33.0,25.0,20.0,0.42857142857142855,0.46153846153846156,1.0,0.5,,0.5,0.6086956521739131,0.7333333333333333,0.6296296296296297,0.6470588235294118,0.6379310344827587,0.6578947368421053,0.14814814814814814,0.043478260869565216,,0.16666666666666666,1.0,0.5,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.45454545454545453,0.6,1.0,1.0,0.1,82.96296296296296,17.689655172413794,17.0,15.931034482758621,15.925925925925926,0.48148148148148145,0.6153846153846154,0.6153846153846154,0.375,0.14814814814814814,0.5,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.6666666666666666,1.0,0.6,0.4117647058823529,0.7142857142857143,0.058823529411764705,,0.6296296296296297,0.6666666666666666,0.5245981481481481,0.53008,0.5148823529411765,0.06896551724137931,0.08,0.6756756756756757,6.943478260869565,24.575,0.6896551724137931,8.0,14.0,1.0,4.0,6.0,,1.0,,1.0,2.0,4.0,,2.0,,2.0,,1.0,1.0,1.0,,5.0,,,3.0,,,1.0,,0.4,0.4,0.4,0.25,1.0,,1.0,,,,0.6666666666666666,,0.5,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.5,0.037037037037037035,,,,0.3333333333333333,0.058823529411764705,,0.10810810810810811,,,,,,,,,,,,,1.0,,,0.5,,1.0,1.0,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,True
1498-1712-2217-2406-2407,1610612764,"Antonio Daniels, Antawn Jamison, Brendan Haywood, Caron Butler, Jared Jeffries","Daniels, Jamison, Haywood, Butler, Jeffries",1498-1712-2217-2406-2407,WAS,184.0,2,3.0,-2.0,6,6,,2.0,2.0,12,2.0,3.0,1.0,,,,2.0,,1.0,,,2.0,7.0,,1.0,1.0,5.0,7,2.0,,,,,,,,4.0,,1.0,,1.0,,,,,,,2.0,,1.0,,1.0,2.0,3.0,,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,0.2857142857142857,,0.25,,0.3125,,0.125,0.14285714285714285,,,,1.0,0.4,,1.0,0.3333333333333333,1.0,1.0,,,93.91304347826086,17.666666666666668,13.0,16.166666666666668,13.0,0.375,0.6666666666666666,0.6666666666666666,,0.25,,,0.125,,,,0.5,,,,,0.5,,0.5009125,0.467,,0.125,0.14285714285714285,,7.528571428571429,26.3,,2.0,2.0,1.0,,2.0,,,,,1.0,2.0,,2.0,,,,,2.0,,2.0,,,,,,,,,0.5,0.5,0.5,0.5,,,0.5,,,,,,,0.25,,,,,,,,1.0,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2006,2005-06,True
