EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,FG3APct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,Minutes,OffPoss,PenaltyOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGA,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,OffRebounds,Loose Ball Fouls Drawn,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2M,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LostBallSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,DefThreePtRebounds,NonShootingPenaltyNonTakeFouls,DefThreePtReboundPct,DefArc3ReboundPct,FTOffRebounds,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,LiveBallTurnoverPct,OffFTReboundPct,FTDefRebounds,DefFTReboundPct,LongMidRangeFGM,Fg2aBlocked,LongMidRangeAssists,Offensive Fouls Drawn,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PtsUnassisted3s,Travels,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,AtRimPctBlocked,ShortMidRangeFGM,3SecondViolations,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,LostBallTurnovers,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,ShortMidRangeAssists,ShortMidRangePctAssisted,Loose Ball Fouls,Fg3aBlocked,StepOutOfBoundsTurnovers,BlockedShortMidRange,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,OffArc3ReboundPct,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BadPassOutOfBoundsTurnovers,Defensive 3 Seconds Violations,SelfOReb,SelfORebPct,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,LongMidRangePctBlocked,team_id,year,season,team_vs
101120-1519-1521-1713-2420,1610612751,"Antoine Wright, John Thomas, Jacque Vaughn, Vince Carter, Nenad Krstic","Wright, Thomas, Vaughn, Carter, Krstic",101120-1519-1521-1713-2420,NJN,9.0,1,-2.0,1.0,1.0,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,160.0,7.0,7.0,1.0,1.0,1.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1519-1521-1909-2565,1610612751,"Antoine Wright, John Thomas, Jacque Vaughn, Scott Padgett, Zoran Planinic","Wright, Thomas, Vaughn, Padgett, Planinic",101120-1519-1521-1909-2565,NJN,117.0,1,5.0,5.0,5.0,10,,,1.0,1.0,1.0,,0.2,123.07692307692308,16.6,16.6,,,0.8,23.3,2.0,5.0,5.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,6.0,2.0,4.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,6.0,6.0,5.0,1.0,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,1.0,1.0,1.0,6.8,6.8,0.6,0.6666666666666666,0.6666666666666666,0.5,0.2,0.2,0.6,0.6666666666666666,0.2,0.45085,0.45085,0.2,0.25,1.0,7.275,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1519-1521-1909-441,1610612751,"Antoine Wright, John Thomas, Jacque Vaughn, Scott Padgett, Lamond Murray","Wright, Thomas, Vaughn, Padgett, Murray",101120-1519-1521-1909-441,NJN,185.0,1,1.0,4.0,4.0,8,,,,2.0,,,,62.27027027027027,20.25,20.25,,,0.2,,3.0,4.0,4.0,,1.0,,1.0,2.0,,,,5.0,3.0,3.0,,5.0,3.0,3.0,,,,,,,2.0,2.0,5.0,,,1.0,1.0,2.0,4.0,,,2.0,2.0,3.0,4.0,2.0,,,,,,,0.21428571428571427,0.21428571428571427,1.0,1.0,1.0,26.0,20.25,0.2,,,,0.4,,0.2,,,0.3771,0.3771,,,1.0,11.64,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,0.16666666666666666,0.6,0.6,1.0,0.5,0.5,1.0,0.4,0.3361,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1519-1909-2565-441,1610612751,"Antoine Wright, John Thomas, Scott Padgett, Zoran Planinic, Lamond Murray","Wright, Thomas, Padgett, Planinic, Murray",101120-1519-1909-2565-441,NJN,175.0,1,1.0,4.0,4.0,9,1.0,1.0,1.0,4.0,1.0,1.0,0.2,74.05714285714286,24.0,20.5,0.2,0.2,0.4,24.3,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,,,1.0,4.0,,5.0,1.0,4.0,,5.0,,2.0,,1.0,,3.0,,,1.0,2.0,1.0,,1.0,,,,,,3.0,5.0,5.0,,,,0.25,0.25,0.5,0.5,0.5,0.5,,,,15.8,15.4,0.2,1.0,1.0,,0.2,,0.2,1.0,,0.40930999999999995,0.40930999999999995,,,1.0,9.325,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,,1.0,0.3333333333333333,0.3333333333333333,,0.5,,,0.4,0.5183,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1521-1909-2411-2565,1610612751,"Antoine Wright, Jacque Vaughn, Scott Padgett, Bostjan Nachbar, Zoran Planinic","Wright, Vaughn, Padgett, Nachbar, Planinic",101120-1521-1909-2411-2565,NJN,45.0,1,-1.0,2.0,2.0,4,,,,1.0,,,,128.0,8.0,8.0,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,2.0,,1.0,,,,2.0,,,,,,,,,,,1.0,,14.5,14.5,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1521-2210-361-441,1610612751,"Antoine Wright, Jacque Vaughn, Richard Jefferson, Clifford Robinson, Lamond Murray","Wright, Vaughn, Jefferson, Robinson, Murray",101120-1521-2210-361-441,NJN,23.0,1,,1.0,1.0,2,,,,,,,,125.21739130434781,23.0,23.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
101120-1521-2215-361-441,1610612751,"Antoine Wright, Jacque Vaughn, Jason Collins, Clifford Robinson, Lamond Murray","Wright, Vaughn, Collins, Robinson, Murray",101120-1521-2215-361-441,NJN,41.0,1,,1.0,1.0,3,1.0,1.0,1.0,,1.0,1.0,1.0,105.36585365853658,15.0,15.0,1.0,1.0,1.0,24.9,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,1.0,1.0,1.0,13.0,13.0,,,,,,,,,,0.432,0.432,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
1519-1521-1713-1909-441,1610612751,"John Thomas, Jacque Vaughn, Vince Carter, Scott Padgett, Lamond Murray","Thomas, Vaughn, Carter, Padgett, Murray",1519-1521-1713-1909-441,NJN,15.0,1,,1.0,1.0,1,,,,,,,,96.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
1519-1521-1713-2210-2420,1610612751,"John Thomas, Jacque Vaughn, Vince Carter, Richard Jefferson, Nenad Krstic","Thomas, Vaughn, Carter, Jefferson, Krstic",1519-1521-1713-2210-2420,NJN,166.0,2,-4.0,4.0,2.0,10,,,,7.0,,,,86.74698795180723,20.0,20.0,,,0.25,,3.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,,,1.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,,2.0,,,,,,,2.0,1.0,1.0,,2.0,1.0,2.0,,1.0,,2.0,3.0,5.0,,,,0.25,0.25,0.25,0.25,0.3,0.3,,,,14.333333333333334,12.666666666666666,0.25,1.0,1.0,,0.5,,0.25,1.0,,0.441675,0.441675,0.2,0.2,1.0,11.625,0.8333333333333334,1.0,1.0,,1.0,1.0,1.0,2.0,,0.5,0.3333333333333333,0.3333333333333333,,,0.5,,0.25,,0.3333333333333333,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
1519-1521-1713-2210-361,1610612751,"John Thomas, Jacque Vaughn, Vince Carter, Richard Jefferson, Clifford Robinson","Thomas, Vaughn, Carter, Jefferson, Robinson",1519-1521-1713-2210-361,NJN,83.0,1,,3.0,2.0,6,,,,3.0,,,,104.09638554216868,12.666666666666666,12.0,,,,,1.0,3.0,3.0,,,,,1.0,,,,1.0,3.0,3.0,,1.0,3.0,3.0,,,,,,,,1.0,1.0,,,1.0,2.0,2.0,4.0,,1.0,1.0,3.0,3.0,3.0,1.0,,,,,,,0.5,0.5,,,,15.0,15.0,,,,,1.0,,,,,0.4011,0.4011,0.5,0.5,1.0,19.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2006,2005-06,False
