EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Arc3FGM,FG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,AtRimAssists,Steals,BadPassSteals,DeadBallTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,3SecondViolations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffShortMidRangeReboundPct,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,Arc3Assists,Technical Free Throw Trips,Arc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,FTDefRebounds,SecondChanceFg3Pct,PenaltyFg3Pct,DefFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFtPoints,HeaveAttempts,Fg3aBlocked,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,StepOutOfBoundsTurnovers,DefensiveGoaltends,OffensiveGoaltends,Corner3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,team_id,year,season,team_vs
1112-1497-1888-2230-2419,1610612765,"Ben Wallace, Chauncey Billups, Richard Hamilton, Maurice Evans, Tayshaun Prince","Wallace, Billups, Hamilton, Evans, Prince",1112-1497-1888-2230-2419,DET,695.0,3,12.0,2.0,23.0,20.0,18.0,15.0,5.0,43.0,5.0,10.0,2.0,4.0,3.0,8.0,1.0,1.0,3.0,7.0,2.0,2.0,2.0,1.0,9.0,18.0,4.0,4.0,22.0,20.0,3.0,6.0,6.0,6.0,15.0,3.0,4.0,16.0,4.0,14.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,7.0,6.0,13.0,3.0,2.0,1.0,3.0,1.0,2.0,5.0,9.0,1.0,7.0,1.0,9.0,1.0,2.0,3.0,16.0,16.0,18.0,2.0,3.0,0.2222222222222222,0.2857142857142857,0.5,0.5,0.4,0.4090909090909091,0.5,0.3333333333333333,0.4230769230769231,0.5,0.38095238095238093,0.18181818181818182,0.2222222222222222,0.4,1.0,0.5,0.5,0.5,0.6,0.25,0.5384615384615384,0.4166666666666667,0.8,0.5,0.6666666666666666,0.5,0.3333333333333333,1.0,89.09352517985612,17.608695652173914,14.5,15.869565217391305,13.05,0.45454545454545453,0.5,0.8333333333333334,0.045454545454545456,1.0,1.0,1.0,0.3181818181818182,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.09090909090909091,0.09090909090909091,0.6666666666666666,0.5,0.4444444444444444,0.375,0.1111111111111111,0.05555555555555555,0.6363636363636364,0.47263863636363634,0.42908,0.46671944444444446,0.08695652173913043,0.10526315789473684,0.2727272727272727,0.7272727272727273,7.911111111111111,25.0,0.782608695652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2006,2005-06,True
1112-1497-1888-2230-686,1610612765,"Ben Wallace, Chauncey Billups, Richard Hamilton, Maurice Evans, Antonio McDyess","Wallace, Billups, Hamilton, Evans, McDyess",1112-1497-1888-2230-686,DET,534.0,4,9.0,-10.0,17.0,17.0,4.0,3.0,2.0,34.0,2.0,4.0,,,,,1.0,3.0,,3.0,2.0,,2.0,1.0,3.0,10.0,4.0,3.0,15.0,25.0,,1.0,,,1.0,1.0,3.0,3.0,2.0,4.0,,2.0,2.0,1.0,2.0,,,5.0,,2.0,,,4.0,4.0,2.0,6.0,,,,3.0,1.0,,1.0,4.0,,5.0,,5.0,1.0,1.0,2.0,15.0,3.0,4.0,1.0,2.0,0.3333333333333333,0.3333333333333333,0.3,,,0.42857142857142855,,,0.46875,,0.375,0.2857142857142857,0.2,0.5,,,0.4444444444444444,0.3333333333333333,,,0.4444444444444444,0.25,0.5,,0.5,0.5,0.3333333333333333,,91.68539325842696,17.41176470588235,14.0,15.823529411764707,12.882352941176471,0.2857142857142857,0.5,1.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,,0.21428571428571427,,,,0.14285714285714285,0.14285714285714285,,,,,,0.5,0.5714285714285714,0.473,0.3793,0.425925,0.07142857142857142,0.1,,0.2,7.790000000000001,24.625,0.23529411764705882,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2006,2005-06,True
1112-1497-1888-2230-739,1610612765,"Ben Wallace, Chauncey Billups, Richard Hamilton, Maurice Evans, Rasheed Wallace","Wallace, Billups, Hamilton, Evans, Wallace",1112-1497-1888-2230-739,DET,292.0,2,5.0,1.0,7.0,8.0,,2.0,1.0,15.0,2.0,3.0,1.0,1.0,,,1.0,1.0,,1.0,,,2.0,,3.0,5.0,2.0,3.0,12.0,11.0,1.0,1.0,2.0,,,,,,2.0,4.0,2.0,2.0,,1.0,2.0,,,5.0,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,1.0,3.0,,2.0,,3.0,,1.0,,10.0,,,1.0,,0.3333333333333333,0.5,0.6,1.0,,0.6428571428571429,1.0,,0.6875,1.0,,0.2857142857142857,,,,,1.0,0.5,,,0.5,0.3333333333333333,1.0,,,1.0,,,73.97260273972603,17.714285714285715,21.0,17.571428571428573,18.125,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.14285714285714285,1.0,1.0,,0.14285714285714285,,,,,0.2857142857142857,1.0,1.0,,,,,0.7142857142857143,0.5366000000000001,0.5648,,0.125,0.16666666666666666,0.16666666666666666,,4.32,25.15,,,1.0,1.0,3.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,0.5,0.5,,0.5,,,,0.5,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2006,2005-06,True
1112-1497-1888-2419-283,1610612765,"Ben Wallace, Chauncey Billups, Richard Hamilton, Tayshaun Prince, Lindsey Hunter","Wallace, Billups, Hamilton, Prince, Hunter",1112-1497-1888-2419-283,DET,50.0,2,1.0,7.0,6.0,5.0,6.0,4.0,1.0,11.0,2.0,2.0,,,2.0,2.0,,,,,3.0,3.0,,,2.0,2.0,3.0,2.0,12.0,5.0,,,3.0,2.0,2.0,3.0,2.0,12.0,,4.0,,,,,1.0,,,3.0,1.0,,,,,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,3.0,,1.0,,2.0,,,1.0,9.0,12.0,6.0,2.0,1.0,,,1.0,,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.6,,,1.0,,,,,1.0,,1.0,,,,,,,316.8,5.5,3.4,5.166666666666667,3.4,0.4,1.0,1.0,,,,,,,,,0.6,,,,0.4,1.0,0.6,,1.0,0.55718,,0.55718,,,0.25,1.0,,23.03333333333333,1.0,2.0,,2.0,3.0,3.0,,1.0,1.0,,,,,,,,,,0.5,0.6666666666666666,0.6666666666666666,,,0.6666666666666666,0.6666666666666666,0.5,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2006,2005-06,True
1112-1497-1888-2419-686,1610612765,"Ben Wallace, Chauncey Billups, Richard Hamilton, Tayshaun Prince, Antonio McDyess","Wallace, Billups, Hamilton, Prince, McDyess",1112-1497-1888-2419-686,DET,4716.0,16,79.0,-45.0,142.0,140.0,52.0,62.0,15.0,282.0,20.0,35.0,2.0,5.0,10.0,15.0,6.0,17.0,12.0,37.0,5.0,1.0,20.0,10.0,38.0,89.0,25.0,20.0,114.0,159.0,4.0,9.0,11.0,17.0,35.0,11.0,9.0,49.0,28.0,48.0,,19.0,8.0,14.0,19.0,1.0,6.0,43.0,4.0,10.0,1.0,8.0,37.0,51.0,15.0,66.0,10.0,8.0,2.0,30.0,4.0,6.0,15.0,39.0,6.0,31.0,2.0,36.0,4.0,16.0,3.0,103.0,49.0,52.0,8.0,3.0,0.3684210526315789,0.3684210526315789,0.42696629213483145,0.4444444444444444,0.4857142857142857,0.41228070175438597,0.4,0.43478260869565216,0.437984496124031,0.45454545454545453,0.46226415094339623,0.21929824561403508,0.0898876404494382,0.11428571428571428,0.3333333333333333,0.1,0.6851851851851852,0.2,0.6666666666666666,0.23529411764705882,0.6818181818181818,0.208955223880597,0.3333333333333333,0.25,0.75,0.6875,0.6666666666666666,0.7777777777777778,86.10687022900764,17.225352112676056,16.214285714285715,16.35211267605634,15.257142857142858,0.30701754385964913,0.5714285714285714,0.6451612903225806,0.14912280701754385,0.35294117647058826,0.4,0.16666666666666666,0.32456140350877194,0.32432432432432434,0.34285714285714286,0.5,0.043859649122807015,0.17543859649122806,0.5,0.4,0.32608695652173914,0.6666666666666666,0.021739130434782608,0.21739130434782608,0.5263157894736842,0.4563884955752212,0.4591166666666666,0.4522733333333333,0.1349206349206349,0.15841584158415842,0.09649122807017543,0.4298245614035088,8.947191011235955,26.912,0.36619718309859156,,6.0,6.0,15.0,3.0,6.0,5.0,,7.0,6.0,4.0,20.0,5.0,7.0,4.0,7.0,1.0,0.8333333333333334,0.24,0.25,0.2727272727272727,0.35,,,,0.3,0.3333333333333333,0.3157894736842105,5.0,1.0,0.8333333333333334,,,,,1.0,2.0,6.0,,0.18181818181818182,1.0,0.2,,,,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,0.08,0.11764705882352941,0.05405405405405406,0.1,0.08333333333333333,0.3333333333333333,0.03508771929824561,0.8571428571428571,0.1,0.2,0.04,,,,,,,,,,,,1610612765,2006,2005-06,True
1112-1497-1888-2419-739,1610612765,"Ben Wallace, Chauncey Billups, Richard Hamilton, Tayshaun Prince, Rasheed Wallace","Wallace, Billups, Hamilton, Prince, Wallace",1112-1497-1888-2419-739,DET,22784.0,18,380.0,-30.0,657.0,665.0,80.0,109.0,81.0,1322.0,137.0,220.0,25.0,43.0,11.0,18.0,43.0,102.0,65.0,179.0,33.0,7.0,50.0,7.0,245.0,501.0,83.0,110.0,687.0,717.0,35.0,64.0,100.0,22.0,37.0,14.0,47.0,106.0,252.0,238.0,38.0,50.0,31.0,126.0,151.0,15.0,37.0,327.0,18.0,73.0,2.0,55.0,168.0,251.0,93.0,344.0,45.0,28.0,17.0,109.0,7.0,13.0,77.0,169.0,18.0,122.0,9.0,141.0,13.0,61.0,14.0,587.0,106.0,80.0,27.0,14.0,0.5142857142857142,0.5575221238938053,0.48902195608782434,0.546875,0.5945945945945946,0.4940068493150685,0.5616438356164384,0.5784313725490197,0.5294117647058824,0.5892857142857143,0.6794871794871795,0.1421232876712329,0.06187624750499002,0.10909090909090909,0.41284403669724773,0.16666666666666666,0.717948717948718,0.2874015748031496,0.7236842105263158,0.34615384615384615,0.7193548387096774,0.2973856209150327,0.3614457831325301,0.375,0.65,0.6585365853658537,0.8152173913043478,0.6976744186046512,83.55337078651685,16.75799086757991,17.705263157894738,15.996955859969558,16.97593984962406,0.3767123287671233,0.6227272727272727,0.6989795918367347,0.17465753424657535,0.4215686274509804,0.4387755102040816,0.3488372093023256,0.3065068493150685,0.36312849162011174,0.3693181818181818,0.5692307692307692,0.05650684931506849,0.08561643835616438,0.589041095890411,0.5813953488372093,0.35294117647058826,0.6111111111111112,0.13725490196078433,0.13725490196078433,0.5188356164383562,0.48672174657534245,0.5136122950819672,0.48729509803921567,0.09651898734177215,0.1111111111111111,0.14556040756914118,0.15429403202328967,8.021756487025948,24.836144578313252,0.121765601217656,12.0,17.0,29.0,75.0,12.0,17.0,25.0,10.0,74.0,42.0,22.0,64.0,14.0,36.0,24.0,36.0,3.0,0.8620689655172413,0.3493975903614458,0.3493975903614458,0.3103448275862069,0.5401459854014599,0.36363636363636365,0.3870967741935484,0.8333333333333334,0.34,0.3469387755102041,0.34,15.0,4.0,0.8823529411764706,3.0,5.0,2.0,4.0,9.0,5.0,28.0,0.4444444444444444,0.35714285714285715,0.9655172413793104,0.3,0.0684931506849315,0.6,0.2857142857142857,4.0,3.0,18.0,,3.0,12.0,20.0,11.0,10.0,10.0,4.0,,,4.0,8.0,22.0,8.0,0.03614457831325301,0.0392156862745098,0.01675977653631285,0.02,0.22123893805309736,0.7575757575757576,0.04363636363636364,0.6111111111111112,0.0547945205479452,0.42857142857142855,,1.0,3.0,5.0,1.0,0.06060606060606061,0.12,1.0,0.25,1.0,,,1610612765,2006,2005-06,True
1112-1497-1888-2419-905,1610612765,"Ben Wallace, Chauncey Billups, Richard Hamilton, Tayshaun Prince, Dale Davis","Wallace, Billups, Hamilton, Prince, Davis",1112-1497-1888-2419-905,DET,37.0,1,1.0,-3.0,3.0,2.0,,,,5.0,,1.0,,,,,,,,,2.0,,,,,1.0,2.0,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,194.59459459459458,7.0,8.0,7.0,8.0,0.3333333333333333,,,,,,,,,,,0.6666666666666666,,,,,,,,1.0,0.5255833333333334,,,,,,,,23.45,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2006,2005-06,True
1112-1497-1888-2419-960,1610612765,"Ben Wallace, Chauncey Billups, Richard Hamilton, Tayshaun Prince, Tony Delk","Wallace, Billups, Hamilton, Prince, Delk",1112-1497-1888-2419-960,DET,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2006,2005-06,True
1112-1497-1888-2568-686,1610612765,"Ben Wallace, Chauncey Billups, Richard Hamilton, Carlos Delfino, Antonio McDyess","Wallace, Billups, Hamilton, Delfino, McDyess",1112-1497-1888-2568-686,DET,140.0,2,2.0,-2.0,3.0,5.0,3.0,4.0,,8.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,2.0,2.0,,1.0,5.0,7.0,,,,2.0,2.0,,1.0,5.0,,4.0,,,,,,,,,,,,,2.0,2.0,,2.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,5.0,5.0,3.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.25,,1.25,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,82.28571428571428,19.333333333333332,16.4,19.333333333333332,16.4,0.5,1.0,1.0,,,,,0.5,1.0,1.0,,,,,,0.5,1.0,,,0.5,0.4592,,0.4592,0.5,0.5,,1.0,7.5,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2006,2005-06,True
1112-1497-1888-2568-739,1610612765,"Ben Wallace, Chauncey Billups, Richard Hamilton, Carlos Delfino, Rasheed Wallace","Wallace, Billups, Hamilton, Delfino, Wallace",1112-1497-1888-2568-739,DET,93.0,1,2.0,1.0,4.0,2.0,,2.0,2.0,6.0,1.0,4.0,,1.0,,,,,,,,,,,1.0,4.0,,1.0,3.0,2.0,,1.0,,,,,,,2.0,,,,,1.0,1.0,,,2.0,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,3.0,,,,,1.0,1.0,0.25,,,0.25,,,0.375,,,,,,1.0,,,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,,,,,,92.90322580645162,15.25,16.0,10.0,16.0,1.0,0.25,0.25,,,,,,,,,,,1.0,,,,,,1.0,0.534225,0.5833,,0.25,0.25,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2006,2005-06,True
