EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,Arc3Assists,LostBallTurnovers,Arc3PctAssisted,Offensive Fouls Drawn,PenaltyFtPoints,PenaltyArc3FGA,PenaltyArc3Frequency,PenaltyArc3FGM,PenaltyArc3Accuracy,SecondChanceArc3FGA,SelfOReb,OffAtRimReboundPct,SelfORebPct,SecondChanceArc3Frequency,HeaveAttempts,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,SecondChanceFtPoints,LongMidRangePctBlocked,OffArc3ReboundPct,DefCorner3ReboundPct,Travels,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,FTOffRebounds,SecondChanceTurnovers,Loose Ball Fouls,OffFTReboundPct,SecondChanceArc3FGM,3SecondViolations,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,Arc3PctBlocked,Clear Path Fouls,BlockedLongMidRange,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,BlockedCorner3,OffensiveGoaltends,team_id,year,season,team_vs
101177-109-1477-1938-2225,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Manu Ginobili, Tony Parker","Oberto, Horry, Bowen, Ginobili, Parker",101177-109-1477-1938-2225,SAS,529.0,4,9.0,-1.0,14.0,16.0,5.0,10.0,3.0,30.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,11.0,1.0,2.0,3.0,16.0,17.0,1.0,2.0,1.0,1.0,5.0,3.0,6.0,6.0,4.0,6.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,3.0,1.0,4.0,2.0,7.0,3.0,10.0,1.0,1.0,2.0,2.0,2.0,3.0,8.0,3.0,1.0,8.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0,6.0,5.0,2.0,2.0,0.4,0.5,1.0,0.5,1.0,0.5,0.45454545454545453,0.5,0.5,0.5,0.8333333333333334,0.5,0.46875,0.8333333333333334,0.375,0.15384615384615385,1.0,1.0,0.5,0.5,0.3333333333333333,0.45454545454545453,0.42857142857142855,0.6666666666666666,0.5,0.5,1.0,1.0,81.66351606805293,18.428571428571427,16.9375,17.785714285714285,14.0625,0.3076923076923077,0.75,0.75,0.6666666666666666,0.38461538461538464,0.4,0.4,0.15384615384615385,0.07692307692307693,1.0,1.0,1.0,0.07692307692307693,0.6666666666666666,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,0.46153846153846156,0.49004230769230767,0.5328,0.4194833333333334,0.07142857142857142,0.08333333333333333,0.3125,0.375,7.6,24.75,0.35714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2006,2005-06,False
101177-109-1477-1938-89,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Manu Ginobili, Nick Van Exel","Oberto, Horry, Bowen, Ginobili, Van Exel",101177-109-1477-1938-89,SAS,417.0,2,7.0,7.0,13.0,11.0,,,2.0,24.0,3.0,6.0,1.0,2.0,,,3.0,5.0,3.0,,1.0,,1.0,,8.0,14.0,,1.0,2.0,18.0,11.0,1.0,2.0,,1.0,2.0,,,,6.0,10.0,,2.0,,3.0,,3.0,,1.0,6.0,2.0,,5.0,,5.0,3.0,8.0,1.0,1.0,,,,2.0,2.0,1.0,,2.0,,1.0,,4.0,3.0,4.0,16.0,,,,,0.375,0.42857142857142855,,,,,0.5714285714285714,0.5,,0.5333333333333333,0.3333333333333333,,0.5625,0.3333333333333333,,0.06666666666666667,,,0.7142857142857143,0.3333333333333333,,0.7142857142857143,0.42857142857142855,1.0,,,0.5,,82.87769784172662,16.692307692307693,18.181818181818183,16.076923076923077,17.545454545454547,0.4,0.5,0.6,0.3333333333333333,0.3333333333333333,0.6,0.6,0.2,0.06666666666666667,,,,,0.6666666666666666,0.5,0.3333333333333333,,,,,0.4666666666666667,0.50226,0.54275,,0.0625,0.06666666666666667,0.1111111111111111,,6.414285714285714,24.5,,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.07142857142857142,0.16666666666666666,1.0,1.0,1.0,0.75,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2006,2005-06,False
101177-109-1477-2225-699,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Tony Parker, Brent Barry","Oberto, Horry, Bowen, Parker, Barry",101177-109-1477-2225-699,SAS,242.0,2,4.0,6.0,7.0,7.0,3.0,5.0,,14.0,,,,,,,,,1.0,1.0,2.0,,,1.0,,1.0,2.0,3.0,2.0,8.0,2.0,,,,,,,,3.0,,,3.0,,1.0,,1.0,1.0,1.0,,3.0,,,3.0,,3.0,,3.0,1.0,,,,2.0,,2.0,1.0,,2.0,,1.0,,,,,8.0,3.0,3.0,,,,,0.5,0.6666666666666666,,0.6666666666666666,,,,0.75,,0.75,0.8,,0.75,0.75,,,0.6,,,0.6,,,,0.6666666666666666,,,83.30578512396694,14.714285714285714,19.857142857142858,14.714285714285714,16.142857142857142,,,,,,,,0.25,0.5,0.5,1.0,1.0,0.25,,,,,,,,0.75,0.5103,,0.575775,0.2,0.5,,0.375,17.9,24.03333333333333,0.42857142857142855,,,,,,,,,,,,,1.0,,,,,,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2006,2005-06,False
101177-109-1477-2225-714,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Tony Parker, Michael Finley","Oberto, Horry, Bowen, Parker, Finley",101177-109-1477-2225-714,SAS,144.0,3,2.0,3.0,5.0,5.0,,5.0,,10.0,,1.0,,,,,,,,1.0,1.0,,,2.0,,1.0,2.0,3.0,,6.0,3.0,,,,,,,,,,,6.0,,2.0,,2.0,2.0,1.0,,6.0,,,3.0,,3.0,,3.0,,,1.0,,1.0,1.0,2.0,,,,,,,,,,6.0,,,1.0,,,,1.0,0.6666666666666666,,0.6666666666666666,,,,0.75,,,0.75,,,0.75,1.0,,1.0,,,1.0,,,,,1.0,,100.0,15.4,13.4,15.4,13.4,0.25,,,,,,,,0.25,1.0,1.0,1.0,0.5,,,,,,,,1.0,0.4510625,,,,,,,,26.066666666666666,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,0.5,0.5,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2006,2005-06,False
101177-109-1477-2757-699,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Beno Udrih, Brent Barry","Oberto, Horry, Bowen, Udrih, Barry",101177-109-1477-2757-699,SAS,34.0,1,1.0,-1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,42.35294117647059,,20.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2006,2005-06,False
101177-109-1477-2757-714,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Beno Udrih, Michael Finley","Oberto, Horry, Bowen, Udrih, Finley",101177-109-1477-2757-714,SAS,56.0,1,1.0,,2.0,3.0,,3.0,,5.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,2.0,,,,2.0,2.0,,,,,,,,,2.0,,,,,1.0,,1.0,,1.0,2.0,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,,,1.0,1.0,,,,,0.5,,,0.5,,,0.5,,,,,,,,1.0,1.0,,,,,,1.0,128.57142857142856,7.0,14.0,7.0,14.0,0.5,1.0,1.0,1.0,,,,0.5,,,,,,,,,,,,,0.5,0.5478,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2006,2005-06,False
101177-109-1477-699-89,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Brent Barry, Nick Van Exel","Oberto, Horry, Bowen, Barry, Van Exel",101177-109-1477-699-89,SAS,97.0,1,2.0,-1.0,4.0,4.0,4.0,4.0,,8.0,,1.0,,,,1.0,,,1.0,,,,,,1.0,2.0,,,1.0,3.0,4.0,,,,,,1.0,2.0,3.0,2.0,,,,,1.0,,1.0,,,2.0,,1.0,,2.0,3.0,,3.0,,,,,,2.0,3.0,1.0,,2.0,,,1.0,,,,3.0,3.0,4.0,1.0,1.0,1.0,1.0,,,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,,,1.0,,,1.0,1.0,,,,,,1.0,118.76288659793815,8.75,15.5,8.75,15.5,0.5,,,,,,,0.5,,,,,,,,,,,0.5,,0.5,0.46945,,0.46945,,,,1.0,7.0,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2006,2005-06,False
101177-109-1938-2225-2757,1610612759,"Fabricio Oberto, Robert Horry, Manu Ginobili, Tony Parker, Beno Udrih","Oberto, Horry, Ginobili, Parker, Udrih",101177-109-1938-2225-2757,SAS,1.0,1,,-1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2006,2005-06,False
101177-109-1938-2225-699,1610612759,"Fabricio Oberto, Robert Horry, Manu Ginobili, Tony Parker, Brent Barry","Oberto, Horry, Ginobili, Parker, Barry",101177-109-1938-2225-699,SAS,31.0,1,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,92.9032258064516,16.0,15.0,16.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2006,2005-06,False
101177-109-1938-2225-714,1610612759,"Fabricio Oberto, Robert Horry, Manu Ginobili, Tony Parker, Michael Finley","Oberto, Horry, Ginobili, Parker, Finley",101177-109-1938-2225-714,SAS,85.0,2,1.0,2.0,4.0,3.0,2.0,3.0,,7.0,,,,,,,1.0,1.0,,,,,,2.0,1.0,1.0,,2.0,,2.0,,,,,,,,,,2.0,,,,2.0,1.0,,1.0,,,2.0,,,2.0,,2.0,,2.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,2.0,,2.0,,,1.0,1.0,,,,,1.0,,,0.3333333333333333,,,0.3333333333333333,,,0.6666666666666666,1.0,,1.0,,,1.0,,,,,1.0,,118.58823529411764,11.0,13.666666666666666,11.0,13.666666666666666,,,,,0.3333333333333333,1.0,1.0,,,,,,0.6666666666666666,,,,,,,,0.6666666666666666,0.4277333333333333,,0.462,,,,,7.3,26.0,0.5,,,1.0,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2006,2005-06,False
