EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,LongMidRangeFGM,Arc3FGM,FG3M,FtPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,AtRimAssists,DeadBallTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,LostBallTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,Blocked2s,BlockedAtRim,Blocks,SecondChanceFtPoints,SecondChancePoints,RecoveredBlocks,SecondChanceTsPct,BlocksRecoveredPct,SecondChancePointsPct,FTDefRebounds,DefFTReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,OffThreePtRebounds,BadPassSteals,Technical Free Throw Trips,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,BadPassOutOfBoundsTurnovers,Offensive Fouls,BlockedShortMidRange,DefensiveGoaltends,ShortMidRangeAssists,Blocked3s,BlockedArc3,ShortMidRangePctAssisted,HeaveAttempts,ShortMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Corner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Corner3Assists,StepOutOfBoundsTurnovers,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,PenaltyCorner3FGM,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Travels,ThreePtShootingFoulsDrawn,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,BlockedLongMidRange,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,3SecondViolations,SecondChanceCorner3FGM,Clear Path Fouls,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Corner3PctBlocked,team_id,year,season,team_vs
101128-101179-1710-1730-949,1610612758,"Francisco Garcia, Ronnie Price, Mike Bibby, Brian Skinner, Shareef Abdur-Rahim","Garcia, Price, Bibby, Skinner, Abdur-Rahim",101128-101179-1710-1730-949,SAC,298.0,1,5.0,-3.0,10.0,10.0,1.0,20.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,7.0,3.0,6.0,9.0,1.0,6.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,0.42857142857142855,0.3,0.3,0.3,0.14285714285714285,0.5,1.0,1.0,0.25,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,96.64429530201342,12.5,17.3,11.3,17.3,0.2,0.5,1.0,0.4,0.5,0.5,0.1,0.2,0.1,0.5,0.50282,0.3523,0.1,0.14285714285714285,6.957142857142857,23.633333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2006,2005-06,False
101128-101179-1710-1802-1903,1610612758,"Francisco Garcia, Ronnie Price, Mike Bibby, Brad Miller, Kenny Thomas","Garcia, Price, Bibby, Miller, Thomas",101128-101179-1710-1802-1903,SAC,219.0,1,4.0,1.0,6.0,7.0,,13.0,1.0,1.0,,,2.0,,2.0,2.0,3.0,2.0,8.0,7.0,,2.0,2.0,,,2.0,3.0,,3.0,,,,,,2.0,2.0,,5.0,3.0,1.0,2.0,8.0,0.6666666666666666,0.7,0.6666666666666666,0.4,,,,1.0,,1.0,,,,1.0,1.0,85.47945205479452,17.333333333333332,16.428571428571427,17.333333333333332,16.428571428571427,0.2,1.0,1.0,,,,0.4,,0.4,0.6,0.5062,,0.3333333333333333,0.5,14.566666666666668,24.25,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2006,2005-06,False
101128-101179-1710-1802-949,1610612758,"Francisco Garcia, Ronnie Price, Mike Bibby, Brad Miller, Shareef Abdur-Rahim","Garcia, Price, Bibby, Miller, Abdur-Rahim",101128-101179-1710-1802-949,SAC,286.0,2,5.0,7.0,9.0,8.0,,17.0,2.0,2.0,,,3.0,,2.0,4.0,5.0,2.0,13.0,6.0,,2.0,2.0,,,3.0,4.0,,4.0,,,,,1.0,,1.0,1.0,2.0,2.0,,1.0,13.0,0.8,0.7857142857142857,0.8125,0.2857142857142857,,,,0.6,,0.6666666666666666,,,,1.0,0.5,85.5944055944056,12.0,22.25,12.0,20.5,0.2857142857142857,1.0,1.0,,,,0.42857142857142855,,0.2857142857142857,0.5714285714285714,0.5290571428571428,,0.125,0.16666666666666666,11.440000000000001,24.05,3.0,2.0,1.0,1.0,2.0,6.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,9.0,1.0,,1.0,0.75,0.75,1.0,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,1.0,0.5,9.0,2.0,2.0,1.0,2.0,4.0,5.0,1.0,2.0,2.0,13.0,1.0,1.0,1.0,13.0,9.0,1.0,0.5,0.8,0.7857142857142857,0.8125,0.5,0.2857142857142857,1.0,0.2857142857142857,0.5,0.5290571428571428,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2006,2005-06,False
101128-101179-1710-1903-2755,1610612758,"Francisco Garcia, Ronnie Price, Mike Bibby, Kenny Thomas, Kevin Martin","Garcia, Price, Bibby, Thomas, Martin",101128-101179-1710-1903-2755,SAC,17.0,1,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.70588235294117,15.0,,15.0,,,,,,,,1.0,,,,0.3442,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,0.3442,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2006,2005-06,False
101128-101179-1710-1903-949,1610612758,"Francisco Garcia, Ronnie Price, Mike Bibby, Kenny Thomas, Shareef Abdur-Rahim","Garcia, Price, Bibby, Thomas, Abdur-Rahim",101128-101179-1710-1903-949,SAC,155.0,1,3.0,-1.0,5.0,5.0,2.0,10.0,,1.0,,,2.0,1.0,1.0,1.0,3.0,2.0,4.0,5.0,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,,,4.0,0.3333333333333333,0.2,0.3333333333333333,0.4,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,1.0,1.0,92.9032258064516,16.8,14.2,12.4,10.4,0.2,,,,,,0.4,0.2,0.2,0.6,0.48948,0.5403,,,12.6,24.95,5.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,5.0,,1.0,,1.0,1.0,3.0,,2.0,2.0,4.0,,,1.0,4.0,5.0,1.0,,0.3333333333333333,0.2,0.3333333333333333,,0.2,,0.2,,0.48948,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2006,2005-06,False
101128-101179-1719-1730-722,1610612758,"Francisco Garcia, Ronnie Price, Bonzi Wells, Brian Skinner, Corliss Williamson","Garcia, Price, Wells, Skinner, Williamson",101128-101179-1719-1730-722,SAC,14.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,102.85714285714286,,14.0,,14.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2006,2005-06,False
101128-101179-1730-1802-1903,1610612758,"Francisco Garcia, Ronnie Price, Brian Skinner, Brad Miller, Kenny Thomas","Garcia, Price, Skinner, Miller, Thomas",101128-101179-1730-1802-1903,SAC,214.0,1,4.0,-3.0,8.0,9.0,,17.0,,2.0,,1.0,2.0,,,,5.0,,4.0,7.0,,,,1.0,,4.0,4.0,,4.0,,,1.0,1.0,1.0,,1.0,,3.0,4.0,,,4.0,,,0.2857142857142857,,0.2,0.5,1.0,0.8,,0.8,,,0.5,1.0,1.0,114.39252336448598,13.0,12.222222222222221,13.0,7.777777777777778,0.4,,,0.2,,,0.4,,,0.4,0.50572,,,,9.059999999999999,,1.0,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,8.0,,2.0,,,,5.0,,,4.0,4.0,,,1.0,4.0,8.0,,,,,0.2857142857142857,,0.4,,,,0.50572,1.0,1.0,,,,,,2.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2006,2005-06,False
101128-101179-1730-1802-2755,1610612758,"Francisco Garcia, Ronnie Price, Brian Skinner, Brad Miller, Kevin Martin","Garcia, Price, Skinner, Miller, Martin",101128-101179-1730-1802-2755,SAC,126.0,1,2.0,2.0,5.0,5.0,1.0,10.0,,,,,2.0,1.0,,1.0,2.0,1.0,6.0,4.0,,,,,1.0,3.0,3.0,1.0,4.0,,,1.0,,1.0,,,,2.0,4.0,,1.0,4.0,0.5,0.3333333333333333,0.6,0.3333333333333333,,,1.0,1.0,1.0,1.0,0.5,,1.0,1.0,,114.28571428571428,11.4,13.8,11.4,13.8,,,,,,,0.6666666666666666,0.3333333333333333,,0.3333333333333333,0.46405,,0.25,0.3333333333333333,16.6,23.5,,1.0,,,4.0,2.0,,,1.0,,1.0,,1.0,2.0,,,,1.0,1.0,,,,,,0.5,0.5,1.0,,,,,5.0,,,,,1.0,2.0,,1.0,4.0,6.0,,,1.0,6.0,5.0,,,0.5,0.3333333333333333,0.6,,,,,,0.46405,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,0.3333333333333333,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2006,2005-06,False
101128-101179-1730-1903-2078,1610612758,"Francisco Garcia, Ronnie Price, Brian Skinner, Kenny Thomas, Jason Hart","Garcia, Price, Skinner, Thomas, Hart",101128-101179-1730-1903-2078,SAC,175.0,2,3.0,-5.0,5.0,6.0,2.0,11.0,,,,2.0,3.0,,,,5.0,,2.0,7.0,1.0,,,,2.0,1.0,2.0,2.0,4.0,,,,,,1.0,1.0,,2.0,2.0,,,,,,0.16666666666666666,,,,,0.3333333333333333,0.4,0.3333333333333333,0.4,,,,0.5,90.51428571428572,23.6,9.5,19.8,9.333333333333334,,,,0.4,,,0.6,,,,0.35672000000000004,0.3683,,,13.7,,3.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,2.0,,,2.0,2.0,,,,2.0,3.0,,,,,0.3333333333333333,,,,,,0.29965,1.0,0.6,,,,,,1.0,1.0,0.3333333333333333,,,,,,,2.0,2.0,,0.5,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2006,2005-06,False
101128-101179-1730-1903-978,1610612758,"Francisco Garcia, Ronnie Price, Brian Skinner, Kenny Thomas, Peja Stojakovic","Garcia, Price, Skinner, Thomas, Stojakovic",101128-101179-1730-1903-978,SAC,160.0,1,3.0,-2.0,3.0,4.0,2.0,7.0,1.0,2.0,1.0,1.0,3.0,,,2.0,6.0,,4.0,6.0,2.0,4.0,,,3.0,,1.0,3.0,4.0,,,,,,,1.0,,1.0,,,,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,0.75,1.0,0.75,1.0,,,,63.0,26.0,20.5,18.0,20.5,0.3333333333333333,0.5,0.5,0.16666666666666666,1.0,1.0,0.5,,,0.3333333333333333,0.45859999999999995,0.4813,,,10.583333333333334,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,2.0,,0.5,,0.5,,,,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.25,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2006,2005-06,False
